,index,Ticker,Date,Open,High,Low,Close,Volume
0,3970,CAN,02/01/2021,22.09952,22.09952,22.09952,22.09952,0
1,3971,CAN,02/02/2021,20.77883,20.77883,20.25056,20.25056,500
2,3972,CAN,02/03/2021,22.27561,22.27561,22.27561,22.27561,1100
3,3973,CAN,02/04/2021,22.27561,22.27561,22.27561,22.27561,0
4,3974,CAN,02/05/2021,22.27561,22.27561,22.27561,22.27561,0
5,3975,CAN,02/08/2021,22.27561,22.27561,22.27561,22.27561,0
6,3976,CAN,02/09/2021,20.3386,20.3386,20.3386,20.3386,100
7,3977,CAN,02/17/2021,22.36366,22.36366,22.36366,22.36366,300
8,3978,CAN,02/18/2021,22.36366,22.36366,22.36366,22.36366,0
9,3979,CAN,02/19/2021,22.36366,22.36366,22.36366,22.36366,0
10,3980,CAN,02/22/2021,22.36366,22.36366,22.36366,22.36366,0
11,3981,CAN,02/23/2021,22.36366,22.36366,22.36366,22.36366,100
12,3982,CAN,02/24/2021,22.4517,22.4517,22.4517,22.4517,100
13,3983,CAN,02/25/2021,22.4517,22.4517,22.4517,22.4517,0
14,3984,CAN,02/26/2021,22.4517,22.4517,22.4517,22.4517,100
15,3985,CAN,03/01/2021,22.4517,22.4517,22.4517,22.4517,0
16,3986,CAN,03/02/2021,22.4517,22.4517,22.4517,22.4517,0
17,3987,CAN,03/03/2021,20.51469,20.51469,20.51469,20.51469,100
18,3988,CAN,03/04/2021,20.51469,20.51469,20.51469,20.51469,0
19,3989,CAN,03/05/2021,22.53975,22.53975,22.53975,22.53975,1200
20,3990,CAN,03/08/2021,22.53975,22.53975,22.53975,22.53975,200
21,3991,CAN,03/09/2021,22.53975,22.53975,22.53975,22.53975,0
22,3992,CAN,03/10/2021,22.53975,22.53975,22.53975,22.53975,0
23,3993,CAN,03/11/2021,22.53975,22.6278,22.53975,22.6278,200
24,3994,CAN,03/12/2021,22.6278,22.6278,22.6278,22.6278,0
25,3995,CAN,03/15/2021,21.57125,21.57125,21.57125,21.57125,100
26,3996,CAN,03/16/2021,21.57125,21.57125,21.57125,21.57125,0
27,3997,CAN,03/17/2021,22.01147,22.01147,22.01147,22.01147,400
28,3998,CAN,03/18/2021,22.89193,22.89193,22.89193,22.89193,100
29,3999,CAN,03/19/2021,22.89193,22.89193,22.89193,22.89193,0
30,4000,CAN,03/22/2021,22.89193,22.89193,22.89193,22.89193,0
31,4001,CAN,03/23/2021,24.65285,24.65285,24.65285,24.65285,900
32,4002,CAN,03/24/2021,24.65285,24.65285,24.65285,24.65285,100
33,4003,CAN,03/25/2021,24.65285,24.65285,23.77239,23.77239,1000
34,4004,CAN,03/26/2021,23.77239,23.77239,23.77239,23.77239,500
35,4005,CAN,03/29/2021,23.77239,24.65285,23.77239,24.65285,600
36,4006,CAN,03/30/2021,23.77239,23.77239,23.77239,23.77239,600
37,4007,CAN,03/31/2021,23.77239,23.77239,23.77239,23.77239,100
38,4008,CAN,04/01/2021,23.77239,23.77239,23.77239,23.77239,0
39,4009,CAN,04/02/2021,23.77239,23.77239,23.77239,23.77239,0
40,4010,CAN,04/05/2021,25.53331,25.53331,25.53331,25.53331,200
41,4011,CAN,04/06/2021,26.06159,26.06159,26.06159,26.06159,200
42,4012,CAN,04/07/2021,28.17469,28.17469,27.73446,27.73446,1700
43,4013,CAN,04/08/2021,27.73446,27.73446,27.29423,27.29423,3700
44,4014,CAN,04/09/2021,27.38227,27.38227,27.38227,27.38227,100
45,4015,CAN,04/12/2021,26.41377,26.41377,26.41377,26.41377,100
46,4016,CAN,04/13/2021,26.67791,26.67791,26.67791,26.67791,100
47,4017,CAN,04/14/2021,29.23124,29.23124,29.23124,29.23124,100
48,4018,CAN,04/15/2021,26.32572,26.32572,26.32572,26.32572,100
49,4019,CAN,04/16/2021,23.77239,23.77239,23.77239,23.77239,100
50,4020,CAN,04/19/2021,23.77239,23.77239,23.77239,23.77239,0
51,4021,CAN,04/20/2021,26.14963,26.14963,24.65285,24.65285,500
52,4022,CAN,04/22/2021,24.65285,24.65285,24.65285,24.65285,500
53,4023,CAN,04/23/2021,26.41377,27.03009,26.41377,27.03009,1100
54,4024,CAN,04/26/2021,27.29423,27.29423,27.29423,27.29423,100
55,4025,CAN,04/27/2021,27.29423,27.29423,27.29423,27.29423,0
56,4026,CAN,04/28/2021,27.29423,27.29423,27.29423,27.29423,0
57,4027,CAN,04/29/2021,27.29423,28.17469,27.29423,28.17469,1100
58,4028,CAN,05/04/2021,28.17469,28.17469,28.17469,28.17469,0
59,4029,CAN,05/05/2021,28.17469,28.17469,28.17469,28.17469,0
60,4030,CAN,05/06/2021,29.49538,30.99216,29.49538,29.58342,500
61,4031,CAN,05/07/2021,29.58342,29.58342,29.58342,29.58342,1000
62,4032,CAN,05/10/2021,29.58342,29.58342,29.58342,29.58342,0
63,4033,CAN,05/11/2021,30.81606,30.81606,30.81606,30.81606,100
64,4034,CAN,05/12/2021,31.25629,31.25629,31.25629,31.25629,100
65,4035,CAN,05/13/2021,32.57698,34.3379,32.57698,34.3379,600
66,4036,CAN,05/14/2021,34.3379,34.3379,34.3379,34.3379,0
67,4037,CAN,05/17/2021,37.77169,37.77169,37.77169,37.77169,2800
68,4038,CAN,05/18/2021,39.62066,39.62066,39.62066,39.62066,1600
69,4039,CAN,05/19/2021,43.58272,43.58272,43.58272,43.58272,700
70,4040,CAN,05/20/2021,42.26203,42.26203,42.26203,42.26203,2200
71,4041,CAN,05/21/2021,41.8218,44.90341,38.03583,38.03583,700
72,4042,CAN,05/24/2021,38.03583,38.03583,38.03583,38.03583,700
73,4043,CAN,05/25/2021,35.65859,37.41951,35.65859,37.41951,400
74,4044,CAN,05/26/2021,33.72158,33.72158,33.72158,33.72158,100
75,4045,CAN,05/27/2021,30.81606,30.81606,30.81606,30.81606,200
76,4046,CAN,05/28/2021,30.81606,30.81606,30.81606,30.81606,200
77,4047,CAN,05/31/2021,29.23124,33.89767,29.23124,33.89767,10400
78,4048,CAN,06/01/2021,33.89767,33.89767,33.89767,33.89767,0
79,4049,CAN,06/02/2021,30.63997,30.63997,30.63997,30.63997,100
80,4050,CAN,06/03/2021,27.91055,27.91055,27.91055,27.91055,300
81,4051,CAN,06/04/2021,30.63997,30.63997,30.63997,30.63997,300
82,4052,CAN,06/07/2021,33.63353,33.63353,33.45744,33.45744,6300
83,4053,CAN,06/08/2021,33.45744,33.45744,33.45744,33.45744,6100
84,4054,CAN,06/09/2021,33.45744,33.45744,33.45744,33.45744,0
85,4055,CAN,06/10/2021,32.57698,33.45744,32.57698,33.45744,5500
86,4056,CAN,06/11/2021,35.21836,35.21836,35.21836,35.21836,800
87,4057,CAN,06/14/2021,33.45744,33.45744,33.45744,33.45744,100
88,4058,CAN,06/15/2021,33.45744,33.45744,33.45744,33.45744,0
89,4059,CAN,06/16/2021,33.45744,33.45744,33.45744,33.45744,0
90,4060,CAN,06/17/2021,30.37584,30.37584,30.37584,30.37584,100
91,4061,CAN,06/18/2021,30.19974,30.19974,28.17469,28.35078,300
92,4062,CAN,06/21/2021,28.35078,28.35078,28.35078,28.35078,100
93,4063,CAN,06/22/2021,26.50182,26.50182,25.53331,25.53331,700
94,4064,CAN,06/23/2021,25.53331,25.53331,25.53331,25.53331,0
95,4065,CAN,06/24/2021,25.53331,25.53331,25.53331,25.53331,0
96,4066,CAN,06/25/2021,28.08664,28.08664,28.08664,28.08664,100
97,4067,CAN,06/28/2021,30.81606,30.81606,30.81606,30.81606,15500
98,4068,CAN,06/29/2021,33.89767,33.89767,33.89767,33.89767,100
99,4069,CAN,06/30/2021,30.55193,30.81606,30.55193,30.81606,200
100,4070,CAN,07/01/2021,30.81606,30.81606,30.81606,30.81606,0
101,4071,CAN,07/02/2021,30.81606,31.0802,30.81606,31.0802,1300
102,4072,CAN,07/05/2021,31.25629,31.34434,31.25629,31.34434,1100
103,4073,CAN,07/06/2021,31.16825,31.16825,31.16825,31.16825,1100
104,4074,CAN,07/07/2021,31.16827,31.16827,31.16827,31.16827,1000
105,4075,CAN,07/08/2021,31.16827,31.16827,31.16827,31.16827,0
106,4076,CAN,07/09/2021,31.16827,31.16827,31.16827,31.16827,0
107,4077,CAN,07/12/2021,31.16827,31.16827,31.16827,31.16827,0
108,4078,CAN,07/13/2021,31.16827,31.16827,31.16827,31.16827,0
109,4079,CAN,07/14/2021,31.16827,31.16827,31.16827,31.16827,0
110,4080,CAN,07/15/2021,31.16827,31.16827,31.16827,31.16827,0
111,4081,CAN,07/16/2021,33.11628,33.11628,33.11628,33.11628,100
112,4082,CAN,07/19/2021,32.93076,33.11628,32.93076,33.11628,900
113,4083,CAN,07/20/2021,33.11628,33.11628,33.11628,33.11628,0
114,4084,CAN,07/21/2021,33.11628,33.11628,33.11628,33.11628,0
115,4085,CAN,07/22/2021,33.11628,33.11628,33.11628,33.11628,0
116,4086,CAN,07/23/2021,35.24982,35.24982,35.24982,35.24982,100
117,4087,CAN,07/26/2021,34.3222,34.3222,33.39457,33.39457,700
118,4088,CAN,07/27/2021,33.39457,33.39457,33.39457,33.39457,0
119,4089,CAN,07/28/2021,35.71364,35.71364,35.71364,35.71364,100
120,4090,CAN,07/29/2021,35.71364,35.71364,35.71364,35.71364,0
121,4091,CAN,07/30/2021,35.71364,35.71364,35.71364,35.71364,0
122,4092,CAN,08/02/2021,35.71364,35.71364,35.71364,35.71364,0
123,4093,CAN,08/03/2021,35.71364,35.71364,35.71364,35.71364,0
124,4094,CAN,08/04/2021,35.71364,35.71364,35.71364,35.71364,0
125,4095,CAN,08/05/2021,35.24982,35.71364,35.24982,35.71364,400
126,4096,CAN,08/06/2021,35.71364,35.71364,35.71364,35.71364,0
127,4097,CAN,08/09/2021,35.71364,35.71364,35.71364,35.71364,0
128,4098,CAN,08/10/2021,35.71364,35.71364,35.71364,35.71364,0
129,4099,CAN,08/11/2021,32.18866,33.39457,32.18866,32.18866,5000
130,4100,CAN,08/12/2021,32.18866,32.18866,32.18866,32.18866,0
131,4101,CAN,08/13/2021,32.18866,32.18866,32.18866,32.18866,0
132,4102,CAN,08/16/2021,32.18866,32.18866,32.18866,32.18866,0
133,4103,CAN,08/17/2021,32.09589,32.09589,32.09589,32.09589,100
134,4104,CAN,08/18/2021,32.09589,32.09589,32.09589,32.09589,100
135,4105,CAN,08/19/2021,32.09589,32.09589,32.09589,32.09589,1500
136,4106,CAN,08/20/2021,35.24982,35.24982,35.24982,35.24982,100
137,4107,CAN,08/23/2021,35.24982,35.24982,35.24982,35.24982,0
138,4108,CAN,08/24/2021,35.24982,35.24982,35.24982,35.24982,0
139,4109,CAN,08/25/2021,32.46695,32.46695,32.46695,32.46695,7900
140,4110,CAN,08/26/2021,32.46695,32.46695,32.46695,32.46695,100
141,4111,CAN,08/27/2021,32.46695,32.46695,32.46695,32.46695,100
142,4112,CAN,08/30/2021,32.46695,32.46695,32.46695,32.46695,500
143,4113,CAN,08/31/2021,32.46695,32.46695,32.46695,32.46695,0
144,4114,CAN,09/01/2021,32.46695,32.55971,32.46695,32.55971,4300
145,4115,CAN,09/06/2021,32.65247,32.65247,32.46695,32.46695,300
146,4116,CAN,09/07/2021,32.46695,32.46695,32.46695,32.46695,0
147,4117,CAN,09/08/2021,32.46695,32.46695,32.46695,32.46695,0
148,4118,CAN,09/09/2021,32.46695,32.46695,32.46695,32.46695,0
