,index,Ticker,Date,Open,High,Low,Close,Volume
0,1590,CEO,02/02/2021,6.15,6.675,6.075,6.675,4131900.0
1,1591,CEO,02/03/2021,6.675,7.275,6.375,7.275,5853600.0
2,1592,CEO,02/04/2021,7.275,7.575,7.2,7.275,1322600.0
3,1593,CEO,02/05/2021,7.2,7.425,7.05,7.2,1611400.0
4,1594,CEO,02/08/2021,7.275,7.275,6.675,6.675,3759400.0
5,1595,CEO,02/09/2021,6.075,7.275,6.075,6.975,1108900.0
6,1596,CEO,02/17/2021,6.975,7.35,6.975,7.35,2018700.0
7,1597,CEO,02/18/2021,7.35,8.025,7.125,8.025,7710100.0
8,1598,CEO,02/19/2021,8.1,8.7,8.025,8.4,5262500.0
9,1599,CEO,02/22/2021,8.4,8.55,7.95,8.1,3839400.0
10,1600,CEO,02/23/2021,8.325,8.775,7.95,8.4,6012400.0
11,1601,CEO,02/24/2021,8.625,8.625,7.95,8.025,5582400.0
12,1602,CEO,02/25/2021,8.025,8.175,7.875,7.95,3808200.0
13,1603,CEO,02/26/2021,7.95,8.325,7.65,8.1,2873100.0
14,1604,CEO,03/01/2021,8.025,8.475,8.025,8.25,5527000.0
15,1605,CEO,03/02/2021,8.4,8.475,8.175,8.25,2755800.0
16,1606,CEO,03/03/2021,8.25,8.55,8.025,8.475,7067000.0
17,1607,CEO,03/04/2021,8.475,8.625,8.025,8.25,5307500.0
18,1608,CEO,03/05/2021,8.475,9.075,8.025,9.075,13570800.0
19,1609,CEO,03/08/2021,9.375,9.75,9.075,9.375,8689200.0
20,1610,CEO,03/09/2021,9.375,9.375,8.925,8.925,5988200.0
21,1611,CEO,03/10/2021,8.925,9.075,8.775,8.925,5464400.0
22,1612,CEO,03/11/2021,9.0,9.225,8.925,9.075,3972100.0
23,1613,CEO,03/12/2021,9.075,9.225,8.925,9.0,2997000.0
24,1614,CEO,03/15/2021,9.0,9.45,9.0,9.15,5298500.0
25,1615,CEO,03/16/2021,9.15,9.225,8.925,9.15,3862800.0
26,1616,CEO,03/17/2021,9.15,9.6,9.075,9.375,6622000.0
27,1617,CEO,03/18/2021,9.375,9.75,9.225,9.3,3083900.0
28,1618,CEO,03/19/2021,9.3,9.3,9.0,9.075,5002500.0
29,1619,CEO,03/22/2021,9.075,9.225,9.0,9.075,4007100.0
30,1620,CEO,03/23/2021,9.15,9.45,9.0,9.225,6566100.0
31,1621,CEO,03/24/2021,9.15,9.6,9.0,9.525,9256400.0
32,1622,CEO,03/25/2021,9.525,9.6,9.075,9.075,4188400.0
33,1623,CEO,03/26/2021,9.075,9.3,8.55,9.15,7306800.0
34,1624,CEO,03/29/2021,9.15,9.375,9.075,9.225,4221000.0
35,1625,CEO,03/30/2021,9.225,9.45,9.15,9.225,4547900.0
36,1626,CEO,03/31/2021,9.225,9.375,9.0,9.075,5029400.0
37,1627,CEO,04/01/2021,9.075,9.75,9.075,9.525,11795400.0
38,1628,CEO,04/02/2021,9.6,9.675,9.375,9.45,3925400.0
39,1629,CEO,04/05/2021,9.525,9.825,9.45,9.6,5813000.0
40,1630,CEO,04/06/2021,9.45,10.275,9.45,10.125,13980400.0
41,1631,CEO,04/07/2021,10.125,10.275,9.9,9.975,4993900.0
42,1632,CEO,04/08/2021,9.975,10.275,9.75,9.75,7563000.0
43,1633,CEO,04/09/2021,9.75,9.9,9.6,9.75,5664600.0
44,1634,CEO,04/12/2021,9.75,9.975,9.675,9.975,5345700.0
45,1635,CEO,04/13/2021,9.9,10.05,9.3,9.375,9421300.0
46,1636,CEO,04/14/2021,9.375,9.6,9.225,9.375,5082800.0
47,1637,CEO,04/15/2021,9.375,9.525,9.075,9.075,5704100.0
48,1638,CEO,04/16/2021,9.0,9.15,8.325,8.55,13825000.0
49,1639,CEO,04/19/2021,8.55,8.55,7.8,8.175,9128000.0
50,1640,CEO,04/20/2021,8.175,8.55,8.1,8.25,3700300.0
51,1641,CEO,04/22/2021,8.25,8.325,7.425,7.425,5804300.0
52,1642,CEO,04/23/2021,7.425,7.725,7.125,7.65,4956300.0
53,1643,CEO,04/26/2021,7.65,7.725,7.05,7.125,3766900.0
54,1644,CEO,04/27/2021,7.05,7.2,6.825,7.2,2954300.0
55,1645,CEO,04/28/2021,7.275,7.425,7.05,7.35,1860100.0
56,1646,CEO,04/29/2021,7.35,8.025,7.35,7.8,4291500.0
57,1647,CEO,05/04/2021,7.875,7.875,7.125,7.425,2106800.0
58,1648,CEO,05/05/2021,7.425,7.875,7.425,7.575,2912100.0
59,1649,CEO,05/06/2021,7.575,7.65,7.275,7.35,2479400.0
60,1650,CEO,05/07/2021,7.35,7.425,6.975,7.125,3314500.0
61,1651,CEO,05/10/2021,7.125,7.2,6.975,7.05,2637400.0
62,1652,CEO,05/11/2021,7.05,7.35,7.05,7.2,2651400.0
63,1653,CEO,05/12/2021,7.2,7.425,7.125,7.425,1587700.0
64,1654,CEO,05/13/2021,7.425,7.575,7.275,7.35,1969300.0
65,1655,CEO,05/14/2021,7.35,7.8,7.2,7.425,3554200.0
66,1656,CEO,05/17/2021,7.5,7.575,7.275,7.275,1385100.0
67,1657,CEO,05/18/2021,7.275,7.35,7.05,7.2,2577500.0
68,1658,CEO,05/19/2021,7.05,7.2,6.975,7.05,2194900.0
69,1659,CEO,05/20/2021,7.05,7.125,6.825,6.825,3568800.0
70,1660,CEO,05/21/2021,6.75,7.125,6.6,6.975,2645800.0
71,1661,CEO,05/24/2021,6.975,7.5,6.9,7.425,3688900.0
72,1662,CEO,05/25/2021,7.5,7.575,7.2,7.275,1870400.0
73,1663,CEO,05/26/2021,7.275,7.275,7.05,7.125,2166200.0
74,1664,CEO,05/27/2021,7.2,7.275,6.975,7.05,2447100.0
75,1665,CEO,05/28/2021,7.05,7.2,6.975,7.125,4152700.0
76,1666,CEO,05/31/2021,7.125,7.725,7.05,7.575,7646100.0
77,1667,CEO,06/01/2021,7.425,8.1,7.425,7.875,5852700.0
78,1668,CEO,06/02/2021,7.875,8.025,7.575,7.8,5172400.0
79,1669,CEO,06/03/2021,7.2,8.025,7.2,7.8,4749600.0
80,1670,CEO,06/04/2021,7.875,8.325,7.725,8.1,8899700.0
81,1671,CEO,06/07/2021,8.1,8.775,8.1,8.475,7365000.0
82,1672,CEO,06/08/2021,8.475,8.925,7.65,7.65,6397100.0
