,index,Ticker,Date,Open,High,Low,Close,Volume
0,1015,HKT,02/01/2021,9.9,10.0,9.9,10.0,4200
1,1016,HKT,02/02/2021,10.0,10.0,10.0,10.0,0
2,1017,HKT,02/03/2021,10.0,10.0,10.0,10.0,0
3,1018,HKT,02/04/2021,9.8,9.8,9.8,9.8,4600
4,1019,HKT,02/05/2021,9.8,9.8,9.8,9.8,0
5,1020,HKT,02/08/2021,9.8,9.8,9.8,9.8,0
6,1021,HKT,02/09/2021,9.8,9.8,9.8,9.8,0
7,1022,HKT,02/17/2021,9.8,10.0,9.8,10.0,900
8,1023,HKT,02/18/2021,10.0,10.0,10.0,10.0,0
9,1024,HKT,02/19/2021,10.0,10.0,10.0,10.0,0
10,1025,HKT,02/22/2021,10.0,10.0,10.0,10.0,0
11,1026,HKT,02/23/2021,9.9,10.0,9.9,10.0,3800
12,1027,HKT,02/24/2021,9.9,9.9,9.9,9.9,4000
13,1028,HKT,02/25/2021,9.6,9.6,9.6,9.6,4900
14,1029,HKT,02/26/2021,9.3,9.3,9.3,9.3,5600
15,1030,HKT,03/01/2021,9.0,9.0,8.4,8.4,5600
16,1031,HKT,03/02/2021,8.4,8.9,7.6,7.9,14800
17,1032,HKT,03/03/2021,7.9,8.5,7.4,7.9,6500
18,1033,HKT,03/04/2021,8.5,8.5,8.4,8.4,7600
19,1034,HKT,03/05/2021,8.4,9.0,7.7,8.4,20200
20,1035,HKT,03/08/2021,8.3,9.0,7.7,8.0,22600
21,1036,HKT,03/09/2021,8.3,8.4,7.2,7.9,53200
22,1037,HKT,03/10/2021,7.8,7.9,7.4,7.4,24700
23,1038,HKT,03/11/2021,7.4,7.7,7.0,7.4,26800
24,1039,HKT,03/12/2021,7.4,7.6,7.1,7.5,34000
25,1040,HKT,03/15/2021,7.5,7.6,7.3,7.5,20300
26,1041,HKT,03/16/2021,7.4,7.4,6.8,6.9,53500
27,1042,HKT,03/17/2021,6.9,7.2,6.9,7.2,24800
28,1043,HKT,03/18/2021,7.3,7.5,7.2,7.3,25100
29,1044,HKT,03/19/2021,7.3,7.4,6.8,7.0,25300
30,1045,HKT,03/22/2021,7.0,7.4,7.0,7.2,18800
31,1046,HKT,03/23/2021,7.2,7.2,7.0,7.0,22100
32,1047,HKT,03/24/2021,7.1,7.1,6.9,6.9,34900
33,1048,HKT,03/25/2021,6.9,7.0,6.9,7.0,21000
34,1049,HKT,03/26/2021,7.0,7.0,6.8,6.9,16400
35,1050,HKT,03/29/2021,7.1,7.1,6.9,7.0,29800
36,1051,HKT,03/30/2021,7.0,7.0,6.8,6.9,15400
37,1052,HKT,03/31/2021,6.9,7.0,6.8,7.0,53100
38,1053,HKT,04/01/2021,7.0,7.0,6.9,7.0,22700
39,1054,HKT,04/02/2021,6.9,7.0,6.8,7.0,22200
40,1055,HKT,04/05/2021,7.0,7.0,6.8,7.0,19700
41,1056,HKT,04/06/2021,7.0,7.0,6.5,7.0,19400
42,1057,HKT,04/07/2021,6.8,7.1,6.8,7.1,34600
43,1058,HKT,04/08/2021,7.2,7.8,7.2,7.8,243800
44,1059,HKT,04/09/2021,7.8,8.5,7.8,8.5,47400
45,1060,HKT,04/12/2021,8.5,9.3,8.2,8.2,24000
46,1061,HKT,04/13/2021,8.0,8.2,7.5,7.6,60600
47,1062,HKT,04/14/2021,7.6,7.9,7.6,7.9,36400
48,1063,HKT,04/15/2021,7.6,7.8,7.3,7.4,26500
49,1064,HKT,04/16/2021,7.5,7.5,7.3,7.4,18300
50,1065,HKT,04/19/2021,7.2,7.2,6.9,6.9,22400
51,1066,HKT,04/20/2021,6.5,6.9,6.3,6.9,15200
52,1067,HKT,04/22/2021,6.5,6.5,6.3,6.5,37200
53,1068,HKT,04/23/2021,6.1,7.0,6.1,7.0,8000
54,1069,HKT,04/26/2021,7.0,7.1,7.0,7.0,7300
55,1070,HKT,04/27/2021,6.4,6.9,6.4,6.9,1900
56,1071,HKT,04/28/2021,6.9,6.9,6.7,6.7,800
57,1072,HKT,04/29/2021,7.3,7.3,6.5,6.8,10300
58,1073,HKT,05/04/2021,7.0,7.0,6.5,6.9,8200
59,1074,HKT,05/05/2021,7.0,7.0,7.0,7.0,100
60,1075,HKT,05/06/2021,6.9,7.1,6.8,7.1,33500
61,1076,HKT,05/07/2021,6.9,6.9,6.8,6.9,4400
62,1077,HKT,05/10/2021,6.4,6.7,6.3,6.3,19900
63,1078,HKT,05/11/2021,6.3,6.3,6.3,6.3,11100
64,1079,HKT,05/12/2021,6.3,6.5,6.3,6.5,500
65,1080,HKT,05/13/2021,6.1,6.9,6.1,6.9,15500
66,1081,HKT,05/14/2021,6.4,6.4,6.4,6.4,4400
67,1082,HKT,05/17/2021,6.9,6.9,6.2,6.8,600
68,1083,HKT,05/18/2021,6.8,7.0,6.8,7.0,4200
69,1084,HKT,05/19/2021,7.0,7.0,7.0,7.0,0
70,1085,HKT,05/20/2021,7.0,7.0,7.0,7.0,0
71,1086,HKT,05/21/2021,6.8,6.9,6.7,6.8,2200
72,1087,HKT,05/24/2021,6.3,6.3,6.3,6.3,500
73,1088,HKT,05/25/2021,6.7,6.7,6.3,6.7,11100
74,1089,HKT,05/26/2021,6.7,6.7,6.5,6.5,2600
75,1090,HKT,05/27/2021,6.2,6.6,6.2,6.6,700
76,1091,HKT,05/28/2021,6.6,6.6,6.6,6.6,0
77,1092,HKT,05/31/2021,6.2,6.4,6.2,6.4,3200
78,1093,HKT,06/01/2021,6.7,6.7,6.7,6.7,100
