,index,Ticker,Date,Open,High,Low,Close,Volume
0,1876,KTT,02/02/2021,4.0,4.0,4.0,4.0,0
1,1877,KTT,02/03/2021,4.4,4.4,4.4,4.4,100
2,1878,KTT,02/04/2021,4.4,4.4,4.4,4.4,0
3,1879,KTT,02/05/2021,4.0,4.2,4.0,4.2,300
4,1880,KTT,02/08/2021,3.8,4.2,3.8,4.2,200
5,1881,KTT,02/09/2021,3.8,4.3,3.8,4.3,2000
6,1882,KTT,02/17/2021,4.3,4.3,4.3,4.3,0
7,1883,KTT,02/18/2021,4.3,4.3,4.3,4.3,0
8,1884,KTT,02/19/2021,4.3,4.3,4.3,4.3,0
9,1885,KTT,02/22/2021,4.3,4.3,4.3,4.3,0
10,1886,KTT,02/23/2021,4.2,4.3,4.2,4.3,500
11,1887,KTT,02/24/2021,4.3,4.3,3.9,4.1,24100
12,1888,KTT,02/25/2021,4.2,4.2,4.0,4.1,1800
13,1889,KTT,02/26/2021,4.1,4.2,4.0,4.2,39700
14,1890,KTT,03/01/2021,4.3,4.6,4.3,4.6,56200
15,1891,KTT,03/02/2021,5.0,5.0,5.0,5.0,2900
16,1892,KTT,03/03/2021,5.0,5.5,5.0,5.5,1300
17,1893,KTT,03/04/2021,6.0,6.0,6.0,6.0,21200
18,1894,KTT,03/05/2021,6.6,6.6,6.6,6.6,4700
19,1895,KTT,03/08/2021,7.2,7.2,7.2,7.2,4600
20,1896,KTT,03/09/2021,7.9,7.9,7.5,7.9,232300
21,1897,KTT,03/10/2021,8.6,8.6,8.6,8.6,39900
22,1898,KTT,03/11/2021,8.5,9.4,8.5,9.3,54500
23,1899,KTT,03/12/2021,9.3,10.0,8.4,8.9,31500
24,1900,KTT,03/15/2021,9.0,9.7,8.9,9.7,81200
25,1901,KTT,03/16/2021,10.6,10.6,9.7,10.6,72700
26,1902,KTT,03/17/2021,10.9,11.6,10.8,11.6,26100
27,1903,KTT,03/18/2021,11.5,12.7,11.5,12.7,23600
28,1904,KTT,03/19/2021,12.7,13.9,12.6,13.9,36300
29,1905,KTT,03/22/2021,14.9,15.2,14.9,15.2,29700
30,1906,KTT,03/23/2021,16.7,16.7,15.7,16.7,37600
31,1907,KTT,03/24/2021,18.3,18.3,15.7,16.8,26300
32,1908,KTT,03/25/2021,16.8,16.8,15.2,16.3,21500
33,1909,KTT,03/26/2021,16.2,16.2,14.7,14.7,33500
34,1910,KTT,03/29/2021,14.7,14.8,13.5,13.5,29600
35,1911,KTT,03/30/2021,13.6,14.1,13.4,14.0,26900
36,1912,KTT,03/31/2021,14.0,14.7,14.0,14.7,12900
37,1913,KTT,04/01/2021,14.7,14.7,13.7,13.9,9500
38,1914,KTT,04/02/2021,13.9,14.0,12.7,13.8,31000
39,1915,KTT,04/05/2021,14.0,14.0,13.0,13.4,10700
40,1916,KTT,04/06/2021,12.8,13.2,12.8,12.8,12200
41,1917,KTT,04/07/2021,12.7,13.5,12.7,13.5,13800
42,1918,KTT,04/08/2021,13.5,13.5,12.5,13.5,6100
43,1919,KTT,04/09/2021,12.8,13.7,12.8,13.6,7500
44,1920,KTT,04/12/2021,13.0,13.1,12.8,13.1,23600
