,index,Ticker,Date,Open,High,Low,Close,Volume
0,2314,NET,02/02/2021,46.60108,46.60108,46.60108,46.60108,0
1,2315,NET,02/03/2021,44.95079,45.57948,44.95079,45.57948,200
2,2316,NET,02/04/2021,45.57948,45.57948,45.57948,45.57948,0
3,2317,NET,02/05/2021,44.24352,44.24352,44.00777,44.00777,4800
4,2318,NET,02/08/2021,45.18655,45.18655,44.00777,44.71503,2800
5,2319,NET,02/09/2021,44.71503,44.79362,44.71503,44.79362,200
6,2320,NET,02/17/2021,45.50089,45.57948,45.50089,45.50089,1000
7,2321,NET,02/18/2021,45.50089,45.50089,45.4223,45.4223,500
8,2322,NET,02/19/2021,45.57948,45.57948,44.95079,44.95079,3000
9,2323,NET,02/22/2021,45.89381,45.89381,45.89381,45.89381,200
10,2324,NET,02/23/2021,44.00777,45.65806,44.00777,45.65806,500
11,2325,NET,02/24/2021,44.00777,45.73664,44.00777,45.73664,600
12,2326,NET,02/25/2021,44.4007,44.71503,44.4007,44.71503,400
13,2327,NET,02/26/2021,44.71503,44.71503,44.55787,44.55787,1700
14,2328,NET,03/01/2021,44.55787,45.50089,44.00777,44.24352,5400
15,2329,NET,03/02/2021,40.55001,45.65806,40.55001,44.4007,700
16,2330,NET,03/03/2021,44.4007,45.34372,44.4007,45.26513,3900
17,2331,NET,03/04/2021,45.26513,45.26513,45.26513,45.26513,0
18,2332,NET,03/05/2021,44.71503,44.79362,44.71503,44.79362,1600
19,2333,NET,03/08/2021,44.79362,44.79362,44.79362,44.79362,1000
20,2334,NET,03/09/2021,44.79362,44.79362,44.79362,44.79362,0
21,2335,NET,03/10/2021,44.79362,44.79362,44.79362,44.79362,4000
22,2336,NET,03/11/2021,44.87221,45.4223,44.79362,44.87221,13500
23,2337,NET,03/12/2021,44.08635,47.07259,44.00777,47.07259,13000
24,2338,NET,03/15/2021,45.57948,45.57948,45.4223,45.4223,1300
25,2339,NET,03/16/2021,44.79362,45.18655,44.79362,44.79362,700
26,2340,NET,03/17/2021,44.55787,46.20816,44.4007,46.20816,5600
27,2341,NET,03/18/2021,45.57948,45.57948,45.57948,45.57948,2100
28,2342,NET,03/19/2021,45.57948,45.57948,45.50089,45.57948,1200
29,2343,NET,03/22/2021,45.57948,45.57948,45.57948,45.57948,0
30,2344,NET,03/23/2021,45.02938,45.02938,45.02938,45.02938,800
31,2345,NET,03/24/2021,45.50089,45.50089,45.50089,45.50089,200
32,2346,NET,03/25/2021,45.89381,45.89381,44.24352,44.79362,1800
33,2347,NET,03/26/2021,44.79362,44.79362,44.79362,44.79362,0
34,2348,NET,03/29/2021,44.79362,45.34372,44.16494,45.34372,3000
35,2349,NET,03/30/2021,45.57948,45.73664,45.18655,45.18655,1200
36,2350,NET,03/31/2021,45.65806,49.35157,45.65806,47.85845,18800
37,2351,NET,04/01/2021,48.72289,52.33781,48.72289,51.47337,18200
38,2352,NET,04/02/2021,50.68752,50.68752,50.68752,50.68752,1000
39,2353,NET,04/05/2021,49.50874,50.29459,47.93703,48.32996,17700
40,2354,NET,04/06/2021,48.72289,49.90166,48.72289,49.90166,16400
41,2355,NET,04/07/2021,52.49498,53.438,50.68752,51.8663,25200
42,2356,NET,04/08/2021,53.35942,53.438,52.65215,53.04508,16100
43,2357,NET,04/09/2021,51.8663,53.04508,51.8663,53.04508,15100
44,2358,NET,04/12/2021,53.04508,53.04508,52.65215,52.88791,21000
45,2359,NET,04/13/2021,52.65215,52.65215,51.8663,52.33781,16300
46,2360,NET,04/14/2021,52.65215,53.438,52.65215,53.438,11100
47,2361,NET,04/15/2021,53.438,53.438,52.65215,52.65215,4000
48,2362,NET,04/16/2021,52.25922,52.25922,51.47337,51.47337,6900
49,2363,NET,04/19/2021,51.08044,52.25922,51.08044,51.08044,1200
50,2364,NET,04/20/2021,51.08044,51.08044,51.08044,51.08044,0
51,2365,NET,04/22/2021,50.29459,51.08044,50.29459,51.08044,500
52,2366,NET,04/23/2021,51.08044,51.3162,51.08044,51.3162,3900
53,2367,NET,04/26/2021,49.1944,52.02347,49.1944,52.02347,700
54,2368,NET,04/27/2021,51.8663,51.8663,51.47337,51.47337,5000
55,2369,NET,04/28/2021,51.47337,51.47337,51.47337,51.47337,100
56,2370,NET,04/29/2021,51.47337,51.47337,51.08044,51.23762,1600
57,2371,NET,05/04/2021,49.90166,52.25922,49.90166,50.84469,11600
58,2372,NET,05/05/2021,51.08044,52.25922,50.21601,52.25922,1700
59,2373,NET,05/06/2021,52.25922,52.25922,52.25922,52.25922,0
60,2374,NET,05/07/2021,48.95864,51.8663,48.95864,51.8663,200
61,2375,NET,05/10/2021,50.37318,51.08044,50.37318,51.08044,2100
62,2376,NET,05/11/2021,51.08044,51.47337,51.08044,51.47337,1100
63,2377,NET,05/12/2021,51.47337,51.8663,51.47337,51.8663,2000
64,2378,NET,05/13/2021,51.8663,51.8663,51.8663,51.8663,900
65,2379,NET,05/14/2021,51.47337,51.94488,51.47337,51.94488,2500
66,2380,NET,05/17/2021,51.47337,51.8663,51.47337,51.8663,200
67,2381,NET,05/18/2021,51.94488,52.25922,51.94488,52.25922,1000
68,2382,NET,05/19/2021,52.25922,52.25922,52.25922,52.25922,1000
69,2383,NET,05/20/2021,52.25922,52.65215,52.25922,52.65215,1000
70,2384,NET,05/21/2021,52.25922,52.49498,52.25922,52.25922,1700
71,2385,NET,05/24/2021,51.8663,52.25922,51.8663,52.25922,700
72,2386,NET,05/25/2021,52.25922,52.25922,52.25922,52.25922,0
73,2387,NET,05/26/2021,52.25922,52.25922,52.25922,52.25922,2000
74,2388,NET,05/27/2021,51.8663,51.8663,51.8663,51.8663,100
75,2389,NET,05/28/2021,51.8663,51.8663,51.8663,51.8663,500
76,2390,NET,05/31/2021,51.8663,51.8663,51.8663,51.8663,100
77,2391,NET,06/01/2021,51.8663,51.8663,51.8663,51.8663,0
78,2392,NET,06/02/2021,51.8663,51.8663,51.8663,51.8663,0
79,2393,NET,06/03/2021,51.8663,51.8663,51.08044,51.8663,1000
80,2394,NET,06/04/2021,51.8663,51.8663,51.8663,51.8663,900
81,2395,NET,06/07/2021,51.8663,52.65215,51.8663,51.8663,1400
82,2396,NET,06/08/2021,51.8663,51.8663,51.8663,51.8663,0
83,2397,NET,06/09/2021,51.8663,51.8663,51.8663,51.8663,0
84,2398,NET,06/10/2021,51.8663,51.8663,51.8663,51.8663,0
85,2399,NET,06/11/2021,51.78771,51.78771,51.78771,51.78771,100
86,2400,NET,06/14/2021,51.78771,51.8663,51.78771,51.8663,5300
87,2401,NET,06/15/2021,51.8663,51.8663,51.47337,51.47337,1400
88,2402,NET,06/16/2021,51.8663,52.18064,51.47337,51.8663,3600
89,2403,NET,06/17/2021,51.8663,51.94488,51.47337,51.94488,4800
90,2404,NET,06/18/2021,51.8663,51.8663,51.8663,51.8663,100
91,2405,NET,06/21/2021,51.8663,51.8663,51.8663,51.8663,800
92,2406,NET,06/22/2021,51.8663,51.8663,51.8663,51.8663,2100
93,2407,NET,06/23/2021,51.8663,51.8663,51.55196,51.8663,3500
94,2408,NET,06/24/2021,51.8663,51.8663,51.8663,51.8663,0
95,2409,NET,06/25/2021,51.8663,51.8663,51.8663,51.8663,1200
96,2410,NET,06/28/2021,51.8663,51.8663,51.47337,51.47337,1700
97,2411,NET,06/29/2021,51.8663,52.10205,51.8663,52.10205,1900
98,2412,NET,06/30/2021,52.10205,52.10205,51.8663,51.8663,1200
99,2413,NET,07/01/2021,52.18064,52.18064,51.94488,51.94488,200
100,2414,NET,07/02/2021,51.94488,51.94488,51.94488,51.94488,0
101,2415,NET,07/05/2021,51.94488,51.94488,51.94488,51.94488,100
102,2416,NET,07/06/2021,51.94488,51.94488,51.94488,51.94488,0
103,2417,NET,07/07/2021,51.08044,51.08044,51.08044,51.08044,200
104,2418,NET,07/08/2021,51.08044,51.08044,50.29459,50.29459,2900
105,2419,NET,07/09/2021,51.8663,51.94488,51.8663,51.94488,9200
106,2420,NET,07/12/2021,51.8663,51.8663,48.95864,49.11581,2000
107,2421,NET,07/13/2021,50.29459,50.29459,50.29459,50.29459,100
108,2422,NET,07/14/2021,50.29459,50.29459,50.29459,50.29459,500
109,2423,NET,07/15/2021,50.29459,50.29459,50.29459,50.29459,300
110,2424,NET,07/16/2021,50.29459,50.29459,50.29459,50.29459,300
111,2425,NET,07/19/2021,50.29459,50.29459,49.11581,49.50874,9600
112,2426,NET,07/20/2021,49.50874,49.50874,49.50874,49.50874,3100
113,2427,NET,07/21/2021,49.50874,49.50874,49.50874,49.50874,16200
114,2428,NET,07/22/2021,49.50874,49.50874,48.72289,49.50874,1500
115,2429,NET,07/23/2021,49.50874,49.50874,49.50874,49.50874,1900
116,2430,NET,07/26/2021,49.50874,49.50874,49.50874,49.50874,0
117,2431,NET,07/27/2021,49.50874,49.50874,49.50874,49.50874,700
118,2432,NET,07/28/2021,49.50874,49.50874,49.50874,49.50874,0
119,2433,NET,07/29/2021,49.50874,49.50874,49.50874,49.50874,1600
