,index,Ticker,Date,Open,High,Low,Close,Volume
0,400,PGN,02/01/2021,10.0366,10.16694,9.319696,9.710732,43200
1,401,PGN,02/02/2021,9.971423,9.971423,9.710732,9.971423,9700
2,402,PGN,02/03/2021,9.971423,10.10177,9.775905,10.10177,18000
3,403,PGN,02/04/2021,10.88384,10.88384,10.10177,10.10177,2500
4,404,PGN,02/05/2021,10.42763,10.42763,9.841078,9.841078,23100
5,405,PGN,02/08/2021,9.971423,9.971423,9.515214,9.645559,13300
6,406,PGN,02/09/2021,9.645559,10.29729,9.645559,10.10177,15100
7,407,PGN,02/17/2021,10.10177,10.10177,9.90625,10.10177,4300
8,408,PGN,02/18/2021,9.90625,10.94901,9.775905,10.81867,109300
9,409,PGN,02/19/2021,10.81867,10.88384,10.55798,10.55798,21000
10,410,PGN,02/22/2021,10.42763,10.62315,10.0366,10.62315,41900
11,411,PGN,02/23/2021,10.55798,10.55798,10.16694,10.4928,25900
12,412,PGN,02/24/2021,10.4928,10.55798,10.23211,10.4928,27200
13,413,PGN,02/25/2021,10.56467,10.85214,10.4928,10.63654,34400
14,414,PGN,02/26/2021,10.56467,11.49896,10.56467,11.35522,38300
15,415,PGN,03/01/2021,12.43325,12.43325,11.13962,11.6427,47600
16,416,PGN,03/02/2021,11.35522,11.35522,10.85214,11.13962,82500
17,417,PGN,03/03/2021,11.13962,11.21149,10.78028,11.13962,76400
18,418,PGN,03/04/2021,11.21149,11.35522,10.4928,11.21149,59500
19,419,PGN,03/05/2021,11.21149,11.21149,10.4928,11.21149,26700
20,420,PGN,03/08/2021,11.21149,11.21149,10.99588,11.06775,25600
21,421,PGN,03/09/2021,11.06775,11.06775,10.56467,10.99588,23100
22,422,PGN,03/10/2021,10.92401,10.99588,10.85214,10.92401,16100
23,423,PGN,03/11/2021,11.06775,11.35522,11.06775,11.13962,71600
24,424,PGN,03/12/2021,11.13962,11.42709,10.92401,11.42709,13900
25,425,PGN,03/15/2021,11.42709,11.42709,11.13962,11.35522,12200
26,426,PGN,03/16/2021,11.42709,11.49896,10.92401,11.28335,19500
27,427,PGN,03/17/2021,11.28335,11.28335,11.13962,11.13962,18100
28,428,PGN,03/18/2021,11.13962,11.13962,10.78028,10.92401,17200
29,429,PGN,03/19/2021,10.78028,12.00204,10.78028,12.00204,181400
30,430,PGN,03/22/2021,12.21764,12.57699,12.00204,12.28951,106100
31,431,PGN,03/23/2021,12.21764,12.21764,11.78643,11.93017,20900
32,432,PGN,03/24/2021,11.49896,11.6427,11.21149,11.49896,39200
33,433,PGN,03/25/2021,11.49896,11.49896,10.78028,11.42709,38600
34,434,PGN,03/26/2021,11.13962,11.93017,11.13962,11.8583,145500
35,435,PGN,03/29/2021,11.71457,12.43325,11.49896,12.36138,203300
36,436,PGN,03/30/2021,12.36138,12.57699,12.14578,12.21764,67100
37,437,PGN,03/31/2021,12.21764,13.43941,12.07391,13.43941,171200
38,438,PGN,04/01/2021,13.43941,13.51128,12.57699,13.29567,58200
39,439,PGN,04/02/2021,13.0082,13.2238,12.57699,12.79259,75700
40,440,PGN,04/05/2021,12.79259,12.86446,12.36138,12.57699,86300
41,441,PGN,04/06/2021,12.43325,12.57699,12.07391,12.07391,101600
42,442,PGN,04/07/2021,12.07391,12.43325,11.6427,12.43325,57300
43,443,PGN,04/08/2021,12.43325,12.50512,12.14578,12.28951,45600
44,444,PGN,04/09/2021,12.28951,12.36138,11.71457,12.36138,40700
45,445,PGN,04/12/2021,12.28951,12.28951,11.78643,12.14578,39500
46,446,PGN,04/13/2021,12.21764,12.50512,11.78643,12.07391,33400
47,447,PGN,04/14/2021,11.78643,12.07391,11.71457,11.8583,14100
48,448,PGN,04/15/2021,11.8583,12.07391,11.35522,12.07391,41900
49,449,PGN,04/16/2021,11.42709,12.21764,11.42709,12.21764,29900
50,450,PGN,04/19/2021,12.21764,12.21764,12.14578,12.21764,5000
51,451,PGN,04/20/2021,12.07391,12.14578,11.13962,11.8583,11900
52,452,PGN,04/22/2021,11.49896,12.36138,11.49896,12.36138,83900
53,453,PGN,04/23/2021,12.28951,12.28951,12.00204,12.07391,51800
54,454,PGN,04/26/2021,12.07391,12.43325,11.8583,12.43325,111100
55,455,PGN,04/27/2021,11.93017,12.36138,11.93017,12.36138,25500
56,456,PGN,04/28/2021,12.43325,12.43325,12.00204,12.00204,13700
57,457,PGN,04/29/2021,12.00204,12.00204,11.49896,12.00204,3700
58,458,PGN,05/04/2021,12.00204,12.00204,11.13962,11.93017,8500
59,459,PGN,05/05/2021,11.49896,11.8583,11.49896,11.49896,9100
60,460,PGN,05/06/2021,11.49896,12.14578,11.49896,12.14578,20700
61,461,PGN,05/07/2021,12.07391,12.36138,12.07391,12.21764,50000
62,462,PGN,05/10/2021,12.14578,12.28951,12.07391,12.21764,79400
63,463,PGN,05/11/2021,12.21764,12.79259,12.21764,12.79259,139500
64,464,PGN,05/12/2021,12.79259,12.86446,12.57699,12.86446,14900
65,465,PGN,05/13/2021,12.86446,12.86446,12.07391,12.07391,4400
66,466,PGN,05/14/2021,12.21764,13.2238,12.21764,12.86446,116500
67,467,PGN,05/17/2021,12.86446,13.29567,12.57699,12.79259,32100
68,468,PGN,05/18/2021,12.50512,12.72072,12.07391,12.36138,157900
69,469,PGN,05/19/2021,12.36138,12.43325,11.93017,12.00204,173100
70,470,PGN,05/20/2021,11.8583,12.00204,11.49896,11.6427,55700
71,471,PGN,05/21/2021,11.71457,11.71457,11.21149,11.42709,85000
72,472,PGN,05/24/2021,11.42709,11.49896,11.21149,11.42709,65900
73,473,PGN,05/25/2021,11.42709,11.42709,11.13962,11.13962,33300
74,474,PGN,05/26/2021,11.13962,11.13962,10.06159,10.85214,120800
75,475,PGN,05/27/2021,11.13962,11.13962,10.42093,10.99588,19300
76,476,PGN,05/28/2021,10.92401,10.92401,10.20533,10.78028,26500
77,477,PGN,05/31/2021,10.42093,10.78028,10.42093,10.63654,4600
78,478,PGN,06/01/2021,10.78028,10.78028,10.42093,10.42093,17100
79,479,PGN,06/02/2021,10.70841,10.92401,10.56467,10.92401,64200
80,480,PGN,06/03/2021,10.92401,10.92401,10.4928,10.85214,6700
81,481,PGN,06/04/2021,10.4928,10.85214,10.4928,10.78028,26900
82,482,PGN,06/07/2021,10.78028,10.78028,10.63654,10.78028,18100
83,483,PGN,06/08/2021,10.78028,10.78028,10.42093,10.56467,14400
84,484,PGN,06/09/2021,10.56467,10.56467,10.2772,10.56467,13700
85,485,PGN,06/10/2021,10.4928,10.92401,10.4928,10.85214,30300
86,486,PGN,06/11/2021,10.85214,10.85214,10.78028,10.78028,17600
87,487,PGN,06/14/2021,10.78028,10.78028,10.2772,10.78028,34000
88,488,PGN,06/15/2021,10.78028,10.78028,10.70841,10.78028,22100
89,489,PGN,06/16/2021,10.70841,10.85214,10.63654,10.63654,11900
90,490,PGN,06/17/2021,10.4928,10.78028,9.630379,10.78028,36900
91,491,PGN,06/18/2021,10.78028,10.78028,10.4928,10.63654,23800
92,492,PGN,06/21/2021,10.78028,10.78028,10.2772,10.78028,34000
93,493,PGN,06/22/2021,10.70841,10.85214,10.63654,10.85214,49300
94,494,PGN,06/23/2021,10.85214,10.92401,10.70841,10.92401,45400
95,495,PGN,06/24/2021,10.78028,10.85214,10.4928,10.85214,20400
96,496,PGN,06/25/2021,10.92401,10.92401,10.85214,10.85214,2200
97,497,PGN,06/28/2021,10.85214,10.92401,10.56467,10.92401,27800
98,498,PGN,06/29/2021,10.92401,12.00204,10.4928,12.00204,357700
99,499,PGN,06/30/2021,12.93633,13.15194,11.35522,11.57083,45100
100,500,PGN,07/01/2021,11.57083,11.78643,11.28335,11.6427,23100
101,501,PGN,07/02/2021,11.35522,11.6427,10.63654,11.57083,32800
102,502,PGN,07/05/2021,11.06775,11.42709,10.92401,11.42709,18600
103,503,PGN,07/06/2021,11.28335,11.28335,10.78028,11.28335,38500
104,504,PGN,07/07/2021,10.56467,11.13962,10.4928,10.78028,41900
105,505,PGN,07/08/2021,11.28335,11.35522,10.78028,11.35522,93900
106,506,PGN,07/09/2021,10.85214,11.35522,10.78028,11.13962,23500
107,507,PGN,07/12/2021,11.28335,11.28335,10.56467,10.56467,12600
108,508,PGN,07/13/2021,10.56467,11.21149,9.702248,10.99588,10600
109,509,PGN,07/14/2021,10.99588,11.21149,10.13346,11.21149,11000
110,510,PGN,07/15/2021,11.06775,11.06775,10.2772,10.99588,9000
111,511,PGN,07/16/2021,10.92401,10.92401,10.42093,10.92401,15900
112,512,PGN,07/19/2021,10.92401,10.92401,10.85214,10.85214,3300
113,513,PGN,07/20/2021,10.4928,10.99588,10.06159,10.92401,95100
114,514,PGN,07/21/2021,10.85214,11.13962,10.70841,10.99588,152700
115,515,PGN,07/22/2021,10.99588,10.99588,10.63654,10.78028,145100
116,516,PGN,07/23/2021,10.78028,10.78028,10.4928,10.78028,65200
117,517,PGN,07/26/2021,10.2772,11.35522,10.13346,10.99588,185900
118,518,PGN,07/27/2021,10.99588,11.28335,10.92401,11.28335,60600
119,519,PGN,07/28/2021,11.28335,11.35522,11.28335,11.28335,6500
120,520,PGN,07/29/2021,11.13962,11.21149,10.85214,11.21149,27800
121,521,PGN,07/30/2021,11.06775,11.35522,10.92401,11.35522,82100
122,522,PGN,08/02/2021,11.49896,11.49896,10.78028,11.13962,43000
123,523,PGN,08/03/2021,10.78028,10.85214,10.78028,10.85214,28700
124,524,PGN,08/04/2021,10.63654,10.99588,10.63654,10.85214,33400
125,525,PGN,08/05/2021,11.35522,11.35522,10.78028,10.85214,54600
126,526,PGN,08/06/2021,10.78028,11.21149,10.63654,11.21149,70000
127,527,PGN,08/09/2021,11.21149,11.21149,10.85214,10.92401,17200
128,528,PGN,08/10/2021,10.92401,10.92401,10.78028,10.85214,9900
129,529,PGN,08/11/2021,10.85214,11.13962,10.85214,11.06775,84000
130,530,PGN,08/12/2021,11.06775,11.06775,10.78028,10.92401,140300
131,531,PGN,08/13/2021,10.92401,11.42709,10.85214,11.42709,172800
132,532,PGN,08/16/2021,11.42709,12.07391,11.35522,12.07391,167100
