,index,Ticker,Date,Open,High,Low,Close,Volume
0,1496,PRC,02/02/2021,3.545888,3.545888,3.545888,3.545888,0
1,1497,PRC,02/03/2021,3.900477,3.900477,3.900477,3.900477,100
2,1498,PRC,02/04/2021,4.255065,4.255065,4.255065,4.255065,100
3,1499,PRC,02/05/2021,4.255065,4.255065,4.255065,4.255065,0
4,1500,PRC,02/08/2021,4.653978,4.653978,4.653978,4.653978,100
5,1501,PRC,02/09/2021,4.653978,4.653978,4.653978,4.653978,0
6,1502,PRC,02/17/2021,5.097214,5.097214,5.097214,5.097214,100
7,1503,PRC,02/18/2021,5.584774,5.584774,5.584774,5.584774,100
8,1504,PRC,02/19/2021,6.116657,6.116657,6.116657,6.116657,100
9,1505,PRC,02/22/2021,6.692863,6.692863,6.692863,6.692863,2200
10,1506,PRC,02/23/2021,6.692863,6.692863,6.028009,6.028009,22000
11,1507,PRC,02/24/2021,6.604217,6.604217,6.205304,6.205304,900
12,1508,PRC,02/25/2021,5.584774,5.584774,5.584774,5.584774,1400
13,1509,PRC,02/26/2021,5.318832,5.584774,5.318832,5.584774,900
14,1510,PRC,03/01/2021,5.584774,5.584774,5.318832,5.318832,600
15,1511,PRC,03/02/2021,5.318832,5.318832,5.318832,5.318832,0
16,1512,PRC,03/03/2021,5.318832,5.318832,5.318832,5.318832,100
17,1513,PRC,03/04/2021,5.318832,5.318832,5.318832,5.318832,0
18,1514,PRC,03/05/2021,5.850715,5.850715,5.850715,5.850715,4000
19,1515,PRC,03/08/2021,5.850715,5.850715,5.850715,5.850715,0
20,1516,PRC,03/09/2021,5.850715,5.850715,5.850715,5.850715,0
21,1517,PRC,03/10/2021,5.850715,5.850715,5.850715,5.850715,0
22,1518,PRC,03/11/2021,5.850715,5.850715,5.850715,5.850715,0
23,1519,PRC,03/12/2021,5.850715,5.850715,5.850715,5.850715,0
24,1520,PRC,03/15/2021,5.850715,5.850715,5.850715,5.850715,0
25,1521,PRC,03/16/2021,5.850715,5.850715,5.850715,5.850715,0
26,1522,PRC,03/17/2021,5.850715,6.426922,5.850715,6.426922,5600
27,1523,PRC,03/18/2021,6.426922,6.426922,6.426922,6.426922,0
28,1524,PRC,03/19/2021,6.426922,6.426922,6.426922,6.426922,0
29,1525,PRC,03/22/2021,6.426922,6.426922,6.426922,6.426922,0
30,1526,PRC,03/23/2021,6.426922,6.426922,6.426922,6.426922,0
31,1527,PRC,03/24/2021,6.426922,6.426922,6.426922,6.426922,0
32,1528,PRC,03/25/2021,6.426922,6.426922,6.426922,6.426922,0
33,1529,PRC,03/26/2021,7.003129,7.003129,7.003129,7.003129,100
34,1530,PRC,03/29/2021,7.003129,7.003129,7.003129,7.003129,0
35,1531,PRC,03/30/2021,7.003129,7.003129,7.003129,7.003129,200
36,1532,PRC,03/31/2021,7.003129,7.003129,7.003129,7.003129,0
37,1533,PRC,04/01/2021,7.003129,7.003129,7.003129,7.003129,0
38,1534,PRC,04/02/2021,7.003129,7.003129,7.003129,7.003129,0
39,1535,PRC,04/05/2021,7.003129,7.003129,7.003129,7.003129,0
40,1536,PRC,04/06/2021,7.003129,7.003129,7.003129,7.003129,1000
41,1537,PRC,04/07/2021,7.003129,7.003129,7.003129,7.003129,0
42,1538,PRC,04/08/2021,7.003129,7.003129,7.003129,7.003129,0
43,1539,PRC,04/09/2021,7.003129,7.003129,7.003129,7.003129,0
44,1540,PRC,04/12/2021,7.003129,7.003129,7.003129,7.003129,0
45,1541,PRC,04/13/2021,7.003129,7.003129,7.003129,7.003129,0
46,1542,PRC,04/14/2021,7.003129,7.003129,7.003129,7.003129,0
47,1543,PRC,04/15/2021,7.003129,7.003129,7.003129,7.003129,0
48,1544,PRC,04/16/2021,7.003129,7.003129,7.003129,7.003129,0
49,1545,PRC,04/19/2021,7.003131,7.003131,7.003131,7.003131,0
50,1546,PRC,04/20/2021,7.003131,7.003131,7.003131,7.003131,0
51,1547,PRC,04/22/2021,7.003131,7.003131,7.003131,7.003131,0
52,1548,PRC,04/23/2021,7.003131,7.003131,7.003131,7.003131,0
53,1549,PRC,04/26/2021,7.003131,7.003131,7.003131,7.003131,0
54,1550,PRC,04/27/2021,7.003131,7.003131,7.003131,7.003131,0
55,1551,PRC,04/28/2021,7.003131,7.003131,7.003131,7.003131,0
56,1552,PRC,04/29/2021,7.003131,7.003131,7.003131,7.003131,0
57,1553,PRC,05/04/2021,7.003131,7.003131,7.003131,7.003131,0
58,1554,PRC,05/05/2021,7.003131,7.003131,7.003131,7.003131,0
59,1555,PRC,05/06/2021,7.003131,7.003131,7.003131,7.003131,0
60,1556,PRC,05/07/2021,7.003131,7.003131,7.003131,7.003131,0
61,1557,PRC,05/10/2021,7.003131,7.003131,7.003131,7.003131,0
62,1558,PRC,05/11/2021,7.003131,7.003131,7.003131,7.003131,0
63,1559,PRC,05/12/2021,7.003131,7.003131,7.003131,7.003131,0
64,1560,PRC,05/13/2021,7.003131,7.003131,7.003131,7.003131,0
65,1561,PRC,05/14/2021,7.003131,7.003131,7.003131,7.003131,0
66,1562,PRC,05/17/2021,6.31655,6.31655,6.31655,6.31655,100
67,1563,PRC,05/18/2021,6.31655,6.31655,6.31655,6.31655,0
68,1564,PRC,05/19/2021,6.31655,6.31655,6.31655,6.31655,0
69,1565,PRC,05/20/2021,5.721512,5.721512,5.721512,5.721512,1100
70,1566,PRC,05/21/2021,5.721512,5.721512,5.721512,5.721512,0
71,1567,PRC,05/24/2021,5.721512,5.721512,5.721512,5.721512,0
72,1568,PRC,05/25/2021,5.721512,5.721512,5.721512,5.721512,0
73,1569,PRC,05/26/2021,5.721512,5.721512,5.721512,5.721512,0
74,1570,PRC,05/27/2021,5.721512,5.721512,5.721512,5.721512,0
75,1571,PRC,05/28/2021,5.721512,5.721512,5.721512,5.721512,0
76,1572,PRC,05/31/2021,5.721512,5.721512,5.721512,5.721512,0
77,1573,PRC,06/01/2021,5.721512,5.721512,5.721512,5.721512,0
78,1574,PRC,06/02/2021,5.721512,5.721512,5.721512,5.721512,0
79,1575,PRC,06/03/2021,5.721512,5.721512,5.721512,5.721512,0
80,1576,PRC,06/04/2021,5.721512,5.721512,5.721512,5.721512,0
81,1577,PRC,06/07/2021,5.721512,5.721512,5.721512,5.721512,0
82,1578,PRC,06/08/2021,5.721512,5.721512,5.721512,5.721512,0
83,1579,PRC,06/09/2021,5.721512,5.721512,5.721512,5.721512,0
84,1580,PRC,06/10/2021,5.721512,5.721512,5.721512,5.721512,0
85,1581,PRC,06/11/2021,5.721512,5.721512,5.721512,5.721512,0
86,1582,PRC,06/14/2021,5.721512,5.721512,5.721512,5.721512,0
87,1583,PRC,06/15/2021,5.721512,5.721512,5.721512,5.721512,0
88,1584,PRC,06/16/2021,5.721512,5.721512,5.721512,5.721512,0
89,1585,PRC,06/17/2021,5.721512,5.721512,5.721512,5.721512,0
90,1586,PRC,06/18/2021,5.721512,5.721512,5.721512,5.721512,0
91,1587,PRC,06/21/2021,5.721512,5.721512,5.721512,5.721512,0
92,1588,PRC,06/22/2021,5.721512,5.721512,5.721512,5.721512,0
93,1589,PRC,06/23/2021,5.721512,5.721512,5.721512,5.721512,0
94,1590,PRC,06/24/2021,5.721512,5.721512,5.721512,5.721512,0
95,1591,PRC,06/25/2021,5.721512,5.721512,5.721512,5.721512,0
96,1592,PRC,06/28/2021,5.721512,5.721512,5.721512,5.721512,0
97,1593,PRC,06/29/2021,5.721512,5.721512,5.721512,5.721512,0
98,1594,PRC,06/30/2021,5.721512,5.721512,5.721512,5.721512,0
