,index,Ticker,Date,Open,High,Low,Close,Volume
0,1767,PVB,02/02/2021,13.68079,14.34125,13.58644,14.15254,187600
1,1768,PVB,02/03/2021,14.52995,15.5678,14.24689,15.5678,492500
2,1769,PVB,02/04/2021,15.66215,16.41695,15.66215,16.22825,373000
3,1770,PVB,02/05/2021,15.9452,16.5113,15.9452,16.22825,175500
4,1771,PVB,02/08/2021,16.22825,16.60565,15.0017,15.5678,334300
5,1772,PVB,02/09/2021,15.5678,16.22825,15.5678,16.03955,315200
6,1773,PVB,02/17/2021,16.79435,17.64351,16.79435,17.64351,479400
7,1774,PVB,02/18/2021,19.34181,19.34181,17.92656,18.39831,634400
8,1775,PVB,02/19/2021,18.39831,18.39831,17.54916,17.64351,387000
9,1776,PVB,02/22/2021,16.98305,17.92656,16.98305,17.64351,417400
10,1777,PVB,02/23/2021,17.64351,18.39831,17.64351,18.02091,538800
11,1778,PVB,02/24/2021,18.11526,18.30396,17.45481,17.45481,412500
12,1779,PVB,02/25/2021,17.54916,18.20961,17.36045,17.73786,199000
13,1780,PVB,02/26/2021,17.73786,17.73786,17.26611,17.73786,334900
14,1781,PVB,03/01/2021,17.73786,18.39831,17.45481,18.20961,483500
15,1782,PVB,03/02/2021,18.20961,18.20961,17.83221,18.02091,195600
16,1783,PVB,03/03/2021,18.20961,18.20961,17.54916,17.73786,248200
17,1784,PVB,03/04/2021,18.11526,19.05876,16.8887,18.87006,884600
18,1785,PVB,03/05/2021,19.15311,20.09661,19.15311,19.62486,1068000
19,1786,PVB,03/08/2021,19.62486,20.75707,19.62486,20.09661,554800
20,1787,PVB,03/09/2021,20.09661,20.09661,18.87006,18.87006,657800
21,1788,PVB,03/10/2021,18.87006,18.87006,18.30396,18.68136,483700
22,1789,PVB,03/11/2021,18.87006,19.24746,18.68136,18.87006,278500
23,1790,PVB,03/12/2021,18.87006,19.53051,18.39831,18.68136,388900
24,1791,PVB,03/15/2021,18.68136,18.96441,18.39831,18.49266,226100
25,1792,PVB,03/16/2021,18.49266,18.49266,17.92656,18.20961,294200
26,1793,PVB,03/17/2021,17.92656,18.77571,17.92656,18.68136,248900
27,1794,PVB,03/18/2021,18.68136,19.15311,18.39831,18.58701,129600
28,1795,PVB,03/19/2021,18.30396,18.39831,17.45481,18.30396,366400
29,1796,PVB,03/22/2021,18.30396,18.39831,17.92656,18.02091,249000
30,1797,PVB,03/23/2021,17.83221,17.92656,17.36045,17.54916,500100
31,1798,PVB,03/24/2021,17.45481,17.45481,16.3226,16.8887,533300
32,1799,PVB,03/25/2021,16.98305,17.0774,16.03955,16.5113,279200
33,1800,PVB,03/26/2021,16.60565,16.7,15.3791,16.60565,346500
34,1801,PVB,03/29/2021,16.79435,16.98305,16.3226,16.79435,139900
35,1802,PVB,03/30/2021,16.79435,17.0774,16.7,17.0774,218100
36,1803,PVB,03/31/2021,16.98305,17.36045,16.8887,17.17175,237800
37,1804,PVB,04/01/2021,17.17175,17.73786,16.79435,17.64351,347400
38,1805,PVB,04/02/2021,17.64351,18.02091,17.36045,17.54916,183000
39,1806,PVB,04/05/2021,17.45481,17.54916,17.17175,17.36045,314600
40,1807,PVB,04/06/2021,17.26611,17.36045,16.98305,17.36045,285900
41,1808,PVB,04/07/2021,17.54916,17.73786,17.26611,17.54916,256000
42,1809,PVB,04/08/2021,17.54916,17.64351,17.26611,17.54916,264800
43,1810,PVB,04/09/2021,17.92656,17.92656,17.17175,17.36045,486700
44,1811,PVB,04/12/2021,17.26611,17.26611,16.8887,16.98305,584000
45,1812,PVB,04/13/2021,16.98305,17.0774,16.79435,16.8887,348500
46,1813,PVB,04/14/2021,16.79435,16.8887,16.5113,16.79435,237200
47,1814,PVB,04/15/2021,16.98305,17.17175,16.5113,16.7,294300
48,1815,PVB,04/16/2021,16.79435,16.79435,16.03955,16.5113,241900
49,1816,PVB,04/19/2021,16.1339,16.3226,15.9452,16.1339,166700
50,1817,PVB,04/20/2021,16.22825,16.22825,15.9452,15.9452,183100
51,1818,PVB,04/22/2021,15.85085,15.9452,14.52995,14.52995,285700
52,1819,PVB,04/23/2021,14.71865,15.1904,14.24689,15.09605,194300
53,1820,PVB,04/26/2021,15.3791,15.3791,14.52995,14.52995,103900
54,1821,PVB,04/27/2021,14.52995,14.6243,14.15254,14.52995,68200
55,1822,PVB,04/28/2021,14.6243,14.90735,14.4356,14.813,78700
56,1823,PVB,04/29/2021,14.813,15.09605,14.52995,14.71865,98800
57,1824,PVB,05/04/2021,14.15254,14.71865,14.15254,14.6243,186900
58,1825,PVB,05/05/2021,14.52995,15.66215,14.52995,15.66215,270700
59,1826,PVB,05/06/2021,15.47345,15.5678,14.90735,15.09605,154000
60,1827,PVB,05/07/2021,14.813,15.0017,14.52995,14.813,91500
61,1828,PVB,05/10/2021,14.813,14.813,14.24689,14.52995,120000
62,1829,PVB,05/11/2021,14.52995,14.90735,14.15254,14.71865,162100
63,1830,PVB,05/12/2021,14.71865,15.09605,14.71865,14.90735,91600
64,1831,PVB,05/13/2021,14.90735,15.1904,14.52995,14.52995,133000
65,1832,PVB,05/14/2021,14.52995,14.6243,14.34125,14.52995,107900
66,1833,PVB,05/17/2021,14.52995,14.6243,14.24689,14.4356,125300
67,1834,PVB,05/18/2021,14.4356,14.4356,14.15254,14.24689,165400
68,1835,PVB,05/19/2021,14.24689,14.24689,13.68079,13.77514,206000
69,1836,PVB,05/20/2021,13.77514,13.77514,13.11469,13.20904,184300
70,1837,PVB,05/21/2021,13.20904,13.77514,12.64294,13.68079,356200
71,1838,PVB,05/24/2021,13.68079,13.96384,13.58644,13.77514,113000
72,1839,PVB,05/25/2021,13.77514,14.4356,13.77514,14.24689,186000
73,1840,PVB,05/26/2021,14.24689,14.24689,13.77514,13.96384,97700
74,1841,PVB,05/27/2021,13.96384,13.96384,13.49209,13.58644,140300
75,1842,PVB,05/28/2021,13.58644,14.24689,13.58644,14.15254,277400
76,1843,PVB,05/31/2021,14.24689,15.0017,13.86949,14.90735,340900
77,1844,PVB,06/01/2021,14.34125,15.85085,14.34125,15.3791,418700
78,1845,PVB,06/02/2021,15.3791,16.1339,15.3791,16.03955,530200
79,1846,PVB,06/03/2021,16.1339,16.5113,15.66215,16.03955,613800
80,1847,PVB,06/04/2021,16.03955,17.64351,15.47345,17.54916,1255800
81,1848,PVB,06/07/2021,17.92656,18.68136,16.7,17.54916,692300
82,1849,PVB,06/08/2021,17.83221,17.83221,15.85085,15.85085,378400
83,1850,PVB,06/09/2021,15.85085,16.22825,15.3791,15.85085,395700
