,index,Ticker,Date,Open,High,Low,Close,Volume
0,2388,SAF,02/01/2021,38.66931,38.66931,38.66931,38.66931,0
1,2389,SAF,02/02/2021,38.66931,38.66931,38.66931,38.66931,0
2,2390,SAF,02/03/2021,38.66931,38.66931,38.66931,38.66931,0
3,2391,SAF,02/04/2021,38.66931,38.66931,38.66931,38.66931,0
4,2392,SAF,02/05/2021,38.66931,38.66931,38.66931,38.66931,0
5,2393,SAF,02/08/2021,37.6517,37.6517,37.58386,37.58386,200
6,2394,SAF,02/09/2021,34.05613,36.63409,34.05613,36.63409,600
7,2395,SAF,02/17/2021,36.63409,36.63409,36.63409,36.63409,1000
8,2396,SAF,02/18/2021,36.63409,36.63409,36.63409,36.63409,0
9,2397,SAF,02/19/2021,36.29488,36.29488,36.29488,36.29488,100
10,2398,SAF,02/22/2021,36.63409,36.63409,36.09136,36.09136,3000
11,2399,SAF,02/23/2021,36.09136,36.09136,36.09136,36.09136,0
12,2400,SAF,02/24/2021,36.09136,36.09136,36.09136,36.09136,0
13,2401,SAF,02/25/2021,36.09136,36.09136,36.09136,36.09136,0
14,2402,SAF,02/26/2021,36.09136,36.09136,36.09136,36.09136,0
15,2403,SAF,03/01/2021,36.09136,36.09136,36.09136,36.09136,0
16,2404,SAF,03/02/2021,37.3125,37.3125,37.3125,37.3125,100
17,2405,SAF,03/03/2021,37.3125,37.3125,37.3125,37.3125,0
18,2406,SAF,03/04/2021,37.3125,37.3125,37.3125,37.3125,100
19,2407,SAF,03/05/2021,37.3125,37.3125,37.3125,37.3125,100
20,2408,SAF,03/08/2021,37.3125,41.04374,37.3125,41.04374,1400
21,2409,SAF,03/09/2021,41.04374,41.04374,41.04374,41.04374,0
22,2410,SAF,03/10/2021,41.04374,41.04374,41.04374,41.04374,0
23,2411,SAF,03/11/2021,41.04374,41.04374,41.04374,41.04374,0
24,2412,SAF,03/12/2021,36.97329,36.97329,36.97329,36.97329,1200
25,2413,SAF,03/15/2021,36.97329,36.97329,36.97329,36.97329,0
26,2414,SAF,03/16/2021,40.6367,40.6367,40.6367,40.6367,500
27,2415,SAF,03/17/2021,36.63409,36.63409,36.63409,36.63409,100
28,2416,SAF,03/18/2021,37.3125,37.3125,37.3125,37.3125,400
29,2417,SAF,03/19/2021,37.44818,40.16181,37.44818,40.16181,1600
