,index,Ticker,Date,Open,High,Low,Close,Volume
0,1328,VE4,02/01/2021,16.1,17.9,16.1,17.9,7000
1,1329,VE4,02/02/2021,16.3,19.6,16.3,18.9,43400
2,1330,VE4,02/03/2021,18.1,20.7,18.1,18.6,8500
3,1331,VE4,02/04/2021,17.0,20.4,16.9,20.4,14300
4,1332,VE4,02/05/2021,18.6,18.6,18.6,18.6,400
5,1333,VE4,02/08/2021,18.6,18.6,18.6,18.6,0
6,1334,VE4,02/09/2021,18.6,18.6,18.6,18.6,0
7,1335,VE4,02/17/2021,20.4,20.4,20.4,20.4,400
8,1336,VE4,02/18/2021,20.4,20.4,20.4,20.4,100
9,1337,VE4,02/19/2021,21.8,22.4,20.6,21.8,20800
10,1338,VE4,02/22/2021,20.0,21.8,20.0,21.8,7600
11,1339,VE4,02/23/2021,19.9,21.0,19.8,21.0,3000
12,1340,VE4,02/24/2021,21.0,21.7,21.0,21.7,600
13,1341,VE4,02/25/2021,21.7,21.7,21.7,21.7,1500
14,1342,VE4,02/26/2021,21.7,21.7,21.7,21.7,200
15,1343,VE4,03/01/2021,19.8,19.8,19.6,19.6,8100
16,1344,VE4,03/02/2021,17.7,21.5,17.7,18.2,22800
17,1345,VE4,03/03/2021,17.0,18.1,16.4,18.1,7100
18,1346,VE4,03/04/2021,19.8,19.9,18.4,18.4,2900
19,1347,VE4,03/05/2021,19.0,19.8,18.0,19.8,19200
20,1348,VE4,03/08/2021,21.0,21.0,20.0,20.0,5700
21,1349,VE4,03/09/2021,20.9,20.9,20.9,20.9,600
22,1350,VE4,03/10/2021,20.9,20.9,20.9,20.9,0
23,1351,VE4,03/11/2021,20.9,20.9,20.2,20.9,6200
24,1352,VE4,03/12/2021,20.5,20.6,20.5,20.6,8600
25,1353,VE4,03/15/2021,20.5,20.5,20.5,20.5,700
26,1354,VE4,03/16/2021,20.4,22.5,20.4,22.5,6400
27,1355,VE4,03/17/2021,22.5,22.5,22.5,22.5,0
28,1356,VE4,03/18/2021,24.7,24.7,24.7,24.7,200
29,1357,VE4,03/19/2021,24.7,27.1,23.5,27.1,7900
30,1358,VE4,03/22/2021,26.0,29.8,24.5,29.8,6700
31,1359,VE4,03/23/2021,30.0,30.0,26.9,26.9,3800
32,1360,VE4,03/24/2021,24.3,24.3,24.3,24.3,1300
33,1361,VE4,03/25/2021,22.0,23.0,21.9,22.1,30000
34,1362,VE4,03/26/2021,20.0,24.3,20.0,24.3,900
35,1363,VE4,03/29/2021,24.3,26.7,21.9,21.9,22500
36,1364,VE4,03/30/2021,21.9,24.0,20.0,24.0,2200
37,1365,VE4,03/31/2021,24.0,24.0,24.0,24.0,100
38,1366,VE4,04/01/2021,23.9,23.9,22.2,22.3,5900
39,1367,VE4,04/02/2021,22.3,23.9,20.5,21.2,11600
40,1368,VE4,04/05/2021,21.2,23.3,21.2,21.4,10200
41,1369,VE4,04/06/2021,23.0,23.5,23.0,23.5,11300
42,1370,VE4,04/07/2021,21.4,21.8,21.4,21.6,8200
43,1371,VE4,04/08/2021,21.5,23.7,21.5,22.0,16100
44,1372,VE4,04/09/2021,23.0,24.2,23.0,24.2,6000
45,1373,VE4,04/12/2021,23.9,26.6,23.9,26.6,12500
46,1374,VE4,04/13/2021,29.2,29.2,29.2,29.2,11600
47,1375,VE4,04/14/2021,32.1,32.1,27.0,32.1,5000
48,1376,VE4,04/15/2021,35.3,35.3,29.3,35.3,14900
49,1377,VE4,04/16/2021,35.0,35.0,32.0,32.0,1200
50,1378,VE4,04/19/2021,30.0,30.0,28.8,28.8,11100
51,1379,VE4,04/20/2021,26.2,26.2,26.2,26.2,2300
52,1380,VE4,04/22/2021,23.6,23.6,23.6,23.6,1400
53,1381,VE4,04/23/2021,22.0,23.6,22.0,23.6,5100
54,1382,VE4,04/26/2021,21.5,21.5,21.5,21.5,1000
55,1383,VE4,04/27/2021,23.0,23.0,21.6,23.0,4800
56,1384,VE4,04/28/2021,25.3,25.3,25.3,25.3,900
57,1385,VE4,04/29/2021,25.3,25.3,25.3,25.3,0
58,1386,VE4,05/04/2021,22.8,24.3,22.8,24.3,5800
59,1387,VE4,05/05/2021,24.3,24.3,24.3,24.3,0
60,1388,VE4,05/06/2021,24.3,24.3,24.3,24.3,0
61,1389,VE4,05/07/2021,24.2,24.9,22.0,24.9,800
62,1390,VE4,05/10/2021,24.9,24.9,24.9,24.9,0
63,1391,VE4,05/11/2021,24.9,24.9,24.9,24.9,0
64,1392,VE4,05/12/2021,22.5,24.2,22.5,24.2,1300
65,1393,VE4,05/13/2021,22.2,23.9,21.9,23.9,1800
66,1394,VE4,05/14/2021,25.0,25.0,24.0,24.2,9000
67,1395,VE4,05/17/2021,24.2,24.2,24.2,24.2,0
68,1396,VE4,05/18/2021,24.1,25.9,24.1,25.9,1400
69,1397,VE4,05/19/2021,25.9,25.9,25.9,25.9,300
70,1398,VE4,05/20/2021,26.0,26.0,26.0,26.0,1100
71,1399,VE4,05/21/2021,26.0,26.0,26.0,26.0,800
72,1400,VE4,05/24/2021,23.5,26.6,23.4,26.6,9700
73,1401,VE4,05/25/2021,24.0,26.3,24.0,26.3,300
74,1402,VE4,05/26/2021,23.7,26.3,23.7,26.3,300
75,1403,VE4,05/27/2021,23.7,26.2,23.7,26.2,13700
76,1404,VE4,05/28/2021,23.6,26.2,23.6,26.2,3600
77,1405,VE4,05/31/2021,23.6,26.1,23.6,26.1,700
78,1406,VE4,06/01/2021,26.1,26.1,26.1,26.1,0
79,1407,VE4,06/02/2021,23.5,25.2,23.5,25.2,30600
80,1408,VE4,06/03/2021,23.0,23.0,23.0,23.0,13000
81,1409,VE4,06/04/2021,23.0,23.0,23.0,23.0,600
82,1410,VE4,06/07/2021,23.1,23.1,23.1,23.1,500
83,1411,VE4,06/08/2021,23.1,23.1,23.1,23.1,0
84,1412,VE4,06/09/2021,23.1,23.1,23.1,23.1,0
85,1413,VE4,06/10/2021,23.1,23.1,23.1,23.1,0
86,1414,VE4,06/11/2021,23.1,23.1,23.1,23.1,0
87,1415,VE4,06/14/2021,23.1,23.1,23.1,23.1,0
88,1416,VE4,06/15/2021,23.1,23.1,23.1,23.1,0
89,1417,VE4,06/16/2021,21.0,21.0,21.0,21.0,200
90,1418,VE4,06/17/2021,23.0,23.0,23.0,23.0,600
91,1419,VE4,06/18/2021,25.2,25.2,21.0,21.0,2700
92,1420,VE4,06/21/2021,21.0,21.0,21.0,21.0,200
93,1421,VE4,06/22/2021,22.9,22.9,22.9,22.9,100
94,1422,VE4,06/23/2021,22.9,22.9,22.9,22.9,0
95,1423,VE4,06/24/2021,22.7,25.1,22.0,22.0,23300
96,1424,VE4,06/25/2021,23.9,23.9,22.1,22.1,1600
97,1425,VE4,06/28/2021,23.0,24.3,21.0,21.0,9800
98,1426,VE4,06/29/2021,22.8,22.8,22.8,22.8,200
99,1427,VE4,06/30/2021,22.8,22.8,22.8,22.8,0
100,1428,VE4,07/01/2021,22.8,22.8,22.8,22.8,0
101,1429,VE4,07/02/2021,22.8,22.8,22.8,22.8,0
102,1430,VE4,07/05/2021,21.1,22.5,21.1,22.5,1200
103,1431,VE4,07/06/2021,22.5,22.5,22.5,22.5,0
104,1432,VE4,07/07/2021,22.5,22.5,22.5,22.5,0
105,1433,VE4,07/08/2021,20.3,22.3,20.3,22.3,1000
106,1434,VE4,07/09/2021,22.3,22.3,22.3,22.3,0
107,1435,VE4,07/12/2021,22.3,22.3,22.3,22.3,0
108,1436,VE4,07/13/2021,22.3,22.3,22.3,22.3,0
109,1437,VE4,07/14/2021,22.3,22.3,22.3,22.3,0
110,1438,VE4,07/15/2021,22.3,22.3,22.3,22.3,0
111,1439,VE4,07/16/2021,22.3,22.3,22.3,22.3,0
112,1440,VE4,07/19/2021,22.3,22.3,22.3,22.3,0
113,1441,VE4,07/20/2021,22.3,22.3,22.3,22.3,0
114,1442,VE4,07/21/2021,22.3,22.3,22.3,22.3,0
115,1443,VE4,07/22/2021,22.3,22.3,22.3,22.3,0
116,1444,VE4,07/23/2021,22.3,22.3,22.3,22.3,0
117,1445,VE4,07/26/2021,22.3,22.3,22.3,22.3,0
118,1446,VE4,07/27/2021,22.3,22.3,22.3,22.3,0
119,1447,VE4,07/28/2021,22.3,22.3,22.3,22.3,0
120,1448,VE4,07/29/2021,22.3,22.3,22.3,22.3,0
121,1449,VE4,07/30/2021,22.3,22.3,22.3,22.3,0
122,1450,VE4,08/02/2021,22.3,22.3,22.3,22.3,0
123,1451,VE4,08/03/2021,20.2,20.2,20.2,20.2,1100
124,1452,VE4,08/04/2021,20.2,20.2,19.0,19.0,300
125,1453,VE4,08/05/2021,20.8,20.8,20.8,20.8,200
126,1454,VE4,08/06/2021,20.6,20.6,20.6,20.6,100
127,1455,VE4,08/09/2021,20.6,20.6,20.6,20.6,0
128,1456,VE4,08/10/2021,22.2,22.6,20.8,20.8,9300
129,1457,VE4,08/11/2021,22.8,22.8,22.8,22.8,200
130,1458,VE4,08/12/2021,25.0,25.0,21.4,21.4,600
131,1459,VE4,08/13/2021,23.4,23.4,23.4,23.4,100
132,1460,VE4,08/16/2021,25.7,25.7,25.7,25.7,6000
133,1461,VE4,08/17/2021,25.7,25.7,25.7,25.7,0
134,1462,VE4,08/18/2021,25.7,25.7,25.7,25.7,500
135,1463,VE4,08/19/2021,25.7,25.7,25.7,25.7,0
136,1464,VE4,08/20/2021,27.9,28.2,27.9,28.2,200
137,1465,VE4,08/23/2021,26.0,26.0,26.0,26.0,1000
138,1466,VE4,08/24/2021,28.4,28.6,28.4,28.6,5600
139,1467,VE4,08/25/2021,28.6,28.6,28.6,28.6,0
140,1468,VE4,08/26/2021,31.4,31.4,25.8,31.4,10400
141,1469,VE4,08/27/2021,34.0,34.5,34.0,34.5,5600
142,1470,VE4,08/30/2021,34.6,35.5,34.6,34.6,5900
143,1471,VE4,08/31/2021,31.6,31.6,31.6,31.6,100
144,1472,VE4,09/01/2021,28.5,28.5,28.5,28.5,200
145,1473,VE4,09/06/2021,25.9,25.9,25.9,25.9,100
146,1474,VE4,09/07/2021,24.2,24.2,24.2,24.2,3000
147,1475,VE4,09/08/2021,22.1,26.6,22.1,26.6,23300
148,1476,VE4,09/09/2021,29.2,29.2,29.2,29.2,7000
149,1477,VE4,09/10/2021,29.2,29.2,29.2,29.2,0
150,1478,VE4,09/13/2021,29.2,29.2,29.2,29.2,0
151,1479,VE4,09/14/2021,29.0,29.0,29.0,29.0,3000
152,1480,VE4,09/15/2021,28.8,29.0,28.8,29.0,18100
153,1481,VE4,09/16/2021,28.2,28.3,28.2,28.3,31800
154,1482,VE4,09/17/2021,28.3,28.3,28.3,28.3,1400
155,1483,VE4,09/20/2021,26.1,26.1,25.5,25.7,4600
156,1484,VE4,09/21/2021,23.6,24.2,23.6,24.2,10500
157,1485,VE4,09/22/2021,23.3,23.3,23.3,23.3,300
158,1486,VE4,09/23/2021,23.2,23.2,23.2,23.2,4000
159,1487,VE4,09/24/2021,23.2,25.3,23.2,25.3,20600
160,1488,VE4,09/27/2021,27.8,27.8,27.8,27.8,100
161,1489,VE4,09/28/2021,30.5,30.5,30.5,30.5,100
162,1490,VE4,09/29/2021,33.4,33.4,33.4,33.4,100
163,1491,VE4,09/30/2021,30.2,36.7,30.2,36.7,12700
164,1492,VE4,10/01/2021,40.3,40.3,40.3,40.3,4000
165,1493,VE4,10/04/2021,40.3,40.3,40.3,40.3,0
166,1494,VE4,10/05/2021,36.3,44.3,36.3,44.0,12500
167,1495,VE4,10/06/2021,44.0,44.0,44.0,44.0,0
168,1496,VE4,10/07/2021,39.9,41.0,39.8,41.0,5600
169,1497,VE4,10/08/2021,37.5,40.6,36.9,39.0,8000
170,1498,VE4,10/11/2021,39.1,39.1,39.1,39.1,4400
