,index,Ticker,Date,Open,High,Low,Close,Volume
0,51,CACB2206,12/02/2022,0.19,0.28,0.16,0.26,985500
1,75,CACB2205,12/05/2022,0.2,0.28,0.18,0.22,440400
2,52,CACB2206,12/05/2022,0.2,0.36,0.2,0.3,1132200
3,52,CACB2207,12/05/2022,0.55,0.59,0.45,0.49,446500
4,76,CACB2205,12/06/2022,0.21,0.21,0.05,0.05,366200
5,53,CACB2206,12/06/2022,0.29,0.3,0.17,0.17,726700
6,53,CACB2207,12/06/2022,0.5,0.5,0.37,0.37,150200
7,54,CACB2206,12/07/2022,0.17,0.92,0.11,0.13,1348300
8,77,CACB2205,12/07/2022,0.05,0.05,0.01,0.02,383500
9,54,CACB2207,12/07/2022,0.37,0.38,0.31,0.31,196200
10,55,CACB2207,12/08/2022,0.43,0.49,0.33,0.41,387800
11,55,CACB2206,12/08/2022,0.15,0.3,0.13,0.18,560000
12,78,CACB2205,12/08/2022,0.02,0.04,0.01,0.02,80400
13,56,CACB2206,12/09/2022,0.18,0.38,0.1,0.15,413400
14,56,CACB2207,12/09/2022,0.39,0.42,0.36,0.41,118900
15,57,CACB2207,12/12/2022,0.4,0.42,0.35,0.36,56700
16,57,CACB2206,12/12/2022,0.15,0.15,0.09,0.11,293100
17,58,CACB2207,12/13/2022,0.36,0.37,0.3,0.36,401900
18,58,CACB2206,12/13/2022,0.09,0.13,0.08,0.13,826800
19,59,CACB2206,12/14/2022,0.18,0.18,0.12,0.12,326200
20,59,CACB2207,12/14/2022,0.38,0.39,0.34,0.34,211900
21,60,CACB2206,12/15/2022,0.11,0.16,0.1,0.13,131000
22,60,CACB2207,12/15/2022,0.39,0.42,0.37,0.39,520100
23,61,CACB2206,12/16/2022,0.14,0.14,0.09,0.1,53300
24,61,CACB2207,12/16/2022,0.44,0.44,0.36,0.36,239600
25,62,CACB2206,12/19/2022,0.1,0.1,0.07,0.07,199700
26,62,CACB2207,12/19/2022,0.36,0.38,0.34,0.36,273000
27,63,CACB2206,12/20/2022,0.07,0.07,0.04,0.06,213900
28,63,CACB2207,12/20/2022,0.38,0.38,0.29,0.33,332200
29,64,CACB2206,12/21/2022,0.06,0.06,0.03,0.04,663900
30,64,CACB2207,12/21/2022,0.36,0.37,0.3,0.31,473400
31,65,CACB2206,12/22/2022,0.05,0.05,0.02,0.04,400000
32,65,CACB2207,12/22/2022,0.37,0.37,0.32,0.32,100700
33,66,CACB2207,12/23/2022,0.34,0.34,0.29,0.31,156500
34,66,CACB2206,12/23/2022,0.03,0.03,0.01,0.02,378000
35,67,CACB2207,12/26/2022,0.32,0.35,0.25,0.28,564400
36,67,CACB2206,12/26/2022,0.02,0.02,0.01,0.01,36800
37,68,CACB2207,12/27/2022,0.29,0.29,0.22,0.25,533000
38,68,CACB2206,12/27/2022,0.01,0.01,0.01,0.01,7500
39,69,CACB2207,12/28/2022,0.25,0.28,0.2,0.25,226600
40,69,CACB2206,12/28/2022,0.01,0.01,0.01,0.01,1200
41,70,CACB2206,12/29/2022,0.01,0.01,0.01,0.01,124300
42,70,CACB2207,12/29/2022,0.27,0.27,0.19,0.25,371800
43,71,CACB2207,12/30/2022,0.28,0.28,0.2,0.2,754700
44,72,CACB2207,01/03/2023,0.21,0.25,0.2,0.24,349300
45,73,CACB2207,01/04/2023,0.27,0.28,0.24,0.24,769700
46,74,CACB2207,01/05/2023,0.26,0.28,0.25,0.28,472800
47,75,CACB2207,01/06/2023,0.28,0.3,0.26,0.29,391200
48,76,CACB2207,01/09/2023,0.3,0.3,0.27,0.28,150900
49,77,CACB2207,01/10/2023,0.28,0.3,0.25,0.3,567400
50,78,CACB2207,01/11/2023,0.32,0.38,0.3,0.38,778000
51,79,CACB2207,01/12/2023,0.38,0.41,0.37,0.39,658800
52,80,CACB2207,01/13/2023,0.4,0.42,0.32,0.34,279300
53,81,CACB2207,01/16/2023,0.37,0.39,0.33,0.39,599200
54,0,CACB2208,01/17/2023,1.6,1.65,1.6,1.65,2000
55,82,CACB2207,01/17/2023,0.39,0.42,0.39,0.42,1148800
56,83,CACB2207,01/18/2023,0.42,0.5,0.42,0.48,488200
57,1,CACB2208,01/18/2023,1.66,1.72,1.63,1.72,54900
58,84,CACB2207,01/19/2023,0.48,0.49,0.45,0.49,133200
59,2,CACB2208,01/19/2023,1.74,1.74,1.74,1.74,15000
60,85,CACB2207,01/27/2023,0.52,0.54,0.49,0.5,499600
61,3,CACB2208,01/27/2023,1.82,1.82,1.75,1.75,200
62,86,CACB2207,01/30/2023,0.51,0.51,0.41,0.42,350000
63,4,CACB2208,01/30/2023,1.7,1.7,1.53,1.53,2800
64,5,CACB2208,01/31/2023,1.53,1.53,1.53,1.53,0
65,87,CACB2207,01/31/2023,0.41,0.46,0.36,0.46,358700
66,6,CACB2208,02/01/2023,1.78,1.79,1.47,1.47,18400
67,88,CACB2207,02/01/2023,0.46,0.49,0.39,0.41,195500
68,7,CACB2208,02/02/2023,1.6,1.6,1.6,1.6,18500
69,89,CACB2207,02/02/2023,0.42,0.43,0.35,0.41,326000
70,8,CACB2208,02/03/2023,1.56,1.56,1.45,1.45,42000
71,90,CACB2207,02/03/2023,0.43,0.43,0.32,0.33,892800
72,91,CACB2207,02/06/2023,0.33,0.38,0.28,0.38,204000
73,9,CACB2208,02/06/2023,1.4,1.49,1.4,1.49,30500
74,92,CACB2207,02/07/2023,0.38,0.39,0.24,0.33,353700
75,10,CACB2208,02/07/2023,1.49,1.49,1.36,1.36,1300
76,11,CACB2208,02/08/2023,1.46,1.56,1.36,1.36,3900
77,93,CACB2207,02/08/2023,0.33,0.34,0.26,0.34,283600
78,12,CACB2208,02/09/2023,1.5,1.52,1.46,1.46,19000
79,94,CACB2207,02/09/2023,0.28,0.32,0.26,0.29,502200
80,95,CACB2207,02/10/2023,0.29,0.3,0.25,0.27,148600
81,13,CACB2208,02/10/2023,1.45,1.46,1.45,1.46,45000
82,96,CACB2207,02/13/2023,0.27,0.27,0.15,0.21,386800
83,14,CACB2208,02/13/2023,1.36,1.36,1.31,1.31,96200
84,97,CACB2207,02/14/2023,0.24,0.24,0.15,0.19,189200
85,15,CACB2208,02/14/2023,1.37,1.37,1.3,1.3,4600
86,98,CACB2207,02/15/2023,0.22,0.24,0.15,0.2,225700
87,16,CACB2208,02/15/2023,1.3,1.43,1.3,1.4,15000
88,99,CACB2207,02/16/2023,0.24,0.29,0.22,0.25,193600
89,17,CACB2208,02/16/2023,1.45,1.45,1.45,1.45,11600
90,100,CACB2207,02/17/2023,0.28,0.28,0.23,0.25,206100
91,18,CACB2208,02/17/2023,1.48,1.49,1.44,1.45,21800
92,19,CACB2208,02/20/2023,1.5,1.66,1.5,1.66,10800
93,101,CACB2207,02/20/2023,0.27,0.33,0.26,0.33,631300
94,20,CACB2208,02/21/2023,1.99,1.99,1.6,1.6,52900
95,102,CACB2207,02/21/2023,0.37,0.37,0.29,0.29,151300
96,103,CACB2207,02/22/2023,0.34,0.34,0.25,0.26,169700
97,21,CACB2208,02/22/2023,1.55,1.6,1.55,1.6,60300
98,104,CACB2207,02/23/2023,0.23,0.32,0.19,0.32,749300
99,22,CACB2208,02/23/2023,1.43,1.45,1.36,1.38,31400
100,105,CACB2207,02/24/2023,0.32,0.32,0.22,0.27,172800
101,23,CACB2208,02/24/2023,1.45,1.45,1.45,1.45,100
102,106,CACB2207,02/27/2023,0.3,0.3,0.16,0.21,233500
103,24,CACB2208,02/27/2023,1.36,1.39,1.35,1.35,112100
104,107,CACB2207,02/28/2023,0.25,0.26,0.18,0.21,177900
105,25,CACB2208,02/28/2023,1.39,1.39,1.37,1.37,12400
106,26,CACB2208,03/01/2023,1.4,1.51,1.4,1.51,159000
107,108,CACB2207,03/01/2023,0.21,0.24,0.16,0.24,437700
108,109,CACB2207,03/02/2023,0.23,0.27,0.18,0.25,435200
109,27,CACB2208,03/02/2023,1.51,1.55,1.51,1.53,21800
110,110,CACB2207,03/03/2023,0.26,0.26,0.18,0.19,546100
111,28,CACB2208,03/03/2023,1.5,1.5,1.42,1.42,6600
112,111,CACB2207,03/06/2023,0.18,0.21,0.14,0.19,549800
113,29,CACB2208,03/06/2023,1.42,1.46,1.35,1.35,28600
114,112,CACB2207,03/07/2023,0.2,0.21,0.14,0.2,222600
115,30,CACB2208,03/07/2023,1.42,1.42,1.38,1.38,2100
116,113,CACB2207,03/08/2023,0.16,0.2,0.14,0.2,532700
117,31,CACB2208,03/08/2023,1.39,1.39,1.36,1.39,8200
118,32,CACB2208,03/09/2023,1.44,1.5,1.44,1.46,3800
119,114,CACB2207,03/09/2023,0.2,0.22,0.17,0.19,608100
120,115,CACB2207,03/10/2023,0.19,0.2,0.15,0.18,540700
121,33,CACB2208,03/10/2023,1.46,1.46,1.43,1.43,700
122,34,CACB2208,03/13/2023,1.3,1.44,1.25,1.37,33300
123,116,CACB2207,03/13/2023,0.18,0.18,0.11,0.14,392100
124,0,CACB2301,03/13/2023,1.3,1.3,1.3,1.3,0
125,117,CACB2207,03/14/2023,0.12,0.15,0.08,0.1,524500
126,35,CACB2208,03/14/2023,1.38,1.38,1.27,1.29,180200
127,1,CACB2301,03/14/2023,0.76,0.78,0.76,0.78,200
128,118,CACB2207,03/15/2023,0.1,0.13,0.1,0.12,220300
129,36,CACB2208,03/15/2023,1.37,1.43,1.37,1.41,12300
130,2,CACB2301,03/15/2023,0.65,0.83,0.65,0.83,300
131,119,CACB2207,03/16/2023,0.09,0.12,0.07,0.09,464800
132,37,CACB2208,03/16/2023,1.39,1.39,1.34,1.34,141300
