,index,Ticker,Date,Open,High,Low,Close,Volume
0,54,CMSN2309,11/10/2023,0.12,0.13,0.09,0.09,1440000
1,81,CMSN2307,11/10/2023,0.6,0.62,0.59,0.61,14800
2,103,CMSN2305,11/10/2023,0.36,0.37,0.36,0.36,13400
3,81,CMSN2306,11/10/2023,0.3,0.3,0.02,0.26,71500
4,5,CMSN2314,11/10/2023,0.4,0.4,0.4,0.4,1600
5,53,CMSN2311,11/10/2023,0.56,0.57,0.5,0.5,103100
6,9,CMSN2313,11/10/2023,0.75,0.82,0.75,0.77,321100
7,82,CMSN2306,11/13/2023,0.28,0.28,0.24,0.25,118000
8,6,CMSN2317,11/13/2023,1.91,1.91,1.9,1.9,300
9,104,CMSN2304,11/13/2023,0.07,0.07,0.03,0.06,128100
10,6,CMSN2316,11/13/2023,1.25,1.25,1.25,1.25,100
11,6,CMSN2314,11/13/2023,0.38,0.38,0.38,0.38,100
12,55,CMSN2309,11/13/2023,0.1,0.1,0.08,0.09,984100
13,6,CMSN2315,11/13/2023,0.56,0.56,0.56,0.56,100
14,82,CMSN2307,11/13/2023,0.61,0.61,0.61,0.61,0
15,54,CMSN2311,11/13/2023,0.56,0.56,0.51,0.53,158100
16,54,CMSN2310,11/13/2023,0.15,0.17,0.15,0.15,242600
17,105,CMSN2302,11/13/2023,1.48,1.48,1.41,1.48,2800
18,10,CMSN2313,11/13/2023,0.76,0.76,0.72,0.72,78900
19,104,CMSN2305,11/13/2023,0.37,0.37,0.33,0.33,6100
20,55,CMSN2308,11/13/2023,0.03,0.03,0.01,0.02,347000
21,41,CMSN2312,11/13/2023,0.2,0.2,0.19,0.2,63000
22,55,CMSN2311,11/14/2023,0.55,0.56,0.5,0.5,102100
23,83,CMSN2306,11/14/2023,0.25,0.28,0.25,0.25,74100
24,106,CMSN2302,11/14/2023,1.33,1.52,1.3,1.52,52400
25,83,CMSN2307,11/14/2023,0.64,0.64,0.61,0.61,26700
26,42,CMSN2312,11/14/2023,0.2,0.5,0.2,0.3,104300
27,105,CMSN2304,11/14/2023,0.07,0.07,0.03,0.05,43800
28,7,CMSN2316,11/14/2023,1.29,1.29,1.27,1.27,7800
29,7,CMSN2314,11/14/2023,0.39,0.39,0.36,0.36,29500
30,56,CMSN2308,11/14/2023,0.02,0.02,0.01,0.02,69500
31,7,CMSN2315,11/14/2023,0.57,0.57,0.57,0.57,100
