,index,Ticker,Date,Open,High,Low,Close,Volume
0,1081,DAH,02/02/2021,3.55,3.6,3.5,3.59,532500.0
1,1082,DAH,02/03/2021,3.61,3.76,3.54,3.71,528600.0
2,1083,DAH,02/04/2021,3.76,3.8,3.6,3.77,353800.0
3,1084,DAH,02/05/2021,3.77,3.81,3.7,3.81,413400.0
4,1085,DAH,02/08/2021,3.83,3.83,3.6,3.66,415000.0
5,1086,DAH,02/09/2021,3.66,3.8,3.66,3.8,338200.0
6,1087,DAH,02/17/2021,3.76,3.94,3.76,3.91,486400.0
7,1088,DAH,02/18/2021,3.95,3.95,3.65,3.91,479900.0
8,1089,DAH,02/19/2021,3.9,3.91,3.75,3.89,283600.0
9,1090,DAH,02/22/2021,3.82,3.9,3.82,3.88,446400.0
10,1091,DAH,02/23/2021,3.88,4.15,3.87,4.15,1271500.0
11,1092,DAH,02/24/2021,4.26,4.4,4.0,4.25,1352700.0
12,1093,DAH,02/25/2021,4.3,4.4,4.15,4.2,476000.0
13,1094,DAH,02/26/2021,3.95,4.2,3.95,4.18,339700.0
14,1095,DAH,03/01/2021,4.18,4.3,4.12,4.21,412400.0
15,1096,DAH,03/02/2021,4.3,4.3,4.17,4.2,286700.0
16,1097,DAH,03/03/2021,4.2,4.4,4.15,4.4,1312600.0
17,1098,DAH,03/04/2021,4.4,4.43,4.26,4.34,901600.0
18,1099,DAH,03/05/2021,4.3,4.36,4.26,4.36,307400.0
19,1100,DAH,03/08/2021,4.48,4.48,4.36,4.47,945900.0
20,1101,DAH,03/09/2021,4.48,4.7,4.39,4.65,1343500.0
21,1102,DAH,03/10/2021,4.71,4.97,4.65,4.97,2819300.0
22,1103,DAH,03/11/2021,5.0,5.29,5.0,5.22,2218700.0
23,1104,DAH,03/12/2021,5.23,5.43,5.23,5.36,1930000.0
24,1105,DAH,03/15/2021,5.41,5.73,5.41,5.73,2242000.0
25,1106,DAH,03/16/2021,6.13,6.13,5.85,5.9,2988800.0
26,1107,DAH,03/17/2021,5.72,6.21,5.6,5.64,2383400.0
27,1108,DAH,03/18/2021,5.6,5.75,5.4,5.54,1695600.0
28,1109,DAH,03/19/2021,5.4,5.5,5.3,5.49,1095900.0
29,1110,DAH,03/22/2021,5.5,5.87,5.5,5.87,1013200.0
30,1111,DAH,03/23/2021,6.28,6.28,6.0,6.28,3227000.0
31,1112,DAH,03/24/2021,6.25,6.65,6.0,6.3,1869300.0
32,1113,DAH,03/25/2021,6.34,6.45,6.1,6.18,1406200.0
33,1114,DAH,03/26/2021,5.82,6.14,5.75,5.9,2001600.0
