,index,Ticker,Date,Open,High,Low,Close,Volume
0,2130,FCN,02/02/2021,10.28654,10.86606,9.996776,10.72118,1786800.0
1,2131,FCN,02/03/2021,10.72118,11.10753,10.47971,10.96265,3019300.0
2,2132,FCN,02/04/2021,10.96265,11.44558,10.76947,11.05923,2225600.0
3,2133,FCN,02/05/2021,11.05923,11.44558,11.05923,11.25241,1410400.0
4,2134,FCN,02/08/2021,11.349,11.44558,10.5763,10.76947,2374900.0
5,2135,FCN,02/09/2021,10.76947,10.96265,10.62459,10.86606,1314500.0
6,2136,FCN,02/17/2021,11.10753,11.59046,11.01094,11.59046,1754500.0
7,2137,FCN,02/18/2021,11.59046,11.97681,11.49388,11.88023,2434000.0
8,2138,FCN,02/19/2021,11.68705,12.26657,11.68705,12.12169,2478900.0
9,2139,FCN,02/22/2021,12.16999,12.26657,11.92852,12.12169,2420800.0
10,2140,FCN,02/23/2021,12.12169,12.12169,11.88023,11.97681,1448500.0
11,2141,FCN,02/24/2021,11.97681,12.12169,11.54217,11.68705,2132600.0
12,2142,FCN,02/25/2021,11.68705,11.88023,11.39729,11.73534,1480500.0
13,2143,FCN,02/26/2021,11.39729,11.83193,11.39729,11.68705,1431400.0
14,2144,FCN,03/01/2021,11.88023,12.45975,11.78364,12.45975,2549500.0
15,2145,FCN,03/02/2021,12.8461,12.8461,12.36316,12.74951,3312400.0
16,2146,FCN,03/03/2021,12.8461,13.28074,12.8461,13.13586,5022500.0
17,2147,FCN,03/04/2021,13.13586,13.18415,12.41146,12.70122,2577900.0
18,2148,FCN,03/05/2021,12.50804,12.99098,12.36316,12.99098,2726100.0
19,2149,FCN,03/08/2021,13.28074,13.86026,13.13586,13.86026,9235300.0
20,2150,FCN,03/09/2021,13.86026,14.58467,13.71538,14.19832,6308500.0
21,2151,FCN,03/10/2021,14.19832,14.19832,13.81197,13.90856,3606700.0
22,2152,FCN,03/11/2021,14.05344,14.19832,13.81197,14.15002,5067500.0
23,2153,FCN,03/12/2021,14.15002,14.48808,14.05344,14.19832,5017300.0
24,2154,FCN,03/15/2021,14.19832,14.29491,14.05344,14.24661,3074200.0
25,2155,FCN,03/16/2021,14.29491,14.82614,14.15002,14.68125,6468200.0
26,2156,FCN,03/17/2021,14.77784,14.82614,14.29491,14.43979,2812600.0
