,index,Ticker,Date,Open,High,Low,Close,Volume
0,3498,FMC,02/02/2021,25.9889,26.7288,25.9889,26.68256,159800
1,3499,FMC,02/03/2021,26.68256,27.4687,26.63631,27.4687,280100
2,3500,FMC,02/04/2021,27.74616,28.02362,27.4687,28.02362,211900
3,3501,FMC,02/05/2021,28.57854,28.67103,28.16235,28.30108,131800
4,3502,FMC,02/08/2021,28.76352,28.85601,26.35885,27.28372,193900
5,3503,FMC,02/09/2021,27.28372,27.74616,27.23748,27.69992,137000
6,3504,FMC,02/17/2021,27.74616,28.85601,27.74616,28.85601,105800
7,3505,FMC,02/18/2021,28.94849,30.28956,28.80976,29.78088,202500
8,3506,FMC,02/19/2021,29.5959,30.79824,29.41093,30.15083,186000
9,3507,FMC,02/22/2021,30.52078,30.61326,30.19707,30.47453,171400
10,3508,FMC,02/23/2021,30.47453,30.70575,30.0121,30.52078,183300
11,3509,FMC,02/24/2021,30.42829,30.56702,30.05834,30.24331,136300
12,3510,FMC,02/25/2021,30.24331,30.52078,29.96585,30.15083,146800
13,3511,FMC,02/26/2021,29.78088,30.28956,29.78088,29.82712,155600
14,3512,FMC,03/01/2021,30.28956,31.44565,30.24331,31.26067,316200
15,3513,FMC,03/02/2021,31.58438,31.58438,29.08722,31.26067,212600
16,3514,FMC,03/03/2021,31.44565,31.72311,31.0757,31.63062,430800
17,3515,FMC,03/04/2021,31.8156,31.90808,30.56702,30.70575,235900
18,3516,FMC,03/05/2021,30.70575,30.98321,30.05834,30.79824,236400
19,3517,FMC,03/08/2021,31.44565,31.44565,30.79824,31.0757,199900
20,3518,FMC,03/09/2021,30.52078,31.16819,30.42829,30.70575,120800
21,3519,FMC,03/10/2021,30.52078,31.0757,30.52078,30.98321,189300
22,3520,FMC,03/11/2021,31.26067,31.3994,30.70575,31.35316,309900
23,3521,FMC,03/12/2021,32.04681,32.32428,31.63062,32.18555,502300
24,3522,FMC,03/15/2021,32.5555,34.40524,32.46301,34.31275,941200
25,3523,FMC,03/16/2021,34.22026,35.37635,34.22026,34.6827,563400
26,3524,FMC,03/17/2021,34.6827,34.96016,34.49773,34.54397,211400
27,3525,FMC,03/18/2021,34.86768,34.86768,33.89656,34.22026,278700
28,3526,FMC,03/19/2021,34.22026,34.22026,33.52661,33.66534,291900
29,3527,FMC,03/22/2021,33.66534,33.9428,32.92544,33.34164,164800
30,3528,FMC,03/23/2021,33.66534,33.9428,33.01793,33.48037,210500
31,3529,FMC,03/24/2021,32.92544,32.97169,31.8156,31.8156,231300
32,3530,FMC,03/25/2021,31.90808,32.46301,31.8156,31.95433,246000
33,3531,FMC,03/26/2021,32.46301,32.83295,31.35316,32.46301,235700
34,3532,FMC,03/29/2021,32.46301,33.15666,32.46301,32.92544,94100
35,3533,FMC,03/30/2021,32.92544,33.01793,32.5555,32.83295,106400
36,3534,FMC,03/31/2021,32.46301,32.92544,32.46301,32.69423,125900
37,3535,FMC,04/01/2021,32.69423,34.17402,32.18555,33.89656,352500
38,3536,FMC,04/02/2021,33.89656,34.08153,33.2029,33.75783,211600
39,3537,FMC,04/05/2021,31.90808,33.75783,31.90808,32.5555,197200
40,3538,FMC,04/06/2021,32.5555,33.2029,32.37052,32.5555,235800
41,3539,FMC,04/07/2021,32.09306,32.64798,31.90808,32.60174,177400
42,3540,FMC,04/08/2021,32.74047,32.92544,32.09306,32.83295,113700
43,3541,FMC,04/09/2021,32.18555,32.83295,32.18555,32.69423,81000
44,3542,FMC,04/12/2021,32.41676,32.69423,32.27803,32.37052,179900
45,3543,FMC,04/13/2021,32.37052,32.50925,31.90808,31.90808,104600
46,3544,FMC,04/14/2021,32.09306,32.09306,31.26067,31.90808,261500
47,3545,FMC,04/15/2021,32.09306,32.18555,31.44565,31.58438,181800
48,3546,FMC,04/16/2021,31.86184,31.86184,30.79824,30.98321,119200
49,3547,FMC,04/19/2021,30.75199,30.79824,30.52078,30.65951,131300
50,3548,FMC,04/20/2021,30.65951,31.16819,30.65951,30.89072,128600
