,index,Ticker,Date,Open,High,Low,Close,Volume
0,1234,KPF,02/02/2021,10.03734,10.65576,9.942204,10.46548,13100
1,1235,KPF,02/03/2021,9.989774,10.46548,9.894632,10.46548,5600
2,1236,KPF,02/04/2021,9.894632,10.46548,9.894632,10.2752,2800
3,1237,KPF,02/05/2021,10.08491,10.98875,9.989774,10.98875,7500
4,1238,KPF,02/08/2021,11.70231,11.70231,10.46548,11.32174,5800
5,1239,KPF,02/09/2021,10.56062,11.70231,10.56062,11.70231,13200
6,1240,KPF,02/17/2021,11.51202,11.94016,10.94118,11.89259,2500
7,1241,KPF,02/18/2021,11.79745,11.89259,11.13146,11.89259,4100
8,1242,KPF,02/19/2021,11.2266,11.51202,11.13146,11.51202,6600
9,1243,KPF,02/22/2021,11.32174,11.32174,10.7509,10.7509,13700
10,1244,KPF,02/23/2021,10.56062,11.2266,10.46548,10.46548,39100
11,1245,KPF,02/24/2021,10.46548,10.7509,10.18005,10.46548,15500
12,1246,KPF,02/25/2021,10.46548,10.84604,10.18005,10.46548,8000
13,1247,KPF,02/26/2021,9.799492,10.46548,9.799492,10.13248,6300
14,1248,KPF,03/01/2021,10.13248,10.79847,9.989774,10.08491,38600
15,1249,KPF,03/02/2021,10.08491,10.41791,10.08491,10.08491,39500
16,1250,KPF,03/03/2021,10.08491,10.18005,9.989774,10.13248,38800
17,1251,KPF,03/04/2021,10.13248,10.18005,9.989774,10.13248,10500
18,1252,KPF,03/05/2021,10.13248,10.18005,9.989774,10.13248,18700
19,1253,KPF,03/08/2021,10.13248,10.22762,9.989774,10.13248,78300
20,1254,KPF,03/09/2021,10.08491,10.13248,9.894632,10.13248,50300
21,1255,KPF,03/10/2021,10.13248,10.18005,9.989774,10.13248,100800
22,1256,KPF,03/11/2021,10.18005,10.79847,10.18005,10.79847,102500
23,1257,KPF,03/12/2021,11.51202,11.51202,11.51202,11.51202,114400
24,1258,KPF,03/15/2021,12.27315,12.27315,12.27315,12.27315,88300
25,1259,KPF,03/16/2021,13.12942,13.12942,13.12942,13.12942,113800
26,1260,KPF,03/17/2021,14.03325,14.03325,14.03325,14.03325,65600
27,1261,KPF,03/18/2021,14.98466,14.98466,13.08185,13.7954,232200
28,1262,KPF,03/19/2021,12.93914,13.41484,12.84399,13.22456,73900
29,1263,KPF,03/22/2021,12.55857,13.22456,12.32072,12.74885,27800
30,1264,KPF,03/23/2021,12.08287,12.65371,11.89259,11.98773,49100
31,1265,KPF,03/24/2021,12.36829,12.79642,11.89259,12.79642,53100
32,1266,KPF,03/25/2021,13.41484,13.41484,12.74885,12.84399,25200
33,1267,KPF,03/26/2021,12.0353,12.65371,11.98773,12.08287,8600
34,1268,KPF,03/29/2021,12.36829,12.79642,12.08287,12.65371,9400
35,1269,KPF,03/30/2021,12.65371,12.65371,11.98773,12.46343,28800
36,1270,KPF,03/31/2021,11.79745,12.36829,11.79745,11.79745,22400
37,1271,KPF,04/01/2021,11.79745,12.08287,11.51202,11.70231,31200
38,1272,KPF,04/02/2021,11.70231,12.46343,11.70231,11.98773,10700
39,1273,KPF,04/05/2021,12.17801,12.65371,11.98773,12.65371,43000
40,1274,KPF,04/06/2021,12.65371,12.65371,11.79745,12.27315,32500
41,1275,KPF,04/07/2021,12.27315,12.46343,11.70231,12.46343,11300
42,1276,KPF,04/08/2021,12.36829,12.55857,11.98773,12.55857,23600
43,1277,KPF,04/09/2021,12.55857,12.55857,12.17801,12.27315,28900
44,1278,KPF,04/12/2021,12.27315,12.46343,12.08287,12.27315,22100
45,1279,KPF,04/13/2021,12.22558,12.32072,12.17801,12.27315,15300
46,1280,KPF,04/14/2021,11.84502,12.27315,11.79745,12.27315,9600
47,1281,KPF,04/15/2021,12.65371,12.65371,11.84502,12.08287,8600
48,1282,KPF,04/16/2021,11.98773,11.98773,11.60717,11.84502,36200
49,1283,KPF,04/19/2021,11.84502,11.84502,11.84502,11.84502,20900
50,1284,KPF,04/20/2021,11.84502,11.89259,11.70231,11.89259,11800
51,1285,KPF,04/22/2021,11.79745,11.79745,11.60717,11.60717,14500
52,1286,KPF,04/23/2021,11.41688,11.60717,10.94118,11.60717,9000
53,1287,KPF,04/26/2021,11.60717,11.60717,11.41688,11.41688,22000
54,1288,KPF,04/27/2021,11.41688,11.89259,11.41688,11.46445,7600
55,1289,KPF,04/28/2021,11.89259,11.89259,11.51202,11.79745,9400
56,1290,KPF,04/29/2021,11.70231,11.70231,11.70231,11.70231,2000
57,1291,KPF,05/04/2021,11.46445,11.46445,11.36931,11.36931,7600
58,1292,KPF,05/05/2021,11.36931,11.41688,11.36931,11.41688,700
59,1293,KPF,05/06/2021,11.32174,11.41688,11.32174,11.41688,14200
60,1294,KPF,05/07/2021,10.94118,11.03632,10.7509,10.94118,15200
61,1295,KPF,05/10/2021,11.32174,11.32174,11.13146,11.13146,500
62,1296,KPF,05/11/2021,10.46548,11.32174,10.46548,11.32174,1400
63,1297,KPF,05/12/2021,11.27417,11.27417,10.56062,11.27417,4500
64,1298,KPF,05/13/2021,11.27417,11.27417,10.70333,11.2266,10900
65,1299,KPF,05/14/2021,11.32174,11.41688,10.94118,11.32174,1700
66,1300,KPF,05/17/2021,11.32174,11.32174,11.32174,11.32174,3000
67,1301,KPF,05/18/2021,11.27417,11.27417,10.89361,11.2266,1600
68,1302,KPF,05/19/2021,10.65576,11.2266,10.56062,11.2266,3700
69,1303,KPF,05/20/2021,10.65576,11.2266,10.65576,10.7509,900
70,1304,KPF,05/21/2021,10.94118,10.94118,10.7509,10.84604,1900
71,1305,KPF,05/24/2021,10.7509,10.84604,10.46548,10.65576,1700
72,1306,KPF,05/25/2021,10.18005,10.46548,10.08491,10.46548,59400
73,1307,KPF,05/26/2021,10.46548,10.46548,10.03734,10.46548,32400
74,1308,KPF,05/27/2021,10.46548,10.46548,9.989774,10.37034,54800
75,1309,KPF,05/28/2021,9.942204,10.37034,9.894632,10.18005,4700
76,1310,KPF,05/31/2021,9.894632,9.989774,9.799492,9.894632,3500
77,1311,KPF,06/01/2021,9.894632,10.37034,9.51407,9.609211,13700
78,1312,KPF,06/02/2021,9.609211,9.989774,9.609211,9.704351,27400
79,1313,KPF,06/03/2021,9.704351,9.847062,9.704351,9.799492,20400
80,1314,KPF,06/04/2021,9.704351,9.799492,9.704351,9.799492,23900
81,1315,KPF,06/07/2021,9.799492,9.799492,9.704351,9.751922,24400
82,1316,KPF,06/08/2021,9.704351,9.704351,9.51407,9.704351,61800
83,1317,KPF,06/09/2021,9.51407,9.51407,9.323789,9.51407,35100
84,1318,KPF,06/10/2021,9.495042,9.751922,9.323789,9.751922,50400
85,1319,KPF,06/11/2021,9.751922,9.751922,9.51407,9.751922,12800
86,1320,KPF,06/14/2021,9.751922,9.751922,9.323789,9.704351,24200
87,1321,KPF,06/15/2021,9.751922,9.751922,9.371359,9.704351,8200
88,1322,KPF,06/16/2021,9.51407,9.751922,9.51407,9.704351,14500
89,1323,KPF,06/17/2021,9.704351,9.799492,9.704351,9.799492,33300
90,1324,KPF,06/18/2021,9.847062,10.46548,9.847062,10.46548,54200
91,1325,KPF,06/21/2021,10.56062,11.08389,10.56062,10.7509,18900
92,1326,KPF,06/22/2021,10.7509,10.7509,10.08491,10.56062,19700
93,1327,KPF,06/23/2021,10.03734,10.18005,9.894632,9.989774,24400
94,1328,KPF,06/24/2021,9.989774,10.08491,9.751922,10.08491,22800
95,1329,KPF,06/25/2021,10.2752,10.2752,9.51407,10.08491,8300
96,1330,KPF,06/28/2021,9.609211,9.847062,9.609211,9.799492,5100
97,1331,KPF,06/29/2021,9.799492,9.847062,9.704351,9.704351,6800
98,1332,KPF,06/30/2021,9.609211,9.799492,9.51407,9.799492,19500
99,1333,KPF,07/01/2021,9.704351,9.799492,9.51407,9.799492,12100
100,1334,KPF,07/02/2021,9.799492,9.894632,9.751922,9.894632,7600
101,1335,KPF,07/05/2021,9.894632,9.989774,9.609211,9.989774,4100
102,1336,KPF,07/06/2021,9.894632,9.894632,9.609211,9.751922,9400
103,1337,KPF,07/07/2021,9.561641,9.704351,9.152535,9.704351,16300
