,index,Ticker,Date,Open,High,Low,Close,Volume
0,937,MIG,02/02/2021,10.9804,10.9804,10.61439,10.9072,132100
1,938,MIG,02/03/2021,10.9804,11.63923,10.9804,11.63923,188400
2,939,MIG,02/04/2021,12.00524,12.00524,11.56603,11.63923,146800
3,940,MIG,02/05/2021,11.93204,11.93204,11.49282,11.56603,236100
4,941,MIG,02/08/2021,11.56603,11.56603,11.20001,11.27322,176400
5,942,MIG,02/09/2021,11.27322,11.63923,11.27322,11.60263,142700
6,943,MIG,02/17/2021,11.60263,12.07845,11.60263,12.04184,163200
7,944,MIG,02/18/2021,12.07845,12.26145,12.04184,12.26145,344200
8,945,MIG,02/19/2021,12.26145,12.51766,12.15165,12.44446,198400
9,946,MIG,02/22/2021,12.44446,13.03008,12.44446,12.66407,332200
10,947,MIG,02/23/2021,12.66407,12.81047,12.44446,12.66407,179600
11,948,MIG,02/24/2021,12.66407,12.73727,12.37126,12.40786,250700
12,949,MIG,02/25/2021,12.40786,12.51766,12.37126,12.40786,130300
13,950,MIG,02/26/2021,12.29805,12.29805,12.00524,12.26145,309200
14,951,MIG,03/01/2021,12.26145,12.33465,12.07845,12.22485,451600
15,952,MIG,03/02/2021,12.40786,12.40786,12.15165,12.26145,178700
16,953,MIG,03/03/2021,12.00524,12.44446,12.00524,12.26145,234500
17,954,MIG,03/04/2021,12.40786,12.40786,12.00524,12.15165,109900
18,955,MIG,03/05/2021,12.15165,12.40786,12.07845,12.26145,144000
19,956,MIG,03/08/2021,12.37126,12.44446,12.22485,12.33465,234200
20,957,MIG,03/09/2021,12.33465,12.37126,12.22485,12.33465,159300
21,958,MIG,03/10/2021,12.33465,13.17649,12.33465,13.17649,2139100
22,959,MIG,03/11/2021,13.5425,13.5425,13.13988,13.13988,679100
23,960,MIG,03/12/2021,13.32289,13.32289,13.03008,13.10328,428500
24,961,MIG,03/15/2021,12.95688,13.03008,12.81047,12.81047,499000
25,962,MIG,03/16/2021,12.81047,12.88368,12.66407,12.77387,246900
26,963,MIG,03/17/2021,12.95688,13.03008,12.77387,12.92028,359200
27,964,MIG,03/18/2021,13.03008,13.03008,12.73727,12.81047,325800
28,965,MIG,03/19/2021,12.81047,12.84707,12.66407,12.84707,355900
29,966,MIG,03/22/2021,12.84707,12.88368,12.70067,12.73727,246700
30,967,MIG,03/23/2021,12.62747,12.73727,12.37126,12.59086,180200
31,968,MIG,03/24/2021,12.44446,12.51766,11.78563,12.11505,396700
32,969,MIG,03/25/2021,11.93204,12.15165,11.78563,12.04184,492700
33,970,MIG,03/26/2021,12.04184,12.15165,11.71243,12.00524,379700
34,971,MIG,03/29/2021,12.15165,12.15165,11.96864,12.11505,162800
35,972,MIG,03/30/2021,12.15165,12.22485,12.00524,12.11505,156400
36,973,MIG,03/31/2021,12.11505,12.11505,11.96864,12.07845,185800
37,974,MIG,04/01/2021,12.00524,12.15165,11.96864,12.15165,106100
38,975,MIG,04/02/2021,12.22485,12.37126,12.07845,12.15165,189200
39,976,MIG,04/05/2021,12.15165,12.44446,12.15165,12.37126,260500
40,977,MIG,04/06/2021,12.37126,12.51766,12.29805,12.40786,209300
41,978,MIG,04/07/2021,12.51766,12.73727,12.44446,12.59086,207300
42,979,MIG,04/08/2021,12.59086,12.73727,12.59086,12.70067,198000
43,980,MIG,04/09/2021,12.70067,12.81047,12.62747,12.62747,222300
44,981,MIG,04/12/2021,12.62747,12.73727,12.59086,12.59086,354000
45,982,MIG,04/13/2021,12.59086,12.66407,12.29805,12.29805,314500
46,983,MIG,04/14/2021,12.15165,12.40786,12.07845,12.29805,328100
47,984,MIG,04/15/2021,12.44446,12.51766,12.26145,12.37126,265300
