,index,Ticker,Date,Open,High,Low,Close,Volume
0,1516,NCT,02/01/2021,51.65065,51.65065,50.52291,51.12437,27800
1,1517,NCT,02/02/2021,51.12437,51.12437,49.92144,50.22218,105500
2,1518,NCT,02/03/2021,50.22218,51.50029,50.22218,51.19955,23300
3,1519,NCT,02/04/2021,51.50029,51.8762,51.12437,51.72583,11500
4,1520,NCT,02/05/2021,51.80102,51.80102,51.57547,51.57547,12300
5,1521,NCT,02/08/2021,51.57547,51.65065,51.19955,51.27474,19600
6,1522,NCT,02/09/2021,51.27474,52.25212,51.19955,51.57547,60900
7,1523,NCT,02/17/2021,51.57547,52.70321,51.57547,52.25212,38100
8,1524,NCT,02/18/2021,52.62803,52.7784,51.57547,52.25212,56700
9,1525,NCT,02/19/2021,52.25212,52.62803,51.8762,51.8762,56200
10,1526,NCT,02/22/2021,53.22949,53.37986,52.70321,53.30468,33800
11,1527,NCT,02/23/2021,53.07913,53.37986,53.07913,53.22949,39900
12,1528,NCT,02/24/2021,53.22949,53.68059,53.22949,53.45504,50300
13,1529,NCT,02/25/2021,53.60541,54.20687,53.60541,53.98132,41800
14,1530,NCT,02/26/2021,53.98132,53.98132,53.68059,53.98132,38700
15,1531,NCT,03/01/2021,53.98132,54.20687,53.98132,54.20687,34200
16,1532,NCT,03/02/2021,54.20687,54.43242,54.20687,54.28205,18700
17,1533,NCT,03/03/2021,55.48498,56.08644,55.4098,55.63535,170800
18,1534,NCT,03/04/2021,56.76309,56.76309,55.56016,55.71053,92100
19,1535,NCT,03/05/2021,55.93608,55.93608,55.4098,55.48498,53400
20,1536,NCT,03/08/2021,55.48498,55.63535,55.4098,55.63535,138900
21,1537,NCT,03/09/2021,55.56016,55.71053,55.48498,55.56016,68600
22,1538,NCT,03/10/2021,55.63535,55.71053,55.48498,55.56016,45800
23,1539,NCT,03/11/2021,55.71053,56.01126,55.63535,55.78571,80700
24,1540,NCT,03/12/2021,55.78571,55.86089,55.56016,55.78571,94200
25,1541,NCT,03/15/2021,56.41243,56.41243,56.02068,56.17738,69700
26,1542,NCT,03/16/2021,56.33408,56.33408,55.70728,55.94233,52700
27,1543,NCT,03/17/2021,55.94233,56.17738,55.55058,55.55058,95800
28,1544,NCT,03/18/2021,56.02068,56.02068,55.47223,55.62893,43200
29,1545,NCT,03/19/2021,55.62893,55.78563,55.55058,55.78563,32100
30,1546,NCT,03/22/2021,55.62893,55.78563,55.55058,55.78563,43300
31,1547,NCT,03/23/2021,56.33408,56.33408,55.78563,55.86398,46000
32,1548,NCT,03/24/2021,55.78563,55.94233,55.62893,55.78563,72300
33,1549,NCT,03/25/2021,55.78563,55.78563,55.62893,55.78563,37800
34,1550,NCT,03/26/2021,55.70728,55.70728,55.15882,55.31553,58800
35,1551,NCT,03/29/2021,55.39388,55.94233,55.15882,55.94233,25000
36,1552,NCT,03/30/2021,55.62893,55.94233,55.62893,55.78563,18000
37,1553,NCT,03/31/2021,55.94233,56.09903,55.78563,55.78563,34100
38,1554,NCT,04/01/2021,55.78563,56.09903,55.78563,56.02068,13400
39,1555,NCT,04/02/2021,56.02068,56.25573,56.02068,56.17738,14500
40,1556,NCT,04/05/2021,56.25573,56.33408,56.02068,56.02068,42800
41,1557,NCT,04/06/2021,56.02068,56.17738,56.02068,56.17738,25500
42,1558,NCT,04/07/2021,56.02068,56.25573,56.02068,56.17738,28800
43,1559,NCT,04/08/2021,56.17738,56.41243,56.17738,56.33408,18000
44,1560,NCT,04/09/2021,56.25573,56.41243,56.25573,56.33408,15100
45,1561,NCT,04/12/2021,57.19594,57.74439,56.96089,57.74439,112400
46,1562,NCT,04/13/2021,57.58769,57.82274,57.19594,57.19594,27500
47,1563,NCT,04/14/2021,57.19594,57.19594,55.86398,57.19594,8700
48,1564,NCT,04/15/2021,57.19594,57.19594,56.80418,56.80418,14700
49,1565,NCT,04/16/2021,56.96089,57.03924,56.02068,56.25573,25700
50,1566,NCT,04/19/2021,56.33408,56.33408,55.78563,56.25573,25200
51,1567,NCT,04/20/2021,55.94233,56.64748,55.86398,56.02068,16100
52,1568,NCT,04/22/2021,56.02068,56.02068,55.62893,55.86398,21100
53,1569,NCT,04/23/2021,55.62893,55.86398,55.47223,55.86398,13700
