,index,Ticker,Date,Open,High,Low,Close,Volume
0,3335,NSC,01/20/2021,66.77025,66.77025,61.90073,66.02744,13000
1,3336,NSC,01/21/2021,65.94491,65.94491,64.54182,65.2021,23300
2,3337,NSC,01/22/2021,65.2021,66.02744,65.2021,65.36716,10200
3,3338,NSC,01/25/2021,65.2021,65.2021,62.72607,65.2021,4500
4,3339,NSC,01/26/2021,64.78943,66.02744,64.37675,64.37675,7400
5,3340,NSC,01/27/2021,63.13874,63.63395,63.13874,63.55141,3300
6,3341,NSC,01/28/2021,60.66271,63.55141,59.17709,59.17709,36200
7,3342,NSC,01/29/2021,59.09456,62.72607,55.29798,62.64353,6100
8,3343,NSC,02/01/2021,59.83737,60.08497,58.35175,58.59935,29900
9,3344,NSC,02/02/2021,57.0312,59.34216,57.0312,59.34216,10900
10,3345,NSC,02/03/2021,60.66271,60.66271,59.01202,60.41511,4800
11,3346,NSC,02/04/2021,60.41511,60.41511,59.4247,60.33257,7900
12,3347,NSC,02/05/2021,60.66271,61.65312,60.00244,60.00244,10400
13,3348,NSC,02/08/2021,60.00244,61.40552,60.00244,60.66271,9900
14,3349,NSC,02/09/2021,60.66271,61.48805,60.66271,61.48805,2100
15,3350,NSC,02/17/2021,58.84695,61.73566,58.84695,61.65312,6900
16,3351,NSC,02/18/2021,61.65312,61.65312,61.07538,61.48805,6900
17,3352,NSC,02/19/2021,61.07538,61.48805,60.91031,61.48805,7300
18,3353,NSC,02/22/2021,61.48805,62.72607,61.48805,62.3134,17200
19,3354,NSC,02/23/2021,62.47847,63.13874,62.3134,62.97367,3500
20,3355,NSC,02/24/2021,60.33257,63.30381,60.33257,62.39593,2600
21,3356,NSC,02/25/2021,62.72607,63.38634,62.39593,62.39593,8400
22,3357,NSC,02/26/2021,62.72607,62.72607,62.39593,62.72607,6600
23,3358,NSC,03/01/2021,62.72607,63.96408,62.72607,63.96408,14600
24,3359,NSC,03/02/2021,64.04662,64.04662,63.30381,63.30381,2900
25,3360,NSC,03/03/2021,63.88155,63.88155,63.30381,63.55141,10000
26,3361,NSC,03/04/2021,61.90073,63.96408,61.90073,62.89114,4300
27,3362,NSC,03/05/2021,62.72607,62.97367,62.72607,62.72607,3200
28,3363,NSC,03/08/2021,64.29422,64.29422,62.8086,64.29422,4400
29,3364,NSC,03/09/2021,62.47847,63.96408,62.39593,63.55141,1900
30,3365,NSC,03/10/2021,63.71648,63.88155,61.90073,63.46888,1700
31,3366,NSC,03/11/2021,63.55141,63.71648,63.46888,63.71648,13100
32,3367,NSC,03/12/2021,63.71648,63.71648,63.38634,63.38634,400
33,3368,NSC,03/15/2021,63.55141,63.55141,63.38634,63.38634,12100
34,3369,NSC,03/16/2021,63.46888,63.55141,61.48805,63.38634,2700
35,3370,NSC,03/17/2021,63.38634,63.55141,61.98326,61.98326,4400
36,3371,NSC,03/18/2021,61.98326,62.3134,61.90073,61.90073,6200
37,3372,NSC,03/19/2021,62.97367,62.97367,61.90073,61.90073,2100
38,3373,NSC,03/22/2021,62.8086,62.8086,61.07538,61.81819,1300
39,3374,NSC,03/23/2021,62.47847,62.47847,61.15792,61.15792,4100
40,3375,NSC,03/24/2021,61.73566,61.73566,60.66271,61.07538,1900
41,3376,NSC,03/25/2021,60.66271,60.99285,60.66271,60.82778,2800
42,3377,NSC,03/26/2021,60.82778,60.91031,60.66271,60.74524,8300
43,3378,NSC,03/29/2021,60.1675,60.74524,60.1675,60.74524,15600
44,3379,NSC,04/06/2021,61.73566,61.90073,60.99285,61.90073,3400
45,3380,NSC,04/07/2021,59.50723,61.07538,59.50723,60.66271,7100
46,3381,NSC,04/08/2021,60.74524,61.07538,60.66271,60.74524,15300
47,3382,NSC,04/09/2021,60.82778,61.07538,60.74524,60.82778,8100
48,3383,NSC,04/12/2021,60.82778,61.07538,59.4247,60.66271,14400
49,3384,NSC,04/13/2021,60.74524,61.07538,60.1675,60.25004,11400
50,3385,NSC,04/14/2021,60.25004,60.99285,60.25004,60.99285,11600
51,3386,NSC,04/15/2021,60.99285,60.99285,60.66271,60.99285,10900
52,3387,NSC,04/16/2021,59.4247,60.99285,59.4247,60.33257,5900
53,3388,NSC,04/19/2021,60.82778,65.2021,60.41511,63.71648,28800
54,3389,NSC,04/20/2021,64.29422,64.29422,61.15792,63.55141,12600
55,3390,NSC,04/22/2021,63.55141,63.55141,61.07538,61.48805,15300
56,3391,NSC,04/23/2021,61.48805,61.48805,59.9199,61.48805,16700
57,3392,NSC,04/26/2021,61.48805,61.48805,60.66271,60.99285,7500
58,3393,NSC,04/27/2021,59.75483,61.24045,59.50723,61.24045,7800
59,3394,NSC,04/28/2021,61.15792,61.15792,61.15792,61.15792,1000
60,3395,NSC,04/29/2021,60.82778,61.15792,60.58018,60.66271,8500
61,3396,NSC,05/04/2021,60.66271,63.55141,60.66271,62.14833,17100
62,3397,NSC,05/05/2021,60.74524,62.06579,60.33257,61.32299,5700
63,3398,NSC,05/06/2021,61.07538,61.48805,61.07538,61.24045,7800
64,3399,NSC,05/07/2021,60.99285,61.24045,60.99285,61.24045,3200
65,3400,NSC,05/10/2021,61.07538,61.24045,60.33257,61.24045,15400
66,3401,NSC,05/11/2021,61.24045,61.24045,61.07538,61.07538,1500
67,3402,NSC,05/12/2021,61.07538,61.32299,61.07538,61.32299,5100
68,3403,NSC,05/13/2021,61.32299,61.32299,60.25004,61.15792,4300
69,3404,NSC,05/14/2021,61.15792,61.24045,60.41511,61.07538,4400
70,3405,NSC,05/17/2021,61.07538,61.07538,60.74524,61.07538,7000
71,3406,NSC,05/18/2021,60.66271,60.66271,60.33257,60.58018,3100
72,3407,NSC,05/19/2021,60.66271,61.07538,60.25004,61.07538,27200
73,3408,NSC,05/20/2021,61.07538,61.07538,60.25004,60.66271,5500
74,3409,NSC,05/21/2021,60.00244,60.99285,59.83737,60.00244,7200
75,3410,NSC,05/24/2021,60.00244,60.1675,59.9199,59.9199,7300
76,3411,NSC,05/25/2021,59.75483,60.1675,59.6723,60.1675,6600
77,3412,NSC,05/26/2021,59.83737,61.90073,59.83737,61.90073,9800
78,3413,NSC,05/27/2021,61.81819,61.81819,60.08497,61.65312,6200
79,3414,NSC,05/28/2021,61.48805,67.76066,60.25004,66.02744,42100
80,3415,NSC,05/31/2021,66.85278,68.50347,62.72607,65.61477,11400
81,3416,NSC,06/01/2021,64.29422,65.2021,64.29422,65.2021,4900
82,3417,NSC,06/02/2021,65.2021,69.24628,63.55141,68.50347,49800
83,3418,NSC,06/03/2021,68.42094,68.42094,64.78943,68.0908,10400
84,3419,NSC,06/04/2021,66.85278,66.85278,65.61477,66.77025,8900
