,index,Ticker,Date,Open,High,Low,Close,Volume
0,2373,SPM,01/21/2021,11.98163,12.21657,11.88766,12.21657,8500
1,2374,SPM,01/22/2021,11.88766,12.21657,11.88766,12.21657,200
2,2375,SPM,01/25/2021,11.93465,12.49849,11.93465,12.49849,1100
3,2376,SPM,01/26/2021,12.49849,12.49849,12.49849,12.49849,0
4,2377,SPM,01/27/2021,12.49849,12.49849,12.49849,12.49849,0
5,2378,SPM,01/28/2021,11.7467,13.34425,11.65273,12.49849,13600
6,2379,SPM,01/29/2021,11.84067,12.31054,11.84067,12.31054,1300
7,2380,SPM,02/01/2021,12.31054,12.31054,12.31054,12.31054,100
8,2381,SPM,02/02/2021,11.88766,11.88766,11.69971,11.69971,7700
9,2382,SPM,02/03/2021,11.69971,11.69971,11.69971,11.69971,2000
10,2383,SPM,02/04/2021,11.65273,11.65273,11.60574,11.65273,2400
11,2384,SPM,02/05/2021,12.40452,12.40452,10.90094,11.27683,2600
12,2385,SPM,02/08/2021,11.98163,11.98163,11.98163,11.98163,100
13,2386,SPM,02/09/2021,11.84067,11.84067,11.84067,11.84067,500
14,2387,SPM,02/17/2021,11.13587,11.65273,11.13587,11.65273,400
15,2388,SPM,02/18/2021,11.27683,12.21657,11.27683,11.7467,800
16,2389,SPM,02/19/2021,11.7467,11.7467,11.7467,11.7467,0
17,2390,SPM,02/22/2021,11.69971,11.7467,11.69971,11.69971,1200
18,2391,SPM,02/23/2021,11.69971,11.69971,11.69971,11.69971,0
19,2392,SPM,02/24/2021,11.7467,11.7467,11.7467,11.7467,2100
20,2393,SPM,02/25/2021,11.7467,11.7467,11.65273,11.7467,300
21,2394,SPM,02/26/2021,11.7467,12.49849,11.7467,11.7467,2800
22,2395,SPM,03/01/2021,12.21657,12.49849,11.32382,12.49849,10600
23,2396,SPM,03/02/2021,12.49849,12.49849,12.49849,12.49849,0
24,2397,SPM,03/03/2021,11.7467,12.21657,11.7467,12.21657,1500
25,2398,SPM,03/04/2021,11.7467,12.21657,11.7467,12.21657,400
26,2399,SPM,03/05/2021,12.21657,12.21657,12.21657,12.21657,0
27,2400,SPM,03/08/2021,11.37081,12.21657,11.37081,12.21657,2400
28,2401,SPM,03/09/2021,11.7467,12.4515,11.7467,12.4515,200
29,2402,SPM,03/10/2021,12.4515,12.4515,11.88766,12.21657,14100
30,2403,SPM,03/11/2021,12.21657,12.21657,12.21657,12.21657,2000
31,2404,SPM,03/12/2021,11.7467,12.31054,11.7467,12.31054,300
32,2405,SPM,03/15/2021,12.02862,12.02862,12.02862,12.02862,100
33,2406,SPM,03/16/2021,12.02862,12.02862,12.02862,12.02862,0
34,2407,SPM,03/17/2021,12.02862,12.21657,12.02862,12.21657,500
35,2408,SPM,03/18/2021,12.21657,12.21657,12.21657,12.21657,0
36,2409,SPM,03/19/2021,11.84067,12.12259,11.37081,12.12259,4600
37,2410,SPM,03/22/2021,12.12259,12.12259,11.93465,12.12259,12400
38,2411,SPM,03/23/2021,12.12259,12.12259,12.12259,12.12259,0
39,2412,SPM,03/24/2021,11.93465,11.93465,11.93465,11.93465,300
40,2413,SPM,03/25/2021,11.84067,11.88766,11.84067,11.84067,1100
41,2414,SPM,03/26/2021,11.84067,11.84067,11.84067,11.84067,0
42,2415,SPM,03/29/2021,11.84067,11.84067,11.13587,11.84067,2200
43,2416,SPM,03/30/2021,11.79369,11.84067,11.65273,11.7467,2500
44,2417,SPM,03/31/2021,11.7467,11.7467,11.65273,11.7467,3500
45,2418,SPM,04/01/2021,12.54548,12.54548,12.21657,12.40452,5600
46,2419,SPM,04/02/2021,12.49849,12.59246,12.40452,12.40452,12200
47,2420,SPM,04/05/2021,12.02862,12.40452,12.02862,12.40452,500
48,2421,SPM,04/06/2021,12.21657,12.49849,12.21657,12.49849,2100
49,2422,SPM,04/07/2021,12.31054,12.31054,12.21657,12.21657,1600
50,2423,SPM,04/08/2021,12.40452,12.40452,12.21657,12.21657,1400
51,2424,SPM,04/09/2021,12.21657,12.49849,12.21657,12.49849,3600
52,2425,SPM,04/12/2021,12.12259,12.49849,12.12259,12.49849,200
53,2426,SPM,04/13/2021,12.12259,12.40452,11.7467,12.40452,1200
54,2427,SPM,04/14/2021,11.88766,12.21657,11.88766,12.21657,200
55,2428,SPM,04/15/2021,11.79369,12.21657,11.79369,12.21657,200
56,2429,SPM,04/16/2021,12.12259,12.21657,12.12259,12.21657,2100
57,2430,SPM,04/19/2021,12.21657,12.68644,12.21657,12.59246,5100
58,2431,SPM,04/20/2021,12.59246,13.1563,12.12259,12.78041,52200
59,2432,SPM,04/22/2021,13.06233,13.06233,11.93465,12.78041,11300
60,2433,SPM,04/23/2021,12.59246,12.96836,12.59246,12.96836,3100
61,2434,SPM,04/26/2021,12.40452,12.96836,12.21657,12.96836,1300
62,2435,SPM,04/27/2021,12.21657,12.68644,12.21657,12.68644,5600
63,2436,SPM,04/28/2021,12.07561,12.59246,11.84067,12.59246,12200
64,2437,SPM,04/29/2021,12.49849,12.49849,12.02862,12.49849,4900
65,2438,SPM,05/04/2021,11.7467,12.78041,11.7467,12.78041,200
66,2439,SPM,05/05/2021,12.78041,12.78041,12.78041,12.78041,0
67,2440,SPM,05/06/2021,12.02862,12.59246,12.02862,12.59246,8800
68,2441,SPM,05/07/2021,12.12259,12.59246,12.07561,12.59246,5200
69,2442,SPM,05/10/2021,11.93465,12.59246,11.88766,12.59246,2300
70,2443,SPM,05/11/2021,12.59246,12.59246,12.59246,12.59246,0
71,2444,SPM,05/12/2021,11.93465,12.40452,11.93465,12.40452,200
72,2445,SPM,05/13/2021,11.93465,12.40452,11.93465,12.40452,300
73,2446,SPM,05/14/2021,11.93465,12.49849,11.93465,12.49849,800
74,2447,SPM,05/17/2021,12.21657,12.21657,12.21657,12.21657,400
75,2448,SPM,05/18/2021,12.54548,12.54548,12.02862,12.02862,2700
76,2449,SPM,05/19/2021,11.93465,12.21657,11.93465,12.21657,200
77,2450,SPM,05/20/2021,12.21657,12.21657,12.21657,12.21657,0
78,2451,SPM,05/21/2021,12.02862,12.21657,12.02862,12.21657,3200
79,2452,SPM,05/24/2021,12.21657,12.21657,12.21657,12.21657,600
80,2453,SPM,05/25/2021,12.12259,12.21657,12.02862,12.21657,6500
81,2454,SPM,05/26/2021,12.21657,13.06233,11.84067,13.06233,8300
82,2455,SPM,05/27/2021,12.68644,13.1563,12.21657,13.1563,2700
83,2456,SPM,05/28/2021,12.49849,12.49849,12.49849,12.49849,1400
84,2457,SPM,05/31/2021,11.88766,12.59246,11.7467,12.59246,2400
85,2458,SPM,06/01/2021,12.59246,12.59246,12.59246,12.59246,0
86,2459,SPM,06/02/2021,12.02862,12.4515,12.02862,12.4515,300
87,2460,SPM,06/03/2021,12.21657,12.21657,11.60574,11.60574,9200
88,2461,SPM,06/04/2021,11.65273,12.40452,10.80696,12.21657,22300
89,2462,SPM,06/07/2021,12.40452,12.59246,12.40452,12.59246,4900
90,2463,SPM,06/08/2021,12.59246,12.96836,12.59246,12.59246,2900
91,2464,SPM,06/09/2021,12.59246,12.59246,12.49849,12.54548,4600
92,2465,SPM,06/10/2021,12.02862,12.40452,11.98163,12.40452,1000
93,2466,SPM,06/11/2021,12.02862,12.31054,11.65273,12.21657,10500
94,2467,SPM,06/14/2021,12.21657,12.21657,12.21657,12.21657,2200
95,2468,SPM,06/15/2021,12.21657,12.21657,12.21657,12.21657,0
96,2469,SPM,06/16/2021,11.84067,12.21657,11.84067,12.21657,200
97,2470,SPM,06/17/2021,11.7467,12.12259,11.55875,12.12259,1900
98,2471,SPM,06/18/2021,12.12259,12.12259,12.12259,12.12259,1300
99,2472,SPM,06/21/2021,12.16958,12.21657,12.12259,12.12259,6700
100,2473,SPM,06/22/2021,12.12259,12.96836,12.12259,12.96836,21300
101,2474,SPM,06/23/2021,12.96836,13.25028,12.96836,13.1563,22600
102,2475,SPM,06/24/2021,13.06233,13.1563,12.49849,13.1563,7100
103,2476,SPM,06/25/2021,12.96836,12.96836,12.96836,12.96836,400
104,2477,SPM,06/28/2021,12.68644,12.96836,12.07561,12.96836,24900
105,2478,SPM,06/29/2021,12.21657,12.96836,12.21657,12.96836,600
106,2479,SPM,06/30/2021,12.21657,12.96836,12.21657,12.96836,300
107,2480,SPM,07/01/2021,12.35753,12.35753,12.21657,12.21657,3000
