,index,Ticker,Date,Open,High,Low,Close,Volume
0,2703,VND,01/25/2021,6.64064,7.070256,6.591541,6.84931,5321200.0
1,2704,VND,01/26/2021,6.800211,6.824761,6.38287,6.40742,3815900.0
2,2705,VND,01/27/2021,6.137375,6.284672,5.965528,5.965528,7629200.0
3,2706,VND,01/28/2021,5.548187,5.646385,5.548187,5.548187,9726000.0
4,2707,VND,01/29/2021,5.179945,5.91643,5.179945,5.756858,4554700.0
5,2708,VND,02/01/2021,5.744583,5.89188,5.364066,5.37634,3785000.0
6,2709,VND,02/02/2021,5.37634,5.695484,5.229043,5.646385,4189300.0
7,2710,VND,02/03/2021,5.818232,6.039177,5.769133,6.039177,3510000.0
8,2711,VND,02/04/2021,6.137375,6.333771,6.039177,6.260122,3733400.0
9,2712,VND,02/05/2021,6.284672,6.505618,6.247848,6.468793,2666100.0
10,2713,VND,02/08/2021,6.517892,6.824761,6.026902,6.38287,5741200.0
11,2714,VND,02/09/2021,6.468793,6.702013,6.284672,6.652915,3529800.0
12,2715,VND,02/17/2021,6.824761,6.947508,6.738838,6.87386,4231700.0
13,2716,VND,02/18/2021,6.87386,6.898409,6.726563,6.751112,4212200.0
14,2717,VND,02/19/2021,6.628365,6.87386,6.628365,6.775662,3782900.0
15,2718,VND,02/22/2021,6.800211,6.861585,6.665189,6.714288,3538900.0
16,2719,VND,02/23/2021,6.714288,6.87386,6.603816,6.763387,6547200.0
17,2720,VND,02/24/2021,6.922959,6.984333,6.652915,6.824761,4958600.0
18,2721,VND,02/25/2021,6.87386,6.87386,6.726563,6.837036,2660300.0
19,2722,VND,02/26/2021,6.677464,6.824761,6.652915,6.800211,2981600.0
20,2723,VND,03/01/2021,6.898409,7.168454,6.800211,7.168454,6744300.0
21,2724,VND,03/02/2021,7.315751,7.328026,7.021157,7.119355,5250100.0
22,2725,VND,03/03/2021,7.070256,7.168454,7.021157,7.082531,3461900.0
23,2726,VND,03/04/2021,7.094806,7.094806,6.628365,6.800211,5102600.0
24,2727,VND,03/05/2021,6.738838,6.800211,6.579266,6.751112,4979400.0
25,2728,VND,03/08/2021,6.996607,7.10708,6.922959,7.045706,5799400.0
26,2729,VND,03/09/2021,6.972058,7.008882,6.751112,6.935234,2815400.0
27,2730,VND,03/10/2021,6.910684,7.045706,6.812486,7.045706,4012300.0
