,index,Ticker,Date,Open,High,Low,Close,Volume
0,1053,ABC,02/01/2021,14.56288,15.47306,14.47186,14.47186,10000
1,1054,ABC,02/02/2021,14.19881,15.01797,14.10779,14.74492,20700
2,1055,ABC,02/03/2021,14.56288,15.01797,14.19881,14.83593,26600
3,1056,ABC,02/04/2021,15.38204,15.38204,14.6539,14.6539,13400
4,1057,ABC,02/05/2021,14.83593,14.83593,14.10779,14.56288,49400
5,1058,ABC,02/08/2021,14.56288,14.56288,14.38084,14.56288,23100
6,1059,ABC,02/09/2021,14.38084,15.47306,14.38084,15.47306,14400
7,1060,ABC,02/17/2021,14.83593,15.29102,14.56288,15.01797,23500
8,1061,ABC,02/18/2021,15.10899,15.20001,15.01797,15.20001,24300
9,1062,ABC,02/19/2021,15.20001,15.47306,14.92695,15.47306,39000
10,1063,ABC,02/22/2021,15.47306,15.6551,15.38204,15.47306,29800
11,1064,ABC,02/23/2021,15.83713,15.83713,15.38204,15.47306,18500
12,1065,ABC,02/24/2021,15.47306,15.56408,15.10899,15.47306,29200
13,1066,ABC,02/25/2021,15.6551,15.6551,15.29102,15.47306,17500
14,1067,ABC,02/26/2021,15.38204,15.74611,15.29102,15.74611,37500
15,1068,ABC,03/01/2021,15.47306,15.6551,15.47306,15.6551,40000
16,1069,ABC,03/02/2021,15.6551,15.74611,15.47306,15.56408,49000
17,1070,ABC,03/03/2021,15.56408,15.74611,15.47306,15.56408,11800
18,1071,ABC,03/04/2021,15.38204,15.74611,15.38204,15.74611,21600
19,1072,ABC,03/05/2021,15.56408,16.83833,15.56408,16.83833,57400
20,1073,ABC,03/08/2021,16.11019,16.47426,16.11019,16.11019,6000
21,1074,ABC,03/09/2021,16.29222,16.29222,15.83713,15.92815,12900
22,1075,ABC,03/10/2021,15.92815,16.01917,15.92815,15.92815,42400
23,1076,ABC,03/11/2021,16.01917,16.01917,15.92815,15.92815,26100
24,1077,ABC,03/12/2021,16.01917,16.38324,16.01917,16.29222,34000
25,1078,ABC,03/15/2021,16.38324,16.56528,16.29222,16.29222,27600
26,1079,ABC,03/16/2021,16.29222,16.47426,16.2012,16.38324,23100
27,1080,ABC,03/17/2021,16.38324,16.38324,16.2012,16.38324,17000
28,1081,ABC,03/18/2021,16.29222,16.38324,16.11019,16.38324,21700
29,1082,ABC,03/19/2021,16.29222,16.38324,16.2012,16.29222,41800
30,1083,ABC,03/22/2021,16.29222,16.38324,16.01917,16.29222,41600
