,index,Ticker,Date,Open,High,Low,Close,Volume
0,1589,BVN,01/28/2021,8.0,8.0,8.0,8.0,100
1,1590,BVN,01/29/2021,8.0,8.0,8.0,8.0,0
2,1591,BVN,02/01/2021,8.0,8.0,8.0,8.0,0
3,1592,BVN,02/02/2021,8.0,8.0,8.0,8.0,0
4,1593,BVN,02/03/2021,8.0,8.0,8.0,8.0,0
5,1594,BVN,02/04/2021,8.0,8.0,8.0,8.0,0
6,1595,BVN,02/05/2021,8.0,8.0,8.0,8.0,0
7,1596,BVN,02/08/2021,8.0,8.0,8.0,8.0,0
8,1597,BVN,02/09/2021,8.0,8.0,8.0,8.0,0
9,1598,BVN,02/17/2021,8.0,8.0,8.0,8.0,0
10,1599,BVN,02/18/2021,8.0,8.0,8.0,8.0,0
11,1600,BVN,02/19/2021,8.0,8.0,8.0,8.0,0
12,1601,BVN,02/22/2021,8.0,8.0,8.0,8.0,0
13,1602,BVN,02/23/2021,8.0,8.0,8.0,8.0,0
14,1603,BVN,02/24/2021,8.0,8.0,8.0,8.0,0
15,1604,BVN,02/25/2021,8.0,8.0,8.0,8.0,0
16,1605,BVN,02/26/2021,8.0,8.0,8.0,8.0,0
17,1606,BVN,03/01/2021,8.0,8.0,8.0,8.0,0
18,1607,BVN,03/02/2021,8.0,8.0,8.0,8.0,0
19,1608,BVN,03/03/2021,8.0,8.0,8.0,8.0,0
20,1609,BVN,03/04/2021,8.0,8.0,8.0,8.0,0
21,1610,BVN,03/05/2021,8.0,8.0,8.0,8.0,0
22,1611,BVN,03/08/2021,8.0,8.0,8.0,8.0,100
23,1612,BVN,03/09/2021,8.0,8.0,8.0,8.0,100
24,1613,BVN,03/10/2021,8.0,8.0,8.0,8.0,0
25,1614,BVN,03/11/2021,6.9,6.9,6.9,6.9,900
26,1615,BVN,03/12/2021,7.1,7.1,7.1,7.1,400
27,1616,BVN,03/15/2021,7.1,7.1,7.1,7.1,0
28,1617,BVN,03/16/2021,7.1,7.1,7.1,7.1,0
29,1618,BVN,03/17/2021,7.1,7.1,7.1,7.1,0
30,1619,BVN,03/18/2021,7.1,7.1,7.1,7.1,0
31,1620,BVN,03/19/2021,7.1,7.1,7.1,7.1,0
32,1621,BVN,03/22/2021,7.1,7.1,7.1,7.1,0
33,1622,BVN,03/23/2021,7.1,7.1,7.1,7.1,0
34,1623,BVN,03/24/2021,6.1,6.1,6.1,6.1,900
35,1624,BVN,03/25/2021,6.1,6.1,6.1,6.1,0
36,1625,BVN,03/26/2021,6.1,6.1,6.1,6.1,0
37,1626,BVN,03/29/2021,6.1,6.1,6.1,6.1,0
38,1627,BVN,03/30/2021,6.1,6.1,6.1,6.1,0
39,1628,BVN,03/31/2021,6.1,6.1,6.1,6.1,0
40,1629,BVN,04/01/2021,6.1,6.1,6.1,6.1,0
41,1630,BVN,04/02/2021,6.1,6.1,6.1,6.1,0
42,1631,BVN,04/05/2021,7.0,7.0,7.0,7.0,5000
43,1632,BVN,04/06/2021,7.0,7.0,7.0,7.0,0
44,1633,BVN,04/07/2021,7.0,7.0,7.0,7.0,0
45,1634,BVN,04/08/2021,7.0,7.0,7.0,7.0,0
46,1635,BVN,04/09/2021,7.0,7.0,7.0,7.0,0
47,1636,BVN,04/12/2021,7.0,7.0,7.0,7.0,0
48,1637,BVN,04/13/2021,7.0,7.0,7.0,7.0,0
49,1638,BVN,04/14/2021,7.0,7.0,7.0,7.0,0
50,1639,BVN,04/15/2021,7.0,7.0,7.0,7.0,0
51,1640,BVN,04/16/2021,8.0,8.0,8.0,8.0,100
52,1641,BVN,04/19/2021,8.0,8.0,8.0,8.0,0
53,1642,BVN,04/20/2021,9.2,9.2,9.2,9.2,100
54,1643,BVN,04/22/2021,10.5,10.5,10.5,10.5,200
55,1644,BVN,04/23/2021,12.0,12.0,12.0,12.0,100
56,1645,BVN,04/26/2021,13.8,13.8,13.8,13.8,100
57,1646,BVN,04/27/2021,15.7,15.7,15.7,15.7,100
58,1647,BVN,04/28/2021,18.0,18.0,18.0,18.0,100
59,1648,BVN,04/29/2021,18.0,18.0,18.0,18.0,0
60,1649,BVN,05/04/2021,20.6,20.6,15.3,20.6,700
61,1650,BVN,05/05/2021,16.9,16.9,16.9,16.9,1700
62,1651,BVN,05/06/2021,14.5,19.4,14.5,19.4,400
63,1652,BVN,05/07/2021,17.0,17.0,17.0,17.0,0
64,1653,BVN,05/10/2021,19.4,19.4,14.5,19.3,800
65,1654,BVN,05/11/2021,17.0,17.0,17.0,17.0,0
66,1655,BVN,05/12/2021,14.5,14.5,14.5,14.5,900
67,1656,BVN,05/13/2021,12.5,12.5,12.5,12.5,200
68,1657,BVN,05/14/2021,12.5,12.5,12.5,12.5,0
69,1658,BVN,05/17/2021,10.8,10.8,10.8,10.8,200
70,1659,BVN,05/18/2021,9.5,9.5,9.5,9.5,200
71,1660,BVN,05/19/2021,9.5,9.5,9.5,9.5,0
72,1661,BVN,05/20/2021,9.5,9.5,9.5,9.5,0
73,1662,BVN,05/21/2021,9.5,9.5,9.5,9.5,0
74,1663,BVN,05/24/2021,10.9,10.9,10.9,10.9,100
75,1664,BVN,05/25/2021,10.9,10.9,10.9,10.9,300
76,1665,BVN,05/26/2021,10.9,10.9,10.9,10.9,0
77,1666,BVN,05/27/2021,10.9,10.9,10.9,10.9,0
78,1667,BVN,05/28/2021,10.9,10.9,10.9,10.9,0
79,1668,BVN,05/31/2021,12.5,12.5,12.5,12.5,100
