,index,Ticker,Date,Open,High,Low,Close,Volume
0,941,CCV,01/28/2021,13.58537,13.58537,13.58537,13.58537,0
1,942,CCV,01/29/2021,13.58537,13.58537,13.58537,13.58537,0
2,943,CCV,02/01/2021,13.58537,13.58537,13.58537,13.58537,0
3,944,CCV,02/02/2021,13.58537,13.58537,13.58537,13.58537,0
4,945,CCV,02/03/2021,13.58537,13.58537,13.58537,13.58537,0
5,946,CCV,02/04/2021,13.58537,13.58537,13.58537,13.58537,0
6,947,CCV,02/05/2021,13.58537,13.58537,13.58537,13.58537,0
7,948,CCV,02/08/2021,13.58537,13.58537,13.58537,13.58537,0
8,949,CCV,02/09/2021,13.58537,13.58537,13.58537,13.58537,0
9,950,CCV,02/17/2021,13.58537,13.58537,13.58537,13.58537,0
10,951,CCV,02/18/2021,13.58537,13.58537,13.58537,13.58537,0
11,952,CCV,02/19/2021,13.58537,13.58537,13.58537,13.58537,0
12,953,CCV,02/22/2021,13.58537,13.58537,13.58537,13.58537,0
13,954,CCV,02/23/2021,13.58537,13.58537,13.58537,13.58537,0
14,955,CCV,02/24/2021,13.58537,13.58537,13.58537,13.58537,0
15,956,CCV,02/25/2021,13.58537,13.58537,13.58537,13.58537,0
16,957,CCV,02/26/2021,13.58537,13.58537,13.58537,13.58537,0
17,958,CCV,03/01/2021,13.58537,13.58537,13.58537,13.58537,0
18,959,CCV,03/02/2021,13.58537,13.58537,13.58537,13.58537,0
19,960,CCV,03/03/2021,13.58537,13.58537,13.58537,13.58537,0
20,961,CCV,03/04/2021,13.58537,13.58537,13.58537,13.58537,0
21,962,CCV,03/05/2021,13.58537,13.58537,13.58537,13.58537,0
22,963,CCV,03/08/2021,13.58537,13.58537,13.58537,13.58537,0
23,964,CCV,03/09/2021,13.58537,13.58537,13.58537,13.58537,0
24,965,CCV,03/10/2021,13.58537,13.58537,13.58537,13.58537,0
25,966,CCV,03/11/2021,13.58537,13.58537,13.58537,13.58537,0
26,967,CCV,03/12/2021,13.58537,13.58537,13.58537,13.58537,0
27,968,CCV,03/15/2021,13.58537,13.58537,13.58537,13.58537,0
28,969,CCV,03/16/2021,13.58537,13.58537,13.58537,13.58537,0
29,970,CCV,03/17/2021,13.58537,13.58537,13.58537,13.58537,0
30,971,CCV,03/18/2021,13.58537,13.58537,13.58537,13.58537,0
31,972,CCV,03/19/2021,13.58537,13.58537,13.58537,13.58537,0
32,973,CCV,03/22/2021,13.58537,13.58537,13.58537,13.58537,0
33,974,CCV,03/23/2021,13.58537,13.58537,13.58537,13.58537,0
34,975,CCV,03/24/2021,15.01146,15.01146,15.01146,15.01146,200
35,976,CCV,03/25/2021,15.01146,15.01146,15.01146,15.01146,0
36,977,CCV,03/26/2021,13.66043,13.66043,13.66043,13.66043,25000
37,978,CCV,03/29/2021,13.66043,13.66043,13.66043,13.66043,0
38,979,CCV,03/30/2021,13.66043,13.66043,13.66043,13.66043,0
39,980,CCV,03/31/2021,13.66043,13.66043,13.66043,13.66043,0
40,981,CCV,04/01/2021,13.66043,13.66043,13.66043,13.66043,0
41,982,CCV,04/02/2021,13.66043,13.66043,13.66043,13.66043,0
42,983,CCV,04/05/2021,13.66043,13.66043,13.66043,13.66043,0
43,984,CCV,04/06/2021,13.66043,13.66043,13.66043,13.66043,0
44,985,CCV,04/07/2021,13.66043,13.66043,13.66043,13.66043,0
45,986,CCV,04/08/2021,13.66043,13.66043,13.66043,13.66043,0
46,987,CCV,04/09/2021,13.66043,13.66043,13.66043,13.66043,0
47,988,CCV,04/12/2021,13.66043,13.66043,13.66043,13.66043,0
48,989,CCV,04/13/2021,13.66043,13.66043,13.66043,13.66043,0
49,990,CCV,04/14/2021,13.66043,13.66043,13.66043,13.66043,0
50,991,CCV,04/15/2021,13.66043,13.66043,13.66043,13.66043,0
51,992,CCV,04/16/2021,13.66043,13.66043,13.66043,13.66043,0
52,993,CCV,04/19/2021,13.66043,13.66043,13.66043,13.66043,0
53,994,CCV,04/20/2021,15.68698,15.68698,15.68698,15.68698,3000
54,995,CCV,04/22/2021,15.68698,15.68698,15.68698,15.68698,0
55,996,CCV,04/23/2021,15.68698,15.68698,15.68698,15.68698,0
56,997,CCV,04/26/2021,15.68698,15.68698,15.68698,15.68698,0
57,998,CCV,04/27/2021,15.68698,15.68698,15.68698,15.68698,0
58,999,CCV,04/28/2021,15.68698,15.68698,15.68698,15.68698,0
59,1000,CCV,04/29/2021,15.68698,15.68698,15.68698,15.68698,0
60,1001,CCV,05/04/2021,15.68698,15.68698,15.68698,15.68698,0
61,1002,CCV,05/05/2021,15.68698,15.68698,15.68698,15.68698,0
62,1003,CCV,05/06/2021,15.68698,15.68698,15.68698,15.68698,0
63,1004,CCV,05/07/2021,15.68698,15.68698,15.68698,15.68698,0
64,1005,CCV,05/10/2021,15.68698,15.68698,15.68698,15.68698,0
65,1006,CCV,05/11/2021,15.68698,15.68698,15.68698,15.68698,0
66,1007,CCV,05/12/2021,15.68698,15.68698,15.68698,15.68698,0
67,1008,CCV,05/13/2021,15.68698,15.68698,15.68698,15.68698,0
68,1009,CCV,05/14/2021,15.68698,15.68698,15.68698,15.68698,0
69,1010,CCV,05/17/2021,15.68698,15.68698,15.68698,15.68698,0
70,1011,CCV,05/18/2021,15.68698,15.68698,15.68698,15.68698,0
71,1012,CCV,05/19/2021,15.68698,15.68698,15.68698,15.68698,0
72,1013,CCV,05/20/2021,15.68698,15.68698,15.68698,15.68698,0
73,1014,CCV,05/21/2021,15.68698,15.68698,15.68698,15.68698,0
74,1015,CCV,05/24/2021,15.68698,15.68698,15.68698,15.68698,0
75,1016,CCV,05/25/2021,15.68698,15.68698,15.68698,15.68698,0
76,1017,CCV,05/26/2021,15.68698,15.68698,15.68698,15.68698,0
77,1018,CCV,05/27/2021,15.68698,15.68698,15.68698,15.68698,0
