,index,Ticker,Date,Open,High,Low,Close,Volume
0,907,CGV,02/01/2021,2.7,2.7,2.7,2.7,3900
1,908,CGV,02/02/2021,2.4,2.4,2.4,2.4,1300
2,909,CGV,02/03/2021,2.6,2.7,2.6,2.7,2800
3,910,CGV,02/04/2021,2.7,2.7,2.7,2.7,0
4,911,CGV,02/05/2021,2.7,2.9,2.7,2.9,3800
5,912,CGV,02/08/2021,2.8,2.8,2.8,2.8,1300
6,913,CGV,02/09/2021,2.8,2.8,2.8,2.8,0
7,914,CGV,02/17/2021,2.8,2.8,2.8,2.8,600
8,915,CGV,02/18/2021,2.8,2.8,2.8,2.8,0
9,916,CGV,02/19/2021,2.8,2.8,2.8,2.8,200
10,917,CGV,02/22/2021,2.8,2.8,2.8,2.8,300
11,918,CGV,02/23/2021,2.8,2.8,2.8,2.8,300
12,919,CGV,02/24/2021,2.6,2.9,2.6,2.9,800
13,920,CGV,02/25/2021,2.9,2.9,2.9,2.9,0
14,921,CGV,02/26/2021,2.9,2.9,2.9,2.9,0
15,922,CGV,03/01/2021,2.5,2.9,2.5,2.9,400
16,923,CGV,03/02/2021,2.6,2.6,2.6,2.6,0
17,924,CGV,03/03/2021,2.6,2.6,2.6,2.6,0
18,925,CGV,03/04/2021,2.8,2.9,2.8,2.8,7000
19,926,CGV,03/05/2021,2.8,2.8,2.8,2.8,0
20,927,CGV,03/08/2021,2.8,3.0,2.8,3.0,1300
21,928,CGV,03/09/2021,2.8,2.8,2.8,2.8,0
22,929,CGV,03/10/2021,2.8,2.8,2.8,2.8,0
23,930,CGV,03/11/2021,2.8,2.8,2.8,2.8,100
24,931,CGV,03/12/2021,2.8,2.8,2.8,2.8,0
25,932,CGV,03/15/2021,2.8,3.1,2.8,3.1,2900
26,933,CGV,03/16/2021,3.1,3.1,2.8,2.8,1000
27,934,CGV,03/17/2021,2.9,3.2,2.9,3.1,1200
28,935,CGV,03/18/2021,3.1,3.1,3.0,3.1,400
29,936,CGV,03/19/2021,2.9,3.0,2.9,3.0,3500
30,937,CGV,03/22/2021,3.0,3.2,3.0,3.2,3900
31,938,CGV,03/23/2021,3.2,3.3,3.2,3.3,7500
32,939,CGV,03/24/2021,3.3,3.7,3.3,3.7,22100
33,940,CGV,03/25/2021,3.6,3.8,3.6,3.8,1300
34,941,CGV,03/26/2021,3.3,4.0,3.3,4.0,300
35,942,CGV,03/29/2021,3.8,3.8,3.8,3.8,4800
36,943,CGV,03/30/2021,3.8,3.8,3.8,3.8,400
37,944,CGV,03/31/2021,3.6,3.9,3.6,3.8,2300
38,945,CGV,04/01/2021,3.6,3.6,3.6,3.6,0
39,946,CGV,04/02/2021,3.8,3.8,3.6,3.6,2400
40,947,CGV,04/05/2021,3.6,3.9,3.6,3.9,23300
41,948,CGV,04/06/2021,3.8,4.3,3.8,4.2,34300
42,949,CGV,04/07/2021,4.6,4.7,4.6,4.7,41800
43,950,CGV,04/08/2021,4.6,5.0,4.6,4.7,12800
44,951,CGV,04/09/2021,4.6,4.7,4.5,4.5,7800
45,952,CGV,04/12/2021,4.5,5.2,4.4,5.2,31800
46,953,CGV,04/13/2021,4.9,5.1,4.5,4.9,12800
47,954,CGV,04/14/2021,4.2,5.0,4.2,5.0,11700
48,955,CGV,04/15/2021,4.9,4.9,4.6,4.9,29500
49,956,CGV,04/16/2021,4.7,5.2,4.4,5.1,38700
50,957,CGV,04/19/2021,5.1,5.2,4.4,5.1,16800
51,958,CGV,04/20/2021,5.0,5.1,4.5,5.0,49700
52,959,CGV,04/22/2021,4.8,4.8,4.5,4.5,17700
53,960,CGV,04/23/2021,4.1,4.1,4.0,4.0,10000
54,961,CGV,04/26/2021,4.4,4.4,4.3,4.3,700
55,962,CGV,04/27/2021,4.3,4.3,4.0,4.2,400
56,963,CGV,04/28/2021,4.4,4.4,4.4,4.4,500
57,964,CGV,04/29/2021,4.0,4.0,3.8,4.0,2800
58,965,CGV,05/04/2021,3.6,4.0,3.4,3.8,12500
59,966,CGV,05/05/2021,3.9,4.1,3.8,3.9,16600
60,967,CGV,05/06/2021,3.9,3.9,3.8,3.8,1500
61,968,CGV,05/07/2021,3.9,4.2,3.9,4.1,12700
62,969,CGV,05/10/2021,4.1,4.1,4.1,4.1,1600
63,970,CGV,05/11/2021,3.6,3.6,3.5,3.6,7000
64,971,CGV,05/12/2021,3.5,4.0,3.4,3.8,14200
65,972,CGV,05/13/2021,3.8,3.8,3.7,3.7,13800
