,index,Ticker,Date,Open,High,Low,Close,Volume
0,580,DCR,01/29/2021,2.0,2.0,2.0,2.0,0
1,581,DCR,02/01/2021,2.0,2.0,2.0,2.0,0
2,582,DCR,02/02/2021,2.0,2.0,2.0,2.0,0
3,583,DCR,02/03/2021,2.0,2.0,2.0,2.0,1100
4,584,DCR,02/04/2021,2.0,2.0,2.0,2.0,0
5,585,DCR,02/05/2021,2.0,2.0,2.0,2.0,0
6,586,DCR,02/08/2021,2.0,2.0,2.0,2.0,0
7,587,DCR,02/09/2021,2.0,2.0,2.0,2.0,0
8,588,DCR,02/17/2021,2.1,2.3,2.1,2.3,200
9,589,DCR,02/18/2021,2.3,2.3,2.3,2.3,100
10,590,DCR,02/19/2021,2.3,2.3,2.3,2.3,0
11,591,DCR,02/22/2021,2.4,2.6,2.4,2.6,400
12,592,DCR,02/23/2021,2.7,2.8,2.7,2.8,200
13,593,DCR,02/24/2021,2.8,2.8,2.8,2.8,0
14,594,DCR,02/25/2021,2.8,2.8,2.8,2.8,1000
15,595,DCR,02/26/2021,2.8,2.8,2.8,2.8,200
16,596,DCR,03/01/2021,2.8,2.8,2.8,2.8,0
17,597,DCR,03/02/2021,2.8,2.8,2.8,2.8,300
18,598,DCR,03/03/2021,2.4,2.4,2.4,2.4,100
19,599,DCR,03/04/2021,2.7,2.7,2.7,2.7,200
20,600,DCR,03/05/2021,2.8,2.8,2.8,2.8,600
21,601,DCR,03/08/2021,2.8,2.8,2.8,2.8,0
22,602,DCR,03/09/2021,2.8,2.8,2.8,2.8,0
23,603,DCR,03/10/2021,2.8,2.8,2.8,2.8,0
24,604,DCR,03/11/2021,2.8,2.8,2.8,2.8,0
25,605,DCR,03/12/2021,2.8,2.8,2.8,2.8,0
26,606,DCR,03/15/2021,2.8,2.8,2.8,2.8,500
27,607,DCR,03/16/2021,2.8,2.8,2.8,2.8,400
28,608,DCR,03/17/2021,2.8,2.8,2.8,2.8,0
29,609,DCR,03/18/2021,2.8,2.8,2.8,2.8,0
30,610,DCR,03/19/2021,2.8,2.8,2.8,2.8,0
31,611,DCR,03/22/2021,2.9,2.9,2.9,2.9,100
32,612,DCR,03/23/2021,2.9,2.9,2.9,2.9,0
33,613,DCR,03/24/2021,2.9,2.9,2.9,2.9,0
34,614,DCR,03/25/2021,2.9,2.9,2.9,2.9,600
35,615,DCR,03/26/2021,3.0,3.0,3.0,3.0,100
36,616,DCR,03/29/2021,2.6,3.4,2.6,3.4,600
37,617,DCR,03/30/2021,3.2,3.2,3.2,3.2,100
38,618,DCR,03/31/2021,3.2,3.2,3.2,3.2,6300
39,619,DCR,04/01/2021,3.2,3.3,3.2,3.2,4500
40,620,DCR,04/02/2021,3.2,3.2,3.2,3.2,0
41,621,DCR,04/05/2021,3.2,3.6,3.2,3.6,1100
42,622,DCR,04/06/2021,3.6,3.6,3.6,3.6,300
43,623,DCR,04/07/2021,4.1,4.1,4.1,4.1,100
44,624,DCR,04/08/2021,4.7,4.7,4.7,4.7,100
45,625,DCR,04/09/2021,5.4,5.4,5.4,5.4,100
46,626,DCR,04/12/2021,6.2,6.2,6.2,6.2,100
47,627,DCR,04/13/2021,7.1,7.1,7.1,7.1,1300
48,628,DCR,04/14/2021,8.1,8.1,8.0,8.0,3200
49,629,DCR,04/15/2021,9.3,9.3,8.5,8.5,500
50,630,DCR,04/16/2021,8.8,8.8,8.8,8.8,900
51,631,DCR,04/19/2021,8.8,8.8,8.8,8.8,0
52,632,DCR,04/20/2021,8.8,8.8,8.8,8.8,100
53,633,DCR,04/22/2021,7.9,7.9,7.9,7.9,100
54,634,DCR,04/23/2021,7.0,7.0,6.8,6.8,200
55,635,DCR,04/26/2021,5.9,5.9,5.9,5.9,400
56,636,DCR,04/27/2021,5.9,5.9,5.9,5.9,0
57,637,DCR,04/28/2021,5.9,5.9,5.9,5.9,0
58,638,DCR,04/29/2021,5.1,5.1,5.1,5.1,600
