,index,Ticker,Date,Open,High,Low,Close,Volume
0,3502,DIC,01/29/2021,1.1,1.3,1.1,1.3,921800
1,3503,DIC,02/01/2021,1.2,1.2,1.2,1.2,0
2,3504,DIC,02/02/2021,1.2,1.2,1.2,1.2,0
3,3505,DIC,02/03/2021,1.2,1.2,1.2,1.2,0
4,3506,DIC,02/04/2021,1.2,1.2,1.2,1.2,0
5,3507,DIC,02/05/2021,1.3,1.3,1.2,1.3,1306100
6,3508,DIC,02/08/2021,1.3,1.3,1.3,1.3,0
7,3509,DIC,02/09/2021,1.3,1.3,1.3,1.3,0
8,3510,DIC,02/17/2021,1.3,1.3,1.3,1.3,0
9,3511,DIC,02/18/2021,1.3,1.3,1.3,1.3,0
10,3512,DIC,02/19/2021,1.4,1.4,1.4,1.4,309400
11,3513,DIC,02/22/2021,1.4,1.4,1.4,1.4,0
12,3514,DIC,02/23/2021,1.4,1.4,1.4,1.4,0
13,3515,DIC,02/24/2021,1.4,1.4,1.4,1.4,0
14,3516,DIC,02/25/2021,1.4,1.4,1.4,1.4,0
15,3517,DIC,02/26/2021,1.5,1.6,1.5,1.6,805200
16,3518,DIC,03/01/2021,1.6,1.6,1.6,1.6,0
17,3519,DIC,03/02/2021,1.6,1.6,1.6,1.6,0
18,3520,DIC,03/03/2021,1.6,1.6,1.6,1.6,0
19,3521,DIC,03/04/2021,1.6,1.6,1.6,1.6,0
20,3522,DIC,03/05/2021,1.7,1.8,1.7,1.8,1629100
21,3523,DIC,03/08/2021,1.8,1.8,1.8,1.8,0
22,3524,DIC,03/09/2021,1.8,1.8,1.8,1.8,0
23,3525,DIC,03/10/2021,1.8,1.8,1.8,1.8,0
24,3526,DIC,03/11/2021,1.8,1.8,1.8,1.8,0
25,3527,DIC,03/12/2021,2.0,2.0,1.6,2.0,1272800
26,3528,DIC,03/15/2021,1.9,1.9,1.9,1.9,0
27,3529,DIC,03/16/2021,1.9,1.9,1.9,1.9,0
28,3530,DIC,03/17/2021,1.9,1.9,1.9,1.9,0
29,3531,DIC,03/18/2021,1.9,1.9,1.9,1.9,0
30,3532,DIC,03/19/2021,1.9,2.1,1.8,1.9,1099100
31,3533,DIC,03/22/2021,1.9,1.9,1.9,1.9,0
32,3534,DIC,03/23/2021,1.9,1.9,1.9,1.9,0
33,3535,DIC,03/24/2021,1.9,1.9,1.9,1.9,0
