,index,Ticker,Date,Open,High,Low,Close,Volume
0,1270,DNL,01/28/2021,16.72364,16.72364,16.72364,16.72364,0
1,1271,DNL,01/29/2021,16.72364,16.72364,16.72364,16.72364,0
2,1272,DNL,02/01/2021,16.72364,16.72364,16.72364,16.72364,0
3,1273,DNL,02/02/2021,16.72364,16.72364,16.72364,16.72364,0
4,1274,DNL,02/03/2021,16.72364,16.72364,16.72364,16.72364,0
5,1275,DNL,02/04/2021,16.72364,16.72364,16.72364,16.72364,0
6,1276,DNL,02/05/2021,16.72364,16.72364,16.72364,16.72364,0
7,1277,DNL,02/08/2021,16.72364,16.72364,16.72364,16.72364,0
8,1278,DNL,02/09/2021,16.72364,16.72364,16.72364,16.72364,0
9,1279,DNL,02/17/2021,16.72364,16.72364,16.72364,16.72364,0
10,1280,DNL,02/18/2021,19.21971,19.21971,19.21971,19.21971,2800
11,1281,DNL,02/19/2021,19.21971,19.21971,19.21971,19.21971,0
12,1282,DNL,02/22/2021,19.21971,19.21971,19.21971,19.21971,0
13,1283,DNL,02/23/2021,19.21971,19.21971,19.21971,19.21971,0
14,1284,DNL,02/24/2021,19.21971,19.21971,19.21971,19.21971,0
15,1285,DNL,02/25/2021,19.21971,19.21971,19.21971,19.21971,0
16,1286,DNL,02/26/2021,19.21971,19.21971,19.21971,19.21971,0
17,1287,DNL,03/01/2021,19.21971,19.21971,19.21971,19.21971,0
18,1288,DNL,03/02/2021,19.13651,19.13651,19.13651,19.13651,5000
19,1289,DNL,03/03/2021,19.13651,19.13651,19.13651,19.13651,0
20,1290,DNL,03/04/2021,19.13651,19.13651,19.13651,19.13651,0
21,1291,DNL,03/05/2021,19.13651,19.13651,19.13651,19.13651,0
22,1292,DNL,03/08/2021,19.13651,19.13651,19.13651,19.13651,0
23,1293,DNL,03/09/2021,19.13651,19.13651,19.13651,19.13651,0
24,1294,DNL,03/10/2021,19.13651,19.13651,19.13651,19.13651,0
25,1295,DNL,03/11/2021,19.13651,19.13651,19.13651,19.13651,0
26,1296,DNL,03/12/2021,19.13651,19.13651,19.13651,19.13651,5000
27,1297,DNL,03/15/2021,19.13651,19.13651,19.13651,19.13651,400
28,1298,DNL,03/16/2021,19.13651,19.13651,19.13651,19.13651,0
29,1299,DNL,03/17/2021,19.13651,19.13651,19.13651,19.13651,0
30,1300,DNL,03/18/2021,19.13651,19.13651,19.13651,19.13651,0
31,1301,DNL,03/19/2021,19.13651,19.13651,19.13651,19.13651,0
32,1302,DNL,03/22/2021,19.13651,19.96853,19.13651,19.13651,7800
33,1303,DNL,03/23/2021,19.38611,19.38611,19.38611,19.38611,0
34,1304,DNL,03/24/2021,19.38611,19.38611,19.38611,19.38611,0
35,1305,DNL,03/25/2021,19.38611,19.38611,19.38611,19.38611,0
36,1306,DNL,03/26/2021,19.38611,19.38611,19.38611,19.38611,0
37,1307,DNL,03/29/2021,19.38611,19.38611,19.38611,19.38611,0
38,1308,DNL,03/30/2021,19.38611,19.38611,19.38611,19.38611,0
39,1309,DNL,03/31/2021,19.38611,19.38611,19.38611,19.38611,0
40,1310,DNL,04/01/2021,19.38611,19.38611,19.38611,19.38611,0
41,1311,DNL,04/02/2021,19.38611,19.38611,19.38611,19.38611,0
42,1312,DNL,04/05/2021,19.38611,19.38611,19.38611,19.38611,0
43,1313,DNL,04/06/2021,16.55724,16.55724,16.55724,16.55724,7000
44,1314,DNL,04/07/2021,16.55724,16.55724,16.55724,16.55724,0
45,1315,DNL,04/08/2021,16.55724,16.55724,16.55724,16.55724,0
46,1316,DNL,04/09/2021,16.55724,16.55724,16.55724,16.55724,0
47,1317,DNL,04/12/2021,16.55724,16.55724,16.55724,16.55724,0
48,1318,DNL,04/13/2021,16.55724,16.55724,16.55724,16.55724,0
49,1319,DNL,04/14/2021,16.55724,16.55724,16.55724,16.55724,0
50,1320,DNL,04/15/2021,18.9701,18.9701,18.9701,18.9701,100
51,1321,DNL,04/16/2021,18.9701,18.9701,18.9701,18.9701,0
52,1322,DNL,04/19/2021,18.9701,18.9701,18.9701,18.9701,0
53,1323,DNL,04/20/2021,18.9701,18.9701,18.9701,18.9701,0
54,1324,DNL,04/22/2021,18.9701,18.9701,18.9701,18.9701,0
55,1325,DNL,04/23/2021,18.9701,18.9701,18.9701,18.9701,0
56,1326,DNL,04/26/2021,18.9701,18.9701,18.9701,18.9701,0
57,1327,DNL,04/27/2021,18.9701,18.9701,18.9701,18.9701,0
58,1328,DNL,04/28/2021,18.9701,18.9701,18.9701,18.9701,0
59,1329,DNL,04/29/2021,18.9701,18.9701,18.9701,18.9701,0
60,1330,DNL,05/04/2021,18.9701,18.9701,18.9701,18.9701,0
61,1331,DNL,05/05/2021,18.9701,18.9701,18.9701,18.9701,0
62,1332,DNL,05/06/2021,18.9701,18.9701,18.9701,18.9701,0
63,1333,DNL,05/07/2021,18.9701,18.9701,18.9701,18.9701,0
64,1334,DNL,05/10/2021,18.9701,18.9701,18.9701,18.9701,0
65,1335,DNL,05/11/2021,18.9701,18.9701,18.9701,18.9701,0
66,1336,DNL,05/12/2021,16.64044,16.64044,16.64044,16.64044,3800
67,1337,DNL,05/13/2021,16.64044,16.64044,16.64044,16.64044,0
68,1338,DNL,05/14/2021,16.64044,16.64044,16.64044,16.64044,0
69,1339,DNL,05/17/2021,16.64044,16.64044,16.64044,16.64044,0
70,1340,DNL,05/18/2021,16.64044,16.64044,16.64044,16.64044,0
71,1341,DNL,05/19/2021,16.64044,16.64044,16.64044,16.64044,0
72,1342,DNL,05/20/2021,16.64044,16.64044,16.64044,16.64044,0
73,1343,DNL,05/21/2021,16.64044,16.64044,16.64044,16.64044,0
74,1344,DNL,05/24/2021,16.64044,16.64044,16.64044,16.64044,0
75,1345,DNL,05/25/2021,16.64044,16.64044,16.64044,16.64044,0
76,1346,DNL,05/26/2021,16.64044,16.64044,16.64044,16.64044,0
77,1347,DNL,05/27/2021,16.64044,16.64044,16.64044,16.64044,0
78,1348,DNL,05/28/2021,16.64044,16.64044,16.64044,16.64044,0
79,1349,DNL,05/31/2021,16.64044,16.64044,16.64044,16.64044,0
80,1350,DNL,06/01/2021,19.06904,19.06904,19.06904,19.06904,1400
81,1351,DNL,06/02/2021,19.06904,19.06904,19.06904,19.06904,2000
82,1352,DNL,06/03/2021,19.06904,19.06904,19.06904,19.06904,300
83,1353,DNL,06/04/2021,19.06904,19.06904,19.06904,19.06904,0
84,1354,DNL,06/07/2021,19.06904,19.06904,19.06904,19.06904,0
85,1355,DNL,06/08/2021,19.06904,19.06904,19.06904,19.06904,0
86,1356,DNL,06/09/2021,19.06904,19.06904,19.06904,19.06904,0
87,1357,DNL,06/10/2021,19.06904,19.06904,19.06904,19.06904,0
88,1358,DNL,06/11/2021,19.06904,19.06904,19.06904,19.06904,0
89,1359,DNL,06/14/2021,19.06904,19.06904,19.06904,19.06904,0
90,1360,DNL,06/15/2021,19.06904,19.06904,19.06904,19.06904,0
91,1361,DNL,06/16/2021,19.06904,19.06904,19.06904,19.06904,0
92,1362,DNL,06/17/2021,19.06904,19.06904,19.06904,19.06904,0
93,1363,DNL,06/18/2021,19.06904,19.06904,19.06904,19.06904,0
94,1364,DNL,06/21/2021,19.06904,19.06904,19.06904,19.06904,0
95,1365,DNL,06/22/2021,19.06904,19.06904,19.06904,19.06904,0
96,1366,DNL,06/23/2021,19.06904,19.06904,19.06904,19.06904,0
97,1367,DNL,06/24/2021,19.06904,19.06904,19.06904,19.06904,0
98,1368,DNL,06/25/2021,19.06904,19.06904,19.06904,19.06904,0
99,1369,DNL,06/28/2021,19.06904,19.06904,19.06904,19.06904,0
100,1370,DNL,06/29/2021,19.78863,19.78863,16.28064,16.28064,200
101,1371,DNL,06/30/2021,18.07961,18.07961,18.07961,18.07961,0
102,1372,DNL,07/01/2021,15.74095,15.74095,15.74095,15.74095,1000
103,1373,DNL,07/02/2021,15.74095,15.74095,15.74095,15.74095,0
104,1374,DNL,07/05/2021,17.98966,17.98966,17.98966,17.98966,100
105,1375,DNL,07/06/2021,17.98966,17.98966,17.98966,17.98966,0
106,1376,DNL,07/07/2021,17.98966,17.98966,17.98966,17.98966,0
107,1377,DNL,07/08/2021,17.98966,17.98966,17.98966,17.98966,0
108,1378,DNL,07/12/2021,17.98966,17.98966,17.98966,17.98966,0
109,1379,DNL,07/13/2021,17.98966,17.98966,17.98966,17.98966,0
110,1380,DNL,07/14/2021,17.98966,17.98966,17.98966,17.98966,0
111,1381,DNL,07/15/2021,17.98966,17.98966,17.98966,17.98966,0
112,1382,DNL,07/16/2021,18.4394,18.4394,18.4394,18.4394,1000
113,1383,DNL,07/19/2021,18.4394,18.4394,18.4394,18.4394,0
114,1384,DNL,07/20/2021,18.4394,18.4394,18.4394,18.4394,0
115,1385,DNL,07/21/2021,18.4394,18.4394,18.4394,18.4394,0
116,1386,DNL,07/22/2021,18.4394,18.4394,18.4394,18.4394,0
117,1387,DNL,07/23/2021,18.4394,18.4394,18.4394,18.4394,0
118,1388,DNL,07/26/2021,18.4394,18.4394,18.4394,18.4394,0
119,1389,DNL,07/27/2021,18.4394,18.4394,18.4394,18.4394,0
120,1390,DNL,07/28/2021,18.4394,18.4394,18.4394,18.4394,0
121,1391,DNL,07/29/2021,18.4394,18.4394,18.4394,18.4394,0
122,1392,DNL,07/30/2021,18.88914,18.88914,18.88914,18.88914,100
123,1393,DNL,08/02/2021,18.88914,18.88914,18.88914,18.88914,0
124,1394,DNL,08/03/2021,20.23837,20.23837,20.23837,20.23837,1000
125,1395,DNL,08/04/2021,20.23837,20.23837,20.23837,20.23837,0
126,1396,DNL,08/05/2021,20.23837,20.23837,20.23837,20.23837,0
