,index,Ticker,Date,Open,High,Low,Close,Volume
0,574,DSP,01/29/2021,8.9,8.9,8.9,8.9,0
1,575,DSP,02/01/2021,8.9,8.9,8.9,8.9,0
2,576,DSP,02/02/2021,8.9,8.9,8.9,8.9,0
3,577,DSP,02/03/2021,8.9,8.9,8.9,8.9,0
4,578,DSP,02/04/2021,8.9,8.9,8.9,8.9,0
5,579,DSP,02/05/2021,8.9,8.9,8.9,8.9,0
6,580,DSP,02/08/2021,8.9,8.9,8.9,8.9,0
7,581,DSP,02/09/2021,8.9,8.9,8.9,8.9,0
8,582,DSP,02/17/2021,8.9,8.9,8.9,8.9,0
9,583,DSP,02/18/2021,8.9,8.9,8.9,8.9,600
10,584,DSP,02/19/2021,8.9,8.9,8.9,8.9,0
11,585,DSP,02/22/2021,8.9,8.9,8.9,8.9,100
12,586,DSP,02/23/2021,8.9,8.9,8.9,8.9,0
13,587,DSP,02/24/2021,8.9,8.9,8.9,8.9,1000
14,588,DSP,02/25/2021,8.9,8.9,8.9,8.9,0
15,589,DSP,02/26/2021,8.9,8.9,8.9,8.9,0
16,590,DSP,03/01/2021,10.2,10.2,10.2,10.2,4600
17,591,DSP,03/02/2021,10.2,10.2,10.2,10.2,0
18,592,DSP,03/03/2021,10.2,10.2,10.2,10.2,0
19,593,DSP,03/04/2021,10.2,10.2,10.2,10.2,0
20,594,DSP,03/05/2021,10.2,10.2,10.2,10.2,0
21,595,DSP,03/08/2021,11.7,11.7,10.0,10.0,6000
22,596,DSP,03/09/2021,11.5,11.5,11.5,11.5,200
23,597,DSP,03/10/2021,11.7,13.2,11.7,13.2,1000
24,598,DSP,03/11/2021,12.5,12.5,12.0,12.0,1000
25,599,DSP,03/12/2021,12.2,12.2,12.2,12.2,0
26,600,DSP,03/15/2021,12.2,12.2,12.2,12.2,0
27,601,DSP,03/16/2021,12.2,12.2,12.2,12.2,0
28,602,DSP,03/17/2021,10.4,12.2,10.4,12.2,4700
29,603,DSP,03/18/2021,12.1,12.1,12.1,12.1,0
30,604,DSP,03/19/2021,11.0,11.5,11.0,11.0,1800
31,605,DSP,03/22/2021,11.1,11.1,11.1,11.1,0
32,606,DSP,03/23/2021,11.0,11.0,11.0,11.0,300
33,607,DSP,03/24/2021,11.0,11.0,11.0,11.0,400
34,608,DSP,03/25/2021,11.0,11.0,11.0,11.0,0
35,609,DSP,03/26/2021,10.8,10.8,10.8,10.8,400
36,610,DSP,03/29/2021,10.8,10.8,10.8,10.8,0
37,611,DSP,03/30/2021,10.8,10.8,10.8,10.8,0
38,612,DSP,03/31/2021,10.8,10.9,10.8,10.9,300
39,613,DSP,04/01/2021,10.8,10.8,10.8,10.8,100
