,index,Ticker,Date,Open,High,Low,Close,Volume
0,627,FIC,02/02/2021,7.676846,8.365793,7.676846,8.365793,400
1,628,FIC,02/03/2021,9.350004,9.350004,9.350004,9.350004,100
2,629,FIC,02/04/2021,8.857899,8.857899,8.267372,8.267372,300
3,630,FIC,02/05/2021,9.84211,9.84211,8.267372,8.267372,12800
4,631,FIC,02/08/2021,10.23579,10.23579,8.365793,8.365793,600
5,632,FIC,02/09/2021,9.546846,9.546846,8.365793,8.365793,300
6,633,FIC,02/17/2021,8.365793,8.464214,7.775267,7.775267,7500
7,634,FIC,02/18/2021,9.054741,9.054741,7.775267,7.775267,14600
8,635,FIC,02/19/2021,8.95632,8.95632,7.775267,7.775267,900
9,636,FIC,02/22/2021,8.95632,8.95632,7.578425,7.578425,7900
10,637,FIC,02/23/2021,7.676846,7.775267,7.578425,7.775267,900
11,638,FIC,02/24/2021,7.775267,8.267372,7.775267,8.267372,1200
12,639,FIC,02/25/2021,7.480004,7.873688,7.480004,7.873688,500
13,640,FIC,02/26/2021,8.07053,8.07053,8.07053,8.07053,100
14,641,FIC,03/01/2021,8.07053,8.07053,7.775267,7.775267,1700
15,642,FIC,03/02/2021,8.857899,8.857899,7.873688,7.873688,6100
16,643,FIC,03/03/2021,7.873688,7.972109,7.775267,7.972109,16600
17,644,FIC,03/04/2021,7.873688,7.873688,7.676846,7.873688,24500
18,645,FIC,03/05/2021,8.168951,8.168951,7.873688,7.873688,4400
19,646,FIC,03/08/2021,8.857899,8.857899,7.775267,7.775267,900
20,647,FIC,03/09/2021,8.07053,8.365793,8.07053,8.168951,11200
21,648,FIC,03/10/2021,8.661057,8.661057,8.168951,8.267372,11600
22,649,FIC,03/11/2021,8.857899,8.857899,8.267372,8.759478,33700
23,650,FIC,03/12/2021,8.857899,8.857899,8.365793,8.365793,66900
24,651,FIC,03/15/2021,9.546846,9.546846,8.365793,9.546846,65900
25,652,FIC,03/16/2021,9.546846,9.546846,8.857899,9.054741,17000
26,653,FIC,03/17/2021,9.350004,9.350004,8.857899,8.857899,18500
27,654,FIC,03/18/2021,8.759478,10.23579,8.464214,10.23579,168400
