,index,Ticker,Date,Open,High,Low,Close,Volume
0,814,FTI,01/28/2021,3.5,3.5,3.5,3.5,0
1,815,FTI,01/29/2021,3.5,3.5,3.5,3.5,0
2,816,FTI,02/01/2021,3.5,3.5,3.5,3.5,0
3,817,FTI,02/02/2021,3.5,3.5,3.5,3.5,0
4,818,FTI,02/03/2021,3.5,3.5,3.5,3.5,0
5,819,FTI,02/04/2021,3.5,3.5,3.5,3.5,0
6,820,FTI,02/05/2021,3.5,3.5,3.5,3.5,0
7,821,FTI,02/08/2021,3.5,3.5,3.5,3.5,0
8,822,FTI,02/09/2021,3.5,3.5,3.5,3.5,0
9,823,FTI,02/17/2021,3.5,3.5,3.5,3.5,0
10,824,FTI,02/18/2021,3.5,3.5,3.5,3.5,0
11,825,FTI,02/19/2021,3.5,3.5,3.5,3.5,0
12,826,FTI,02/22/2021,3.5,3.5,3.5,3.5,0
13,827,FTI,02/23/2021,3.5,3.5,3.5,3.5,0
14,828,FTI,02/24/2021,3.5,3.5,3.5,3.5,0
15,829,FTI,02/25/2021,3.5,3.5,3.5,3.5,0
16,830,FTI,02/26/2021,3.5,3.5,3.5,3.5,0
17,831,FTI,03/01/2021,3.5,3.5,3.5,3.5,0
18,832,FTI,03/02/2021,3.5,3.5,3.5,3.5,0
19,833,FTI,03/03/2021,3.5,3.5,3.5,3.5,0
20,834,FTI,03/04/2021,3.5,3.5,3.5,3.5,0
21,835,FTI,03/05/2021,3.5,3.5,3.5,3.5,0
22,836,FTI,03/08/2021,3.5,3.5,3.5,3.5,0
23,837,FTI,03/09/2021,3.5,3.5,3.5,3.5,0
24,838,FTI,03/10/2021,3.5,3.5,3.5,3.5,0
25,839,FTI,03/11/2021,3.5,3.5,3.5,3.5,0
26,840,FTI,03/12/2021,3.5,3.5,3.5,3.5,0
27,841,FTI,03/15/2021,3.5,3.5,3.5,3.5,0
28,842,FTI,03/16/2021,3.5,3.5,3.5,3.5,0
29,843,FTI,03/17/2021,3.5,3.5,3.5,3.5,0
30,844,FTI,03/18/2021,3.5,3.5,3.5,3.5,0
31,845,FTI,03/19/2021,3.5,3.5,3.5,3.5,0
32,846,FTI,03/22/2021,3.5,3.5,3.5,3.5,0
33,847,FTI,03/23/2021,3.5,3.5,3.5,3.5,0
34,848,FTI,03/24/2021,3.5,3.5,3.5,3.5,0
35,849,FTI,03/25/2021,3.5,3.5,3.5,3.5,0
36,850,FTI,03/26/2021,3.5,3.5,3.5,3.5,0
37,851,FTI,03/29/2021,3.5,3.5,3.5,3.5,0
38,852,FTI,03/30/2021,3.5,3.5,3.5,3.5,0
39,853,FTI,03/31/2021,3.5,3.5,3.5,3.5,0
40,854,FTI,04/01/2021,3.5,3.5,3.5,3.5,0
41,855,FTI,04/02/2021,3.5,3.5,3.5,3.5,0
42,856,FTI,04/05/2021,3.5,3.5,3.5,3.5,0
43,857,FTI,04/06/2021,3.5,3.5,3.5,3.5,0
44,858,FTI,04/07/2021,3.5,3.5,3.5,3.5,0
45,859,FTI,04/08/2021,3.5,3.5,3.5,3.5,0
46,860,FTI,04/09/2021,3.5,3.5,3.5,3.5,0
47,861,FTI,04/12/2021,3.5,3.5,3.5,3.5,0
48,862,FTI,04/13/2021,3.5,3.5,3.5,3.5,0
49,863,FTI,04/14/2021,3.5,3.5,3.5,3.5,0
50,864,FTI,04/15/2021,3.5,3.5,3.5,3.5,0
51,865,FTI,04/16/2021,3.5,3.5,3.5,3.5,0
52,866,FTI,04/19/2021,3.5,3.5,3.5,3.5,0
53,867,FTI,04/20/2021,3.5,3.5,3.5,3.5,0
54,868,FTI,04/22/2021,3.5,3.5,3.5,3.5,0
55,869,FTI,04/23/2021,3.5,3.5,3.5,3.5,0
56,870,FTI,04/26/2021,3.5,3.5,3.5,3.5,0
57,871,FTI,04/27/2021,3.5,3.5,3.5,3.5,0
58,872,FTI,04/28/2021,3.5,3.5,3.5,3.5,0
59,873,FTI,04/29/2021,3.5,3.5,3.5,3.5,0
60,874,FTI,05/04/2021,3.5,3.5,3.5,3.5,0
61,875,FTI,05/05/2021,3.5,3.5,3.5,3.5,0
62,876,FTI,05/06/2021,3.5,3.5,3.5,3.5,0
63,877,FTI,05/07/2021,3.5,3.5,3.5,3.5,0
64,878,FTI,05/10/2021,3.5,3.5,3.5,3.5,0
65,879,FTI,05/11/2021,3.5,3.5,3.5,3.5,0
66,880,FTI,05/12/2021,3.5,3.5,3.5,3.5,0
67,881,FTI,05/13/2021,3.5,3.5,3.5,3.5,0
68,882,FTI,05/14/2021,3.5,3.5,3.5,3.5,0
69,883,FTI,05/17/2021,3.5,3.5,3.5,3.5,0
70,884,FTI,05/18/2021,3.5,3.5,3.5,3.5,0
71,885,FTI,05/19/2021,3.5,3.5,3.5,3.5,0
72,886,FTI,05/20/2021,3.5,3.5,3.5,3.5,0
73,887,FTI,05/21/2021,3.5,3.5,3.5,3.5,0
74,888,FTI,05/24/2021,3.5,3.5,3.5,3.5,0
75,889,FTI,05/25/2021,3.5,3.5,3.5,3.5,0
76,890,FTI,05/26/2021,3.5,3.5,3.5,3.5,0
77,891,FTI,05/27/2021,3.5,3.5,3.5,3.5,0
78,892,FTI,05/28/2021,3.5,3.5,3.5,3.5,0
79,893,FTI,05/31/2021,3.5,3.5,3.5,3.5,0
80,894,FTI,06/01/2021,3.5,3.5,3.5,3.5,0
81,895,FTI,06/02/2021,3.5,3.5,3.5,3.5,0
82,896,FTI,06/03/2021,3.5,3.5,3.5,3.5,0
83,897,FTI,06/04/2021,3.5,3.5,3.5,3.5,0
84,898,FTI,06/07/2021,3.5,3.5,3.5,3.5,0
85,899,FTI,06/08/2021,3.5,3.5,3.5,3.5,0
86,900,FTI,06/09/2021,3.5,3.5,3.5,3.5,0
87,901,FTI,06/10/2021,3.5,3.5,3.5,3.5,0
88,902,FTI,06/11/2021,3.5,3.5,3.5,3.5,0
89,903,FTI,06/14/2021,3.5,3.5,3.5,3.5,0
90,904,FTI,06/15/2021,3.5,3.5,3.5,3.5,0
91,905,FTI,06/16/2021,3.5,3.5,3.5,3.5,0
92,906,FTI,06/17/2021,3.5,3.5,3.5,3.5,0
93,907,FTI,06/18/2021,3.5,3.5,3.5,3.5,0
94,908,FTI,06/21/2021,3.5,3.5,3.5,3.5,0
95,909,FTI,06/22/2021,3.5,3.5,3.5,3.5,0
