,index,Ticker,Date,Open,High,Low,Close,Volume
0,1287,GSM,01/28/2021,7.927308,7.927308,7.927308,7.927308,0
1,1288,GSM,01/29/2021,7.927308,7.927308,7.927308,7.927308,0
2,1289,GSM,02/01/2021,7.927308,7.927308,7.927308,7.927308,0
3,1290,GSM,02/02/2021,9.033444,9.033444,9.033444,9.033444,100
4,1291,GSM,02/03/2021,9.033444,9.033444,9.033444,9.033444,0
5,1292,GSM,02/04/2021,10.32394,10.32394,10.32394,10.32394,18600
6,1293,GSM,02/05/2021,11.79878,11.79878,8.849088,8.849088,700
7,1294,GSM,02/08/2021,10.13958,10.13958,10.13958,10.13958,0
8,1295,GSM,02/09/2021,10.13958,10.13958,10.13958,10.13958,0
9,1296,GSM,02/17/2021,10.13958,10.13958,10.13958,10.13958,0
10,1297,GSM,02/18/2021,10.13958,10.13958,10.13958,10.13958,0
11,1298,GSM,02/19/2021,10.13958,10.13958,10.13958,10.13958,0
12,1299,GSM,02/22/2021,10.13958,10.13958,10.13958,10.13958,0
13,1300,GSM,02/23/2021,10.13958,10.13958,10.13958,10.13958,0
14,1301,GSM,02/24/2021,10.13958,10.13958,10.13958,10.13958,0
15,1302,GSM,02/25/2021,10.13958,10.13958,10.13958,10.13958,0
16,1303,GSM,02/26/2021,10.13958,10.13958,10.13958,10.13958,0
17,1304,GSM,03/01/2021,10.13958,10.13958,10.13958,10.13958,0
18,1305,GSM,03/02/2021,10.13958,10.13958,10.13958,10.13958,0
19,1306,GSM,03/03/2021,10.13958,10.13958,10.13958,10.13958,0
20,1307,GSM,03/04/2021,9.2178,9.2178,9.2178,9.2178,800
21,1308,GSM,03/05/2021,9.2178,9.2178,9.2178,9.2178,0
22,1309,GSM,03/08/2021,7.83513,7.83513,7.83513,7.83513,6200
23,1310,GSM,03/09/2021,8.941266,8.941266,8.941266,8.941266,100
24,1311,GSM,03/10/2021,8.941266,8.941266,8.941266,8.941266,0
25,1312,GSM,03/11/2021,8.29602,8.29602,8.29602,8.29602,1300
26,1313,GSM,03/12/2021,8.29602,8.29602,8.29602,8.29602,0
27,1314,GSM,03/15/2021,9.494334,9.494334,9.494334,9.494334,200
28,1315,GSM,03/16/2021,9.494334,9.494334,9.494334,9.494334,0
29,1316,GSM,03/17/2021,8.111664,8.111664,8.111664,8.111664,100
30,1317,GSM,03/18/2021,9.309978,9.309978,9.309978,9.309978,100
31,1318,GSM,03/19/2021,9.309978,9.309978,9.309978,9.309978,0
32,1319,GSM,03/22/2021,9.309978,9.309978,9.309978,9.309978,0
33,1320,GSM,03/23/2021,9.309978,9.309978,9.309978,9.309978,0
34,1321,GSM,03/24/2021,9.309978,9.309978,9.309978,9.309978,0
35,1322,GSM,03/25/2021,9.309978,9.309978,9.309978,9.309978,0
36,1323,GSM,03/26/2021,8.75691,8.75691,8.75691,8.75691,4900
37,1324,GSM,03/29/2021,8.75691,8.75691,8.75691,8.75691,32400
38,1325,GSM,03/30/2021,8.75691,8.75691,8.75691,8.75691,0
39,1326,GSM,03/31/2021,8.75691,8.75691,8.75691,8.75691,0
40,1327,GSM,04/01/2021,8.75691,8.75691,8.75691,8.75691,0
41,1328,GSM,04/02/2021,8.75691,8.75691,8.75691,8.75691,0
42,1329,GSM,04/05/2021,8.75691,8.75691,8.75691,8.75691,0
43,1330,GSM,04/06/2021,8.75691,8.75691,8.75691,8.75691,0
44,1331,GSM,04/07/2021,8.75691,8.75691,8.75691,8.75691,0
45,1332,GSM,04/08/2021,8.75691,8.75691,8.75691,8.75691,9900
46,1333,GSM,04/09/2021,8.75691,8.75691,8.75691,8.75691,2000
47,1334,GSM,04/12/2021,8.75691,8.75691,8.75691,8.75691,5000
48,1335,GSM,04/13/2021,9.67869,9.67869,9.67869,9.67869,3500
49,1336,GSM,04/14/2021,9.67869,9.67869,9.67869,9.67869,0
50,1337,GSM,04/15/2021,9.67869,9.67869,9.67869,9.67869,0
51,1338,GSM,04/16/2021,9.67869,9.67869,9.67869,9.67869,0
52,1339,GSM,04/19/2021,8.29602,8.29602,8.29602,8.29602,1200
53,1340,GSM,04/20/2021,8.849088,8.849088,8.849088,8.849088,2500
54,1341,GSM,04/22/2021,8.849088,8.849088,8.849088,8.849088,9700
55,1342,GSM,04/23/2021,8.849088,10.13958,8.849088,9.2178,76500
56,1343,GSM,04/26/2021,8.849088,10.13958,8.849088,10.13958,110700
57,1344,GSM,04/27/2021,10.13958,10.13958,9.2178,9.2178,18500
58,1345,GSM,04/28/2021,10.0474,10.13958,10.0474,10.13958,700
59,1346,GSM,04/29/2021,8.941266,8.941266,8.941266,8.941266,1400
60,1347,GSM,05/04/2021,8.849088,10.23176,8.75691,8.849088,57100
61,1348,GSM,05/05/2021,10.41611,10.41611,8.941266,8.941266,118400
62,1349,GSM,05/06/2021,9.033444,9.033444,9.033444,9.033444,1100
63,1350,GSM,05/07/2021,8.941266,8.941266,8.941266,8.941266,1200
64,1351,GSM,05/10/2021,8.849088,10.23176,8.849088,10.23176,59300
65,1352,GSM,05/11/2021,9.125622,10.23176,9.125622,9.309978,2200
66,1353,GSM,05/12/2021,9.2178,9.2178,9.2178,9.2178,1000
67,1354,GSM,05/13/2021,10.13958,10.60047,10.13958,10.60047,118900
68,1355,GSM,05/14/2021,9.309978,10.60047,9.309978,10.60047,47900
69,1356,GSM,05/17/2021,9.402156,9.402156,9.402156,9.402156,500
70,1357,GSM,05/18/2021,9.402156,9.402156,9.402156,9.402156,1200
71,1358,GSM,05/19/2021,9.402156,9.402156,9.402156,9.402156,300
72,1359,GSM,05/20/2021,9.402156,9.402156,9.402156,9.402156,0
73,1360,GSM,05/21/2021,9.402156,9.402156,9.402156,9.402156,0
74,1361,GSM,05/24/2021,9.033444,9.402156,9.033444,9.033444,1500
75,1362,GSM,05/25/2021,10.50829,10.69265,10.41611,10.69265,24100
76,1363,GSM,05/26/2021,10.78483,10.78483,10.78483,10.78483,24500
77,1364,GSM,05/27/2021,10.78483,10.78483,10.78483,10.78483,0
78,1365,GSM,05/28/2021,10.78483,10.78483,10.78483,10.78483,0
79,1366,GSM,05/31/2021,10.78483,10.78483,10.78483,10.78483,0
80,1367,GSM,06/01/2021,10.78483,10.78483,10.78483,10.78483,0
81,1368,GSM,06/02/2021,10.78483,10.78483,10.78483,10.78483,0
82,1369,GSM,06/03/2021,10.78483,10.78483,10.78483,10.78483,0
83,1370,GSM,06/04/2021,10.78483,10.78483,10.78483,10.78483,0
84,1371,GSM,06/07/2021,10.78483,10.78483,10.78483,10.78483,0
85,1372,GSM,06/08/2021,10.78483,10.78483,10.78483,10.78483,0
86,1373,GSM,06/09/2021,10.78483,10.78483,10.78483,10.78483,0
87,1374,GSM,06/10/2021,10.78483,10.78483,10.78483,10.78483,0
88,1375,GSM,06/11/2021,10.69265,10.69265,10.69265,10.69265,1000
89,1376,GSM,06/14/2021,10.69265,10.69265,10.69265,10.69265,0
90,1377,GSM,06/15/2021,10.69265,10.69265,10.69265,10.69265,0
91,1378,GSM,06/16/2021,10.69265,10.69265,10.69265,10.69265,0
92,1379,GSM,06/17/2021,10.69265,10.69265,10.69265,10.69265,0
93,1380,GSM,06/18/2021,10.69265,10.69265,10.69265,10.69265,0
94,1381,GSM,06/21/2021,10.69265,10.69265,10.69265,10.69265,0
95,1382,GSM,06/22/2021,10.69265,10.69265,10.69265,10.69265,0
96,1383,GSM,06/23/2021,10.69265,10.69265,10.69265,10.69265,0
97,1384,GSM,06/24/2021,10.69265,10.69265,10.69265,10.69265,0
98,1385,GSM,06/25/2021,10.69265,10.69265,10.69265,10.69265,0
99,1386,GSM,06/28/2021,10.69265,10.69265,10.69265,10.69265,0
100,1387,GSM,06/29/2021,10.69265,10.69265,10.69265,10.69265,0
101,1388,GSM,06/30/2021,10.69265,10.69265,10.69265,10.69265,0
102,1389,GSM,07/01/2021,10.69265,10.69265,10.69265,10.69265,0
103,1390,GSM,07/02/2021,10.69265,10.69265,10.69265,10.69265,0
104,1391,GSM,07/05/2021,10.69265,10.69265,10.69265,10.69265,0
105,1392,GSM,07/06/2021,10.69265,10.69265,10.69265,10.69265,0
106,1393,GSM,07/07/2021,10.69265,10.69265,10.69265,10.69265,0
107,1394,GSM,07/08/2021,10.69265,10.69265,10.69265,10.69265,0
108,1395,GSM,07/12/2021,10.69265,10.69265,10.69265,10.69265,0
109,1396,GSM,07/13/2021,10.69265,10.69265,10.69265,10.69265,0
110,1397,GSM,07/14/2021,10.69265,10.69265,10.69265,10.69265,0
111,1398,GSM,07/15/2021,10.69265,10.69265,10.69265,10.69265,0
112,1399,GSM,07/16/2021,10.69265,10.69265,10.69265,10.69265,0
113,1400,GSM,07/19/2021,10.69265,10.69265,10.69265,10.69265,0
114,1401,GSM,07/20/2021,10.69265,10.69265,10.69265,10.69265,0
115,1402,GSM,07/21/2021,10.69265,10.69265,10.69265,10.69265,0
