,index,Ticker,Date,Open,High,Low,Close,Volume
0,1027,KCB,02/02/2021,2.8,2.8,2.8,2.8,2000
1,1028,KCB,02/03/2021,2.4,2.9,2.4,2.9,8200
2,1029,KCB,02/04/2021,2.2,2.7,2.2,2.7,15500
3,1030,KCB,02/05/2021,3.1,3.1,2.4,2.4,4100
4,1031,KCB,02/08/2021,2.6,2.6,2.6,2.6,100
5,1032,KCB,02/09/2021,2.5,2.8,2.5,2.6,3600
6,1033,KCB,02/17/2021,2.5,2.5,2.5,2.5,4600
7,1034,KCB,02/18/2021,2.8,2.8,2.8,2.8,1700
8,1035,KCB,02/19/2021,2.8,2.8,2.4,2.4,2500
9,1036,KCB,02/22/2021,2.4,2.4,2.4,2.4,0
10,1037,KCB,02/23/2021,2.4,2.7,2.4,2.7,3300
11,1038,KCB,02/24/2021,2.6,2.6,2.4,2.4,1700
12,1039,KCB,02/25/2021,2.7,2.7,2.7,2.7,100
13,1040,KCB,02/26/2021,2.7,2.7,2.7,2.7,500
14,1041,KCB,03/01/2021,2.7,2.7,2.7,2.7,0
15,1042,KCB,03/02/2021,2.6,2.7,2.6,2.7,3000
16,1043,KCB,03/03/2021,2.7,2.7,2.7,2.7,15000
17,1044,KCB,03/04/2021,2.7,2.7,2.7,2.7,300
18,1045,KCB,03/05/2021,2.7,3.0,2.7,3.0,6800
19,1046,KCB,03/08/2021,3.2,3.2,3.2,3.2,28800
20,1047,KCB,03/09/2021,3.6,3.6,3.6,3.6,19300
21,1048,KCB,03/10/2021,4.1,4.1,4.1,4.1,11400
22,1049,KCB,03/11/2021,4.7,4.7,4.1,4.3,32400
23,1050,KCB,03/12/2021,4.5,5.0,4.0,5.0,5700
24,1051,KCB,03/15/2021,4.0,4.0,3.5,3.5,1200
25,1052,KCB,03/16/2021,3.6,4.1,3.6,4.1,7500
26,1053,KCB,03/17/2021,4.4,4.4,4.4,4.4,200
27,1054,KCB,03/18/2021,3.8,4.1,3.8,4.0,11400
28,1055,KCB,03/19/2021,3.7,3.9,3.7,3.8,8600
