,index,Ticker,Date,Open,High,Low,Close,Volume
0,720,LDW,01/28/2021,12.30001,12.30001,12.30001,12.30001,0
1,721,LDW,01/29/2021,12.30001,12.30001,12.30001,12.30001,0
2,722,LDW,02/01/2021,12.30001,12.30001,12.30001,12.30001,0
3,723,LDW,02/02/2021,12.30001,12.30001,12.30001,12.30001,0
4,724,LDW,02/03/2021,12.30001,12.30001,12.30001,12.30001,0
5,725,LDW,02/04/2021,12.30001,12.30001,12.30001,12.30001,0
6,726,LDW,02/05/2021,12.30001,12.30001,12.30001,12.30001,0
7,727,LDW,02/08/2021,12.30001,12.30001,12.30001,12.30001,0
8,728,LDW,02/09/2021,12.30001,12.30001,12.30001,12.30001,0
9,729,LDW,02/17/2021,12.30001,12.30001,12.30001,12.30001,0
10,730,LDW,02/18/2021,12.30001,12.30001,12.30001,12.30001,0
11,731,LDW,02/19/2021,12.30001,12.30001,12.30001,12.30001,0
12,732,LDW,02/22/2021,12.30001,12.30001,12.30001,12.30001,0
13,733,LDW,02/23/2021,12.30001,12.30001,12.30001,12.30001,0
14,734,LDW,02/24/2021,12.30001,12.30001,12.30001,12.30001,0
15,735,LDW,02/25/2021,12.30001,12.30001,12.30001,12.30001,0
16,736,LDW,02/26/2021,12.30001,12.30001,12.30001,12.30001,0
17,737,LDW,03/01/2021,12.30001,12.30001,12.30001,12.30001,0
18,738,LDW,03/02/2021,12.30001,12.30001,12.30001,12.30001,0
19,739,LDW,03/03/2021,12.30001,12.30001,12.30001,12.30001,0
20,740,LDW,03/04/2021,12.30001,12.30001,12.30001,12.30001,0
21,741,LDW,03/05/2021,12.30001,12.30001,12.30001,12.30001,0
22,742,LDW,03/08/2021,12.30001,12.30001,12.30001,12.30001,0
23,743,LDW,03/09/2021,12.30001,12.30001,12.30001,12.30001,0
24,744,LDW,03/10/2021,12.30001,12.30001,12.30001,12.30001,0
25,745,LDW,03/11/2021,12.30001,12.30001,12.30001,12.30001,0
26,746,LDW,03/12/2021,12.30001,12.30001,12.30001,12.30001,0
27,747,LDW,03/15/2021,12.30001,12.30001,12.30001,12.30001,0
28,748,LDW,03/16/2021,12.30001,12.30001,12.30001,12.30001,0
29,749,LDW,03/17/2021,12.30001,12.30001,12.30001,12.30001,0
30,750,LDW,03/18/2021,12.30001,12.30001,12.30001,12.30001,0
31,751,LDW,03/19/2021,12.30001,12.30001,12.30001,12.30001,0
32,752,LDW,03/22/2021,12.30001,12.30001,12.30001,12.30001,0
33,753,LDW,03/23/2021,12.30001,12.30001,12.30001,12.30001,0
34,754,LDW,03/24/2021,12.30001,12.30001,12.30001,12.30001,0
35,755,LDW,03/25/2021,12.30001,12.30001,12.30001,12.30001,0
36,756,LDW,03/26/2021,12.30001,12.30001,12.30001,12.30001,0
37,757,LDW,03/29/2021,12.30001,12.30001,12.30001,12.30001,0
38,758,LDW,03/30/2021,12.30001,12.30001,12.30001,12.30001,0
39,759,LDW,03/31/2021,12.30001,12.30001,12.30001,12.30001,0
40,760,LDW,04/01/2021,12.30001,12.30001,12.30001,12.30001,0
41,761,LDW,04/02/2021,12.30001,12.30001,12.30001,12.30001,0
42,762,LDW,04/05/2021,12.30001,12.30001,12.30001,12.30001,0
43,763,LDW,04/06/2021,12.30001,12.30001,12.30001,12.30001,0
44,764,LDW,04/07/2021,12.30001,12.30001,12.30001,12.30001,0
45,765,LDW,04/08/2021,12.30001,12.30001,12.30001,12.30001,0
46,766,LDW,04/09/2021,12.30001,12.30001,12.30001,12.30001,0
47,767,LDW,04/12/2021,12.30001,12.30001,12.30001,12.30001,0
48,768,LDW,04/13/2021,12.30001,12.30001,12.30001,12.30001,0
49,769,LDW,04/14/2021,12.30001,12.30001,12.30001,12.30001,0
50,770,LDW,04/15/2021,12.30001,12.30001,12.30001,12.30001,0
51,771,LDW,04/16/2021,12.30001,12.30001,12.30001,12.30001,0
52,772,LDW,04/19/2021,12.30001,12.30001,12.30001,12.30001,0
53,773,LDW,04/20/2021,12.30001,12.30001,12.30001,12.30001,0
54,774,LDW,04/22/2021,12.30001,12.30001,12.30001,12.30001,0
55,775,LDW,04/23/2021,12.30001,12.30001,12.30001,12.30001,0
56,776,LDW,04/26/2021,12.30001,12.30001,12.30001,12.30001,0
57,777,LDW,04/27/2021,12.30001,12.30001,12.30001,12.30001,0
58,778,LDW,04/28/2021,12.30001,12.30001,12.30001,12.30001,0
59,779,LDW,04/29/2021,12.30001,12.30001,12.30001,12.30001,0
60,780,LDW,05/04/2021,12.30001,12.30001,12.30001,12.30001,0
61,781,LDW,05/05/2021,12.30001,12.30001,12.30001,12.30001,0
62,782,LDW,05/06/2021,12.30001,12.30001,12.30001,12.30001,0
63,783,LDW,05/07/2021,12.30001,12.30001,12.30001,12.30001,0
64,784,LDW,05/10/2021,12.30001,12.30001,12.30001,12.30001,0
65,785,LDW,05/11/2021,12.30001,12.30001,12.30001,12.30001,0
66,786,LDW,05/12/2021,12.30001,12.30001,12.30001,12.30001,0
67,787,LDW,05/13/2021,12.30001,12.30001,12.30001,12.30001,0
68,788,LDW,05/14/2021,12.30001,12.30001,12.30001,12.30001,0
69,789,LDW,05/17/2021,12.30001,12.30001,12.30001,12.30001,0
70,790,LDW,05/18/2021,12.30001,12.30001,12.30001,12.30001,0
71,791,LDW,05/19/2021,12.30001,12.30001,12.30001,12.30001,0
72,792,LDW,05/20/2021,12.30001,12.30001,12.30001,12.30001,0
73,793,LDW,05/21/2021,12.30001,12.30001,12.30001,12.30001,0
74,794,LDW,05/24/2021,12.30001,12.30001,12.30001,12.30001,0
75,795,LDW,05/25/2021,12.30001,12.30001,12.30001,12.30001,0
76,796,LDW,05/26/2021,12.30001,12.30001,12.30001,12.30001,0
77,797,LDW,05/27/2021,12.30001,12.30001,12.30001,12.30001,0
78,798,LDW,05/28/2021,12.30001,12.30001,12.30001,12.30001,0
79,799,LDW,05/31/2021,12.30001,12.30001,12.30001,12.30001,0
80,800,LDW,06/01/2021,12.30001,12.30001,12.30001,12.30001,0
81,801,LDW,06/02/2021,12.30001,12.30001,12.30001,12.30001,0
82,802,LDW,06/03/2021,12.30001,12.30001,12.30001,12.30001,0
83,803,LDW,06/04/2021,12.30001,12.30001,12.30001,12.30001,0
84,804,LDW,06/07/2021,12.30001,12.30001,12.30001,12.30001,0
85,805,LDW,06/08/2021,12.30001,12.30001,12.30001,12.30001,0
86,806,LDW,06/09/2021,12.30001,12.30001,12.30001,12.30001,0
87,807,LDW,06/10/2021,12.30001,12.30001,12.30001,12.30001,0
88,808,LDW,06/11/2021,12.30001,12.30001,12.30001,12.30001,0
89,809,LDW,06/14/2021,12.30001,12.30001,12.30001,12.30001,0
90,810,LDW,06/15/2021,12.30001,12.30001,12.30001,12.30001,0
91,811,LDW,06/16/2021,12.30001,12.30001,12.30001,12.30001,0
92,812,LDW,06/17/2021,12.3,12.3,12.3,12.3,0
93,813,LDW,06/18/2021,12.3,12.3,12.3,12.3,0
94,814,LDW,06/21/2021,12.3,12.3,12.3,12.3,0
95,815,LDW,06/22/2021,12.3,12.3,12.3,12.3,0
