,index,Ticker,Date,Open,High,Low,Close,Volume
0,657,MQN,02/01/2021,25.16108,25.16108,25.16108,25.16108,900
1,658,MQN,02/02/2021,25.51054,25.51054,25.51054,25.51054,100
2,659,MQN,02/03/2021,26.06968,26.55892,26.06968,26.55892,9500
3,660,MQN,02/04/2021,25.9299,25.9299,25.86,25.86,2000
4,661,MQN,02/05/2021,26.48903,26.55892,25.86,26.55892,4900
5,662,MQN,02/08/2021,26.20946,26.20946,26.20946,26.20946,300
6,663,MQN,02/09/2021,25.86,26.55892,25.86,26.55892,2500
7,664,MQN,02/17/2021,26.55892,26.90838,26.55892,26.90838,1900
8,665,MQN,02/18/2021,26.90838,27.95676,26.90838,27.95676,1300
9,666,MQN,02/19/2021,27.95676,27.95676,27.95676,27.95676,1000
10,667,MQN,02/22/2021,28.65568,29.00514,28.65568,28.65568,2400
11,668,MQN,02/23/2021,28.65568,28.86535,28.30622,28.5159,4000
12,669,MQN,02/24/2021,28.65568,28.65568,28.30622,28.58579,4900
13,670,MQN,02/25/2021,28.65568,29.00514,28.65568,29.00514,6100
14,671,MQN,02/26/2021,28.65568,28.65568,28.30622,28.65568,2500
15,672,MQN,03/01/2021,28.65568,29.00514,28.65568,28.86535,3900
16,673,MQN,03/02/2021,28.86535,29.00514,28.65568,28.65568,4500
17,674,MQN,03/03/2021,28.65568,28.65568,28.65568,28.65568,3000
18,675,MQN,03/04/2021,28.65568,28.65568,28.65568,28.65568,2300
19,676,MQN,03/05/2021,28.72557,29.3546,28.72557,28.72557,4200
20,677,MQN,03/08/2021,28.93525,29.00514,28.93525,29.00514,1700
21,678,MQN,03/09/2021,29.56427,29.56427,29.07503,29.07503,500
22,679,MQN,03/10/2021,29.21482,29.42449,29.21482,29.42449,1700
23,680,MQN,03/11/2021,30.05352,30.12341,28.65568,29.14492,7900
24,681,MQN,03/12/2021,32.84919,32.84919,28.79546,30.68254,1600
25,682,MQN,03/15/2021,30.1933,30.1933,29.3546,29.56427,2600
26,683,MQN,03/16/2021,29.49438,29.77395,29.49438,29.70406,8500
27,684,MQN,03/17/2021,30.05352,30.05352,29.56427,29.70406,10900
28,685,MQN,03/18/2021,29.70406,30.75244,29.63416,29.77395,2000
29,686,MQN,03/19/2021,30.75244,31.45135,30.75244,31.45135,200
30,687,MQN,03/22/2021,30.05352,30.54276,29.77395,30.54276,2100
31,688,MQN,03/23/2021,29.84384,30.33308,29.84384,30.33308,400
32,689,MQN,03/24/2021,30.75244,30.75244,30.75244,30.75244,300
33,690,MQN,03/25/2021,32.84919,32.84919,29.70406,29.98363,2000
34,691,MQN,03/26/2021,31.45135,31.45135,29.84384,30.75244,500
35,692,MQN,03/29/2021,30.40298,30.40298,29.70406,30.33308,9200
36,693,MQN,03/30/2021,29.98363,29.98363,29.98363,29.98363,1500
37,694,MQN,03/31/2021,30.05352,30.05352,30.05352,30.05352,100
38,695,MQN,04/01/2021,30.05352,30.05352,29.70406,30.05352,1000
39,696,MQN,04/02/2021,30.05352,30.05352,28.86535,28.86535,1100
40,697,MQN,04/05/2021,29.49438,29.49438,29.28471,29.28471,2400
41,698,MQN,04/06/2021,30.75244,30.75244,29.21482,29.21482,800
42,699,MQN,04/07/2021,29.3546,30.05352,29.3546,29.3546,1600
43,700,MQN,04/08/2021,29.42449,29.42449,29.42449,29.42449,0
44,701,MQN,04/09/2021,29.3546,29.77395,29.3546,29.77395,1800
45,702,MQN,04/12/2021,29.42449,29.42449,29.42449,29.42449,0
46,703,MQN,04/13/2021,29.42449,29.42449,29.42449,29.42449,0
47,704,MQN,04/14/2021,28.09654,32.49973,25.0213,30.75244,11100
48,705,MQN,04/15/2021,30.75244,30.75244,30.61265,30.61265,400
49,706,MQN,04/16/2021,30.75244,30.75244,30.75244,30.75244,0
50,707,MQN,04/19/2021,29.70406,29.70406,29.70406,29.70406,100
51,708,MQN,04/20/2021,27.25784,29.63416,26.55892,29.63416,400
52,709,MQN,04/22/2021,28.93525,29.00514,28.93525,29.00514,300
53,710,MQN,04/23/2021,28.58579,28.79546,27.88687,27.88687,2600
54,711,MQN,04/26/2021,27.81698,27.95676,27.81698,27.95676,600
55,712,MQN,04/27/2021,27.88687,27.88687,27.88687,27.88687,0
56,713,MQN,04/28/2021,27.88687,27.95676,27.88687,27.95676,1000
57,714,MQN,04/29/2021,27.25784,29.21482,27.25784,29.21482,5600
58,715,MQN,05/04/2021,26.7686,27.95676,26.55892,27.6073,3500
59,716,MQN,05/05/2021,28.65568,28.65568,26.27935,27.95676,6500
60,717,MQN,05/06/2021,27.67719,27.67719,27.11806,27.53741,400
61,718,MQN,05/07/2021,26.55892,27.25784,26.41914,27.25784,6700
62,719,MQN,05/10/2021,26.7686,26.7686,26.7686,26.7686,0
