,index,Ticker,Date,Open,High,Low,Close,Volume
0,971,MTL,02/01/2021,10.0,10.0,7.4,10.0,400
1,972,MTL,02/02/2021,7.4,7.4,7.4,7.4,200
2,973,MTL,02/03/2021,8.5,8.5,8.5,8.5,100
3,974,MTL,02/04/2021,9.6,9.6,7.3,7.3,900
4,975,MTL,02/05/2021,8.7,8.7,8.7,8.7,100
5,976,MTL,02/08/2021,8.7,8.7,8.7,8.7,0
6,977,MTL,02/09/2021,7.4,7.4,7.4,7.4,200
7,978,MTL,02/17/2021,6.3,6.3,6.3,6.3,100
8,979,MTL,02/18/2021,5.4,7.2,5.4,7.1,5200
9,980,MTL,02/19/2021,6.7,6.7,6.0,6.6,4100
10,981,MTL,02/22/2021,5.5,7.3,5.5,6.3,9000
11,982,MTL,02/23/2021,6.4,6.5,6.4,6.5,6200
12,983,MTL,02/24/2021,6.4,7.4,6.4,7.4,8400
13,984,MTL,02/25/2021,7.5,8.0,7.5,8.0,5200
14,985,MTL,02/26/2021,8.8,8.8,7.7,8.8,7500
15,986,MTL,03/01/2021,9.7,9.7,9.7,9.7,7200
16,987,MTL,03/02/2021,9.7,11.1,8.3,11.1,3600
17,988,MTL,03/03/2021,10.4,10.4,10.4,10.4,1700
18,989,MTL,03/04/2021,11.9,11.9,11.9,11.9,1000
19,990,MTL,03/05/2021,13.6,13.6,13.6,13.6,1700
20,991,MTL,03/08/2021,13.6,13.6,13.6,13.6,0
21,992,MTL,03/09/2021,13.6,13.6,13.6,13.6,0
22,993,MTL,03/10/2021,11.6,11.6,11.6,11.6,1000
23,994,MTL,03/11/2021,10.1,10.1,9.9,9.9,2300
24,995,MTL,03/12/2021,10.1,10.1,9.0,9.0,1500
25,996,MTL,03/15/2021,10.2,11.1,8.3,11.1,4700
26,997,MTL,03/16/2021,10.5,10.5,10.2,10.2,2700
27,998,MTL,03/17/2021,10.9,11.0,10.2,10.8,1600
28,999,MTL,03/18/2021,10.3,11.0,9.8,9.9,2500
29,1000,MTL,03/19/2021,10.8,10.8,9.6,9.6,1200
30,1001,MTL,03/22/2021,10.0,10.1,10.0,10.1,1500
31,1002,MTL,03/23/2021,10.1,10.6,10.1,10.6,1000
32,1003,MTL,03/24/2021,11.1,11.1,10.9,10.9,600
33,1004,MTL,03/25/2021,10.0,10.5,10.0,10.0,800
34,1005,MTL,03/26/2021,11.5,11.5,10.7,10.7,1000
35,1006,MTL,03/29/2021,10.9,10.9,10.9,10.9,600
36,1007,MTL,03/30/2021,11.0,11.2,11.0,11.1,800
37,1008,MTL,03/31/2021,12.0,12.0,12.0,12.0,600
38,1009,MTL,04/01/2021,12.0,12.0,12.0,12.0,0
39,1010,MTL,04/02/2021,12.0,12.0,12.0,12.0,0
40,1011,MTL,04/05/2021,12.0,12.0,12.0,12.0,0
41,1012,MTL,04/06/2021,12.0,12.0,12.0,12.0,0
42,1013,MTL,04/07/2021,12.0,12.0,12.0,12.0,0
43,1014,MTL,04/08/2021,12.0,12.0,12.0,12.0,0
44,1015,MTL,04/09/2021,12.0,12.0,12.0,12.0,0
45,1016,MTL,04/12/2021,12.0,12.0,12.0,12.0,0
46,1017,MTL,04/13/2021,12.0,12.0,12.0,12.0,0
47,1018,MTL,04/14/2021,12.0,12.0,12.0,12.0,0
48,1019,MTL,04/15/2021,12.0,12.0,12.0,12.0,0
49,1020,MTL,04/16/2021,12.0,12.0,12.0,12.0,0
50,1021,MTL,04/19/2021,12.0,12.0,12.0,12.0,0
51,1022,MTL,04/20/2021,12.0,12.0,12.0,12.0,0
52,1023,MTL,04/22/2021,12.0,12.0,12.0,12.0,0
53,1024,MTL,04/23/2021,12.0,12.0,12.0,12.0,0
54,1025,MTL,04/26/2021,12.0,12.0,12.0,12.0,0
55,1026,MTL,04/27/2021,12.0,12.0,12.0,12.0,0
56,1027,MTL,04/28/2021,10.2,10.2,10.2,10.2,100
57,1028,MTL,04/29/2021,8.7,8.7,8.7,8.7,3000
58,1029,MTL,05/04/2021,7.4,7.4,7.4,7.4,700
59,1030,MTL,05/05/2021,7.4,8.5,7.4,8.5,200
60,1031,MTL,05/06/2021,8.1,8.1,8.1,8.1,100
61,1032,MTL,05/07/2021,7.4,7.4,7.4,7.4,1000
62,1033,MTL,05/10/2021,7.5,7.5,7.5,7.5,29000
63,1034,MTL,05/11/2021,7.5,7.5,7.5,7.5,0
64,1035,MTL,05/12/2021,7.5,7.5,7.5,7.5,0
65,1036,MTL,05/13/2021,7.5,7.5,7.5,7.5,0
66,1037,MTL,05/14/2021,7.5,7.5,7.5,7.5,0
67,1038,MTL,05/17/2021,7.5,7.5,7.5,7.5,0
68,1039,MTL,05/18/2021,7.5,7.5,7.5,7.5,0
69,1040,MTL,05/19/2021,7.5,7.5,7.5,7.5,0
70,1041,MTL,05/20/2021,7.5,7.5,7.5,7.5,0
71,1042,MTL,05/21/2021,6.4,6.4,6.4,6.4,500
72,1043,MTL,05/24/2021,6.4,6.4,6.4,6.4,0
73,1044,MTL,05/25/2021,6.5,6.5,6.4,6.4,4800
74,1045,MTL,05/26/2021,6.4,6.4,6.4,6.4,0
75,1046,MTL,05/27/2021,6.4,6.4,6.4,6.4,0
76,1047,MTL,05/28/2021,6.9,6.9,6.9,6.9,100
77,1048,MTL,05/31/2021,6.9,6.9,6.9,6.9,0
78,1049,MTL,06/01/2021,6.9,6.9,6.9,6.9,2300
79,1050,MTL,06/02/2021,5.9,5.9,5.9,5.9,100
80,1051,MTL,06/03/2021,6.0,6.6,5.5,6.6,1900
81,1052,MTL,06/04/2021,5.8,5.8,5.8,5.8,0
82,1053,MTL,06/07/2021,5.1,5.1,5.0,5.0,2100
83,1054,MTL,06/08/2021,5.0,5.0,5.0,5.0,4200
84,1055,MTL,06/09/2021,5.7,5.7,5.7,5.7,2000
85,1056,MTL,06/10/2021,6.5,6.5,6.5,6.5,6000
86,1057,MTL,06/11/2021,7.4,7.4,7.2,7.2,5400
87,1058,MTL,06/14/2021,8.1,8.1,7.7,7.7,300
88,1059,MTL,06/15/2021,6.8,6.8,6.8,6.8,3400
89,1060,MTL,06/16/2021,5.9,6.1,5.9,6.1,2000
90,1061,MTL,06/17/2021,6.7,6.7,6.7,6.7,100
91,1062,MTL,06/18/2021,6.2,6.2,6.2,6.2,200
92,1063,MTL,06/21/2021,6.0,6.0,6.0,6.0,500
93,1064,MTL,06/22/2021,5.3,5.6,5.1,5.6,6300
94,1065,MTL,06/23/2021,5.3,5.3,5.3,5.3,0
95,1066,MTL,06/24/2021,5.9,5.9,5.9,5.9,100
96,1067,MTL,06/25/2021,5.8,5.8,5.8,5.8,200
97,1068,MTL,06/28/2021,5.8,5.8,5.8,5.8,200
98,1069,MTL,06/29/2021,5.7,5.8,5.2,5.3,1900
99,1070,MTL,06/30/2021,5.8,5.8,5.8,5.8,100
100,1071,MTL,07/01/2021,5.2,5.5,5.2,5.5,700
101,1072,MTL,07/02/2021,5.4,5.4,5.4,5.4,0
102,1073,MTL,07/05/2021,5.2,5.2,5.0,5.0,5100
103,1074,MTL,07/06/2021,5.0,5.0,5.0,5.0,300
104,1075,MTL,07/07/2021,5.2,5.6,5.2,5.6,50200
105,1076,MTL,07/08/2021,5.6,5.6,5.5,5.5,6500
106,1077,MTL,07/09/2021,5.1,5.1,5.1,5.1,1200
107,1078,MTL,07/12/2021,5.1,5.1,5.1,5.1,200
108,1079,MTL,07/13/2021,5.0,5.0,5.0,5.0,1000
109,1080,MTL,07/14/2021,5.5,5.5,5.5,5.5,100
110,1081,MTL,07/15/2021,5.5,5.5,5.5,5.5,0
111,1082,MTL,07/16/2021,5.5,5.5,5.5,5.5,200
112,1083,MTL,07/19/2021,5.4,5.4,5.4,5.4,100
113,1084,MTL,07/20/2021,5.4,5.4,5.4,5.4,0
114,1085,MTL,07/21/2021,5.4,5.4,5.4,5.4,400
115,1086,MTL,07/22/2021,5.4,5.4,5.4,5.4,0
116,1087,MTL,07/23/2021,4.6,5.0,4.6,5.0,1600
117,1088,MTL,07/26/2021,4.7,4.7,4.7,4.7,0
118,1089,MTL,07/27/2021,4.7,4.7,4.7,4.7,200
119,1090,MTL,07/28/2021,4.7,4.7,4.7,4.7,0
120,1091,MTL,07/29/2021,5.0,5.0,5.0,5.0,500
121,1092,MTL,07/30/2021,4.7,4.7,4.5,4.5,500
122,1093,MTL,08/02/2021,5.1,5.1,5.1,5.1,100
123,1094,MTL,08/03/2021,5.1,5.1,4.5,4.5,1100
124,1095,MTL,08/04/2021,5.0,5.0,5.0,5.0,0
125,1096,MTL,08/05/2021,5.0,5.0,5.0,5.0,0
126,1097,MTL,08/06/2021,5.0,5.0,5.0,5.0,0
127,1098,MTL,08/09/2021,5.0,5.0,5.0,5.0,0
128,1099,MTL,08/10/2021,5.4,5.4,5.4,5.4,100
129,1100,MTL,08/11/2021,5.3,5.3,4.8,4.8,2900
130,1101,MTL,08/12/2021,5.2,5.2,5.2,5.2,0
131,1102,MTL,08/13/2021,5.2,5.9,5.2,5.9,3800
132,1103,MTL,08/16/2021,5.6,6.2,5.6,5.8,2900
133,1104,MTL,08/17/2021,6.0,6.0,6.0,6.0,200
134,1105,MTL,08/18/2021,6.0,6.2,6.0,6.2,200
135,1106,MTL,08/19/2021,6.1,6.1,6.1,6.1,0
136,1107,MTL,08/20/2021,6.1,6.1,6.1,6.1,0
137,1108,MTL,08/23/2021,6.1,6.1,6.1,6.1,0
138,1109,MTL,08/24/2021,6.1,6.1,6.1,6.1,0
139,1110,MTL,08/25/2021,6.1,6.1,6.1,6.1,0
140,1111,MTL,08/26/2021,6.1,6.1,6.1,6.1,0
141,1112,MTL,08/27/2021,6.1,6.1,6.1,6.1,0
142,1113,MTL,08/30/2021,6.1,6.1,6.1,6.1,0
143,1114,MTL,08/31/2021,5.2,5.8,5.2,5.8,200
144,1115,MTL,09/01/2021,5.5,5.5,5.5,5.5,0
145,1116,MTL,09/06/2021,5.0,5.0,5.0,5.0,1000
146,1117,MTL,09/07/2021,5.0,5.0,5.0,5.0,0
147,1118,MTL,09/08/2021,5.5,5.5,5.5,5.5,200
148,1119,MTL,09/09/2021,5.9,5.9,4.7,5.0,1000
149,1120,MTL,09/10/2021,5.6,5.6,4.8,5.0,2500
150,1121,MTL,09/13/2021,5.0,5.0,5.0,5.0,0
151,1122,MTL,09/14/2021,5.5,5.7,5.4,5.7,11000
152,1123,MTL,09/15/2021,5.7,6.2,5.7,6.2,13800
153,1124,MTL,09/16/2021,6.8,6.8,6.7,6.8,5600
154,1125,MTL,09/17/2021,7.7,7.7,5.8,6.2,8000
155,1126,MTL,09/20/2021,6.8,6.8,5.9,5.9,2100
156,1127,MTL,09/21/2021,5.9,5.9,5.9,5.9,3700
157,1128,MTL,09/22/2021,5.9,6.1,5.5,5.9,3300
158,1129,MTL,09/23/2021,5.9,6.7,5.8,6.7,14700
159,1130,MTL,09/24/2021,7.1,7.1,6.8,6.8,3100
160,1131,MTL,09/27/2021,6.8,6.8,6.0,6.2,6200
161,1132,MTL,09/28/2021,6.3,7.2,6.2,6.6,21200
162,1133,MTL,09/29/2021,6.7,6.7,6.7,6.7,100
163,1134,MTL,09/30/2021,6.7,6.7,6.0,6.0,300
164,1135,MTL,10/01/2021,6.7,6.7,5.5,6.3,800
165,1136,MTL,10/04/2021,6.5,6.5,6.5,6.5,100
166,1137,MTL,10/05/2021,6.9,6.9,6.5,6.5,4700
167,1138,MTL,10/06/2021,6.8,6.8,5.9,5.9,2700
168,1139,MTL,10/07/2021,6.9,6.9,6.7,6.7,400
169,1140,MTL,10/08/2021,6.7,6.7,6.7,6.7,100
170,1141,MTL,10/11/2021,6.7,6.7,6.7,6.7,0
171,1142,MTL,10/12/2021,5.8,6.7,5.8,6.7,400
172,1143,MTL,10/13/2021,6.6,6.6,6.6,6.6,100
173,1144,MTL,10/14/2021,6.0,6.5,5.8,5.9,3700
