,index,Ticker,Date,Open,High,Low,Close,Volume
0,2511,PDC,01/25/2021,5.5,5.5,5.0,5.0,4100
1,2512,PDC,01/26/2021,4.9,4.9,4.9,4.9,5900
2,2513,PDC,01/27/2021,4.9,4.9,4.9,4.9,0
3,2514,PDC,01/28/2021,4.9,4.9,4.9,4.9,0
4,2515,PDC,01/29/2021,4.9,4.9,4.9,4.9,0
5,2516,PDC,02/01/2021,4.9,4.9,4.9,4.9,0
6,2517,PDC,02/02/2021,4.9,4.9,4.9,4.9,0
7,2518,PDC,02/03/2021,4.6,4.6,4.6,4.6,100
8,2519,PDC,02/04/2021,4.6,4.6,4.6,4.6,0
9,2520,PDC,02/05/2021,4.6,4.6,4.6,4.6,0
10,2521,PDC,02/08/2021,4.8,4.8,4.8,4.8,100
11,2522,PDC,02/09/2021,4.9,4.9,4.9,4.9,100
12,2523,PDC,02/17/2021,4.5,4.9,4.5,4.9,600
13,2524,PDC,02/18/2021,4.9,4.9,4.9,4.9,0
14,2525,PDC,02/19/2021,4.9,4.9,4.9,4.9,0
15,2526,PDC,02/22/2021,4.9,4.9,4.9,4.9,0
16,2527,PDC,02/23/2021,4.9,4.9,4.9,4.9,0
17,2528,PDC,02/24/2021,4.5,4.9,4.5,4.9,200
18,2529,PDC,02/25/2021,4.5,4.5,4.5,4.5,10000
19,2530,PDC,02/26/2021,4.5,4.5,4.5,4.5,100
20,2531,PDC,03/01/2021,4.5,4.5,4.5,4.5,0
21,2532,PDC,03/02/2021,4.5,4.5,4.2,4.3,6200
22,2533,PDC,03/03/2021,4.5,4.5,3.9,4.1,36400
23,2534,PDC,03/04/2021,4.1,4.2,4.0,4.1,9700
24,2535,PDC,03/05/2021,4.5,4.5,4.2,4.2,1500
25,2536,PDC,03/08/2021,4.2,4.2,4.2,4.2,0
26,2537,PDC,03/09/2021,4.2,4.2,4.2,4.2,1200
27,2538,PDC,03/10/2021,4.2,4.2,4.1,4.2,4100
28,2539,PDC,03/11/2021,4.3,4.6,4.3,4.6,15800
29,2540,PDC,03/12/2021,5.0,5.0,5.0,5.0,7600
30,2541,PDC,03/15/2021,5.3,5.4,5.1,5.4,16100
31,2542,PDC,03/16/2021,5.9,5.9,5.2,5.5,26000
32,2543,PDC,03/17/2021,5.5,5.5,5.1,5.3,5900
33,2544,PDC,03/18/2021,5.3,5.3,5.3,5.3,500
34,2545,PDC,03/19/2021,5.0,5.5,5.0,5.5,21100
35,2546,PDC,03/22/2021,5.7,5.8,5.6,5.7,17900
36,2547,PDC,03/23/2021,5.7,5.8,5.7,5.7,7400
37,2548,PDC,03/24/2021,5.8,5.8,5.2,5.5,700
38,2549,PDC,03/25/2021,5.8,5.8,5.7,5.8,1200
39,2550,PDC,03/26/2021,5.8,5.8,5.5,5.5,200
40,2551,PDC,03/29/2021,5.6,5.7,5.6,5.7,500
41,2552,PDC,03/30/2021,5.2,5.7,5.2,5.3,1800
42,2553,PDC,03/31/2021,5.3,5.8,5.1,5.8,13000
43,2554,PDC,04/01/2021,5.8,6.0,5.8,6.0,26800
44,2555,PDC,04/02/2021,6.1,6.1,6.0,6.0,900
45,2556,PDC,04/05/2021,6.2,6.2,6.0,6.0,7000
46,2557,PDC,04/06/2021,6.0,6.0,5.6,6.0,8900
47,2558,PDC,04/07/2021,6.0,6.0,5.4,5.8,2000
48,2559,PDC,04/08/2021,5.8,5.8,5.8,5.8,4700
49,2560,PDC,04/09/2021,5.6,5.9,5.3,5.3,15800
50,2561,PDC,04/12/2021,5.4,5.8,5.4,5.8,12100
51,2562,PDC,04/13/2021,5.9,6.3,5.9,6.3,7900
52,2563,PDC,04/14/2021,6.4,6.9,6.3,6.9,14000
53,2564,PDC,04/15/2021,6.8,6.8,6.6,6.8,3100
54,2565,PDC,04/16/2021,6.5,6.5,6.2,6.2,1800
55,2566,PDC,04/19/2021,6.0,6.8,5.9,6.2,3100
56,2567,PDC,04/20/2021,6.2,6.7,5.9,6.4,2500
57,2568,PDC,04/22/2021,6.4,7.0,6.4,6.5,10400
58,2569,PDC,04/23/2021,7.1,7.1,6.8,6.8,16800
59,2570,PDC,04/26/2021,7.1,7.1,6.8,6.8,600
60,2571,PDC,04/27/2021,6.8,7.4,6.8,7.4,10800
61,2572,PDC,04/28/2021,6.7,6.7,6.7,6.7,400
62,2573,PDC,04/29/2021,6.7,6.7,6.3,6.3,4600
63,2574,PDC,05/04/2021,6.3,6.3,6.3,6.3,0
64,2575,PDC,05/05/2021,6.3,6.3,6.2,6.2,2300
65,2576,PDC,05/06/2021,6.6,6.6,6.2,6.2,700
66,2577,PDC,05/07/2021,6.2,6.2,6.2,6.2,0
67,2578,PDC,05/10/2021,6.2,6.2,6.2,6.2,0
68,2579,PDC,05/11/2021,6.2,6.2,6.2,6.2,0
69,2580,PDC,05/12/2021,6.2,6.2,6.2,6.2,0
70,2581,PDC,05/13/2021,6.5,6.8,6.5,6.8,300
71,2582,PDC,05/14/2021,6.8,6.8,6.2,6.2,2600
72,2583,PDC,05/17/2021,6.2,6.2,6.2,6.2,0
73,2584,PDC,05/18/2021,5.6,6.8,5.6,6.8,9500
74,2585,PDC,05/19/2021,6.5,6.5,6.5,6.5,100
75,2586,PDC,05/20/2021,6.2,6.2,6.2,6.2,3200
76,2587,PDC,05/21/2021,6.1,6.1,5.8,5.8,3200
77,2588,PDC,05/24/2021,5.3,5.3,5.3,5.3,9000
78,2589,PDC,05/25/2021,5.0,5.8,5.0,5.7,6700
79,2590,PDC,05/26/2021,5.7,5.7,5.7,5.7,0
80,2591,PDC,05/27/2021,5.7,5.7,5.7,5.7,0
81,2592,PDC,05/28/2021,5.2,5.2,5.2,5.2,200
82,2593,PDC,05/31/2021,5.2,5.2,4.7,4.8,7700
83,2594,PDC,06/01/2021,4.8,4.8,4.8,4.8,0
84,2595,PDC,06/02/2021,4.8,4.8,4.5,4.8,1100
85,2596,PDC,06/03/2021,4.8,5.2,4.8,5.2,4900
86,2597,PDC,06/04/2021,4.8,5.7,4.8,5.7,200
87,2598,PDC,06/07/2021,5.7,5.7,5.4,5.4,1600
88,2599,PDC,06/08/2021,5.4,5.4,5.4,5.4,0
89,2600,PDC,06/09/2021,4.9,4.9,4.9,4.9,100
90,2601,PDC,06/10/2021,4.9,5.3,4.9,5.3,300
91,2602,PDC,06/11/2021,5.3,5.3,5.3,5.3,100
92,2603,PDC,06/14/2021,5.0,5.0,5.0,5.0,2000
93,2604,PDC,06/15/2021,5.0,5.0,5.0,5.0,500
94,2605,PDC,06/16/2021,5.0,5.0,5.0,5.0,0
95,2606,PDC,06/17/2021,5.5,5.5,5.3,5.3,200
96,2607,PDC,06/18/2021,5.3,5.3,5.3,5.3,100
97,2608,PDC,06/21/2021,5.3,5.3,5.3,5.3,0
98,2609,PDC,06/22/2021,5.3,5.3,5.3,5.3,600
99,2610,PDC,06/23/2021,5.2,5.2,5.2,5.2,100
100,2611,PDC,06/24/2021,5.2,5.2,5.2,5.2,400
101,2612,PDC,06/25/2021,5.0,5.0,5.0,5.0,2000
102,2613,PDC,06/28/2021,5.2,5.2,5.2,5.2,500
103,2614,PDC,06/29/2021,4.9,5.4,4.9,5.4,400
104,2615,PDC,06/30/2021,5.1,5.1,5.1,5.1,200
105,2616,PDC,07/01/2021,5.1,5.1,5.1,5.1,100
106,2617,PDC,07/02/2021,5.1,5.1,5.1,5.1,0
107,2618,PDC,07/05/2021,5.3,5.3,5.3,5.3,100
108,2619,PDC,07/06/2021,5.3,5.3,5.3,5.3,400
109,2620,PDC,07/07/2021,4.8,5.2,4.8,5.2,400
110,2621,PDC,07/08/2021,5.2,5.2,5.2,5.2,0
111,2622,PDC,07/09/2021,5.3,5.3,5.3,5.3,100
112,2623,PDC,07/12/2021,5.0,5.0,4.8,4.8,3700
113,2624,PDC,07/13/2021,4.8,4.8,4.8,4.8,0
114,2625,PDC,07/14/2021,4.8,5.1,4.8,5.1,200
115,2626,PDC,07/15/2021,4.7,5.3,4.7,5.3,20600
116,2627,PDC,07/16/2021,5.3,5.3,5.3,5.3,0
117,2628,PDC,07/19/2021,5.3,5.3,5.0,5.3,300
118,2629,PDC,07/20/2021,4.8,5.4,4.8,5.4,7100
119,2630,PDC,07/21/2021,5.4,5.4,5.4,5.4,0
120,2631,PDC,07/22/2021,5.4,5.4,5.4,5.4,0
121,2632,PDC,07/23/2021,5.4,5.4,5.4,5.4,0
122,2633,PDC,07/26/2021,5.4,5.4,5.4,5.4,0
123,2634,PDC,07/27/2021,5.0,5.9,5.0,5.9,500
124,2635,PDC,07/28/2021,5.4,5.4,5.4,5.4,900
125,2636,PDC,07/29/2021,5.4,5.4,5.4,5.4,0
126,2637,PDC,07/30/2021,5.3,5.3,5.3,5.3,100
127,2638,PDC,08/02/2021,5.3,5.3,5.0,5.0,900
128,2639,PDC,08/03/2021,5.0,5.4,5.0,5.4,200
129,2640,PDC,08/04/2021,5.3,5.3,5.3,5.3,100
130,2641,PDC,08/05/2021,5.3,5.3,5.3,5.3,0
131,2642,PDC,08/06/2021,5.3,5.3,5.3,5.3,0
132,2643,PDC,08/09/2021,5.0,5.0,5.0,5.0,700
133,2644,PDC,08/10/2021,5.0,5.3,5.0,5.3,1300
134,2645,PDC,08/11/2021,5.3,5.3,5.3,5.3,100
135,2646,PDC,08/12/2021,5.3,5.3,5.3,5.3,0
136,2647,PDC,08/13/2021,5.3,5.3,4.9,4.9,700
137,2648,PDC,08/16/2021,5.2,5.3,5.0,5.0,5200
138,2649,PDC,08/17/2021,5.3,5.3,5.3,5.3,100
139,2650,PDC,08/18/2021,5.3,5.3,5.3,5.3,700
140,2651,PDC,08/19/2021,4.9,5.3,4.9,5.3,4100
141,2652,PDC,08/20/2021,5.0,5.7,5.0,5.7,1200
142,2653,PDC,08/23/2021,5.6,5.6,5.6,5.6,100
143,2654,PDC,08/24/2021,5.1,5.3,5.1,5.3,4200
144,2655,PDC,08/25/2021,5.3,5.3,5.3,5.3,0
145,2656,PDC,08/26/2021,5.3,5.3,5.3,5.3,0
146,2657,PDC,08/27/2021,5.3,5.3,5.3,5.3,0
147,2658,PDC,08/30/2021,5.3,5.3,5.3,5.3,0
148,2659,PDC,08/31/2021,5.0,5.0,5.0,5.0,100
149,2660,PDC,09/01/2021,5.3,5.3,5.3,5.3,100
150,2661,PDC,09/06/2021,5.3,5.3,5.3,5.3,0
151,2662,PDC,09/07/2021,5.3,5.3,5.3,5.3,0
152,2663,PDC,09/08/2021,5.3,5.3,5.3,5.3,0
153,2664,PDC,09/09/2021,5.3,5.3,5.3,5.3,0
154,2665,PDC,09/10/2021,5.3,5.3,5.3,5.3,0
155,2666,PDC,09/13/2021,5.0,5.3,5.0,5.3,300
156,2667,PDC,09/14/2021,5.0,5.3,5.0,5.3,2600
157,2668,PDC,09/15/2021,5.0,5.6,4.9,5.4,35500
158,2669,PDC,09/16/2021,5.7,5.9,5.6,5.7,9100
159,2670,PDC,09/17/2021,5.4,5.6,5.4,5.6,400
160,2671,PDC,09/20/2021,5.6,5.7,5.5,5.6,4700
161,2672,PDC,09/21/2021,5.6,5.6,5.2,5.6,3000
162,2673,PDC,09/22/2021,5.1,5.9,5.1,5.9,3700
163,2674,PDC,09/23/2021,5.5,5.9,5.5,5.5,9100
164,2675,PDC,09/24/2021,5.3,5.4,5.1,5.4,5500
165,2676,PDC,09/27/2021,5.3,5.6,5.3,5.6,1800
166,2677,PDC,09/28/2021,5.7,5.7,5.2,5.5,11900
167,2678,PDC,09/29/2021,5.2,5.4,5.2,5.2,2200
168,2679,PDC,09/30/2021,5.3,5.4,5.3,5.4,2900
169,2680,PDC,10/01/2021,5.2,5.2,5.2,5.2,1100
170,2681,PDC,10/04/2021,5.4,5.5,5.3,5.3,4100
171,2682,PDC,10/05/2021,5.2,5.4,5.2,5.3,9700
172,2683,PDC,10/06/2021,5.4,5.5,5.4,5.5,10900
173,2684,PDC,10/07/2021,5.8,5.8,5.4,5.5,3000
174,2685,PDC,10/08/2021,5.4,5.6,5.4,5.6,5200
175,2686,PDC,10/11/2021,5.9,5.9,5.8,5.8,2400
176,2687,PDC,10/12/2021,5.8,5.9,5.6,5.8,1600
177,2688,PDC,10/13/2021,5.8,5.8,5.5,5.5,1100
178,2689,PDC,10/14/2021,5.5,5.5,5.5,5.5,600
179,2690,PDC,10/15/2021,5.5,5.6,5.5,5.6,2700
180,2691,PDC,10/18/2021,5.6,5.9,5.6,5.9,7100
181,2692,PDC,10/19/2021,5.9,6.1,5.6,6.1,3400
182,2693,PDC,10/20/2021,6.0,6.0,5.8,5.8,1100
183,2694,PDC,10/21/2021,6.0,6.1,6.0,6.0,3900
184,2695,PDC,10/22/2021,6.0,6.2,5.9,6.2,4300
185,2696,PDC,10/25/2021,6.3,6.8,6.3,6.8,27400
186,2697,PDC,10/26/2021,6.8,7.4,6.8,7.4,8800
187,2698,PDC,10/27/2021,6.9,7.4,6.8,7.4,5900
188,2699,PDC,10/28/2021,7.0,7.0,6.7,6.7,4200
189,2700,PDC,10/29/2021,6.8,7.2,6.4,7.2,10200
190,2701,PDC,11/01/2021,7.3,7.5,7.0,7.2,4700
191,2702,PDC,11/02/2021,7.0,7.2,6.7,7.1,10100
192,2703,PDC,11/03/2021,6.6,6.6,6.6,6.6,1000
193,2704,PDC,11/04/2021,6.2,7.1,6.2,7.0,8000
194,2705,PDC,11/05/2021,7.0,7.0,7.0,7.0,7700
195,2706,PDC,11/08/2021,6.8,6.9,6.8,6.9,1000
196,2707,PDC,11/09/2021,6.9,7.0,6.5,6.5,2800
197,2708,PDC,11/10/2021,7.0,7.0,6.6,6.6,3600
198,2709,PDC,11/11/2021,7.0,7.0,6.9,6.9,2500
199,2710,PDC,11/12/2021,6.8,7.4,6.4,7.4,2800
200,2711,PDC,11/15/2021,8.0,8.0,7.0,7.4,11400
201,2712,PDC,11/16/2021,8.0,8.0,6.9,6.9,5500
202,2713,PDC,11/17/2021,7.2,7.5,7.2,7.5,33600
203,2714,PDC,11/18/2021,7.4,8.2,7.4,7.5,18000
204,2715,PDC,11/19/2021,7.5,8.0,7.2,7.5,4800
205,2716,PDC,11/22/2021,7.5,7.5,6.9,7.5,9900
206,2717,PDC,11/23/2021,7.7,7.8,6.8,7.0,29800
207,2718,PDC,11/24/2021,7.0,7.6,6.5,7.4,8100
208,2719,PDC,11/25/2021,7.4,7.4,6.8,6.8,5000
209,2720,PDC,11/26/2021,6.4,6.5,6.4,6.5,4900
210,2721,PDC,11/29/2021,6.3,6.6,6.3,6.6,1900
211,2722,PDC,11/30/2021,6.7,7.0,6.7,6.9,7600
212,2723,PDC,12/01/2021,6.9,6.9,6.8,6.9,2500
213,2724,PDC,12/02/2021,6.9,7.4,6.8,7.2,3800
214,2725,PDC,12/03/2021,6.8,7.0,6.8,7.0,1600
215,2726,PDC,12/06/2021,7.0,7.0,7.0,7.0,0
216,2727,PDC,12/07/2021,6.4,6.9,6.4,6.9,5800
217,2728,PDC,12/08/2021,6.9,6.9,6.9,6.9,0
218,2729,PDC,12/09/2021,6.7,6.9,6.7,6.9,2300
219,2730,PDC,12/10/2021,6.4,7.1,6.4,7.0,500
220,2731,PDC,12/13/2021,6.8,7.3,6.8,7.3,9500
221,2732,PDC,12/14/2021,7.1,7.1,6.9,7.0,1200
222,2733,PDC,12/15/2021,6.9,7.0,6.8,7.0,1400
223,2734,PDC,12/16/2021,7.0,7.0,6.8,6.9,9600
224,2735,PDC,12/17/2021,6.9,6.9,6.8,6.9,7200
225,2736,PDC,12/20/2021,6.9,7.0,6.7,7.0,33800
226,2737,PDC,12/21/2021,7.0,7.0,6.9,7.0,8200
227,2738,PDC,12/22/2021,6.8,7.0,6.8,7.0,14900
228,2739,PDC,12/23/2021,7.0,7.1,6.9,7.0,4400
229,2740,PDC,12/24/2021,7.0,7.0,6.9,7.0,16700
230,2741,PDC,12/27/2021,7.0,7.0,6.8,7.0,10400
231,2742,PDC,12/28/2021,7.0,7.2,6.8,7.2,26700
232,2743,PDC,12/29/2021,7.1,7.2,7.0,7.2,13900
233,2744,PDC,12/30/2021,7.2,7.2,7.1,7.2,4500
234,2745,PDC,12/31/2021,7.2,7.3,7.1,7.2,26700
235,2746,PDC,01/04/2022,7.2,7.3,7.1,7.2,18500
236,2747,PDC,01/05/2022,7.2,7.2,7.2,7.2,1800
237,2748,PDC,01/06/2022,7.2,7.2,7.0,7.2,11500
238,2749,PDC,01/07/2022,7.1,7.2,7.0,7.1,4700
239,2750,PDC,01/10/2022,7.1,7.8,7.1,7.8,46100
240,2751,PDC,01/11/2022,8.4,8.5,8.4,8.5,32800
241,2752,PDC,01/12/2022,8.6,9.2,8.6,9.0,25600
242,2753,PDC,01/13/2022,8.5,8.5,8.1,8.1,20600
243,2754,PDC,01/14/2022,7.5,7.5,7.3,7.3,7200
244,2755,PDC,01/17/2022,7.3,7.4,6.7,7.0,6300
245,2756,PDC,01/18/2022,6.4,7.0,6.3,6.8,3100
246,2757,PDC,01/19/2022,6.5,6.8,6.2,6.8,2300
247,2758,PDC,01/20/2022,7.0,7.3,6.9,7.3,2000
248,2759,PDC,01/21/2022,7.2,7.5,6.9,7.5,4100
249,2760,PDC,01/24/2022,7.5,7.5,7.5,7.5,0
250,2761,PDC,01/25/2022,6.8,7.2,6.8,7.2,27100
251,2762,PDC,01/26/2022,7.2,7.2,7.2,7.2,0
252,2763,PDC,01/27/2022,7.2,7.2,7.2,7.2,0
253,2764,PDC,01/28/2022,7.2,7.2,7.2,7.2,0
254,2765,PDC,02/07/2022,7.3,7.6,7.3,7.6,3800
255,2766,PDC,02/08/2022,7.6,7.6,7.6,7.6,400
256,2767,PDC,02/09/2022,7.6,7.6,7.0,7.5,1200
257,2768,PDC,02/10/2022,7.1,7.4,6.8,7.5,4600
258,2769,PDC,02/11/2022,7.6,7.6,7.4,7.4,1200
259,2770,PDC,02/14/2022,7.4,7.7,6.9,7.7,1200
260,2771,PDC,02/15/2022,7.2,7.6,7.2,7.2,1300
261,2772,PDC,02/16/2022,7.4,7.6,6.7,6.7,4400
262,2773,PDC,02/17/2022,6.7,7.3,6.5,7.3,28700
263,2774,PDC,02/18/2022,7.5,8.0,7.5,8.0,26500
264,2775,PDC,02/21/2022,8.3,8.8,8.3,8.8,12000
265,2776,PDC,02/22/2022,9.0,9.6,9.0,9.6,72800
266,2777,PDC,02/23/2022,10.5,10.5,10.0,10.5,31300
267,2778,PDC,02/24/2022,11.1,11.5,11.1,11.5,51900
268,2779,PDC,02/25/2022,12.5,12.6,12.5,12.6,54600
269,2780,PDC,02/28/2022,13.0,13.8,13.0,13.8,56800
270,2781,PDC,03/01/2022,15.1,15.1,15.1,15.1,52500
271,2782,PDC,03/02/2022,16.6,16.6,16.0,16.6,43000
272,2783,PDC,03/03/2022,18.2,18.2,18.2,18.2,49000
273,2784,PDC,03/04/2022,20.0,20.0,19.5,20.0,138100
274,2785,PDC,03/07/2022,22.0,22.0,20.0,22.0,86900
275,2786,PDC,03/08/2022,24.1,24.2,24.1,24.2,112600
276,2787,PDC,03/09/2022,26.6,26.6,26.6,26.6,178600
277,2788,PDC,03/10/2022,29.2,29.2,24.0,24.0,46500
278,2789,PDC,03/11/2022,21.6,21.6,21.6,21.6,6700
279,2790,PDC,03/14/2022,19.5,19.5,19.5,19.5,1200
280,2791,PDC,03/15/2022,17.6,17.6,17.6,17.6,3400
281,2792,PDC,03/16/2022,15.9,19.3,15.9,17.7,303200
282,2793,PDC,03/17/2022,17.7,19.3,17.7,19.3,46900
283,2794,PDC,03/18/2022,19.3,21.0,19.3,19.6,33100
284,2795,PDC,03/21/2022,17.7,18.1,17.7,17.7,94000
285,2796,PDC,03/22/2022,16.0,17.7,16.0,16.8,135300
286,2797,PDC,03/23/2022,17.9,17.9,16.2,17.2,46500
287,2798,PDC,03/24/2022,17.1,17.1,16.4,16.7,56000
288,2799,PDC,03/25/2022,16.7,16.7,16.1,16.3,39400
289,2800,PDC,03/28/2022,16.3,16.3,14.7,15.2,58200
290,2801,PDC,03/29/2022,15.2,16.7,14.1,16.7,121700
291,2802,PDC,03/30/2022,16.7,16.7,15.5,15.9,17800
292,2803,PDC,03/31/2022,15.0,15.7,15.0,15.7,6700
