,index,Ticker,Date,Open,High,Low,Close,Volume
0,1421,POV,02/02/2021,6.642486,6.642486,6.642486,6.642486,0
1,1422,POV,02/03/2021,5.717583,5.717583,5.717583,5.717583,1000
2,1423,POV,02/04/2021,5.717583,5.717583,5.717583,5.717583,0
3,1424,POV,02/05/2021,6.558404,6.558404,6.558404,6.558404,100
4,1425,POV,02/08/2021,7.483307,7.483307,7.483307,7.483307,100
5,1426,POV,02/09/2021,7.483307,7.483307,7.483307,7.483307,0
6,1427,POV,02/17/2021,7.483307,7.483307,7.483307,7.483307,1000
7,1428,POV,02/18/2021,7.483307,7.483307,7.483307,7.483307,0
8,1429,POV,02/19/2021,7.483307,7.483307,7.483307,7.483307,0
9,1430,POV,02/22/2021,6.39024,6.558404,6.39024,6.558404,1100
10,1431,POV,02/23/2021,6.474322,6.474322,6.474322,6.474322,0
11,1432,POV,02/24/2021,6.474322,6.474322,6.474322,6.474322,700
12,1433,POV,02/25/2021,6.474322,6.474322,6.474322,6.474322,800
13,1434,POV,02/26/2021,7.231061,7.231061,7.231061,7.231061,400
14,1435,POV,03/01/2021,7.231061,8.071881,7.231061,7.9878,800
15,1436,POV,03/02/2021,7.903718,7.903718,7.567389,7.567389,300
16,1437,POV,03/03/2021,7.567389,7.567389,7.399225,7.399225,3300
17,1438,POV,03/04/2021,7.399225,7.399225,7.399225,7.399225,300
18,1439,POV,03/05/2021,7.399225,7.399225,7.315143,7.315143,2200
19,1440,POV,03/08/2021,7.483307,7.483307,6.306158,6.306158,35100
20,1441,POV,03/09/2021,7.399225,7.399225,7.399225,7.399225,2400
21,1442,POV,03/10/2021,7.315143,7.315143,7.062896,7.315143,14800
22,1443,POV,03/11/2021,7.231061,7.231061,7.231061,7.231061,0
23,1444,POV,03/12/2021,6.558404,6.558404,6.474322,6.558404,7400
24,1445,POV,03/15/2021,6.978814,6.978814,6.726568,6.726568,4700
25,1446,POV,03/16/2021,5.885747,5.885747,5.801665,5.801665,3600
26,1447,POV,03/17/2021,6.474322,6.726568,6.474322,6.726568,9100
27,1448,POV,03/18/2021,7.146978,7.146978,7.146978,7.146978,1100
28,1449,POV,03/19/2021,6.726568,6.726568,6.558404,6.558404,5700
29,1450,POV,03/22/2021,6.558404,6.894732,5.885747,6.894732,7700
30,1451,POV,03/23/2021,7.062896,7.062896,6.726568,6.726568,12100
31,1452,POV,03/24/2021,6.81065,6.894732,6.81065,6.81065,12000
32,1453,POV,03/25/2021,6.81065,7.062896,6.726568,6.894732,2800
33,1454,POV,03/26/2021,7.062896,7.146978,6.978814,6.978814,13900
34,1455,POV,03/29/2021,6.726568,6.726568,6.726568,6.726568,4600
35,1456,POV,03/30/2021,6.726568,6.726568,6.726568,6.726568,200
36,1457,POV,03/31/2021,6.222075,6.306158,6.053911,6.053911,7400
