,index,Ticker,Date,Open,High,Low,Close,Volume
0,898,PWS,01/28/2021,9.428874,9.428874,9.428874,9.428874,0
1,899,PWS,01/29/2021,9.428874,9.428874,9.428874,9.428874,0
2,900,PWS,02/01/2021,9.428874,9.428874,9.428874,9.428874,0
3,901,PWS,02/02/2021,9.428874,9.428874,9.428874,9.428874,0
4,902,PWS,02/03/2021,9.428874,9.428874,9.428874,9.428874,0
5,903,PWS,02/04/2021,9.428874,9.428874,9.428874,9.428874,0
6,904,PWS,02/05/2021,9.428874,9.428874,9.428874,9.428874,0
7,905,PWS,02/08/2021,9.428874,9.428874,9.428874,9.428874,0
8,906,PWS,02/09/2021,9.428874,9.428874,9.428874,9.428874,0
9,907,PWS,02/17/2021,9.428874,9.428874,9.428874,9.428874,0
10,908,PWS,02/18/2021,9.428874,9.428874,9.428874,9.428874,0
11,909,PWS,02/19/2021,9.428874,9.428874,9.428874,9.428874,0
12,910,PWS,02/22/2021,9.428874,9.428874,9.428874,9.428874,0
13,911,PWS,02/23/2021,9.428874,9.428874,9.428874,9.428874,0
14,912,PWS,02/24/2021,9.428874,9.428874,9.428874,9.428874,0
15,913,PWS,02/25/2021,9.428874,9.428874,9.428874,9.428874,0
16,914,PWS,02/26/2021,9.428874,9.428874,9.428874,9.428874,0
17,915,PWS,03/01/2021,9.877868,9.877868,9.877868,9.877868,500
18,916,PWS,03/02/2021,9.877868,9.877868,9.877868,9.877868,0
19,917,PWS,03/03/2021,9.877868,9.877868,9.877868,9.877868,0
20,918,PWS,03/04/2021,9.877868,9.877868,9.877868,9.877868,0
21,919,PWS,03/05/2021,9.877868,9.877868,9.877868,9.877868,0
22,920,PWS,03/08/2021,9.877868,9.877868,9.877868,9.877868,0
23,921,PWS,03/09/2021,9.877868,9.877868,9.877868,9.877868,100
24,922,PWS,03/10/2021,9.877868,9.877868,9.877868,9.877868,0
25,923,PWS,03/11/2021,9.877868,9.877868,9.877868,9.877868,0
26,924,PWS,03/12/2021,9.877868,9.877868,9.877868,9.877868,0
27,925,PWS,03/15/2021,9.877868,9.877868,9.877868,9.877868,5800
28,926,PWS,03/16/2021,9.877868,9.877868,9.877868,9.877868,100
29,927,PWS,03/17/2021,9.877868,9.877868,9.877868,9.877868,0
30,928,PWS,03/18/2021,9.877868,9.877868,9.877868,9.877868,0
31,929,PWS,03/19/2021,9.877868,9.877868,9.877868,9.877868,0
32,930,PWS,03/22/2021,9.877868,9.877868,9.877868,9.877868,0
33,931,PWS,03/23/2021,9.877868,9.877868,9.877868,9.877868,0
34,932,PWS,03/24/2021,9.877868,9.877868,9.877868,9.877868,0
35,933,PWS,03/25/2021,9.877868,9.877868,9.877868,9.877868,0
36,934,PWS,03/26/2021,9.877868,9.877868,9.877868,9.877868,0
37,935,PWS,03/29/2021,9.877868,9.877868,9.877868,9.877868,0
38,936,PWS,03/30/2021,9.877868,9.877868,9.877868,9.877868,0
39,937,PWS,03/31/2021,9.877868,9.877868,9.877868,9.877868,0
40,938,PWS,04/01/2021,9.877868,9.877868,9.877868,9.877868,0
41,939,PWS,04/02/2021,9.877868,9.877868,9.877868,9.877868,0
42,940,PWS,04/05/2021,9.877868,9.877868,9.877868,9.877868,0
43,941,PWS,04/06/2021,9.877868,9.877868,9.877868,9.877868,0
44,942,PWS,04/07/2021,9.877868,9.877868,9.877868,9.877868,0
45,943,PWS,04/08/2021,9.877868,9.877868,9.877868,9.877868,0
46,944,PWS,04/09/2021,9.877868,9.877868,9.877868,9.877868,0
47,945,PWS,04/12/2021,9.877868,9.877868,9.877868,9.877868,0
48,946,PWS,04/13/2021,9.877868,9.877868,9.877868,9.877868,0
49,947,PWS,04/14/2021,9.877868,9.877868,9.877868,9.877868,0
50,948,PWS,04/15/2021,9.877868,9.877868,9.877868,9.877868,0
51,949,PWS,04/16/2021,9.877868,9.877868,9.877868,9.877868,0
52,950,PWS,04/19/2021,9.877868,9.877868,9.877868,9.877868,0
53,951,PWS,04/20/2021,9.877868,9.877868,9.877868,9.877868,0
54,952,PWS,04/22/2021,9.877868,9.877868,9.877868,9.877868,0
55,953,PWS,04/23/2021,9.877868,9.877868,9.877868,9.877868,0
56,954,PWS,04/26/2021,9.877868,9.877868,9.877868,9.877868,0
57,955,PWS,04/27/2021,9.877868,9.877868,9.877868,9.877868,0
58,956,PWS,04/28/2021,9.877868,9.877868,9.877868,9.877868,0
59,957,PWS,04/29/2021,9.877868,9.877868,9.877868,9.877868,0
60,958,PWS,05/04/2021,9.877868,9.877868,9.877868,9.877868,0
61,959,PWS,05/05/2021,9.877868,9.877868,9.877868,9.877868,0
62,960,PWS,05/06/2021,9.877868,9.877868,9.877868,9.877868,0
63,961,PWS,05/07/2021,9.877868,9.877868,9.877868,9.877868,0
64,962,PWS,05/10/2021,9.877868,9.877868,9.877868,9.877868,0
65,963,PWS,05/11/2021,9.877868,9.877868,9.877868,9.877868,0
66,964,PWS,05/12/2021,9.877868,9.877868,9.877868,9.877868,0
67,965,PWS,05/13/2021,9.877868,9.877868,9.877868,9.877868,0
68,966,PWS,05/14/2021,9.877868,9.877868,9.877868,9.877868,0
69,967,PWS,05/17/2021,9.877868,9.877868,9.877868,9.877868,0
70,968,PWS,05/18/2021,9.877868,9.877868,9.877868,9.877868,0
71,969,PWS,05/19/2021,9.877868,9.877868,9.877868,9.877868,0
72,970,PWS,05/20/2021,9.877868,9.877868,9.877868,9.877868,0
73,971,PWS,05/21/2021,9.877868,9.877868,9.877868,9.877868,0
74,972,PWS,05/24/2021,9.877868,9.877868,9.877868,9.877868,200
75,973,PWS,05/25/2021,10.32686,10.32686,10.32686,10.32686,100
76,974,PWS,05/26/2021,10.32686,10.32686,10.32686,10.32686,0
77,975,PWS,05/27/2021,10.32686,10.32686,10.32686,10.32686,200
78,976,PWS,05/28/2021,9.877868,9.877868,9.877868,9.877868,100
79,977,PWS,05/31/2021,9.877868,9.877868,9.877868,9.877868,0
80,978,PWS,06/01/2021,10.23706,10.23706,10.23706,10.23706,100
81,979,PWS,06/02/2021,10.23706,10.23706,10.23706,10.23706,0
82,980,PWS,06/03/2021,10.32686,10.32686,10.23706,10.23706,300
83,981,PWS,06/04/2021,10.23706,10.77586,10.23706,10.77586,1400
84,982,PWS,06/07/2021,10.77586,10.77586,10.77586,10.77586,500
85,983,PWS,06/08/2021,10.77586,10.77586,10.77586,10.77586,0
86,984,PWS,06/09/2021,10.77586,10.77586,10.77586,10.77586,0
87,985,PWS,06/10/2021,10.30734,10.30734,10.30734,10.30734,5100
88,986,PWS,06/11/2021,10.30734,10.30734,10.30734,10.30734,0
89,987,PWS,06/14/2021,10.30734,10.30734,10.30734,10.30734,0
90,988,PWS,06/15/2021,10.30734,10.30734,10.30734,10.30734,0
91,989,PWS,06/16/2021,10.30734,10.30734,10.30734,10.30734,0
92,990,PWS,06/17/2021,10.30734,10.30734,10.30734,10.30734,0
93,991,PWS,06/18/2021,10.30734,10.30734,10.30734,10.30734,0
94,992,PWS,06/21/2021,10.30734,10.30734,10.30734,10.30734,0
95,993,PWS,06/22/2021,10.30734,10.30734,10.30734,10.30734,0
96,994,PWS,06/23/2021,10.30734,10.30734,10.30734,10.30734,0
