,index,Ticker,Date,Open,High,Low,Close,Volume
0,2462,PXA,01/29/2021,1.7,1.7,1.5,1.5,2300
1,2463,PXA,02/01/2021,1.6,1.6,1.6,1.6,0
2,2464,PXA,02/02/2021,1.6,1.6,1.6,1.6,0
3,2465,PXA,02/03/2021,1.6,1.6,1.6,1.6,0
4,2466,PXA,02/04/2021,1.6,1.6,1.6,1.6,0
5,2467,PXA,02/05/2021,1.4,1.8,1.4,1.8,26200
6,2468,PXA,02/08/2021,1.7,1.7,1.7,1.7,0
7,2469,PXA,02/09/2021,1.7,1.7,1.7,1.7,0
8,2470,PXA,02/17/2021,1.7,1.7,1.7,1.7,0
9,2471,PXA,02/18/2021,1.7,1.7,1.7,1.7,0
10,2472,PXA,02/19/2021,1.6,1.6,1.6,1.6,5100
11,2473,PXA,02/22/2021,1.6,1.6,1.6,1.6,0
12,2474,PXA,02/23/2021,1.6,1.6,1.6,1.6,0
13,2475,PXA,02/24/2021,1.6,1.6,1.6,1.6,0
14,2476,PXA,02/25/2021,1.6,1.6,1.6,1.6,0
15,2477,PXA,02/26/2021,1.6,1.6,1.6,1.6,1600
16,2478,PXA,03/01/2021,1.6,1.6,1.6,1.6,0
17,2479,PXA,03/02/2021,1.6,1.6,1.6,1.6,0
18,2480,PXA,03/03/2021,1.6,1.6,1.6,1.6,0
19,2481,PXA,03/04/2021,1.6,1.6,1.6,1.6,0
20,2482,PXA,03/05/2021,1.6,1.6,1.4,1.6,1800
21,2483,PXA,03/08/2021,1.5,1.5,1.5,1.5,0
22,2484,PXA,03/09/2021,1.5,1.5,1.5,1.5,0
23,2485,PXA,03/10/2021,1.5,1.5,1.5,1.5,0
24,2486,PXA,03/11/2021,1.5,1.5,1.5,1.5,0
25,2487,PXA,03/12/2021,1.5,1.7,1.4,1.5,160600
26,2488,PXA,03/15/2021,1.5,1.5,1.5,1.5,0
27,2489,PXA,03/16/2021,1.5,1.5,1.5,1.5,0
28,2490,PXA,03/17/2021,1.5,1.5,1.5,1.5,0
29,2491,PXA,03/18/2021,1.5,1.5,1.5,1.5,0
30,2492,PXA,03/19/2021,1.4,1.7,1.4,1.7,545200
31,2493,PXA,03/22/2021,1.6,1.6,1.6,1.6,0
32,2494,PXA,03/23/2021,1.6,1.6,1.6,1.6,0
33,2495,PXA,03/24/2021,1.6,1.6,1.6,1.6,0
34,2496,PXA,03/25/2021,1.6,1.6,1.6,1.6,0
35,2497,PXA,03/26/2021,1.7,1.8,1.7,1.8,296300
36,2498,PXA,03/29/2021,1.8,1.8,1.8,1.8,0
37,2499,PXA,03/30/2021,1.8,1.8,1.8,1.8,0
38,2500,PXA,03/31/2021,1.8,1.8,1.8,1.8,0
39,2501,PXA,04/01/2021,1.8,1.8,1.8,1.8,0
40,2502,PXA,04/02/2021,2.0,2.0,2.0,2.0,75900
41,2503,PXA,04/05/2021,2.0,2.0,2.0,2.0,0
42,2504,PXA,04/06/2021,2.0,2.0,2.0,2.0,0
43,2505,PXA,04/07/2021,2.0,2.0,2.0,2.0,0
44,2506,PXA,04/08/2021,2.0,2.0,2.0,2.0,0
45,2507,PXA,04/09/2021,2.3,2.3,2.3,2.3,203800
46,2508,PXA,04/12/2021,2.3,2.3,2.3,2.3,0
47,2509,PXA,04/13/2021,2.3,2.3,2.3,2.3,0
48,2510,PXA,04/14/2021,2.3,2.3,2.3,2.3,0
49,2511,PXA,04/15/2021,2.3,2.3,2.3,2.3,0
50,2512,PXA,04/16/2021,2.6,2.6,2.6,2.6,120600
51,2513,PXA,04/19/2021,2.6,2.6,2.6,2.6,0
52,2514,PXA,04/20/2021,2.6,2.6,2.6,2.6,0
53,2515,PXA,04/22/2021,2.6,2.6,2.6,2.6,0
54,2516,PXA,04/23/2021,2.8,2.9,2.5,2.7,257500
55,2517,PXA,04/26/2021,2.8,2.8,2.8,2.8,0
56,2518,PXA,04/27/2021,2.8,2.8,2.8,2.8,0
57,2519,PXA,04/28/2021,2.8,2.8,2.8,2.8,0
58,2520,PXA,04/29/2021,2.8,2.8,2.8,2.8,0
59,2521,PXA,05/04/2021,2.8,2.8,2.8,2.8,0
60,2522,PXA,05/05/2021,2.8,2.8,2.8,2.8,0
61,2523,PXA,05/06/2021,2.8,2.8,2.8,2.8,0
62,2524,PXA,05/07/2021,2.9,3.0,2.4,2.4,94200
63,2525,PXA,05/10/2021,2.5,2.5,2.5,2.5,0
64,2526,PXA,05/11/2021,2.5,2.5,2.5,2.5,0
65,2527,PXA,05/12/2021,2.5,2.5,2.5,2.5,0
66,2528,PXA,05/13/2021,2.5,2.5,2.5,2.5,0
67,2529,PXA,05/14/2021,2.5,2.5,2.2,2.2,60000
68,2530,PXA,05/17/2021,2.2,2.2,2.2,2.2,0
69,2531,PXA,05/18/2021,2.2,2.2,2.2,2.2,0
70,2532,PXA,05/19/2021,2.2,2.2,2.2,2.2,0
71,2533,PXA,05/20/2021,2.2,2.2,2.2,2.2,0
72,2534,PXA,05/21/2021,2.3,2.3,1.9,1.9,125000
73,2535,PXA,05/24/2021,1.9,1.9,1.9,1.9,0
74,2536,PXA,05/25/2021,1.9,1.9,1.9,1.9,0
75,2537,PXA,05/26/2021,1.9,1.9,1.9,1.9,0
76,2538,PXA,05/27/2021,1.9,1.9,1.9,1.9,0
77,2539,PXA,05/28/2021,1.8,2.0,1.8,2.0,43500
78,2540,PXA,05/31/2021,1.9,1.9,1.9,1.9,0
79,2541,PXA,06/01/2021,1.9,1.9,1.9,1.9,0
80,2542,PXA,06/02/2021,1.9,1.9,1.9,1.9,0
81,2543,PXA,06/03/2021,1.9,1.9,1.9,1.9,0
82,2544,PXA,06/04/2021,2.1,2.1,2.1,2.1,136300
83,2545,PXA,06/07/2021,2.1,2.1,2.1,2.1,0
84,2546,PXA,06/08/2021,2.1,2.1,2.1,2.1,0
85,2547,PXA,06/09/2021,2.1,2.1,2.1,2.1,0
86,2548,PXA,06/10/2021,2.1,2.1,2.1,2.1,0
87,2549,PXA,06/11/2021,2.2,2.2,1.9,1.9,28800
88,2550,PXA,06/14/2021,2.1,2.1,2.1,2.1,0
89,2551,PXA,06/15/2021,2.1,2.1,2.1,2.1,0
90,2552,PXA,06/16/2021,2.1,2.1,2.1,2.1,0
91,2553,PXA,06/17/2021,2.1,2.1,2.1,2.1,0
92,2554,PXA,06/18/2021,2.1,2.1,2.0,2.0,19600
93,2555,PXA,06/21/2021,2.0,2.0,2.0,2.0,0
94,2556,PXA,06/22/2021,2.0,2.0,2.0,2.0,0
95,2557,PXA,06/23/2021,2.0,2.0,2.0,2.0,0
96,2558,PXA,06/24/2021,2.0,2.0,2.0,2.0,0
97,2559,PXA,06/25/2021,2.0,2.1,1.9,2.0,32600
98,2560,PXA,06/28/2021,2.0,2.0,2.0,2.0,0
99,2561,PXA,06/29/2021,2.0,2.0,2.0,2.0,0
100,2562,PXA,06/30/2021,2.0,2.0,2.0,2.0,0
101,2563,PXA,07/01/2021,2.0,2.0,2.0,2.0,0
102,2564,PXA,07/02/2021,2.0,2.1,2.0,2.0,37200
103,2565,PXA,07/05/2021,2.0,2.0,2.0,2.0,0
104,2566,PXA,07/06/2021,2.0,2.0,2.0,2.0,0
105,2567,PXA,07/07/2021,2.0,2.0,2.0,2.0,0
106,2568,PXA,07/08/2021,2.0,2.0,2.0,2.0,0
107,2569,PXA,07/09/2021,1.9,1.9,1.7,1.7,46400
108,2570,PXA,07/12/2021,1.7,1.7,1.7,1.7,0
109,2571,PXA,07/13/2021,1.7,1.7,1.7,1.7,0
110,2572,PXA,07/14/2021,1.7,1.7,1.7,1.7,0
111,2573,PXA,07/15/2021,1.7,1.7,1.7,1.7,0
112,2574,PXA,07/16/2021,1.9,1.9,1.8,1.8,30300
113,2575,PXA,07/19/2021,1.9,1.9,1.9,1.9,0
114,2576,PXA,07/20/2021,1.9,1.9,1.9,1.9,0
115,2577,PXA,07/21/2021,1.9,1.9,1.9,1.9,0
116,2578,PXA,07/22/2021,1.9,1.9,1.9,1.9,0
117,2579,PXA,07/23/2021,1.8,1.8,1.7,1.8,48500
118,2580,PXA,07/26/2021,1.7,1.7,1.7,1.7,0
119,2581,PXA,07/27/2021,1.7,1.7,1.7,1.7,0
120,2582,PXA,07/28/2021,1.7,1.7,1.7,1.7,0
121,2583,PXA,07/29/2021,1.7,1.7,1.7,1.7,0
122,2584,PXA,07/30/2021,1.6,1.8,1.6,1.8,136000
123,2585,PXA,08/02/2021,1.6,1.6,1.6,1.6,0
124,2586,PXA,08/03/2021,1.6,1.6,1.6,1.6,0
125,2587,PXA,08/04/2021,1.6,1.6,1.6,1.6,0
126,2588,PXA,08/05/2021,1.6,1.6,1.6,1.6,0
127,2589,PXA,08/06/2021,1.7,1.7,1.7,1.7,10900
128,2590,PXA,08/09/2021,1.7,1.7,1.7,1.7,0
129,2591,PXA,08/10/2021,1.7,1.7,1.7,1.7,0
130,2592,PXA,08/11/2021,1.7,1.7,1.7,1.7,0
131,2593,PXA,08/12/2021,1.7,1.7,1.7,1.7,0
132,2594,PXA,08/13/2021,1.7,1.7,1.7,1.7,19100
133,2595,PXA,08/17/2021,1.7,1.7,1.7,1.7,0
134,2596,PXA,08/18/2021,1.7,1.7,1.7,1.7,0
135,2597,PXA,08/19/2021,1.7,1.7,1.7,1.7,0
136,2598,PXA,08/20/2021,1.7,1.7,1.5,1.7,274700
137,2599,PXA,08/23/2021,1.7,1.7,1.7,1.7,0
138,2600,PXA,08/24/2021,1.7,1.7,1.7,1.7,0
139,2601,PXA,08/25/2021,1.7,1.7,1.7,1.7,0
140,2602,PXA,08/26/2021,1.7,1.7,1.7,1.7,0
141,2603,PXA,08/27/2021,1.5,1.7,1.5,1.6,6900
142,2604,PXA,08/30/2021,1.6,1.6,1.6,1.6,0
143,2605,PXA,08/31/2021,1.6,1.6,1.6,1.6,0
144,2606,PXA,09/01/2021,1.6,1.6,1.6,1.6,0
145,2607,PXA,09/06/2021,1.6,1.6,1.6,1.6,0
146,2608,PXA,09/07/2021,1.6,1.6,1.6,1.6,0
147,2609,PXA,09/08/2021,1.6,1.6,1.6,1.6,0
148,2610,PXA,09/09/2021,1.6,1.6,1.6,1.6,0
149,2611,PXA,09/10/2021,1.7,1.7,1.6,1.7,26400
150,2612,PXA,09/13/2021,1.6,1.6,1.6,1.6,0
151,2613,PXA,09/14/2021,1.6,1.6,1.6,1.6,0
152,2614,PXA,09/15/2021,1.6,1.6,1.6,1.6,0
153,2615,PXA,09/16/2021,1.6,1.6,1.6,1.6,0
154,2616,PXA,09/17/2021,1.7,1.8,1.7,1.8,163700
155,2617,PXA,09/20/2021,1.8,1.8,1.8,1.8,0
156,2618,PXA,09/21/2021,1.8,1.8,1.8,1.8,0
157,2619,PXA,09/22/2021,1.8,1.8,1.8,1.8,0
158,2620,PXA,09/23/2021,1.8,1.8,1.8,1.8,0
159,2621,PXA,09/24/2021,1.9,2.0,1.8,1.8,144100
160,2622,PXA,09/27/2021,1.9,1.9,1.9,1.9,0
161,2623,PXA,09/28/2021,1.9,1.9,1.9,1.9,0
162,2624,PXA,09/29/2021,1.9,1.9,1.9,1.9,0
163,2625,PXA,09/30/2021,1.9,1.9,1.9,1.9,0
164,2626,PXA,10/01/2021,2.0,2.1,2.0,2.1,226500
165,2627,PXA,10/04/2021,2.1,2.1,2.1,2.1,0
166,2628,PXA,10/05/2021,2.1,2.1,2.1,2.1,0
167,2629,PXA,10/06/2021,2.1,2.1,2.1,2.1,0
168,2630,PXA,10/07/2021,2.1,2.1,2.1,2.1,0
169,2631,PXA,10/08/2021,2.1,2.1,2.0,2.1,48300
170,2632,PXA,10/11/2021,2.1,2.1,2.1,2.1,0
171,2633,PXA,10/12/2021,2.1,2.1,2.1,2.1,0
172,2634,PXA,10/13/2021,2.1,2.1,2.1,2.1,0
173,2635,PXA,10/14/2021,2.1,2.1,2.1,2.1,0
174,2636,PXA,10/15/2021,2.2,2.2,2.0,2.1,29300
175,2637,PXA,10/18/2021,2.0,2.0,2.0,2.0,0
176,2638,PXA,10/19/2021,2.0,2.0,2.0,2.0,0
177,2639,PXA,10/20/2021,2.0,2.0,2.0,2.0,0
178,2640,PXA,10/21/2021,2.0,2.0,2.0,2.0,0
179,2641,PXA,10/22/2021,2.2,2.3,2.2,2.3,263600
180,2642,PXA,10/25/2021,2.3,2.3,2.3,2.3,0
181,2643,PXA,10/26/2021,2.3,2.3,2.3,2.3,0
182,2644,PXA,10/27/2021,2.3,2.3,2.3,2.3,0
183,2645,PXA,10/28/2021,2.3,2.3,2.3,2.3,0
184,2646,PXA,10/29/2021,2.6,2.6,2.6,2.6,263000
185,2647,PXA,11/01/2021,2.6,2.6,2.6,2.6,0
186,2648,PXA,11/02/2021,2.6,2.6,2.6,2.6,0
187,2649,PXA,11/03/2021,2.6,2.6,2.6,2.6,0
188,2650,PXA,11/04/2021,2.6,2.6,2.6,2.6,0
189,2651,PXA,11/05/2021,2.9,2.9,2.8,2.9,174400
190,2652,PXA,11/08/2021,2.9,2.9,2.9,2.9,0
191,2653,PXA,11/09/2021,2.9,2.9,2.9,2.9,0
192,2654,PXA,11/10/2021,2.9,2.9,2.9,2.9,0
193,2655,PXA,11/11/2021,2.9,2.9,2.9,2.9,0
194,2656,PXA,11/12/2021,3.3,3.3,3.2,3.3,205400
195,2657,PXA,11/15/2021,3.3,3.3,3.3,3.3,0
196,2658,PXA,11/16/2021,3.3,3.3,3.3,3.3,0
197,2659,PXA,11/17/2021,3.3,3.3,3.3,3.3,0
198,2660,PXA,11/18/2021,3.3,3.3,3.3,3.3,0
199,2661,PXA,11/19/2021,3.7,3.7,3.6,3.7,297500
200,2662,PXA,11/22/2021,3.7,3.7,3.7,3.7,0
201,2663,PXA,11/23/2021,3.7,3.7,3.7,3.7,0
202,2664,PXA,11/24/2021,3.7,3.7,3.7,3.7,0
203,2665,PXA,11/25/2021,3.7,3.7,3.7,3.7,0
204,2666,PXA,11/26/2021,3.9,3.9,3.2,3.2,552600
205,2667,PXA,11/29/2021,3.2,3.2,3.2,3.2,0
206,2668,PXA,11/30/2021,3.2,3.2,3.2,3.2,0
207,2669,PXA,12/01/2021,3.2,3.2,3.2,3.2,0
208,2670,PXA,12/02/2021,3.2,3.2,3.2,3.2,0
209,2671,PXA,12/03/2021,3.2,3.5,2.9,3.2,711400
210,2672,PXA,12/06/2021,3.2,3.2,3.2,3.2,0
211,2673,PXA,12/07/2021,3.2,3.2,3.2,3.2,0
212,2674,PXA,12/08/2021,3.2,3.2,3.2,3.2,0
213,2675,PXA,12/09/2021,3.2,3.2,3.2,3.2,0
214,2676,PXA,12/10/2021,2.9,3.2,2.8,3.0,96000
215,2677,PXA,12/13/2021,2.9,2.9,2.9,2.9,0
216,2678,PXA,12/14/2021,2.9,2.9,2.9,2.9,0
217,2679,PXA,12/15/2021,2.9,2.9,2.9,2.9,0
218,2680,PXA,12/16/2021,2.9,2.9,2.9,2.9,0
219,2681,PXA,12/17/2021,2.9,2.9,2.5,2.6,377300
220,2682,PXA,12/20/2021,2.5,2.5,2.5,2.5,0
221,2683,PXA,12/21/2021,2.5,2.5,2.5,2.5,0
222,2684,PXA,12/22/2021,2.5,2.5,2.5,2.5,0
223,2685,PXA,12/23/2021,2.5,2.5,2.5,2.5,0
224,2686,PXA,12/24/2021,2.5,2.6,2.2,2.2,105100
225,2687,PXA,12/27/2021,2.4,2.4,2.4,2.4,0
226,2688,PXA,12/28/2021,2.4,2.4,2.4,2.4,0
227,2689,PXA,12/29/2021,2.4,2.4,2.4,2.4,0
228,2690,PXA,12/30/2021,2.4,2.4,2.4,2.4,0
229,2691,PXA,12/31/2021,2.5,2.7,2.5,2.7,205400
230,2692,PXA,01/04/2022,2.7,2.7,2.7,2.7,0
231,2693,PXA,01/05/2022,2.7,2.7,2.7,2.7,0
232,2694,PXA,01/06/2022,2.7,2.7,2.7,2.7,0
233,2695,PXA,01/07/2022,3.1,3.1,3.1,3.1,218700
234,2696,PXA,01/10/2022,3.1,3.1,3.1,3.1,0
235,2697,PXA,01/11/2022,3.1,3.1,3.1,3.1,0
236,2698,PXA,01/12/2022,3.1,3.1,3.1,3.1,0
237,2699,PXA,01/13/2022,3.1,3.1,3.1,3.1,0
238,2700,PXA,01/14/2022,3.1,3.3,2.7,3.2,441800
239,2701,PXA,01/17/2022,3.1,3.1,3.1,3.1,0
240,2702,PXA,01/18/2022,3.1,3.1,3.1,3.1,0
241,2703,PXA,01/19/2022,3.1,3.1,3.1,3.1,0
242,2704,PXA,01/20/2022,3.1,3.1,3.1,3.1,0
243,2705,PXA,01/21/2022,3.4,3.5,3.0,3.3,324700
244,2706,PXA,01/24/2022,3.3,3.3,3.3,3.3,0
245,2707,PXA,01/25/2022,3.3,3.3,3.3,3.3,0
246,2708,PXA,01/26/2022,3.3,3.3,3.3,3.3,0
247,2709,PXA,01/27/2022,3.3,3.3,3.3,3.3,0
248,2710,PXA,01/28/2022,3.3,3.4,2.9,2.9,207000
249,2711,PXA,02/07/2022,2.9,2.9,2.9,2.9,0
250,2712,PXA,02/08/2022,2.9,2.9,2.9,2.9,0
251,2713,PXA,02/09/2022,2.9,2.9,2.9,2.9,0
252,2714,PXA,02/10/2022,2.9,2.9,2.9,2.9,0
253,2715,PXA,02/11/2022,2.9,3.1,2.8,2.9,55200
254,2716,PXA,02/14/2022,3.0,3.0,3.0,3.0,0
255,2717,PXA,02/15/2022,3.0,3.0,3.0,3.0,0
256,2718,PXA,02/16/2022,3.0,3.0,3.0,3.0,0
257,2719,PXA,02/17/2022,3.0,3.0,3.0,3.0,0
258,2720,PXA,02/18/2022,3.0,3.1,2.7,3.0,46100
259,2721,PXA,02/21/2022,3.0,3.0,3.0,3.0,0
260,2722,PXA,02/22/2022,3.0,3.0,3.0,3.0,0
261,2723,PXA,02/23/2022,3.0,3.0,3.0,3.0,0
262,2724,PXA,02/24/2022,3.0,3.0,3.0,3.0,0
263,2725,PXA,02/25/2022,3.0,3.0,2.7,2.9,66800
264,2726,PXA,02/28/2022,2.8,2.8,2.8,2.8,0
265,2727,PXA,03/01/2022,2.8,2.8,2.8,2.8,0
266,2728,PXA,03/02/2022,2.8,2.8,2.8,2.8,0
267,2729,PXA,03/03/2022,2.8,2.8,2.8,2.8,0
268,2730,PXA,03/04/2022,2.8,3.1,2.8,2.9,77600
269,2731,PXA,03/07/2022,2.9,2.9,2.9,2.9,0
270,2732,PXA,03/08/2022,2.9,2.9,2.9,2.9,0
271,2733,PXA,03/09/2022,2.9,2.9,2.9,2.9,0
272,2734,PXA,03/10/2022,2.9,2.9,2.9,2.9,0
273,2735,PXA,03/11/2022,2.9,2.9,2.7,2.8,110200
274,2736,PXA,03/14/2022,2.8,2.8,2.8,2.8,0
275,2737,PXA,03/15/2022,2.8,2.8,2.8,2.8,0
276,2738,PXA,03/16/2022,2.8,2.8,2.8,2.8,0
277,2739,PXA,03/17/2022,2.8,2.8,2.8,2.8,0
278,2740,PXA,03/18/2022,2.7,2.9,2.7,2.8,82100
279,2741,PXA,03/21/2022,2.8,2.8,2.8,2.8,0
280,2742,PXA,03/22/2022,2.8,2.8,2.8,2.8,0
281,2743,PXA,03/23/2022,2.8,2.8,2.8,2.8,0
282,2744,PXA,03/24/2022,2.8,2.8,2.8,2.8,0
283,2745,PXA,03/25/2022,2.9,2.9,2.7,2.9,182600
284,2746,PXA,03/28/2022,2.8,2.8,2.8,2.8,0
285,2747,PXA,03/29/2022,2.8,2.8,2.8,2.8,0
286,2748,PXA,03/30/2022,2.8,2.8,2.8,2.8,0
287,2749,PXA,03/31/2022,2.8,2.8,2.8,2.8,0
288,2750,PXA,04/01/2022,2.7,2.8,2.7,2.7,55800
289,2751,PXA,04/04/2022,2.7,2.7,2.7,2.7,0
290,2752,PXA,04/05/2022,2.7,2.7,2.7,2.7,0
291,2753,PXA,04/06/2022,2.7,2.7,2.7,2.7,0
292,2754,PXA,04/07/2022,2.7,2.7,2.7,2.7,0
293,2755,PXA,04/08/2022,2.7,2.7,2.5,2.5,31500
294,2756,PXA,04/12/2022,2.6,2.6,2.6,2.6,0
295,2757,PXA,04/13/2022,2.6,2.6,2.6,2.6,0
296,2758,PXA,04/14/2022,2.6,2.6,2.6,2.6,0
297,2759,PXA,04/15/2022,2.5,2.6,2.3,2.3,98900
298,2760,PXA,04/18/2022,2.3,2.3,2.3,2.3,0
299,2761,PXA,04/19/2022,2.3,2.3,2.3,2.3,0
300,2762,PXA,04/20/2022,2.3,2.3,2.3,2.3,0
301,2763,PXA,04/21/2022,2.3,2.3,2.3,2.3,0
302,2764,PXA,04/22/2022,2.0,2.2,2.0,2.0,146100
303,2765,PXA,04/25/2022,2.0,2.0,2.0,2.0,0
304,2766,PXA,04/26/2022,2.0,2.0,2.0,2.0,0
