,index,Ticker,Date,Open,High,Low,Close,Volume
0,2656,PXS,01/19/2021,8.25,8.3,7.82,7.82,383000
1,2657,PXS,01/20/2021,7.4,8.0,7.28,7.8,423900
2,2658,PXS,01/21/2021,8.0,8.34,7.8,8.33,684600
3,2659,PXS,01/22/2021,8.36,8.5,8.16,8.17,394200
4,2660,PXS,01/25/2021,8.17,8.17,7.9,7.9,178400
5,2661,PXS,01/26/2021,7.9,7.9,7.35,7.45,410400
6,2662,PXS,01/27/2021,7.5,7.5,6.93,6.93,415300
7,2663,PXS,01/28/2021,6.6,6.6,6.45,6.45,376900
8,2664,PXS,01/29/2021,6.0,6.75,6.0,6.5,472200
9,2665,PXS,02/01/2021,6.5,6.5,6.05,6.05,643600
10,2666,PXS,02/02/2021,5.88,6.09,5.63,5.63,1112000
11,2667,PXS,02/03/2021,5.99,6.02,5.61,6.02,730200
12,2668,PXS,02/04/2021,6.4,6.4,6.2,6.28,442700
13,2669,PXS,02/05/2021,6.3,6.45,6.28,6.29,226500
14,2670,PXS,02/08/2021,6.29,6.3,5.85,6.05,390500
15,2671,PXS,02/09/2021,6.0,6.19,6.0,6.19,225000
16,2672,PXS,02/17/2021,6.62,6.62,6.62,6.62,282600
17,2673,PXS,02/18/2021,7.08,7.08,6.9,7.08,979300
18,2674,PXS,02/19/2021,7.1,7.5,7.03,7.25,443700
19,2675,PXS,02/22/2021,7.25,7.25,6.9,7.08,429600
20,2676,PXS,02/23/2021,7.3,7.39,7.1,7.24,477300
21,2677,PXS,02/24/2021,7.1,7.24,6.9,7.1,356800
22,2678,PXS,02/25/2021,7.2,7.2,7.0,7.14,233600
23,2679,PXS,02/26/2021,6.9,7.13,6.9,7.13,175300
24,2680,PXS,03/01/2021,7.13,7.2,7.08,7.2,316000
25,2681,PXS,03/02/2021,7.2,7.2,7.0,7.0,267000
26,2682,PXS,03/03/2021,6.98,7.2,6.98,7.2,252100
27,2683,PXS,03/04/2021,7.2,7.32,7.0,7.2,367100
28,2684,PXS,03/05/2021,7.7,7.7,7.6,7.7,1046300
29,2685,PXS,03/08/2021,8.23,8.23,7.7,8.12,927400
30,2686,PXS,03/09/2021,8.05,8.05,7.6,7.9,381800
31,2687,PXS,03/10/2021,7.8,7.8,7.35,7.6,429200
32,2688,PXS,03/11/2021,7.7,7.72,7.49,7.55,370900
33,2689,PXS,03/12/2021,7.6,7.9,7.55,7.69,498400
34,2690,PXS,03/15/2021,7.73,7.86,7.73,7.79,335000
35,2691,PXS,03/16/2021,7.8,7.81,7.59,7.6,207900
36,2692,PXS,03/17/2021,7.46,7.8,7.45,7.65,231400
37,2693,PXS,03/18/2021,7.65,7.7,7.5,7.59,243600
38,2694,PXS,03/19/2021,7.2,7.45,7.2,7.35,394800
39,2695,PXS,03/22/2021,7.35,7.68,7.35,7.53,755000
40,2696,PXS,03/23/2021,7.53,7.77,7.45,7.5,783600
41,2697,PXS,03/24/2021,7.4,7.51,7.3,7.3,322900
42,2698,PXS,03/25/2021,7.3,7.38,6.91,7.22,375200
43,2699,PXS,03/26/2021,7.1,7.35,7.05,7.27,205400
44,2700,PXS,03/29/2021,7.27,7.77,7.27,7.77,1175600
45,2701,PXS,03/30/2021,8.1,8.1,7.75,7.8,542800
46,2702,PXS,03/31/2021,7.56,7.86,7.56,7.7,227900
47,2703,PXS,04/01/2021,7.7,7.75,7.5,7.72,223600
48,2704,PXS,04/02/2021,7.72,7.84,7.5,7.76,332200
49,2705,PXS,04/05/2021,7.76,7.76,7.55,7.62,483000
50,2706,PXS,04/06/2021,7.61,7.61,7.55,7.56,333300
51,2707,PXS,04/07/2021,7.56,7.75,7.56,7.75,567500
52,2708,PXS,04/08/2021,8.0,8.0,7.8,7.8,523100
53,2709,PXS,04/09/2021,7.8,8.0,7.8,7.92,768400
54,2710,PXS,04/12/2021,7.9,8.46,7.81,8.3,1405800
55,2711,PXS,04/13/2021,8.3,8.31,7.9,7.99,853500
56,2712,PXS,04/14/2021,7.8,8.0,7.5,8.0,708700
57,2713,PXS,04/15/2021,8.1,8.2,7.69,7.72,800900
58,2714,PXS,04/16/2021,7.7,7.72,7.18,7.3,724500
59,2715,PXS,04/19/2021,7.3,7.6,7.12,7.21,747200
60,2716,PXS,04/20/2021,7.21,7.25,7.12,7.15,446500
61,2717,PXS,04/22/2021,7.14,7.14,6.65,6.65,1309800
62,2718,PXS,04/23/2021,6.22,7.0,6.22,6.9,550400
63,2719,PXS,04/26/2021,6.9,6.9,6.55,6.56,191700
64,2720,PXS,04/27/2021,6.36,6.56,6.36,6.47,181500
65,2721,PXS,04/28/2021,6.47,6.8,6.47,6.72,268000
66,2722,PXS,04/29/2021,6.72,6.85,6.61,6.69,175500
67,2723,PXS,05/04/2021,6.69,6.69,6.36,6.6,171000
68,2724,PXS,05/05/2021,7.0,7.0,6.6,6.85,231900
69,2725,PXS,05/06/2021,6.85,6.85,6.61,6.61,216700
70,2726,PXS,05/07/2021,6.61,6.63,6.42,6.49,202500
71,2727,PXS,05/10/2021,6.35,6.45,6.33,6.39,256800
72,2728,PXS,05/11/2021,6.39,6.67,6.36,6.48,326900
73,2729,PXS,05/12/2021,6.48,6.67,6.48,6.66,190900
74,2730,PXS,05/13/2021,6.66,6.66,6.53,6.55,200300
75,2731,PXS,05/14/2021,6.5,6.58,6.45,6.46,131600
76,2732,PXS,05/17/2021,6.46,6.55,6.22,6.36,88400
77,2733,PXS,05/18/2021,6.36,6.39,6.16,6.2,328500
78,2734,PXS,05/19/2021,6.26,6.26,5.91,6.03,220800
79,2735,PXS,05/20/2021,6.0,6.0,5.75,5.75,414800
80,2736,PXS,05/21/2021,5.75,6.15,5.4,6.14,602300
81,2737,PXS,05/24/2021,6.38,6.38,6.18,6.19,119300
82,2738,PXS,05/25/2021,6.19,6.3,6.19,6.2,130000
83,2739,PXS,05/26/2021,6.11,6.11,5.86,5.99,408700
84,2740,PXS,05/27/2021,6.0,6.02,5.75,5.8,149200
