,index,Ticker,Date,Open,High,Low,Close,Volume
0,2593,S12,01/29/2021,0.4,0.4,0.4,0.4,10000
1,2594,S12,02/01/2021,0.4,0.4,0.4,0.4,0
2,2595,S12,02/02/2021,0.4,0.4,0.4,0.4,0
3,2596,S12,02/03/2021,0.4,0.4,0.4,0.4,0
4,2597,S12,02/04/2021,0.4,0.4,0.4,0.4,0
5,2598,S12,02/05/2021,0.3,0.5,0.3,0.5,50200
6,2599,S12,02/08/2021,0.3,0.3,0.3,0.3,0
7,2600,S12,02/09/2021,0.3,0.3,0.3,0.3,0
8,2601,S12,02/17/2021,0.3,0.3,0.3,0.3,0
9,2602,S12,02/18/2021,0.3,0.3,0.3,0.3,0
10,2603,S12,02/19/2021,0.4,0.4,0.4,0.4,221100
11,2604,S12,02/22/2021,0.4,0.4,0.4,0.4,0
12,2605,S12,02/23/2021,0.4,0.4,0.4,0.4,0
13,2606,S12,02/24/2021,0.4,0.4,0.4,0.4,0
14,2607,S12,02/25/2021,0.4,0.4,0.4,0.4,0
15,2608,S12,02/26/2021,0.4,0.5,0.4,0.5,166800
16,2609,S12,03/01/2021,0.5,0.5,0.5,0.5,0
17,2610,S12,03/02/2021,0.5,0.5,0.5,0.5,0
18,2611,S12,03/03/2021,0.5,0.5,0.5,0.5,0
19,2612,S12,03/04/2021,0.5,0.5,0.5,0.5,0
20,2613,S12,03/05/2021,0.5,0.5,0.5,0.5,2200
21,2614,S12,03/08/2021,0.5,0.5,0.5,0.5,0
22,2615,S12,03/09/2021,0.5,0.5,0.5,0.5,0
23,2616,S12,03/10/2021,0.5,0.5,0.5,0.5,0
24,2617,S12,03/11/2021,0.5,0.5,0.5,0.5,0
25,2618,S12,03/12/2021,0.5,0.5,0.5,0.5,0
26,2619,S12,03/15/2021,0.5,0.5,0.5,0.5,0
27,2620,S12,03/16/2021,0.5,0.5,0.5,0.5,0
28,2621,S12,03/17/2021,0.5,0.5,0.5,0.5,0
29,2622,S12,03/18/2021,0.5,0.5,0.5,0.5,0
30,2623,S12,03/19/2021,0.5,0.5,0.4,0.5,2500
31,2624,S12,03/22/2021,0.5,0.5,0.5,0.5,0
32,2625,S12,03/23/2021,0.5,0.5,0.5,0.5,0
33,2626,S12,03/24/2021,0.5,0.5,0.5,0.5,0
34,2627,S12,03/25/2021,0.5,0.5,0.5,0.5,0
35,2628,S12,03/26/2021,0.5,0.6,0.5,0.5,83500
36,2629,S12,03/29/2021,0.5,0.5,0.5,0.5,0
37,2630,S12,03/30/2021,0.5,0.5,0.5,0.5,0
38,2631,S12,03/31/2021,0.5,0.5,0.5,0.5,0
39,2632,S12,04/01/2021,0.5,0.5,0.5,0.5,0
40,2633,S12,04/02/2021,0.5,0.6,0.5,0.6,120300
