,index,Ticker,Date,Open,High,Low,Close,Volume
0,841,SBM,01/28/2021,21.11955,21.11955,21.11955,21.11955,0
1,842,SBM,01/29/2021,21.11955,21.11955,21.11955,21.11955,0
2,843,SBM,02/01/2021,21.11955,21.11955,21.11955,21.11955,0
3,844,SBM,02/02/2021,21.11955,21.11955,21.11955,21.11955,0
4,845,SBM,02/03/2021,21.11955,21.11955,21.11955,21.11955,0
5,846,SBM,02/04/2021,21.11955,21.11955,21.11955,21.11955,0
6,847,SBM,02/05/2021,21.11955,21.11955,21.11955,21.11955,0
7,848,SBM,02/08/2021,21.11955,21.11955,21.11955,21.11955,0
8,849,SBM,02/09/2021,21.11955,21.11955,21.11955,21.11955,0
9,850,SBM,02/17/2021,21.11955,21.11955,21.11955,21.11955,0
10,851,SBM,02/18/2021,21.11955,21.11955,21.11955,21.11955,0
11,852,SBM,02/19/2021,21.11955,21.11955,21.11955,21.11955,400
12,853,SBM,02/22/2021,21.11955,21.11955,21.11955,21.11955,0
13,854,SBM,02/23/2021,21.11955,21.11955,21.11955,21.11955,0
14,855,SBM,02/24/2021,21.11955,21.11955,21.11955,21.11955,0
15,856,SBM,02/25/2021,21.11955,21.11955,21.11955,21.11955,0
16,857,SBM,02/26/2021,21.11955,21.11955,21.11955,21.11955,0
17,858,SBM,03/01/2021,21.11955,21.11955,21.11955,21.11955,0
18,859,SBM,03/02/2021,21.11955,21.11955,21.11955,21.11955,3000
19,860,SBM,03/03/2021,21.11955,21.11955,21.11955,21.11955,0
20,861,SBM,03/04/2021,21.11955,21.11955,21.11955,21.11955,0
21,862,SBM,03/05/2021,21.47751,21.47751,21.47751,21.47751,3000
22,863,SBM,03/08/2021,20.76159,20.76159,20.76159,20.76159,1100
23,864,SBM,03/09/2021,20.76159,20.76159,20.76159,20.76159,0
24,865,SBM,03/10/2021,20.76159,20.76159,20.76159,20.76159,0
25,866,SBM,03/11/2021,20.76159,20.76159,20.76159,20.76159,0
26,867,SBM,03/12/2021,20.76159,20.76159,20.76159,20.76159,0
27,868,SBM,03/15/2021,20.76159,20.76159,20.76159,20.76159,0
28,869,SBM,03/16/2021,21.47751,21.47751,20.76159,20.76159,300
29,870,SBM,03/17/2021,21.26274,21.26274,21.26274,21.26274,0
30,871,SBM,03/18/2021,21.26274,21.26274,21.26274,21.26274,0
31,872,SBM,03/19/2021,21.26274,21.26274,21.26274,21.26274,0
32,873,SBM,03/22/2021,18.9718,18.9718,18.9718,18.9718,200
33,874,SBM,03/23/2021,18.9718,18.9718,18.9718,18.9718,0
