,index,Ticker,Date,Open,High,Low,Close,Volume
0,1431,SWC,02/01/2021,19.9,19.9,18.0,18.2,59400
1,1432,SWC,02/02/2021,18.6,19.0,18.3,18.9,48600
2,1433,SWC,02/03/2021,19.0,19.4,18.6,19.3,73700
3,1434,SWC,02/04/2021,19.3,19.6,19.1,19.5,39000
4,1435,SWC,02/05/2021,19.4,20.1,19.3,20.0,96900
5,1436,SWC,02/08/2021,19.9,21.2,19.6,20.5,214300
6,1437,SWC,02/09/2021,19.8,20.9,19.6,20.7,23700
7,1438,SWC,02/17/2021,20.6,21.4,20.4,21.2,116600
8,1439,SWC,02/18/2021,21.5,22.8,21.0,22.1,123100
9,1440,SWC,02/19/2021,22.0,22.5,21.9,22.1,59000
10,1441,SWC,02/22/2021,22.1,23.0,22.1,22.3,56000
11,1442,SWC,02/23/2021,22.5,22.9,22.5,22.5,60000
12,1443,SWC,02/24/2021,22.5,22.7,22.1,22.4,95100
13,1444,SWC,02/25/2021,22.4,22.5,21.9,22.3,105500
14,1445,SWC,02/26/2021,22.2,24.5,22.0,24.0,182300
15,1446,SWC,03/01/2021,24.0,24.0,23.6,24.0,58800
16,1447,SWC,03/02/2021,24.9,24.9,23.8,24.4,72300
17,1448,SWC,03/03/2021,24.2,24.4,23.7,24.1,84400
18,1449,SWC,03/04/2021,24.0,24.2,23.0,23.8,184600
19,1450,SWC,03/05/2021,23.3,24.9,22.7,24.2,33400
20,1451,SWC,03/08/2021,23.7,24.5,23.7,24.0,34500
21,1452,SWC,03/09/2021,24.0,24.3,23.8,24.0,52200
22,1453,SWC,03/10/2021,23.8,23.8,23.6,23.8,23000
23,1454,SWC,03/11/2021,24.0,24.5,24.0,24.1,53600
24,1455,SWC,03/12/2021,24.5,24.5,23.8,23.8,38800
25,1456,SWC,03/15/2021,24.0,24.0,23.3,23.6,88300
26,1457,SWC,03/16/2021,23.6,23.7,23.2,23.7,58400
27,1458,SWC,03/17/2021,23.5,24.3,23.5,24.0,77600
28,1459,SWC,03/18/2021,24.3,24.5,23.8,24.0,42200
29,1460,SWC,03/19/2021,24.1,24.1,23.2,23.8,42600
30,1461,SWC,03/22/2021,23.8,23.8,23.4,23.5,70700
31,1462,SWC,03/23/2021,23.5,24.4,22.8,23.5,85100
32,1463,SWC,03/24/2021,23.3,24.5,22.3,23.3,199200
33,1464,SWC,03/25/2021,23.8,23.8,23.1,23.2,42700
34,1465,SWC,03/26/2021,23.0,23.5,22.5,23.5,80100
35,1466,SWC,03/29/2021,23.1,23.5,23.0,23.3,48100
