,index,Ticker,Date,Open,High,Low,Close,Volume
0,917,THU,01/28/2021,10.58277,10.67023,10.58277,10.67023,1300
1,918,THU,01/29/2021,10.58277,10.58277,10.58277,10.58277,0
2,919,THU,02/01/2021,12.15707,12.15707,11.28246,11.28246,700
3,920,THU,02/02/2021,11.54484,11.54484,11.54484,11.54484,200
4,921,THU,02/03/2021,11.54484,11.54484,11.54484,11.54484,0
5,922,THU,02/04/2021,12.0696,12.0696,12.0696,12.0696,100
6,923,THU,02/05/2021,12.0696,12.0696,12.0696,12.0696,0
7,924,THU,02/08/2021,12.0696,12.0696,12.0696,12.0696,0
8,925,THU,02/09/2021,12.0696,12.0696,12.0696,12.0696,0
9,926,THU,02/17/2021,10.67023,10.67023,10.67023,10.67023,100
10,927,THU,02/18/2021,9.095934,9.095934,9.095934,9.095934,2000
11,928,THU,02/19/2021,10.40785,10.40785,10.40785,10.40785,100
12,929,THU,02/22/2021,8.921012,11.02007,8.921012,11.02007,3900
13,930,THU,02/23/2021,10.67023,11.19499,10.67023,11.19499,600
14,931,THU,02/24/2021,10.93261,11.28246,10.75769,11.28246,3900
15,932,THU,02/25/2021,10.93261,10.93261,10.93261,10.93261,0
16,933,THU,02/26/2021,11.19499,11.36992,11.19499,11.36992,4000
17,934,THU,03/01/2021,11.36992,11.36992,11.36992,11.36992,200
18,935,THU,03/02/2021,11.36992,11.36992,11.36992,11.36992,0
19,936,THU,03/03/2021,11.36992,11.36992,11.36992,11.36992,0
20,937,THU,03/04/2021,11.36992,11.36992,11.36992,11.36992,0
21,938,THU,03/05/2021,11.36992,11.36992,11.36992,11.36992,0
22,939,THU,03/08/2021,11.36992,11.36992,11.36992,11.36992,0
23,940,THU,03/09/2021,10.93261,10.93261,10.93261,10.93261,4100
24,941,THU,03/10/2021,10.93261,11.36992,9.620699,11.36992,7000
25,942,THU,03/11/2021,10.84515,10.84515,10.84515,10.84515,0
26,943,THU,03/12/2021,10.84515,10.84515,10.84515,10.84515,0
27,944,THU,03/15/2021,11.36992,11.36992,11.36992,11.36992,1300
28,945,THU,03/16/2021,11.36992,11.45738,11.36992,11.45738,2200
29,946,THU,03/17/2021,11.45738,11.45738,11.45738,11.45738,0
30,947,THU,03/18/2021,11.36992,11.54484,11.36992,11.54484,7700
31,948,THU,03/19/2021,11.36992,12.68183,10.058,12.41945,55000
32,949,THU,03/22/2021,12.24453,12.41945,12.24453,12.41945,300
33,950,THU,03/23/2021,13.11913,13.11913,13.11913,13.11913,100
34,951,THU,03/24/2021,13.11913,13.11913,11.19499,11.19499,300
35,952,THU,03/25/2021,12.50691,12.50691,12.50691,12.50691,0
36,953,THU,03/26/2021,11.80722,11.80722,11.80722,11.80722,400
37,954,THU,03/29/2021,11.80722,11.80722,11.80722,11.80722,0
38,955,THU,03/30/2021,10.49531,12.24453,10.49531,12.24453,41100
39,956,THU,03/31/2021,11.10753,11.10753,11.10753,11.10753,0
40,957,THU,04/01/2021,11.36992,11.80722,11.36992,11.80722,1100
41,958,THU,04/02/2021,11.80722,11.80722,11.80722,11.80722,0
42,959,THU,04/05/2021,11.80722,11.80722,11.80722,11.80722,0
43,960,THU,04/06/2021,10.49531,10.58277,10.49531,10.49531,15100
44,961,THU,04/07/2021,12.0696,12.0696,12.0696,12.0696,100
45,962,THU,04/08/2021,12.68183,12.68183,12.68183,12.68183,100
46,963,THU,04/09/2021,12.59437,12.59437,12.59437,12.59437,300
47,964,THU,04/12/2021,12.24453,12.50691,12.24453,12.50691,1100
48,965,THU,04/13/2021,13.11913,13.11913,13.11913,13.11913,200
49,966,THU,04/14/2021,13.55644,13.55644,13.55644,13.55644,100
50,967,THU,04/15/2021,12.41945,13.55644,12.24453,13.55644,3100
51,968,THU,04/16/2021,13.55644,13.55644,13.55644,13.55644,100
52,969,THU,04/19/2021,13.11913,13.55644,13.11913,13.55644,500
53,970,THU,04/20/2021,13.29406,13.29406,13.29406,13.29406,200
54,971,THU,04/22/2021,13.29406,13.29406,13.29406,13.29406,0
55,972,THU,04/23/2021,15.2182,15.2182,15.2182,15.2182,100
56,973,THU,04/26/2021,17.49218,17.49218,17.49218,17.49218,100
57,974,THU,04/27/2021,18.36679,18.36679,18.36679,18.36679,100
58,975,THU,04/28/2021,21.07808,21.07808,21.07808,21.07808,100
59,976,THU,04/29/2021,24.22667,24.22667,24.22667,24.22667,100
60,977,THU,05/04/2021,24.22667,24.22667,24.22667,24.22667,0
61,978,THU,05/05/2021,24.22667,24.22667,24.22667,24.22667,0
62,979,THU,05/06/2021,24.22667,24.22667,24.22667,24.22667,0
63,980,THU,05/07/2021,24.22667,24.22667,24.22667,24.22667,0
64,981,THU,05/10/2021,24.22667,24.22667,24.22667,24.22667,0
65,982,THU,05/11/2021,24.22667,24.22667,24.22667,24.22667,0
66,983,THU,05/12/2021,24.22667,24.22667,24.22667,24.22667,0
67,984,THU,05/13/2021,24.22667,24.22667,24.22667,24.22667,0
68,985,THU,05/14/2021,24.22667,24.22667,24.22667,24.22667,0
69,986,THU,05/17/2021,24.22667,24.22667,24.22667,24.22667,0
