,index,Ticker,Date,Open,High,Low,Close,Volume
0,941,TRT,01/28/2021,8.2623,8.2623,8.2623,8.2623,0
1,942,TRT,01/29/2021,8.2623,8.2623,8.2623,8.2623,0
2,943,TRT,02/01/2021,8.2623,8.2623,8.2623,8.2623,0
3,944,TRT,02/02/2021,8.2623,8.2623,8.2623,8.2623,0
4,945,TRT,02/03/2021,8.2623,8.2623,8.2623,8.2623,0
5,946,TRT,02/04/2021,8.2623,8.2623,8.2623,8.2623,0
6,947,TRT,02/05/2021,8.2623,8.2623,8.2623,8.2623,0
7,948,TRT,02/08/2021,8.2623,8.2623,8.2623,8.2623,0
8,949,TRT,02/09/2021,8.2623,8.2623,8.2623,8.2623,0
9,950,TRT,02/17/2021,8.2623,8.2623,8.2623,8.2623,0
10,951,TRT,02/18/2021,8.2623,8.2623,8.2623,8.2623,0
11,952,TRT,02/19/2021,8.2623,8.2623,8.2623,8.2623,0
12,953,TRT,02/22/2021,8.2623,8.2623,8.2623,8.2623,0
13,954,TRT,02/23/2021,8.2623,8.2623,8.2623,8.2623,0
14,955,TRT,02/24/2021,8.2623,8.2623,8.2623,8.2623,0
15,956,TRT,02/25/2021,8.2623,8.2623,8.2623,8.2623,0
16,957,TRT,02/26/2021,8.2623,8.2623,8.2623,8.2623,0
17,958,TRT,03/01/2021,8.2623,8.2623,8.2623,8.2623,0
18,959,TRT,03/02/2021,8.2623,8.2623,8.2623,8.2623,0
19,960,TRT,03/03/2021,8.2623,8.2623,8.2623,8.2623,0
20,961,TRT,03/04/2021,8.2623,8.2623,8.2623,8.2623,0
21,962,TRT,03/05/2021,8.2623,8.2623,8.2623,8.2623,0
22,963,TRT,03/08/2021,8.2623,8.2623,8.2623,8.2623,0
23,964,TRT,03/09/2021,8.2623,8.2623,8.2623,8.2623,0
24,965,TRT,03/10/2021,8.2623,8.2623,8.2623,8.2623,0
25,966,TRT,03/11/2021,8.2623,8.2623,8.2623,8.2623,0
26,967,TRT,03/12/2021,8.2623,8.2623,8.2623,8.2623,0
27,968,TRT,03/15/2021,8.2623,8.2623,8.2623,8.2623,0
28,969,TRT,03/16/2021,8.2623,8.2623,8.2623,8.2623,0
29,970,TRT,03/17/2021,8.2623,8.2623,8.2623,8.2623,0
30,971,TRT,03/18/2021,8.2623,8.2623,8.2623,8.2623,0
31,972,TRT,03/19/2021,8.2623,8.2623,8.2623,8.2623,0
32,973,TRT,03/22/2021,8.2623,8.2623,8.2623,8.2623,0
33,974,TRT,03/23/2021,8.2623,8.2623,8.2623,8.2623,0
34,975,TRT,03/24/2021,8.2623,8.2623,8.2623,8.2623,0
35,976,TRT,03/25/2021,8.2623,8.2623,8.2623,8.2623,0
36,977,TRT,03/26/2021,8.2623,8.2623,8.2623,8.2623,0
37,978,TRT,03/29/2021,8.2623,8.2623,8.2623,8.2623,0
38,979,TRT,03/30/2021,8.2623,8.2623,8.2623,8.2623,0
39,980,TRT,03/31/2021,8.2623,8.2623,8.2623,8.2623,8900
40,981,TRT,04/01/2021,8.2623,8.2623,8.2623,8.2623,0
41,982,TRT,04/02/2021,8.2623,8.2623,8.2623,8.2623,0
42,983,TRT,04/05/2021,8.2623,8.2623,8.2623,8.2623,0
43,984,TRT,04/06/2021,8.2623,8.2623,8.2623,8.2623,0
44,985,TRT,04/07/2021,8.2623,8.2623,8.2623,8.2623,0
45,986,TRT,04/08/2021,8.2623,8.2623,8.2623,8.2623,0
46,987,TRT,04/09/2021,8.2623,8.2623,8.2623,8.2623,0
47,988,TRT,04/12/2021,8.2623,8.2623,8.2623,8.2623,0
48,989,TRT,04/13/2021,8.2623,8.2623,8.2623,8.2623,50000
49,990,TRT,04/14/2021,8.2623,8.2623,8.2623,8.2623,0
50,991,TRT,04/15/2021,8.2623,8.2623,8.2623,8.2623,0
51,992,TRT,04/16/2021,8.2623,8.2623,8.2623,8.2623,50000
52,993,TRT,04/19/2021,8.2623,8.2623,8.2623,8.2623,0
53,994,TRT,04/20/2021,8.2623,8.2623,8.2623,8.2623,0
54,995,TRT,04/22/2021,8.2623,8.2623,8.2623,8.2623,0
55,996,TRT,04/23/2021,8.2623,8.2623,8.2623,8.2623,0
56,997,TRT,04/26/2021,8.2623,8.2623,8.2623,8.2623,0
57,998,TRT,04/27/2021,8.2623,8.2623,8.2623,8.2623,0
58,999,TRT,04/28/2021,8.2623,8.2623,8.2623,8.2623,0
59,1000,TRT,04/29/2021,8.2623,8.2623,8.2623,8.2623,0
60,1001,TRT,05/04/2021,8.2623,8.2623,8.2623,8.2623,0
61,1002,TRT,05/05/2021,8.2623,8.2623,8.2623,8.2623,52600
62,1003,TRT,05/06/2021,8.2623,8.2623,8.2623,8.2623,1200
63,1004,TRT,05/07/2021,8.2623,8.2623,8.2623,8.2623,0
64,1005,TRT,05/10/2021,8.2623,8.2623,8.2623,8.2623,1200
65,1006,TRT,05/11/2021,8.344923,8.344923,8.344923,8.344923,700
66,1007,TRT,05/12/2021,8.344923,8.344923,8.344923,8.344923,5000
67,1008,TRT,05/13/2021,8.344923,8.344923,8.344923,8.344923,0
68,1009,TRT,05/14/2021,8.344923,8.344923,8.344923,8.344923,0
69,1010,TRT,05/17/2021,8.344923,8.344923,8.344923,8.344923,11600
70,1011,TRT,05/18/2021,8.344923,8.344923,8.344923,8.344923,0
71,1012,TRT,05/19/2021,8.344923,8.344923,8.344923,8.344923,0
72,1013,TRT,05/20/2021,8.344923,8.344923,8.2623,8.2623,1900
73,1014,TRT,05/21/2021,8.2623,8.2623,8.2623,8.2623,0
74,1015,TRT,05/24/2021,8.2623,8.2623,8.2623,8.2623,0
75,1016,TRT,05/25/2021,8.427546,8.427546,8.427546,8.427546,5000
76,1017,TRT,05/26/2021,8.2623,8.2623,8.2623,8.2623,2100
77,1018,TRT,05/27/2021,8.2623,8.2623,8.2623,8.2623,3500
78,1019,TRT,05/28/2021,8.2623,8.2623,8.2623,8.2623,1000
79,1020,TRT,05/31/2021,8.2623,8.2623,8.2623,8.2623,0
80,1021,TRT,06/01/2021,8.2623,8.2623,8.2623,8.2623,0
81,1022,TRT,06/02/2021,8.2623,8.2623,8.2623,8.2623,6700
82,1023,TRT,06/03/2021,8.2623,8.2623,8.2623,8.2623,0
83,1024,TRT,06/04/2021,8.2623,8.2623,8.2623,8.2623,0
84,1025,TRT,06/07/2021,8.2623,8.2623,8.2623,8.2623,17300
85,1026,TRT,06/08/2021,8.2623,8.2623,8.2623,8.2623,0
86,1027,TRT,06/09/2021,8.2623,8.2623,8.2623,8.2623,0
87,1028,TRT,06/10/2021,8.2623,8.2623,8.2623,8.2623,0
88,1029,TRT,06/11/2021,8.2623,8.2623,8.2623,8.2623,2100
89,1030,TRT,06/14/2021,8.2623,8.2623,8.2623,8.2623,0
90,1031,TRT,06/15/2021,8.2623,8.2623,8.2623,8.2623,500
91,1032,TRT,06/16/2021,8.2623,8.2623,8.2623,8.2623,0
92,1033,TRT,06/17/2021,8.2623,8.2623,8.2623,8.2623,0
93,1034,TRT,06/18/2021,8.2623,8.2623,8.2623,8.2623,0
94,1035,TRT,06/21/2021,8.2623,8.2623,8.2623,8.2623,0
95,1036,TRT,06/22/2021,8.2623,8.2623,8.2623,8.2623,0
96,1037,TRT,06/23/2021,8.2623,8.2623,8.2623,8.2623,0
97,1038,TRT,06/24/2021,8.2623,8.2623,8.2623,8.2623,0
98,1039,TRT,06/25/2021,8.2623,8.2623,8.2623,8.2623,0
99,1040,TRT,06/28/2021,8.2623,8.2623,8.2623,8.2623,0
100,1041,TRT,06/29/2021,8.2623,8.2623,8.2623,8.2623,0
101,1042,TRT,06/30/2021,8.2623,8.2623,8.2623,8.2623,0
102,1043,TRT,07/01/2021,8.2623,8.2623,8.2623,8.2623,0
103,1044,TRT,07/02/2021,8.2623,8.2623,8.2623,8.2623,0
104,1045,TRT,07/05/2021,8.2623,8.2623,8.2623,8.2623,0
