,index,Ticker,Date,Open,High,Low,Close,Volume
0,2998,VBH,01/28/2021,30.0,30.0,30.0,30.0,0
1,2999,VBH,01/29/2021,30.0,30.0,30.0,30.0,0
2,3000,VBH,02/01/2021,30.0,30.0,30.0,30.0,0
3,3001,VBH,02/02/2021,30.0,30.0,30.0,30.0,0
4,3002,VBH,02/03/2021,30.0,30.0,30.0,30.0,0
5,3003,VBH,02/04/2021,30.0,30.0,30.0,30.0,0
6,3004,VBH,02/05/2021,30.0,30.0,30.0,30.0,0
7,3005,VBH,02/08/2021,30.0,30.0,30.0,30.0,0
8,3006,VBH,02/09/2021,30.0,30.0,30.0,30.0,0
9,3007,VBH,02/17/2021,30.0,30.0,30.0,30.0,0
10,3008,VBH,02/18/2021,30.0,30.0,30.0,30.0,0
11,3009,VBH,02/19/2021,30.0,30.0,30.0,30.0,0
12,3010,VBH,02/22/2021,30.0,30.0,30.0,30.0,0
13,3011,VBH,02/23/2021,30.0,30.0,30.0,30.0,0
14,3012,VBH,02/24/2021,30.0,30.0,30.0,30.0,0
15,3013,VBH,02/25/2021,30.0,30.0,30.0,30.0,0
16,3014,VBH,02/26/2021,30.0,30.0,30.0,30.0,0
17,3015,VBH,03/01/2021,30.0,30.0,30.0,30.0,0
18,3016,VBH,03/02/2021,30.0,30.0,30.0,30.0,0
19,3017,VBH,03/03/2021,30.0,30.0,30.0,30.0,0
20,3018,VBH,03/04/2021,18.0,18.0,18.0,18.0,1300
21,3019,VBH,03/05/2021,18.0,18.0,18.0,18.0,0
22,3020,VBH,03/08/2021,15.3,15.3,15.3,15.3,100
23,3021,VBH,03/09/2021,13.1,13.1,13.1,13.1,2100
24,3022,VBH,03/10/2021,13.1,13.1,13.1,13.1,0
25,3023,VBH,03/11/2021,13.1,13.1,11.2,11.2,2100
26,3024,VBH,03/12/2021,11.2,12.9,9.8,12.9,600
27,3025,VBH,03/15/2021,11.8,11.8,11.8,11.8,0
28,3026,VBH,03/16/2021,12.9,12.9,12.9,12.9,300
29,3027,VBH,03/17/2021,14.0,14.0,13.9,13.9,900
30,3028,VBH,03/18/2021,14.4,14.4,14.4,14.4,1400
31,3029,VBH,03/19/2021,14.4,14.4,14.4,14.4,0
32,3030,VBH,03/22/2021,14.4,14.4,14.4,14.4,400
33,3031,VBH,03/23/2021,14.4,14.4,14.4,14.4,0
34,3032,VBH,03/24/2021,14.4,14.4,14.4,14.4,0
35,3033,VBH,03/25/2021,14.4,14.4,14.4,14.4,0
36,3034,VBH,03/26/2021,14.4,14.4,14.4,14.4,0
37,3035,VBH,03/29/2021,12.8,12.8,12.8,12.8,600
38,3036,VBH,03/30/2021,11.0,13.0,11.0,13.0,500
39,3037,VBH,03/31/2021,12.0,12.0,12.0,12.0,400
40,3038,VBH,04/01/2021,12.0,12.0,11.1,11.1,900
41,3039,VBH,04/02/2021,11.3,11.3,11.3,11.3,0
42,3040,VBH,04/05/2021,11.3,11.3,11.3,11.3,0
43,3041,VBH,04/06/2021,11.3,11.3,11.3,11.3,100
44,3042,VBH,04/07/2021,11.3,11.3,11.3,11.3,0
45,3043,VBH,04/08/2021,11.3,11.3,11.3,11.3,0
46,3044,VBH,04/09/2021,11.3,11.3,11.3,11.3,100
47,3045,VBH,04/12/2021,11.3,11.3,11.2,11.3,800
48,3046,VBH,04/13/2021,11.3,11.3,11.3,11.3,0
49,3047,VBH,04/14/2021,11.3,11.3,11.3,11.3,0
50,3048,VBH,04/15/2021,11.3,11.3,11.3,11.3,0
51,3049,VBH,04/16/2021,11.3,11.3,11.3,11.3,0
52,3050,VBH,04/19/2021,11.3,11.3,11.3,11.3,0
53,3051,VBH,04/20/2021,11.2,11.2,11.0,11.0,400
54,3052,VBH,04/22/2021,11.2,11.2,11.2,11.2,0
55,3053,VBH,04/23/2021,11.2,11.2,11.2,11.2,0
56,3054,VBH,04/26/2021,11.2,11.2,11.2,11.2,0
57,3055,VBH,04/27/2021,11.2,11.2,11.2,11.2,0
58,3056,VBH,04/28/2021,11.2,11.2,11.2,11.2,0
59,3057,VBH,04/29/2021,10.0,10.0,10.0,10.0,400
60,3058,VBH,05/04/2021,10.0,10.0,10.0,10.0,0
61,3059,VBH,05/05/2021,10.0,10.0,10.0,10.0,0
62,3060,VBH,05/06/2021,10.0,10.0,10.0,10.0,0
63,3061,VBH,05/07/2021,10.0,10.0,10.0,10.0,0
64,3062,VBH,05/10/2021,10.0,10.0,10.0,10.0,0
65,3063,VBH,05/11/2021,10.0,10.0,10.0,10.0,0
66,3064,VBH,05/12/2021,10.0,10.0,10.0,10.0,0
67,3065,VBH,05/13/2021,10.0,10.0,10.0,10.0,0
68,3066,VBH,05/14/2021,10.0,10.0,10.0,10.0,0
69,3067,VBH,05/17/2021,9.0,9.0,9.0,9.0,1000
70,3068,VBH,05/18/2021,9.0,9.0,9.0,9.0,0
71,3069,VBH,05/19/2021,9.0,9.0,9.0,9.0,0
72,3070,VBH,05/20/2021,8.1,8.1,8.1,8.1,300
73,3071,VBH,05/21/2021,8.1,8.1,8.1,8.1,0
74,3072,VBH,05/24/2021,8.1,8.1,8.1,8.1,500
75,3073,VBH,05/25/2021,8.1,8.1,8.1,8.1,0
76,3074,VBH,05/26/2021,8.1,8.1,8.1,8.1,100
77,3075,VBH,05/27/2021,9.3,9.3,9.3,9.3,300
78,3076,VBH,05/28/2021,9.3,9.3,9.3,9.3,0
79,3077,VBH,05/31/2021,9.3,9.3,9.3,9.3,0
80,3078,VBH,06/01/2021,9.3,9.3,9.3,9.3,0
81,3079,VBH,06/02/2021,9.3,9.3,9.3,9.3,0
82,3080,VBH,06/03/2021,9.3,9.3,9.3,9.3,0
83,3081,VBH,06/04/2021,9.3,9.3,9.3,9.3,0
84,3082,VBH,06/07/2021,9.3,9.3,9.3,9.3,0
85,3083,VBH,06/08/2021,9.3,9.3,9.3,9.3,0
