,index,Ticker,Date,Open,High,Low,Close,Volume
0,2663,VTS,01/25/2021,28.2,28.2,28.2,28.2,0
1,2664,VTS,01/26/2021,28.2,28.2,28.2,28.2,0
2,2665,VTS,01/27/2021,28.2,28.2,28.2,28.2,0
3,2666,VTS,01/28/2021,28.2,28.2,28.2,28.2,0
4,2667,VTS,01/29/2021,28.2,28.2,28.2,28.2,0
5,2668,VTS,02/01/2021,28.2,28.2,28.2,28.2,0
6,2669,VTS,02/02/2021,28.2,28.2,28.2,28.2,0
7,2670,VTS,02/03/2021,28.2,28.2,28.2,28.2,0
8,2671,VTS,02/04/2021,28.2,28.2,28.2,28.2,0
9,2672,VTS,02/05/2021,28.2,28.2,28.2,28.2,0
10,2673,VTS,02/08/2021,28.2,28.2,28.2,28.2,0
11,2674,VTS,02/09/2021,28.2,28.2,28.2,28.2,0
12,2675,VTS,02/17/2021,28.2,28.2,28.2,28.2,0
13,2676,VTS,02/18/2021,28.2,28.2,28.2,28.2,0
14,2677,VTS,02/19/2021,28.2,28.2,28.2,28.2,0
15,2678,VTS,02/22/2021,28.2,28.2,28.2,28.2,0
16,2679,VTS,02/23/2021,28.2,28.2,28.2,28.2,0
17,2680,VTS,02/24/2021,28.2,28.2,28.2,28.2,0
18,2681,VTS,02/25/2021,28.2,28.2,28.2,28.2,0
19,2682,VTS,02/26/2021,28.2,28.2,28.2,28.2,0
20,2683,VTS,03/01/2021,28.2,28.2,28.2,28.2,0
21,2684,VTS,03/02/2021,25.4,25.4,25.4,25.4,600
22,2685,VTS,03/03/2021,27.9,27.9,22.9,22.9,700
23,2686,VTS,03/04/2021,22.9,22.9,22.9,22.9,0
24,2687,VTS,03/05/2021,22.9,22.9,22.9,22.9,0
25,2688,VTS,03/08/2021,20.7,20.7,20.7,20.7,100
26,2689,VTS,03/09/2021,20.7,20.7,20.7,20.7,0
27,2690,VTS,03/10/2021,22.7,22.7,18.7,18.7,2200
28,2691,VTS,03/11/2021,16.9,16.9,16.9,16.9,500
29,2692,VTS,03/12/2021,17.0,17.0,15.3,15.3,500
30,2693,VTS,03/15/2021,16.8,16.8,16.8,16.8,3100
31,2694,VTS,03/16/2021,15.3,16.8,15.2,15.2,8000
32,2695,VTS,03/17/2021,16.6,16.7,15.2,16.6,13400
33,2696,VTS,03/18/2021,16.6,18.0,16.1,16.1,7300
34,2697,VTS,03/19/2021,16.2,17.5,16.2,17.5,5200
35,2698,VTS,03/22/2021,17.3,17.3,17.2,17.2,200
36,2699,VTS,03/23/2021,15.5,17.2,15.5,17.0,5700
37,2700,VTS,03/24/2021,15.3,15.3,15.3,15.3,3300
38,2701,VTS,03/25/2021,15.0,15.0,13.8,13.8,8500
39,2702,VTS,03/26/2021,12.6,14.7,12.5,14.5,6700
40,2703,VTS,03/29/2021,14.0,14.4,13.1,13.4,2700
41,2704,VTS,03/30/2021,12.3,13.4,12.3,13.4,5900
42,2705,VTS,03/31/2021,13.2,13.2,12.1,12.1,2700
43,2706,VTS,04/01/2021,11.6,11.6,10.9,11.0,9600
44,2707,VTS,04/02/2021,10.5,11.0,10.1,10.1,500
45,2708,VTS,04/05/2021,9.1,10.9,9.1,10.9,4300
46,2709,VTS,04/06/2021,10.0,10.9,9.9,10.7,12100
47,2710,VTS,04/07/2021,10.7,10.7,10.6,10.6,7200
48,2711,VTS,04/08/2021,10.6,10.6,10.2,10.5,6100
49,2712,VTS,04/16/2021,11.2,11.4,9.6,10.8,4800
50,2713,VTS,04/19/2021,10.8,10.8,9.8,10.4,800
51,2714,VTS,04/20/2021,10.1,10.1,10.0,10.0,200
52,2715,VTS,04/22/2021,9.7,9.7,9.0,9.0,1900
53,2716,VTS,04/23/2021,8.4,8.4,8.0,8.1,2900
54,2717,VTS,04/26/2021,8.8,8.8,7.3,8.4,3900
55,2718,VTS,04/27/2021,8.4,9.3,8.4,9.3,12400
56,2719,VTS,04/28/2021,9.2,9.2,9.2,9.2,500
57,2720,VTS,04/29/2021,9.1,10.5,9.1,10.5,3800
58,2721,VTS,05/04/2021,9.6,9.6,9.6,9.6,100
59,2722,VTS,05/05/2021,10.9,10.9,10.6,10.7,7300
60,2723,VTS,05/06/2021,10.8,10.8,9.1,10.7,1500
61,2724,VTS,05/07/2021,10.6,10.6,10.6,10.6,0
62,2725,VTS,05/10/2021,10.5,10.5,10.5,10.5,2300
63,2726,VTS,05/11/2021,10.4,10.4,10.4,10.4,400
64,2727,VTS,05/12/2021,10.0,10.0,8.9,8.9,1000
65,2728,VTS,05/13/2021,9.5,9.9,9.5,9.9,500
66,2729,VTS,05/14/2021,10.3,10.3,10.3,10.3,100
67,2730,VTS,05/17/2021,10.3,10.3,10.0,10.0,200
68,2731,VTS,05/18/2021,8.8,10.0,8.8,10.0,700
69,2732,VTS,05/19/2021,8.0,9.7,7.8,9.7,1000
70,2733,VTS,05/20/2021,9.2,9.2,9.2,9.2,100
71,2734,VTS,05/21/2021,8.5,8.5,8.5,8.5,300
72,2735,VTS,05/24/2021,8.5,8.5,8.2,8.2,3600
73,2736,VTS,05/25/2021,7.5,7.6,7.5,7.6,1600
74,2737,VTS,05/26/2021,8.5,8.5,8.4,8.4,300
75,2738,VTS,05/27/2021,7.5,8.3,7.3,7.3,3300
76,2739,VTS,05/28/2021,6.9,8.3,6.7,8.3,8700
77,2740,VTS,05/31/2021,8.6,8.6,8.2,8.2,6200
78,2741,VTS,06/01/2021,8.2,8.2,7.6,7.6,4100
79,2742,VTS,06/02/2021,8.0,8.0,8.0,8.0,1900
80,2743,VTS,06/03/2021,8.0,8.0,7.0,7.0,1800
81,2744,VTS,06/04/2021,8.0,8.0,8.0,8.0,2000
82,2745,VTS,06/07/2021,7.9,7.9,7.9,7.9,100
83,2746,VTS,06/08/2021,7.9,7.9,7.6,7.6,3400
84,2747,VTS,06/09/2021,7.6,7.6,7.1,7.1,300
85,2748,VTS,06/10/2021,7.1,7.8,7.1,7.7,2200
86,2749,VTS,06/11/2021,7.2,7.2,7.2,7.2,0
87,2750,VTS,06/14/2021,7.8,7.9,7.5,7.5,3100
88,2751,VTS,06/15/2021,7.7,7.7,7.7,7.7,0
89,2752,VTS,06/16/2021,7.7,7.7,7.7,7.7,0
90,2753,VTS,06/17/2021,7.7,7.7,7.7,7.7,0
91,2754,VTS,06/18/2021,7.2,7.4,7.2,7.4,1700
92,2755,VTS,06/21/2021,8.3,8.3,7.9,8.0,1400
93,2756,VTS,06/22/2021,9.1,9.1,7.8,7.8,1000
94,2757,VTS,06/23/2021,9.1,9.1,7.4,7.4,1000
95,2758,VTS,06/24/2021,8.0,8.0,7.5,7.5,1600
96,2759,VTS,06/25/2021,7.5,7.7,7.5,7.5,1100
97,2760,VTS,06/28/2021,7.5,7.9,7.5,7.9,1300
98,2761,VTS,06/29/2021,8.4,8.4,7.5,7.9,400
99,2762,VTS,06/30/2021,8.4,8.4,8.4,8.4,100
100,2763,VTS,07/01/2021,8.1,8.1,7.5,7.5,600
101,2764,VTS,07/02/2021,7.5,8.0,7.5,7.9,5100
102,2765,VTS,07/05/2021,8.1,8.1,7.5,7.5,900
103,2766,VTS,07/06/2021,7.0,7.5,6.6,6.6,2400
104,2767,VTS,07/07/2021,6.7,6.7,6.7,6.7,300
105,2768,VTS,07/08/2021,7.7,7.7,7.7,7.7,1300
