,index,Ticker,Date,Open,High,Low,Close,Volume
0,823,VVN,01/29/2021,5.1,5.1,5.1,5.1,10800
1,824,VVN,02/01/2021,5.1,5.1,5.1,5.1,0
2,825,VVN,02/02/2021,5.1,5.1,5.1,5.1,0
3,826,VVN,02/03/2021,5.1,5.1,5.1,5.1,0
4,827,VVN,02/04/2021,5.1,5.1,5.1,5.1,0
5,828,VVN,02/05/2021,5.1,5.8,5.1,5.8,17700
6,829,VVN,02/08/2021,5.8,5.8,5.8,5.8,0
7,830,VVN,02/09/2021,5.8,5.8,5.8,5.8,0
8,831,VVN,02/17/2021,5.8,5.8,5.8,5.8,0
9,832,VVN,02/18/2021,5.8,5.8,5.8,5.8,0
10,833,VVN,02/19/2021,6.6,6.6,6.6,6.6,18300
11,834,VVN,02/22/2021,6.6,6.6,6.6,6.6,0
12,835,VVN,02/23/2021,6.6,6.6,6.6,6.6,0
13,836,VVN,02/24/2021,6.6,6.6,6.6,6.6,0
14,837,VVN,02/25/2021,6.6,6.6,6.6,6.6,0
15,838,VVN,02/26/2021,7.0,7.5,7.0,7.5,48000
16,839,VVN,03/01/2021,7.4,7.4,7.4,7.4,0
17,840,VVN,03/02/2021,7.4,7.4,7.4,7.4,0
18,841,VVN,03/03/2021,7.4,7.4,7.4,7.4,0
19,842,VVN,03/04/2021,7.4,7.4,7.4,7.4,0
20,843,VVN,03/05/2021,8.5,8.5,6.3,8.0,101500
21,844,VVN,03/08/2021,6.6,6.6,6.6,6.6,0
22,845,VVN,03/09/2021,6.6,6.6,6.6,6.6,0
23,846,VVN,03/10/2021,6.6,6.6,6.6,6.6,0
24,847,VVN,03/11/2021,6.6,6.6,6.6,6.6,0
25,848,VVN,03/12/2021,5.7,6.6,5.7,6.6,14900
26,849,VVN,03/15/2021,6.0,6.0,6.0,6.0,0
27,850,VVN,03/16/2021,6.0,6.0,6.0,6.0,0
28,851,VVN,03/17/2021,6.0,6.0,6.0,6.0,0
29,852,VVN,03/18/2021,6.0,6.0,6.0,6.0,0
30,853,VVN,03/19/2021,6.0,6.9,5.1,6.9,61000
31,854,VVN,03/22/2021,5.4,5.4,5.4,5.4,0
32,855,VVN,03/23/2021,5.4,5.4,5.4,5.4,0
33,856,VVN,03/24/2021,5.4,5.4,5.4,5.4,0
34,857,VVN,03/25/2021,5.4,5.4,5.4,5.4,0
35,858,VVN,03/26/2021,5.1,6.2,5.1,6.2,25000
36,859,VVN,03/29/2021,5.8,5.8,5.8,5.8,0
37,860,VVN,03/30/2021,5.8,5.8,5.8,5.8,0
38,861,VVN,03/31/2021,5.8,5.8,5.8,5.8,0
39,862,VVN,04/01/2021,5.8,5.8,5.8,5.8,0
40,863,VVN,04/02/2021,5.2,6.6,5.2,6.6,17700
41,864,VVN,04/05/2021,5.4,5.4,5.4,5.4,0
42,865,VVN,04/06/2021,5.4,5.4,5.4,5.4,0
43,866,VVN,04/07/2021,5.4,5.4,5.4,5.4,0
44,867,VVN,04/08/2021,5.4,5.4,5.4,5.4,0
45,868,VVN,04/09/2021,5.2,6.2,5.2,6.0,39600
46,869,VVN,04/12/2021,5.3,5.3,5.3,5.3,0
47,870,VVN,04/13/2021,5.3,5.3,5.3,5.3,0
48,871,VVN,04/14/2021,5.3,5.3,5.3,5.3,0
49,872,VVN,04/15/2021,5.3,5.3,5.3,5.3,0
50,873,VVN,04/16/2021,5.4,5.4,5.4,5.4,3000
51,874,VVN,04/19/2021,5.4,5.4,5.4,5.4,0
52,875,VVN,04/20/2021,5.4,5.4,5.4,5.4,0
53,876,VVN,04/22/2021,5.4,5.4,5.4,5.4,0
54,877,VVN,04/23/2021,5.4,5.4,5.4,5.4,500
55,878,VVN,04/26/2021,5.4,5.4,5.4,5.4,0
56,879,VVN,04/27/2021,5.4,5.4,5.4,5.4,0
57,880,VVN,04/28/2021,5.4,5.4,5.4,5.4,0
58,881,VVN,04/29/2021,5.4,5.4,5.4,5.4,0
59,882,VVN,05/04/2021,5.4,5.4,5.4,5.4,0
60,883,VVN,05/05/2021,5.4,5.4,5.4,5.4,0
61,884,VVN,05/06/2021,5.4,5.4,5.4,5.4,0
62,885,VVN,05/07/2021,5.5,5.5,5.5,5.5,500
63,886,VVN,05/10/2021,5.5,5.5,5.5,5.5,0
64,887,VVN,05/11/2021,5.5,5.5,5.5,5.5,0
65,888,VVN,05/12/2021,5.5,5.5,5.5,5.5,0
66,889,VVN,05/13/2021,5.5,5.5,5.5,5.5,0
67,890,VVN,05/14/2021,6.0,6.3,6.0,6.3,69800
68,891,VVN,05/17/2021,6.0,6.0,6.0,6.0,0
69,892,VVN,05/18/2021,6.0,6.0,6.0,6.0,0
70,893,VVN,05/19/2021,6.0,6.0,6.0,6.0,0
71,894,VVN,05/20/2021,6.0,6.0,6.0,6.0,0
72,895,VVN,05/21/2021,6.9,6.9,6.1,6.1,122800
73,896,VVN,05/24/2021,6.2,6.2,6.2,6.2,0
74,897,VVN,05/25/2021,6.2,6.2,6.2,6.2,0
75,898,VVN,05/26/2021,6.2,6.2,6.2,6.2,0
76,899,VVN,05/27/2021,6.2,6.2,6.2,6.2,0
77,900,VVN,05/28/2021,6.2,6.4,6.2,6.4,5600
78,901,VVN,05/31/2021,6.3,6.3,6.3,6.3,0
79,902,VVN,06/01/2021,6.3,6.3,6.3,6.3,0
80,903,VVN,06/02/2021,6.3,6.3,6.3,6.3,0
81,904,VVN,06/03/2021,6.3,6.3,6.3,6.3,0
82,905,VVN,06/04/2021,7.2,7.2,6.0,6.0,18100
83,906,VVN,06/07/2021,6.2,6.2,6.2,6.2,0
84,907,VVN,06/08/2021,6.2,6.2,6.2,6.2,0
85,908,VVN,06/09/2021,6.2,6.2,6.2,6.2,0
86,909,VVN,06/10/2021,6.2,6.2,6.2,6.2,0
87,910,VVN,06/11/2021,6.2,6.2,6.2,6.2,0
88,911,VVN,06/14/2021,6.2,6.2,6.2,6.2,0
89,912,VVN,06/15/2021,6.2,6.2,6.2,6.2,0
90,913,VVN,06/16/2021,6.2,6.2,6.2,6.2,0
91,914,VVN,06/17/2021,6.2,6.2,6.2,6.2,0
92,915,VVN,06/18/2021,6.0,7.1,6.0,7.1,125900
93,916,VVN,06/21/2021,6.0,6.0,6.0,6.0,0
94,917,VVN,06/22/2021,6.0,6.0,6.0,6.0,0
95,918,VVN,06/23/2021,6.0,6.0,6.0,6.0,0
96,919,VVN,06/24/2021,6.0,6.0,6.0,6.0,0
97,920,VVN,06/25/2021,6.9,6.9,6.9,6.9,1000
98,921,VVN,06/28/2021,6.9,6.9,6.9,6.9,0
99,922,VVN,06/29/2021,6.9,6.9,6.9,6.9,0
100,923,VVN,06/30/2021,6.9,6.9,6.9,6.9,0
101,924,VVN,07/01/2021,6.9,6.9,6.9,6.9,0
102,925,VVN,07/02/2021,6.9,6.9,6.9,6.9,1100
103,926,VVN,07/05/2021,6.9,6.9,6.9,6.9,0
104,927,VVN,07/06/2021,6.9,6.9,6.9,6.9,0
105,928,VVN,07/07/2021,6.9,6.9,6.9,6.9,0
106,929,VVN,07/08/2021,6.9,6.9,6.9,6.9,0
107,930,VVN,07/09/2021,7.9,7.9,7.9,7.9,23700
108,931,VVN,07/12/2021,7.9,7.9,7.9,7.9,0
109,932,VVN,07/13/2021,7.9,7.9,7.9,7.9,0
110,933,VVN,07/14/2021,7.9,7.9,7.9,7.9,0
111,934,VVN,07/15/2021,7.9,7.9,7.9,7.9,0
112,935,VVN,07/16/2021,6.8,6.8,6.8,6.8,500
113,936,VVN,07/19/2021,6.8,6.8,6.8,6.8,0
114,937,VVN,07/20/2021,6.8,6.8,6.8,6.8,0
115,938,VVN,07/21/2021,6.8,6.8,6.8,6.8,0
116,939,VVN,07/22/2021,6.8,6.8,6.8,6.8,0
117,940,VVN,07/23/2021,6.0,6.0,6.0,6.0,2600
118,941,VVN,07/26/2021,6.0,6.0,6.0,6.0,0
119,942,VVN,07/27/2021,6.0,6.0,6.0,6.0,0
120,943,VVN,07/28/2021,6.0,6.0,6.0,6.0,0
121,944,VVN,07/29/2021,6.0,6.0,6.0,6.0,0
122,945,VVN,07/30/2021,5.4,5.4,5.4,5.4,100
123,946,VVN,08/02/2021,5.4,5.4,5.4,5.4,0
124,947,VVN,08/03/2021,5.4,5.4,5.4,5.4,0
125,948,VVN,08/04/2021,5.4,5.4,5.4,5.4,0
126,949,VVN,08/05/2021,5.4,5.4,5.4,5.4,0
127,950,VVN,08/06/2021,5.2,5.2,5.2,5.2,1900
128,951,VVN,08/09/2021,5.2,5.2,5.2,5.2,0
129,952,VVN,08/10/2021,5.2,5.2,5.2,5.2,0
130,953,VVN,08/11/2021,5.2,5.2,5.2,5.2,0
131,954,VVN,08/12/2021,5.2,5.2,5.2,5.2,0
132,955,VVN,08/13/2021,5.2,5.2,5.2,5.2,0
133,956,VVN,08/17/2021,5.2,5.2,5.2,5.2,0
134,957,VVN,08/18/2021,5.2,5.2,5.2,5.2,0
135,958,VVN,08/19/2021,5.2,5.2,5.2,5.2,0
136,959,VVN,08/20/2021,4.8,4.8,4.8,4.8,300
137,960,VVN,08/23/2021,4.8,4.8,4.8,4.8,0
138,961,VVN,08/24/2021,4.8,4.8,4.8,4.8,0
139,962,VVN,08/25/2021,4.8,4.8,4.8,4.8,0
140,963,VVN,08/26/2021,4.8,4.8,4.8,4.8,0
141,964,VVN,08/27/2021,4.8,4.8,4.8,4.8,0
142,965,VVN,08/30/2021,4.8,4.8,4.8,4.8,0
143,966,VVN,08/31/2021,4.8,4.8,4.8,4.8,0
144,967,VVN,09/01/2021,4.8,4.8,4.8,4.8,0
145,968,VVN,09/06/2021,4.8,4.8,4.8,4.8,0
146,969,VVN,09/07/2021,4.8,4.8,4.8,4.8,0
147,970,VVN,09/08/2021,4.8,4.8,4.8,4.8,0
148,971,VVN,09/09/2021,4.8,4.8,4.8,4.8,0
149,972,VVN,09/10/2021,4.1,4.1,4.1,4.1,100
150,973,VVN,09/13/2021,4.1,4.1,4.1,4.1,0
151,974,VVN,09/14/2021,4.1,4.1,4.1,4.1,0
152,975,VVN,09/15/2021,4.1,4.1,4.1,4.1,0
153,976,VVN,09/16/2021,4.1,4.1,4.1,4.1,0
154,977,VVN,09/17/2021,4.1,4.1,4.1,4.1,0
155,978,VVN,09/20/2021,4.1,4.1,4.1,4.1,0
156,979,VVN,09/21/2021,4.1,4.1,4.1,4.1,0
157,980,VVN,09/22/2021,4.1,4.1,4.1,4.1,0
158,981,VVN,09/23/2021,4.1,4.1,4.1,4.1,0
159,982,VVN,09/24/2021,4.1,4.1,4.1,4.1,0
160,983,VVN,09/27/2021,4.1,4.1,4.1,4.1,0
161,984,VVN,09/28/2021,4.1,4.1,4.1,4.1,0
162,985,VVN,09/29/2021,4.1,4.1,4.1,4.1,0
163,986,VVN,09/30/2021,4.1,4.1,4.1,4.1,0
164,987,VVN,10/01/2021,3.8,3.8,3.8,3.8,100
165,988,VVN,10/04/2021,3.8,3.8,3.8,3.8,0
166,989,VVN,10/05/2021,3.8,3.8,3.8,3.8,0
167,990,VVN,10/06/2021,3.8,3.8,3.8,3.8,0
168,991,VVN,10/07/2021,3.8,3.8,3.8,3.8,0
169,992,VVN,10/08/2021,3.8,3.8,3.8,3.8,0
170,993,VVN,10/11/2021,3.8,3.8,3.8,3.8,0
171,994,VVN,10/12/2021,3.8,3.8,3.8,3.8,0
172,995,VVN,10/13/2021,3.8,3.8,3.8,3.8,0
173,996,VVN,10/14/2021,3.8,3.8,3.8,3.8,0
174,997,VVN,10/15/2021,3.8,3.8,3.8,3.8,0
175,998,VVN,10/18/2021,3.8,3.8,3.8,3.8,0
176,999,VVN,10/19/2021,3.8,3.8,3.8,3.8,0
177,1000,VVN,10/20/2021,3.8,3.8,3.8,3.8,0
178,1001,VVN,10/21/2021,3.8,3.8,3.8,3.8,0
179,1002,VVN,10/22/2021,3.8,3.8,3.8,3.8,0
180,1003,VVN,10/25/2021,3.8,3.8,3.8,3.8,0
181,1004,VVN,10/26/2021,3.8,3.8,3.8,3.8,0
182,1005,VVN,10/27/2021,3.8,3.8,3.8,3.8,0
183,1006,VVN,10/28/2021,3.8,3.8,3.8,3.8,0
184,1007,VVN,10/29/2021,3.8,3.8,3.8,3.8,0
185,1008,VVN,11/01/2021,3.8,3.8,3.8,3.8,0
186,1009,VVN,11/02/2021,3.8,3.8,3.8,3.8,0
187,1010,VVN,11/03/2021,3.8,3.8,3.8,3.8,0
188,1011,VVN,11/04/2021,3.8,3.8,3.8,3.8,0
189,1012,VVN,11/05/2021,3.8,3.8,3.8,3.8,0
190,1013,VVN,11/08/2021,3.8,3.8,3.8,3.8,0
191,1014,VVN,11/09/2021,3.8,3.8,3.8,3.8,0
192,1015,VVN,11/10/2021,3.8,3.8,3.8,3.8,0
193,1016,VVN,11/11/2021,3.8,3.8,3.8,3.8,0
194,1017,VVN,11/12/2021,3.8,3.8,3.8,3.8,0
195,1018,VVN,11/15/2021,3.8,3.8,3.8,3.8,0
196,1019,VVN,11/16/2021,3.8,3.8,3.8,3.8,0
197,1020,VVN,11/17/2021,3.8,3.8,3.8,3.8,0
198,1021,VVN,11/18/2021,3.8,3.8,3.8,3.8,0
199,1022,VVN,11/19/2021,3.8,3.8,3.8,3.8,0
200,1023,VVN,11/22/2021,3.8,3.8,3.8,3.8,0
201,1024,VVN,11/23/2021,3.8,3.8,3.8,3.8,0
202,1025,VVN,11/24/2021,3.8,3.8,3.8,3.8,0
203,1026,VVN,11/25/2021,3.8,3.8,3.8,3.8,0
204,1027,VVN,11/26/2021,3.8,3.8,3.8,3.8,0
205,1028,VVN,11/29/2021,3.8,3.8,3.8,3.8,0
206,1029,VVN,11/30/2021,3.8,3.8,3.8,3.8,0
207,1030,VVN,12/01/2021,3.8,3.8,3.8,3.8,0
208,1031,VVN,12/02/2021,3.8,3.8,3.8,3.8,0
209,1032,VVN,12/03/2021,3.8,3.8,3.8,3.8,0
210,1033,VVN,12/06/2021,3.8,3.8,3.8,3.8,0
211,1034,VVN,12/07/2021,3.8,3.8,3.8,3.8,0
212,1035,VVN,12/08/2021,3.8,3.8,3.8,3.8,0
213,1036,VVN,12/09/2021,3.8,3.8,3.8,3.8,0
214,1037,VVN,12/10/2021,3.8,3.8,3.8,3.8,0
215,1038,VVN,12/13/2021,3.8,3.8,3.8,3.8,0
216,1039,VVN,12/14/2021,3.8,3.8,3.8,3.8,0
217,1040,VVN,12/15/2021,3.8,3.8,3.8,3.8,0
218,1041,VVN,12/16/2021,3.8,3.8,3.8,3.8,0
219,1042,VVN,12/17/2021,3.8,3.8,3.8,3.8,0
220,1043,VVN,12/20/2021,3.8,3.8,3.8,3.8,0
221,1044,VVN,12/21/2021,3.8,3.8,3.8,3.8,0
222,1045,VVN,12/22/2021,3.8,3.8,3.8,3.8,0
223,1046,VVN,12/23/2021,3.8,3.8,3.8,3.8,0
224,1047,VVN,12/24/2021,3.8,3.8,3.8,3.8,0
225,1048,VVN,12/27/2021,3.8,3.8,3.8,3.8,0
226,1049,VVN,12/28/2021,3.8,3.8,3.8,3.8,0
227,1050,VVN,12/29/2021,3.8,3.8,3.8,3.8,0
228,1051,VVN,12/30/2021,3.8,3.8,3.8,3.8,0
229,1052,VVN,12/31/2021,3.8,3.8,3.8,3.8,0
230,1053,VVN,01/04/2022,3.8,3.8,3.8,3.8,0
231,1054,VVN,01/05/2022,3.8,3.8,3.8,3.8,0
232,1055,VVN,01/06/2022,3.8,3.8,3.8,3.8,0
233,1056,VVN,01/07/2022,3.8,3.8,3.8,3.8,0
234,1057,VVN,01/10/2022,3.8,3.8,3.8,3.8,0
235,1058,VVN,01/11/2022,3.8,3.8,3.8,3.8,0
236,1059,VVN,01/12/2022,3.8,3.8,3.8,3.8,0
237,1060,VVN,01/13/2022,3.8,3.8,3.8,3.8,0
238,1061,VVN,01/14/2022,4.3,4.3,4.3,4.3,100
239,1062,VVN,01/17/2022,4.3,4.3,4.3,4.3,0
240,1063,VVN,01/18/2022,4.3,4.3,4.3,4.3,0
241,1064,VVN,01/19/2022,4.3,4.3,4.3,4.3,0
242,1065,VVN,01/20/2022,4.3,4.3,4.3,4.3,0
243,1066,VVN,01/21/2022,4.3,4.3,4.3,4.3,0
244,1067,VVN,01/24/2022,4.3,4.3,4.3,4.3,0
245,1068,VVN,01/25/2022,4.3,4.3,4.3,4.3,0
246,1069,VVN,01/26/2022,4.3,4.3,4.3,4.3,0
247,1070,VVN,01/27/2022,4.3,4.3,4.3,4.3,0
248,1071,VVN,01/28/2022,4.3,4.3,4.3,4.3,0
249,1072,VVN,02/07/2022,4.3,4.3,4.3,4.3,0
250,1073,VVN,02/08/2022,4.3,4.3,4.3,4.3,0
251,1074,VVN,02/09/2022,4.3,4.3,4.3,4.3,0
252,1075,VVN,02/10/2022,4.3,4.3,4.3,4.3,0
253,1076,VVN,02/11/2022,4.9,4.9,4.9,4.9,100
254,1077,VVN,02/14/2022,4.9,4.9,4.9,4.9,0
255,1078,VVN,02/15/2022,4.9,4.9,4.9,4.9,0
256,1079,VVN,02/16/2022,4.9,4.9,4.9,4.9,0
257,1080,VVN,02/17/2022,4.9,4.9,4.9,4.9,0
258,1081,VVN,02/18/2022,4.9,4.9,4.9,4.9,0
259,1082,VVN,02/21/2022,4.9,4.9,4.9,4.9,0
260,1083,VVN,02/22/2022,4.9,4.9,4.9,4.9,0
261,1084,VVN,02/23/2022,4.9,4.9,4.9,4.9,0
262,1085,VVN,02/24/2022,4.9,4.9,4.9,4.9,0
263,1086,VVN,02/25/2022,4.9,4.9,4.9,4.9,0
264,1087,VVN,02/28/2022,4.9,4.9,4.9,4.9,0
265,1088,VVN,03/01/2022,4.9,4.9,4.9,4.9,0
266,1089,VVN,03/02/2022,4.9,4.9,4.9,4.9,0
267,1090,VVN,03/03/2022,4.9,4.9,4.9,4.9,0
268,1091,VVN,03/04/2022,5.6,5.6,5.6,5.6,100
269,1092,VVN,03/07/2022,5.6,5.6,5.6,5.6,0
270,1093,VVN,03/08/2022,5.6,5.6,5.6,5.6,0
271,1094,VVN,03/09/2022,5.6,5.6,5.6,5.6,0
272,1095,VVN,03/10/2022,5.6,5.6,5.6,5.6,0
273,1096,VVN,03/11/2022,6.4,6.4,6.4,6.4,400
274,1097,VVN,03/14/2022,6.4,6.4,6.4,6.4,0
275,1098,VVN,03/15/2022,6.4,6.4,6.4,6.4,0
276,1099,VVN,03/16/2022,6.4,6.4,6.4,6.4,0
277,1100,VVN,03/17/2022,6.4,6.4,6.4,6.4,0
278,1101,VVN,03/18/2022,6.6,6.6,5.8,5.9,600
279,1102,VVN,03/21/2022,6.3,6.3,6.3,6.3,0
280,1103,VVN,03/22/2022,6.3,6.3,6.3,6.3,0
281,1104,VVN,03/23/2022,6.3,6.3,6.3,6.3,0
