Ticker,Date,Open,High,Low,Close,Volume
DVM,7/19/2022,23.4,23.4,18.4,20,578600
DVM,7/20/2022,20,20.1,19.7,20,240800
DVM,7/21/2022,20,20,18.5,19.1,188500
DVM,7/22/2022,18.2,18.4,17.5,17.9,153400
DVM,7/25/2022,17.6,18,16.4,16.9,253800
DVM,7/26/2022,16.7,17,16.5,17,143700
DVM,7/27/2022,16.6,18.2,16.6,17.3,112800
DVM,7/28/2022,17.4,17.8,17.4,17.7,291200
DVM,7/29/2022,17.7,18.4,17.5,18.4,316300
DVM,8/1/2022,18.5,18.8,18.3,18.7,356500
DVM,8/2/2022,18.7,19.1,18.1,19,542200
DVM,8/3/2022,18.2,19,18.2,18.6,273900
DVM,8/4/2022,18.5,19,18.4,18.7,370700
DVM,8/5/2022,18.3,18.8,18.1,18.3,239800
DVM,8/8/2022,18.5,18.8,18,18.2,187500
DVM,8/9/2022,18.2,18.3,17.9,18.2,151000
DVM,8/10/2022,18,18.1,17.9,17.9,190100
DVM,8/11/2022,18,18.3,17.6,17.8,173000
DVM,8/12/2022,17.8,18.1,17.6,18,168500
DVM,8/15/2022,18.1,18.4,17.8,18,134900
DVM,8/16/2022,17.9,18.2,17.7,18,165200
DVM,8/17/2022,17.9,18.1,17.7,17.9,140900
DVM,8/18/2022,17.8,18,17.7,17.8,169900
DVM,8/19/2022,17.9,18,17.6,17.8,212500
DVM,8/22/2022,17.7,17.9,17.5,17.5,218700
DVM,8/23/2022,17.2,17.8,17,17.5,197600
DVM,8/24/2022,17.5,17.8,17.3,17.6,218600
DVM,8/25/2022,17.6,17.9,17.3,17.6,181800
DVM,8/26/2022,17.6,18.6,17.2,18.3,544100
DVM,8/29/2022,18,18.5,17.9,18.2,800700
DVM,8/30/2022,18.2,18.4,17.8,18.1,565300
DVM,8/31/2022,18.1,18.3,18,18,463700
DVM,9/5/2022,17.9,18.3,17.8,18,150100
DVM,9/6/2022,17.9,18.3,17.9,18.1,241400
DVM,9/7/2022,18.1,18.2,17.8,18,197300
DVM,9/8/2022,17.8,18.2,17.8,17.9,176700
DVM,9/9/2022,17.8,18.1,17.5,17.9,190400
DVM,9/12/2022,17.9,18.1,17.6,17.9,156300
DVM,9/13/2022,17.7,18,17.7,17.9,177700
