Ticker,Date,Open,High,Low,Close,Volume
CACB2303,8/24/2023,0.7,0.73,0.7,0.73,109000
CACB2303,8/25/2023,0.73,0.73,0.66,0.68,128600
CACB2303,8/28/2023,0.68,0.68,0.66,0.68,172100
CACB2303,8/29/2023,0.93,0.93,0.67,0.67,163800
CACB2303,8/30/2023,0.69,0.73,0.68,0.73,580600
CACB2303,8/31/2023,0.74,0.74,0.73,0.74,637000
CACB2303,9/5/2023,0.74,0.8,0.74,0.78,314600
CACB2303,9/6/2023,0.75,0.78,0.75,0.78,263300
CACB2303,9/7/2023,0.78,0.81,0.75,0.78,322600
CACB2303,9/8/2023,0.79,0.79,0.74,0.75,175500
CACB2303,9/11/2023,0.68,0.74,0.61,0.65,607400
CACB2303,9/12/2023,0.84,0.84,0.63,0.69,2397800
CACB2303,9/13/2023,0.7,0.7,0.66,0.67,229600
CACB2303,9/14/2023,0.7,0.7,0.65,0.66,230600
CACB2303,9/15/2023,0.67,0.69,0.66,0.67,456700
CACB2303,9/18/2023,0.68,0.68,0.62,0.64,859000
CACB2303,9/19/2023,0.64,0.64,0.61,0.63,132600
CACB2303,9/20/2023,0.63,0.65,0.61,0.65,156000
CACB2303,9/21/2023,0.63,0.65,0.62,0.62,157600
CACB2303,9/22/2023,0.6,0.62,0.58,0.62,472400
CACB2303,9/25/2023,0.6,0.6,0.56,0.56,2545400
CACB2303,9/26/2023,0.57,0.57,0.54,0.55,728700
CACB2303,9/27/2023,0.54,0.55,0.51,0.55,1605900
CACB2303,9/28/2023,0.54,0.54,0.51,0.52,212500
CACB2303,9/29/2023,0.53,0.54,0.52,0.53,458200
CACB2303,10/2/2023,0.53,0.53,0.51,0.52,360600
CACB2303,10/3/2023,0.51,0.51,0.48,0.49,438600
CACB2303,10/4/2023,0.47,0.49,0.46,0.48,216500
CACB2303,10/5/2023,0.49,0.51,0.49,0.49,174600
CACB2303,10/6/2023,0.49,0.5,0.47,0.5,270900
CACB2303,10/9/2023,0.49,0.57,0.48,0.57,137400
CACB2303,10/10/2023,0.59,0.62,0.57,0.62,207100
CACB2303,10/11/2023,0.62,0.62,0.59,0.61,237600
CACB2303,10/12/2023,0.62,0.62,0.6,0.61,260800
CACB2303,10/13/2023,0.6,0.61,0.59,0.6,109400
CACB2303,10/16/2023,0.6,0.6,0.56,0.58,1150900
CACB2303,10/17/2023,0.58,0.58,0.55,0.56,107900
CACB2303,10/18/2023,0.55,0.55,0.49,0.49,896300
CACB2303,10/19/2023,0.5,0.5,0.47,0.47,281900
CACB2303,10/20/2023,0.47,0.5,0.45,0.5,108200
