Ticker,Date,Open,High,Low,Close,Volume
CFPT2205,8/2/2022,1.05,1.05,1.05,1.05,39200
CFPT2205,8/3/2022,1.04,1.12,1.04,1.12,300
CFPT2205,8/4/2022,1.14,1.2,1.13,1.19,85700
CFPT2205,8/5/2022,1.01,1.14,1.01,1.11,9600
CFPT2205,8/8/2022,1.1,1.24,1.1,1.2,2900
CFPT2205,8/9/2022,1.2,1.24,1.2,1.24,11700
CFPT2205,8/10/2022,1.1,1.19,1.09,1.18,54600
CFPT2205,8/11/2022,1.18,1.18,1.16,1.18,27100
CFPT2205,8/12/2022,1.16,1.22,1.02,1.22,15700
CFPT2205,8/15/2022,1.26,1.31,1.23,1.3,71100
CFPT2205,8/16/2022,1.3,1.3,1.22,1.22,16000
CFPT2205,8/17/2022,1.22,1.28,1.22,1.28,17500
CFPT2205,8/18/2022,1.28,1.28,1.28,1.28,0
CFPT2205,8/19/2022,1.16,1.27,1.12,1.2,7600
CFPT2205,8/22/2022,1.14,1.14,1,1.14,45400
CFPT2205,8/23/2022,1.04,1.13,1,1.13,62300
CFPT2205,8/24/2022,1.13,1.13,1.13,1.13,700
CFPT2205,8/25/2022,1.04,1.12,1,1.11,33900
CFPT2205,8/26/2022,1.11,1.14,1.01,1.1,139800
CFPT2205,8/29/2022,1.1,1.11,1.03,1.11,20500
CFPT2205,8/30/2022,1.1,1.11,1.02,1.09,10000
CFPT2205,8/31/2022,1.09,1.09,1,1.07,42500
CFPT2205,9/5/2022,1.14,1.14,1.03,1.05,41400
CFPT2205,9/6/2022,1.03,1.03,1.03,1.03,4000
CFPT2205,9/7/2022,1.11,1.11,0.6,1.04,11300
CFPT2205,9/8/2022,1,1.02,0.98,1.02,23200
CFPT2205,9/9/2022,0.93,1.06,0.93,1.06,900
CFPT2205,9/12/2022,0.96,1.06,0.96,0.97,10200
CFPT2205,9/13/2022,0.92,1.01,0.92,1.01,2300
CFPT2205,9/14/2022,0.84,0.92,0.84,0.91,17200
CFPT2205,9/15/2022,0.91,0.98,0.91,0.98,5800
CFPT2205,9/16/2022,0.84,0.97,0.77,0.97,20600
CFPT2205,9/19/2022,0.91,0.96,0.8,0.96,55000
CFPT2205,9/20/2022,0.85,0.93,0.8,0.93,1600
CFPT2205,9/21/2022,0.88,0.88,0.8,0.85,33800
CFPT2205,9/22/2022,0.76,0.84,0.7,0.83,37800
CFPT2205,9/23/2022,0.78,0.83,0.69,0.79,47600
CFPT2205,9/26/2022,0.65,0.78,0.6,0.72,75200
CFPT2205,9/27/2022,0.62,0.72,0.62,0.7,3800
CFPT2205,9/28/2022,0.61,0.65,0.55,0.6,20200
CFPT2205,9/29/2022,0.51,0.63,0.51,0.52,5300
CFPT2205,9/30/2022,0.45,0.52,0.44,0.52,15400
CFPT2205,10/3/2022,0.5,0.5,0.35,0.35,37600
CFPT2205,10/4/2022,0.28,0.46,0.28,0.46,3400
CFPT2205,10/5/2022,0.35,0.49,0.35,0.46,59200
CFPT2205,10/6/2022,0.37,0.38,0.3,0.37,53200
CFPT2205,10/7/2022,0.37,0.37,0.23,0.3,6500
CFPT2205,10/10/2022,0.31,0.31,0.23,0.26,65900
CFPT2205,10/11/2022,0.24,0.24,0.21,0.24,4900
CFPT2205,10/12/2022,0.2,0.24,0.18,0.23,12900
CFPT2205,10/13/2022,0.18,0.23,0.18,0.2,14500
CFPT2205,10/14/2022,0.17,0.21,0.17,0.2,21300
CFPT2205,10/17/2022,0.18,0.21,0.17,0.19,8200
CFPT2205,10/18/2022,0.18,0.21,0.16,0.2,84300
CFPT2205,10/19/2022,0.16,0.21,0.16,0.2,103700
CFPT2205,10/20/2022,0.21,0.26,0.19,0.25,63000
CFPT2205,10/21/2022,0.6,0.6,0.12,0.12,84800
CFPT2205,10/24/2022,0.11,0.12,0.08,0.1,43900
CFPT2205,10/25/2022,0.12,0.14,0.09,0.1,29400
CFPT2205,10/26/2022,0.18,0.18,0.09,0.1,14800
CFPT2205,10/27/2022,0.14,0.14,0.1,0.12,19900
CFPT2205,10/28/2022,0.12,0.13,0.08,0.09,79700
CFPT2205,10/31/2022,0.11,0.11,0.08,0.1,22800
CFPT2205,11/1/2022,0.1,0.11,0.09,0.1,59800
CFPT2205,11/2/2022,0.1,0.1,0.09,0.09,18500
CFPT2205,11/3/2022,0.1,0.1,0.09,0.1,21900
CFPT2205,11/4/2022,0.08,0.09,0.01,0.09,77200
CFPT2205,11/7/2022,0.09,0.09,0.07,0.09,6900
CFPT2205,11/8/2022,0.05,0.09,0.05,0.09,5900
CFPT2205,11/9/2022,0.09,0.09,0.06,0.09,5000
CFPT2205,11/10/2022,0.03,0.07,0.03,0.05,19500
CFPT2205,11/11/2022,0.03,0.1,0.03,0.06,39200
CFPT2205,11/14/2022,0.04,0.05,0.04,0.04,10000
CFPT2205,11/15/2022,0.05,0.05,0.01,0.03,57100
CFPT2205,11/16/2022,0.02,0.05,0.02,0.03,33000
CFPT2205,11/17/2022,0.03,0.05,0.02,0.04,102700
CFPT2205,11/18/2022,0.03,0.04,0.03,0.04,13800
CFPT2205,11/21/2022,0.04,0.05,0.03,0.04,29800
CFPT2205,11/22/2022,0.03,0.04,0.03,0.04,55000
CFPT2205,11/23/2022,0.03,0.04,0.02,0.03,12600
CFPT2205,11/24/2022,0.02,0.03,0.02,0.03,4300
CFPT2205,11/25/2022,0.07,0.07,0.03,0.03,11300
CFPT2205,11/28/2022,0.03,0.05,0.03,0.05,71100
CFPT2205,11/29/2022,0.04,0.05,0.04,0.05,22500
CFPT2205,11/30/2022,0.04,0.05,0.04,0.04,17300
CFPT2205,12/1/2022,0.05,0.06,0.04,0.05,23500
CFPT2205,12/2/2022,0.06,0.09,0.05,0.07,50900
CFPT2205,12/5/2022,0.09,0.2,0.08,0.17,331300
CFPT2205,12/6/2022,0.12,0.16,0.09,0.13,82800
