Ticker,Date,Open,High,Low,Close,Volume
CHDB2210,9/6/2022,1.1,1.1,1.1,1.1,0
CHDB2210,9/7/2022,0.8,0.8,0.8,0.8,100
CHDB2210,9/8/2022,0.75,0.75,0.75,0.75,100
CHDB2210,9/9/2022,0.88,0.88,0.88,0.88,100
CHDB2210,9/12/2022,0.91,0.91,0.91,0.91,100
CHDB2210,9/13/2022,0.91,0.91,0.91,0.91,0
CHDB2210,9/14/2022,0.91,0.91,0.91,0.91,0
CHDB2210,9/15/2022,0.65,0.65,0.65,0.65,500
CHDB2210,9/16/2022,0.66,0.66,0.66,0.66,100
CHDB2210,9/19/2022,0.76,0.76,0.76,0.76,500
CHDB2210,9/20/2022,0.73,0.73,0.73,0.73,100
CHDB2210,9/21/2022,0.62,0.62,0.62,0.62,100
CHDB2210,9/22/2022,0.62,0.62,0.62,0.62,100
CHDB2210,9/23/2022,0.7,0.7,0.7,0.7,100
CHDB2210,9/26/2022,0.6,0.6,0.6,0.6,100
CHDB2210,9/27/2022,0.6,0.6,0.6,0.6,0
CHDB2210,9/29/2022,0.45,0.45,0.45,0.45,100
CHDB2210,9/30/2022,0.45,0.45,0.45,0.45,0
CHDB2210,10/3/2022,0.54,0.56,0.54,0.56,100100
CHDB2210,10/4/2022,0.59,0.59,0.58,0.58,200000
CHDB2210,10/5/2022,0.59,0.59,0.59,0.59,100000
CHDB2210,10/6/2022,0.59,0.59,0.59,0.59,800
CHDB2210,10/7/2022,0.35,0.35,0.3,0.3,339700
CHDB2210,10/10/2022,0.26,0.31,0.26,0.31,3700
CHDB2210,10/11/2022,0.31,0.31,0.31,0.31,0
CHDB2210,10/12/2022,0.23,0.29,0.23,0.29,2200
CHDB2210,10/13/2022,0.31,0.32,0.25,0.28,110600
CHDB2210,10/14/2022,0.32,0.32,0.27,0.28,229900
CHDB2210,10/17/2022,0.2,0.22,0.19,0.21,46600
CHDB2210,10/18/2022,0.24,0.24,0.21,0.23,3300
CHDB2210,10/19/2022,0.22,0.23,0.21,0.23,43500
CHDB2210,10/20/2022,0.19,0.23,0.19,0.19,26400
CHDB2210,10/21/2022,0.23,0.23,0.18,0.18,13600
CHDB2210,10/24/2022,0.2,0.2,0.17,0.17,477900
CHDB2210,10/25/2022,0.17,0.17,0.14,0.17,15600
CHDB2210,10/26/2022,0.16,0.17,0.16,0.17,66000
CHDB2210,10/27/2022,0.13,0.19,0.13,0.19,323000
CHDB2210,10/28/2022,0.2,0.21,0.17,0.19,28600
CHDB2210,10/31/2022,0.17,0.19,0.15,0.18,69600
CHDB2210,11/1/2022,0.1,0.22,0.1,0.2,1041000
CHDB2210,11/2/2022,0.17,0.19,0.17,0.19,69700
