Ticker,Date,Open,High,Low,Close,Volume
CHPG2315,7/13/2023,1.83,1.83,1.76,1.76,7600
CHPG2315,7/14/2023,1.8,1.84,1.76,1.84,11300
CHPG2315,7/17/2023,1.84,1.84,1.8,1.8,117700
CHPG2315,7/18/2023,1.74,1.74,1.7,1.74,15700
CHPG2315,7/19/2023,1.76,1.84,1.76,1.8,5300
CHPG2315,7/20/2023,1.79,1.91,1.79,1.91,5300
CHPG2315,7/21/2023,1.93,1.93,1.9,1.93,132500
CHPG2315,7/24/2023,1.93,1.94,1.88,1.88,5900
CHPG2315,7/25/2023,1.9,1.92,1.9,1.92,200
CHPG2315,7/26/2023,1.91,1.93,1.91,1.93,16200
CHPG2315,7/27/2023,1.9,1.92,1.9,1.92,700
CHPG2315,7/28/2023,1.92,1.92,1.88,1.88,10100
CHPG2315,7/31/2023,1.8,1.83,1.76,1.76,16500
CHPG2315,8/1/2023,1.8,1.8,1.8,1.8,1000
CHPG2315,8/2/2023,1.71,1.73,1.67,1.71,14300
CHPG2315,8/3/2023,1.68,1.68,1.57,1.58,16100
CHPG2315,8/4/2023,1.62,1.69,1.58,1.69,38100
CHPG2315,8/7/2023,1.74,1.74,1.65,1.69,20400
CHPG2315,8/8/2023,1.72,1.72,1.61,1.61,35100
CHPG2315,8/9/2023,1.67,1.67,1.67,1.67,4000
CHPG2315,8/10/2023,1.72,1.72,1.7,1.7,9000
CHPG2315,8/11/2023,1.65,1.65,1.65,1.65,3100
CHPG2315,8/14/2023,1.73,1.81,1.73,1.79,146500
CHPG2315,8/15/2023,1.77,1.77,1.73,1.74,6000
CHPG2315,8/16/2023,1.74,1.74,1.7,1.7,800
CHPG2315,8/17/2023,1.77,1.85,1.75,1.8,68000
CHPG2315,8/18/2023,1.7,1.71,1.51,1.56,88700
CHPG2315,8/21/2023,1.46,1.48,1.43,1.43,4400
CHPG2315,8/22/2023,1.45,1.45,1.38,1.38,200
CHPG2315,8/23/2023,1.43,1.45,1.43,1.45,400
CHPG2315,8/24/2023,1.37,1.37,1.37,1.37,2700
CHPG2315,8/25/2023,1.39,1.39,1.37,1.37,1800
CHPG2315,8/28/2023,1.44,1.44,1.44,1.44,100
CHPG2315,8/29/2023,1.49,1.49,1.49,1.49,100
CHPG2315,8/30/2023,1.47,1.47,1.46,1.46,3100
CHPG2315,8/31/2023,1.56,1.59,1.56,1.59,1000
CHPG2315,9/5/2023,1.58,1.58,1.5,1.51,43300
CHPG2315,9/6/2023,1.5,1.74,1.5,1.74,25300
CHPG2315,9/7/2023,1.72,1.72,1.65,1.65,61100
CHPG2315,9/8/2023,1.6,1.7,1.6,1.67,643200
CHPG2315,9/11/2023,1.66,1.66,1.49,1.49,809700
CHPG2315,9/12/2023,1.5,1.62,1.5,1.62,518900
CHPG2315,9/13/2023,1.65,1.7,1.57,1.7,1159300
CHPG2315,9/14/2023,1.8,1.8,1.5,1.8,40700
CHPG2315,9/15/2023,1.5,1.8,1.4,1.43,80800
CHPG2315,9/18/2023,1.43,1.8,1.4,1.4,102500
CHPG2315,9/19/2023,1.39,1.39,1.38,1.38,300
CHPG2315,9/20/2023,1.55,1.55,1.44,1.5,9200
CHPG2315,9/21/2023,1.48,1.58,1.48,1.5,27100
CHPG2315,9/22/2023,1.55,1.55,1.25,1.33,37300
CHPG2315,9/25/2023,1.28,1.3,1.06,1.07,26700
CHPG2315,9/26/2023,1.12,1.52,1.12,1.52,1000
CHPG2315,9/27/2023,1.62,1.62,1.09,1.62,300
CHPG2315,9/28/2023,1.62,1.62,1.62,1.62,0
CHPG2315,9/29/2023,1.59,1.68,1.17,1.61,37800
CHPG2315,10/2/2023,1.62,1.62,1.16,1.61,1600
CHPG2315,10/3/2023,1.58,1.58,1.58,1.58,100
CHPG2315,10/4/2023,1.44,1.89,1.44,1.89,31900
CHPG2315,10/5/2023,1.46,1.85,1.46,1.85,1400
CHPG2315,10/6/2023,1.43,1.81,1.43,1.81,38200
CHPG2315,10/9/2023,1.81,1.81,1.81,1.81,0
CHPG2315,10/10/2023,1.4,1.75,1.39,1.39,6300
CHPG2315,10/11/2023,1.79,1.79,1.05,1.05,300
CHPG2315,10/12/2023,1.49,1.5,1.49,1.5,13200
CHPG2315,10/13/2023,1.39,1.39,1.39,1.39,2000
CHPG2315,10/16/2023,1.39,1.7,1.39,1.39,400
CHPG2315,10/17/2023,1.5,1.5,1.5,1.5,100
CHPG2315,10/18/2023,1.08,1.08,1.08,1.08,100
CHPG2315,10/19/2023,1.08,1.49,1.08,1.48,1700
CHPG2315,10/20/2023,1.07,1.4,1.07,1.4,23200
CHPG2315,10/23/2023,1.8,1.8,0.98,1.75,300
CHPG2315,10/24/2023,1.34,1.75,1.34,1.75,300
CHPG2315,10/25/2023,1.35,1.74,1.35,1.74,200
CHPG2315,10/26/2023,1.34,1.74,1.33,1.33,300
CHPG2315,10/27/2023,1.7,1.7,1.7,1.7,100
CHPG2315,10/30/2023,1.31,1.31,1.31,1.31,100
CHPG2315,10/31/2023,1.6,1.6,0.91,0.91,200
CHPG2315,11/1/2023,1.31,1.31,1.31,1.31,7500
