Ticker,Date,Open,High,Low,Close,Volume
CKDH2212,9/6/2022,0.66,0.66,0.66,0.66,2100
CKDH2212,9/7/2022,0.66,0.66,0.66,0.66,0
CKDH2212,9/8/2022,0.5,0.67,0.5,0.6,38500
CKDH2212,9/9/2022,0.6,0.6,0.6,0.6,800
CKDH2212,9/12/2022,0.65,0.65,0.65,0.65,3200
CKDH2212,9/13/2022,0.5,0.5,0.5,0.5,4600
CKDH2212,9/14/2022,0.45,0.64,0.45,0.64,200
CKDH2212,9/15/2022,0.64,0.64,0.62,0.62,4700
CKDH2212,9/16/2022,0.45,0.59,0.45,0.59,200
CKDH2212,9/19/2022,0.4,0.5,0.4,0.5,63100
CKDH2212,9/20/2022,0.5,0.5,0.5,0.5,0
CKDH2212,9/21/2022,0.36,0.43,0.33,0.39,176600
CKDH2212,9/22/2022,0.26,0.34,0.26,0.34,8100
CKDH2212,9/23/2022,0.36,0.36,0.36,0.36,16000
CKDH2212,9/26/2022,0.21,0.24,0.21,0.24,183100
CKDH2212,9/27/2022,0.22,0.24,0.19,0.24,518300
CKDH2212,9/28/2022,0.23,0.25,0.2,0.25,146200
CKDH2212,9/29/2022,0.29,0.29,0.21,0.23,582600
CKDH2212,9/30/2022,0.18,0.21,0.15,0.2,1912600
CKDH2212,10/3/2022,0.16,0.24,0.12,0.12,316900
CKDH2212,10/4/2022,0.19,0.19,0.12,0.14,96000
CKDH2212,10/5/2022,0.15,0.17,0.15,0.16,191000
CKDH2212,10/6/2022,0.13,0.18,0.13,0.18,137500
CKDH2212,10/7/2022,0.18,0.18,0.09,0.16,121100
CKDH2212,10/10/2022,0.16,0.16,0.12,0.16,45600
CKDH2212,10/11/2022,0.16,0.16,0.16,0.16,0
CKDH2212,10/12/2022,0.13,0.16,0.13,0.16,85400
CKDH2212,10/13/2022,0.16,0.16,0.13,0.13,70400
CKDH2212,10/14/2022,0.18,0.18,0.11,0.13,30300
CKDH2212,10/17/2022,0.1,0.15,0.09,0.15,127000
CKDH2212,10/18/2022,0.15,0.15,0.1,0.13,36700
CKDH2212,10/19/2022,0.11,0.11,0.1,0.11,64700
CKDH2212,10/20/2022,0.1,0.1,0.09,0.1,61400
CKDH2212,10/21/2022,0.1,0.1,0.06,0.1,11300
CKDH2212,10/24/2022,0.06,0.09,0.04,0.09,105100
CKDH2212,10/25/2022,0.09,0.09,0.04,0.09,113200
CKDH2212,10/26/2022,0.04,0.05,0.04,0.05,331400
CKDH2212,10/27/2022,0.04,0.08,0.04,0.08,297900
CKDH2212,10/28/2022,0.04,0.07,0.04,0.07,44200
CKDH2212,10/31/2022,0.05,0.07,0.05,0.07,101100
CKDH2212,11/1/2022,0.07,0.07,0.06,0.06,9400
CKDH2212,11/2/2022,0.06,0.07,0.06,0.07,25500
CKDH2212,11/3/2022,0.06,0.07,0.06,0.07,49500
CKDH2212,11/4/2022,0.07,0.07,0.07,0.07,1000
CKDH2212,11/7/2022,0.07,0.07,0.07,0.07,0
CKDH2212,11/8/2022,0.07,0.07,0.07,0.07,0
CKDH2212,11/9/2022,0.04,0.06,0.04,0.06,2500
CKDH2212,11/10/2022,0.06,0.06,0.06,0.06,1700
CKDH2212,11/11/2022,0.05,0.06,0.05,0.06,2500
CKDH2212,11/14/2022,0.06,0.06,0.06,0.06,200
CKDH2212,11/15/2022,0.06,0.06,0.06,0.06,0
CKDH2212,11/16/2022,0.04,0.06,0.04,0.06,500700
CKDH2212,11/17/2022,0.04,0.07,0.04,0.07,12900
CKDH2212,11/18/2022,0.06,0.06,0.06,0.06,18400
CKDH2212,11/21/2022,0.06,0.08,0.06,0.08,5300
CKDH2212,11/22/2022,0.08,0.08,0.08,0.08,6100
CKDH2212,11/23/2022,0.07,0.07,0.07,0.07,50000
CKDH2212,11/24/2022,0.07,0.07,0.07,0.07,200
CKDH2212,11/25/2022,0.07,0.07,0.06,0.06,3200
CKDH2212,11/28/2022,0.08,0.08,0.05,0.06,50700
CKDH2212,11/29/2022,0.05,0.25,0.05,0.08,804000
CKDH2212,11/30/2022,0.09,0.13,0.09,0.13,11900
CKDH2212,12/1/2022,0.15,0.15,0.1,0.1,256000
CKDH2212,12/2/2022,0.08,0.11,0.08,0.11,65500
CKDH2212,12/5/2022,0.12,0.18,0.12,0.18,568300
CKDH2212,12/6/2022,0.13,0.17,0.12,0.13,288000
CKDH2212,12/7/2022,0.1,0.11,0.08,0.1,242400
CKDH2212,12/8/2022,0.15,0.15,0.08,0.12,118100
CKDH2212,12/9/2022,0.14,0.14,0.08,0.12,65700
CKDH2212,12/12/2022,0.13,0.13,0.08,0.08,249600
CKDH2212,12/13/2022,0.08,0.1,0.06,0.1,321100
CKDH2212,12/14/2022,0.1,0.1,0.1,0.1,1300
CKDH2212,12/15/2022,0.08,0.1,0.08,0.1,32600
CKDH2212,12/16/2022,0.1,0.1,0.09,0.1,58200
