Ticker,Date,Open,High,Low,Close,Volume
CMSN2314,11/3/2023,0.5,0.5,0.5,0.5,1100
CMSN2314,11/6/2023,0.5,0.5,0.5,0.5,100
CMSN2314,11/7/2023,0.47,0.47,0.47,0.47,900
CMSN2314,11/8/2023,0.36,0.46,0.36,0.46,500
CMSN2314,11/9/2023,0.45,0.45,0.43,0.44,30700
CMSN2314,11/10/2023,0.4,0.4,0.4,0.4,1600
CMSN2314,11/13/2023,0.38,0.38,0.38,0.38,100
CMSN2314,11/14/2023,0.39,0.39,0.36,0.36,29500
CMSN2314,11/15/2023,0.44,0.54,0.44,0.54,1900
CMSN2314,11/16/2023,0.5,0.5,0.49,0.49,3500
CMSN2314,11/17/2023,0.5,0.5,0.43,0.43,342900
CMSN2314,11/20/2023,0.41,0.41,0.41,0.41,100
CMSN2314,11/21/2023,0.42,0.43,0.42,0.43,27400
CMSN2314,11/22/2023,0.43,0.43,0.43,0.43,0
CMSN2314,11/23/2023,0.43,0.43,0.43,0.43,0
CMSN2314,11/24/2023,0.35,0.35,0.3,0.31,8300
CMSN2314,11/27/2023,0.31,0.31,0.29,0.3,500
CMSN2314,11/28/2023,0.3,0.3,0.3,0.3,0
CMSN2314,11/29/2023,0.25,0.3,0.25,0.3,13400
CMSN2314,11/30/2023,0.24,0.28,0.24,0.25,389000
CMSN2314,12/1/2023,0.25,0.25,0.25,0.25,500
CMSN2314,12/4/2023,0.25,0.27,0.25,0.27,600
CMSN2314,12/5/2023,0.21,0.23,0.21,0.21,13200
CMSN2314,12/6/2023,0.2,0.22,0.2,0.22,5100
CMSN2314,12/7/2023,0.24,0.26,0.22,0.24,17500
CMSN2314,12/8/2023,0.26,0.3,0.26,0.3,16500
CMSN2314,12/11/2023,0.32,0.36,0.32,0.36,9800
CMSN2314,12/12/2023,0.35,0.35,0.31,0.31,77200
CMSN2314,12/13/2023,0.32,0.32,0.29,0.3,8100
CMSN2314,12/14/2023,0.29,0.29,0.22,0.26,98800
CMSN2314,12/15/2023,0.24,0.24,0.21,0.21,48000
CMSN2314,12/18/2023,0.18,0.19,0.18,0.19,101500
CMSN2314,12/19/2023,0.19,0.19,0.19,0.19,0
CMSN2314,12/20/2023,0.17,0.19,0.17,0.19,11500
CMSN2314,12/21/2023,0.17,0.19,0.17,0.19,2700
CMSN2314,12/22/2023,0.17,0.18,0.15,0.16,6800
CMSN2314,12/25/2023,0.17,0.23,0.17,0.23,19700
CMSN2314,12/26/2023,0.21,0.22,0.21,0.22,400
CMSN2314,12/27/2023,0.23,0.23,0.23,0.23,8000
CMSN2314,12/28/2023,0.19,0.22,0.19,0.22,5400
CMSN2314,12/29/2023,0.22,0.22,0.19,0.2,34100
CMSN2314,1/2/2024,0.17,0.2,0.17,0.2,2900
CMSN2314,1/3/2024,0.14,0.16,0.14,0.16,8100
CMSN2314,1/4/2024,0.13,0.16,0.13,0.13,3000
CMSN2314,1/5/2024,0.13,0.13,0.13,0.13,13000
CMSN2314,1/8/2024,0.09,0.11,0.09,0.11,10100
CMSN2314,1/9/2024,0.08,0.09,0.07,0.08,15200
CMSN2314,1/10/2024,0.09,0.09,0.04,0.04,1260100
CMSN2314,1/11/2024,0.05,0.05,0.02,0.04,21200
CMSN2314,1/12/2024,0.04,0.04,0.04,0.04,0
CMSN2314,1/17/2024,0.03,0.03,0.02,0.02,13400
CMSN2314,1/18/2024,0.02,0.02,0.02,0.02,30000
CMSN2314,1/19/2024,0.02,0.02,0.02,0.02,100
CMSN2314,1/22/2024,0.01,0.01,0.01,0.01,30000
CMSN2314,1/29/2024,0.01,0.01,0.01,0.01,222200
CMSN2314,1/30/2024,0.01,0.01,0.01,0.01,1027800
