Ticker,Date,Open,High,Low,Close,Volume
CMWG2301,3/9/2023,1.3,1.3,1.3,1.3,100
CMWG2301,3/10/2023,1.3,1.3,0.92,0.93,12100
CMWG2301,3/13/2023,0.58,0.81,0.58,0.8,1500
CMWG2301,3/14/2023,0.74,0.74,0.7,0.7,200
CMWG2301,3/15/2023,0.77,0.81,0.77,0.81,900
CMWG2301,3/16/2023,0.77,0.77,0.71,0.71,2200
CMWG2301,3/17/2023,0.75,0.75,0.75,0.75,10000
CMWG2301,3/20/2023,0.72,0.72,0.65,0.65,1800
CMWG2301,3/21/2023,0.65,0.65,0.65,0.65,0
CMWG2301,3/22/2023,0.64,0.65,0.64,0.65,4500
CMWG2301,3/23/2023,0.61,0.61,0.61,0.61,100
CMWG2301,3/24/2023,0.62,0.62,0.62,0.62,400
CMWG2301,3/27/2023,0.62,0.62,0.61,0.61,300
CMWG2301,3/28/2023,0.68,0.68,0.67,0.68,1000
CMWG2301,3/29/2023,0.66,0.66,0.66,0.66,300
CMWG2301,3/30/2023,0.62,0.62,0.62,0.62,7200
CMWG2301,3/31/2023,0.62,0.62,0.62,0.62,0
CMWG2301,4/3/2023,0.63,0.63,0.63,0.63,500
CMWG2301,4/4/2023,0.68,0.68,0.68,0.68,7200
CMWG2301,4/5/2023,0.68,0.68,0.68,0.68,100
CMWG2301,4/6/2023,0.69,0.69,0.69,0.69,500
CMWG2301,4/7/2023,0.64,0.64,0.61,0.61,1500
CMWG2301,4/10/2023,0.61,0.61,0.61,0.61,0
CMWG2301,4/11/2023,0.69,0.7,0.69,0.7,1500
CMWG2301,4/12/2023,0.7,0.73,0.7,0.73,2400
CMWG2301,4/13/2023,0.71,0.71,0.71,0.71,100
CMWG2301,4/14/2023,0.74,0.74,0.74,0.74,300
CMWG2301,4/17/2023,0.6,0.6,0.6,0.6,5600
CMWG2301,4/18/2023,0.64,0.65,0.64,0.65,500
CMWG2301,4/19/2023,0.65,0.67,0.65,0.66,7400
CMWG2301,4/20/2023,0.62,0.62,0.61,0.61,600
CMWG2301,4/21/2023,0.58,0.58,0.58,0.58,300
CMWG2301,4/24/2023,0.5,0.5,0.5,0.5,500
CMWG2301,4/25/2023,0.52,0.52,0.47,0.47,14900
CMWG2301,4/26/2023,0.47,0.47,0.47,0.47,0
CMWG2301,4/27/2023,0.5,0.5,0.48,0.48,13800
CMWG2301,4/28/2023,0.5,0.52,0.5,0.52,1100
CMWG2301,5/4/2023,0.14,0.45,0.14,0.45,400
CMWG2301,5/5/2023,0.43,0.43,0.43,0.43,600
CMWG2301,5/8/2023,0.42,0.42,0.4,0.4,10700
CMWG2301,5/9/2023,0.42,0.42,0.4,0.41,2100
CMWG2301,5/10/2023,0.04,0.45,0.04,0.44,8800
CMWG2301,5/11/2023,0.42,0.42,0.42,0.42,1500
CMWG2301,5/12/2023,0.39,0.39,0.39,0.39,100
CMWG2301,5/15/2023,0.41,0.41,0.41,0.41,2800
CMWG2301,5/16/2023,0.39,0.39,0.36,0.36,700
CMWG2301,5/17/2023,0.36,0.36,0.35,0.35,300
CMWG2301,5/18/2023,0.35,0.35,0.35,0.35,200
CMWG2301,5/19/2023,0.35,0.35,0.34,0.34,200
CMWG2301,5/22/2023,0.32,0.32,0.32,0.32,3400
CMWG2301,5/23/2023,0.3,0.3,0.3,0.3,100
CMWG2301,5/24/2023,0.3,0.3,0.3,0.3,200
CMWG2301,5/25/2023,0.3,0.3,0.3,0.3,0
CMWG2301,5/26/2023,0.29,0.3,0.29,0.3,700
CMWG2301,5/29/2023,0.29,0.29,0.29,0.29,4600
CMWG2301,5/30/2023,0.29,0.29,0.29,0.29,0
CMWG2301,5/31/2023,0.02,0.32,0.02,0.3,8300
CMWG2301,6/1/2023,0.29,0.29,0.29,0.29,100
CMWG2301,6/2/2023,0.31,0.37,0.03,0.37,1300
CMWG2301,6/5/2023,0.37,0.37,0.37,0.37,0
CMWG2301,6/6/2023,0.37,0.44,0.37,0.44,4600
CMWG2301,6/7/2023,0.44,0.44,0.41,0.41,3100
CMWG2301,6/8/2023,0.42,0.42,0.35,0.35,1900
CMWG2301,6/9/2023,0.16,0.37,0.16,0.37,1700
CMWG2301,6/12/2023,0.4,0.4,0.37,0.38,2500
CMWG2301,6/13/2023,0.41,0.41,0.38,0.4,4000
CMWG2301,6/14/2023,0.37,0.38,0.35,0.38,10000
CMWG2301,6/15/2023,0.34,0.34,0.33,0.33,3400
CMWG2301,6/16/2023,0.34,0.34,0.3,0.3,4700
CMWG2301,6/19/2023,0.29,0.29,0.29,0.29,200
CMWG2301,6/20/2023,0.32,0.32,0.31,0.32,13100
CMWG2301,6/21/2023,0.32,0.32,0.31,0.31,2100
CMWG2301,6/22/2023,0.31,0.31,0.31,0.31,200
CMWG2301,6/23/2023,0.31,0.31,0.31,0.31,0
CMWG2301,6/26/2023,0.33,0.35,0.33,0.35,2300
CMWG2301,6/27/2023,0.34,0.34,0.34,0.34,24000
CMWG2301,6/28/2023,0.31,0.31,0.31,0.31,4200
CMWG2301,6/29/2023,0.31,0.31,0.31,0.31,0
CMWG2301,6/30/2023,0.32,0.32,0.31,0.31,6000
CMWG2301,7/3/2023,0.31,0.31,0.31,0.31,0
CMWG2301,7/4/2023,0.25,0.26,0.25,0.25,17900
CMWG2301,7/5/2023,0.25,0.27,0.17,0.17,35800
CMWG2301,7/6/2023,0.19,0.2,0.16,0.17,23700
CMWG2301,7/7/2023,0.16,0.21,0.16,0.21,18000
CMWG2301,7/10/2023,0.54,0.58,0.54,0.58,2600
CMWG2301,7/11/2023,0.58,0.58,0.58,0.58,0
CMWG2301,7/12/2023,0.7,0.7,0.7,0.7,5300
CMWG2301,7/13/2023,1.17,1.17,1.17,1.17,200
