Ticker,Date,Open,High,Low,Close,Volume
CPDR2304,7/18/2023,1.48,1.49,1.43,1.49,300
CPDR2304,7/19/2023,1.41,1.41,1.35,1.35,9100
CPDR2304,7/20/2023,1.34,1.45,1.34,1.45,1300
CPDR2304,7/21/2023,1.45,1.69,1.45,1.68,2300
CPDR2304,7/24/2023,1.72,1.78,1.69,1.76,41800
CPDR2304,7/25/2023,1.74,1.78,1.74,1.76,25200
CPDR2304,7/26/2023,1.69,1.75,1.66,1.75,44600
CPDR2304,7/27/2023,1.8,1.87,1.78,1.83,82300
CPDR2304,7/28/2023,1.81,1.88,1.79,1.79,77500
CPDR2304,7/31/2023,1.74,1.79,1.72,1.79,66900
CPDR2304,8/1/2023,1.69,1.71,1.64,1.66,203300
CPDR2304,8/2/2023,1.6,1.73,1.6,1.73,8200
CPDR2304,8/3/2023,1.62,1.77,1.62,1.7,16300
CPDR2304,8/4/2023,1.76,1.89,1.71,1.87,216300
CPDR2304,8/7/2023,1.91,1.91,1.79,1.86,69000
CPDR2304,8/8/2023,1.85,1.85,1.75,1.77,100600
CPDR2304,8/9/2023,1.77,1.77,1.64,1.65,631900
CPDR2304,8/10/2023,1.65,1.73,1.6,1.63,669800
CPDR2304,8/11/2023,1.65,1.7,1.57,1.7,158900
CPDR2304,8/14/2023,1.75,1.88,1.75,1.83,317800
CPDR2304,8/15/2023,1.85,1.85,1.78,1.78,239100
CPDR2304,8/16/2023,1.7,1.83,1.69,1.83,547500
CPDR2304,8/17/2023,1.85,2,1.8,1.81,617600
CPDR2304,8/18/2023,1.74,1.75,1.5,1.5,1478300
CPDR2304,8/21/2023,1.5,1.69,1.34,1.37,503700
CPDR2304,8/22/2023,1.37,1.6,1.09,1.3,294500
CPDR2304,8/23/2023,1.31,1.45,1.31,1.43,91200
CPDR2304,8/24/2023,1.44,1.61,1.41,1.59,226700
CPDR2304,8/25/2023,1.6,1.65,1.55,1.59,145100
CPDR2304,8/28/2023,1.6,1.64,1.55,1.64,39600
CPDR2304,8/29/2023,1.67,1.96,1.67,1.93,600500
CPDR2304,8/30/2023,1.95,1.98,1.75,1.94,2014300
CPDR2304,8/31/2023,1.96,2.16,1.96,2.12,131300
CPDR2304,9/5/2023,2.15,2.15,2.01,2.05,188000
CPDR2304,9/6/2023,2.05,2.2,2.05,2.2,81700
CPDR2304,9/7/2023,2.2,2.3,2.18,2.22,132100
CPDR2304,9/8/2023,2.22,2.28,2.2,2.28,100500
CPDR2304,9/11/2023,2.28,2.28,2.03,2.03,271000
CPDR2304,9/12/2023,2,2.36,1.91,2.32,261700
CPDR2304,9/13/2023,2.4,2.45,2.3,2.34,115000
CPDR2304,9/14/2023,2.28,2.28,2.1,2.11,318400
CPDR2304,9/15/2023,2.16,2.31,2.01,2.3,590300
CPDR2304,9/18/2023,2.19,2.23,2.14,2.2,97200
CPDR2304,9/19/2023,2.15,2.17,1.99,2.17,156800
CPDR2304,9/20/2023,2.2,2.45,2.17,2.45,102000
CPDR2304,9/21/2023,2.43,2.43,2.28,2.34,189400
CPDR2304,9/22/2023,2.12,2.17,1.92,2.05,635900
CPDR2304,9/25/2023,1.86,1.94,1.64,1.64,206600
CPDR2304,9/26/2023,1.5,1.7,1.37,1.49,486600
CPDR2304,9/27/2023,1.42,1.56,1.28,1.56,226500
CPDR2304,9/28/2023,1.68,1.68,1.55,1.65,622300
CPDR2304,9/29/2023,1.75,1.83,1.7,1.76,291800
CPDR2304,10/2/2023,1.74,1.82,1.73,1.8,78800
CPDR2304,10/3/2023,1.65,1.68,1.45,1.45,527400
CPDR2304,10/4/2023,1.31,1.64,1.31,1.64,830400
CPDR2304,10/5/2023,1.69,1.69,1.45,1.48,201800
CPDR2304,10/6/2023,1.39,1.56,1.32,1.56,524900
CPDR2304,10/9/2023,1.56,1.65,1.54,1.63,102400
CPDR2304,10/10/2023,1.69,1.69,1.58,1.58,824200
CPDR2304,10/11/2023,1.55,1.57,1.47,1.56,396500
CPDR2304,10/12/2023,1.66,1.88,1.66,1.83,393500
CPDR2304,10/13/2023,1.71,2.17,1.67,2.15,1280500
CPDR2304,10/16/2023,2.12,2.12,1.94,2.02,219900
CPDR2304,10/17/2023,2.02,2.02,1.83,1.83,738900
CPDR2304,10/18/2023,1.72,1.85,1.53,1.75,792600
CPDR2304,10/19/2023,1.44,1.57,1.38,1.38,1065400
CPDR2304,10/20/2023,1.35,1.59,1.31,1.59,571800
CPDR2304,10/23/2023,1.54,1.58,1.42,1.53,471800
CPDR2304,10/24/2023,1.55,1.61,1.41,1.61,622600
CPDR2304,10/25/2023,1.76,1.9,1.71,1.74,200800
CPDR2304,10/26/2023,1.67,1.67,1.36,1.38,856000
CPDR2304,10/27/2023,1.57,1.57,1.15,1.45,327800
CPDR2304,10/30/2023,1.45,1.46,1.35,1.35,452200
CPDR2304,10/31/2023,1.31,1.31,0.98,0.99,483700
CPDR2304,11/1/2023,0.76,0.99,0.72,0.99,240100
CPDR2304,11/2/2023,1,1.27,1,1.25,651300
CPDR2304,11/3/2023,1.39,1.39,1.16,1.3,469800
CPDR2304,11/6/2023,1.37,1.37,1.26,1.3,489300
CPDR2304,11/7/2023,1.3,1.36,1.23,1.25,169500
CPDR2304,11/8/2023,1.2,1.62,1.2,1.57,456100
CPDR2304,11/9/2023,1.63,1.98,1.63,1.93,775000
CPDR2304,11/10/2023,2.04,2.21,1.99,2.02,555500
CPDR2304,11/13/2023,2.02,2.21,1.97,2.06,844800
CPDR2304,11/14/2023,2.26,2.37,2.01,2.16,420800
CPDR2304,11/15/2023,2.56,2.56,2.11,2.16,1014000
CPDR2304,11/16/2023,2.07,2.48,2.07,2.36,1155500
CPDR2304,11/17/2023,2.57,2.72,2.45,2.61,506900
CPDR2304,11/20/2023,3.01,3.01,2.45,2.62,823900
CPDR2304,11/21/2023,2.72,2.72,2.5,2.66,375600
CPDR2304,11/22/2023,2.57,2.72,2.56,2.67,329700
CPDR2304,11/23/2023,2.69,2.69,2.46,2.46,480800
CPDR2304,11/24/2023,2.46,2.46,2.07,2.35,1528300
CPDR2304,11/27/2023,2.39,2.41,2.21,2.21,56300
CPDR2304,11/28/2023,2.12,2.28,1.98,2.28,1605600
CPDR2304,11/29/2023,2.29,2.36,2.27,2.33,254300
CPDR2304,11/30/2023,2.42,2.45,2.29,2.29,272700
CPDR2304,12/1/2023,2.35,2.35,2.16,2.3,502400
CPDR2304,12/4/2023,2.37,2.61,2.36,2.57,144300
CPDR2304,12/5/2023,2.62,2.62,2.51,2.52,121600
CPDR2304,12/6/2023,2.49,2.71,2.48,2.71,264800
CPDR2304,12/7/2023,2.71,2.88,2.38,2.59,512900
CPDR2304,12/8/2023,2.69,2.69,2.54,2.63,158600
CPDR2304,12/11/2023,2.6,2.6,2.45,2.49,209300
CPDR2304,12/12/2023,2.43,2.43,2.28,2.31,328800
CPDR2304,12/13/2023,2.32,2.33,2.07,2.12,383900
CPDR2304,12/14/2023,2.16,2.17,2.03,2.07,385000
CPDR2304,12/15/2023,2,2.19,1.98,2.08,257300
CPDR2304,12/18/2023,2.07,2.08,2.01,2.01,36000
CPDR2304,12/19/2023,2.07,2.1,1.91,2.05,229900
CPDR2304,12/20/2023,2.13,2.15,2.1,2.12,459400
CPDR2304,12/21/2023,2.07,2.11,2.07,2.11,356500
CPDR2304,12/22/2023,2.13,2.16,2.13,2.14,151300
