Ticker,Date,Open,High,Low,Close,Volume
CSHB2304,11/3/2023,0.87,0.87,0.87,0.87,15100
CSHB2304,11/6/2023,0.91,0.91,0.91,0.91,2300
CSHB2304,11/7/2023,0.85,0.9,0.85,0.9,2700
CSHB2304,11/8/2023,0.8,0.9,0.8,0.9,4700
CSHB2304,11/9/2023,0.95,0.95,0.85,0.92,366200
CSHB2304,11/10/2023,0.87,0.9,0.87,0.9,200
CSHB2304,11/13/2023,0.85,0.88,0.85,0.87,19800
CSHB2304,11/14/2023,0.88,0.95,0.88,0.93,352500
CSHB2304,11/15/2023,0.94,0.94,0.94,0.94,3800
CSHB2304,11/16/2023,0.92,0.92,0.92,0.92,100
CSHB2304,11/17/2023,0.92,0.92,0.85,0.85,15100
CSHB2304,11/20/2023,0.86,0.86,0.86,0.86,100
CSHB2304,11/21/2023,0.87,0.87,0.87,0.87,100
CSHB2304,11/22/2023,0.87,0.87,0.87,0.87,0
CSHB2304,11/23/2023,0.87,0.87,0.87,0.87,0
CSHB2304,11/24/2023,0.82,0.82,0.82,0.82,100
CSHB2304,11/27/2023,0.8,0.8,0.8,0.8,100
CSHB2304,11/28/2023,0.79,0.79,0.74,0.74,150100
CSHB2304,11/29/2023,0.78,0.78,0.78,0.78,100
CSHB2304,11/30/2023,0.78,0.78,0.74,0.74,199600
CSHB2304,12/1/2023,0.76,0.76,0.76,0.76,100
CSHB2304,12/4/2023,0.79,0.79,0.73,0.73,180100
CSHB2304,12/5/2023,0.73,0.73,0.73,0.73,100
CSHB2304,12/6/2023,0.71,0.75,0.7,0.74,140400
CSHB2304,12/7/2023,0.74,0.74,0.74,0.74,0
CSHB2304,12/8/2023,0.75,0.75,0.74,0.74,10100
CSHB2304,12/11/2023,0.7,0.76,0.7,0.74,280600
CSHB2304,12/12/2023,0.74,0.74,0.74,0.74,0
CSHB2304,12/13/2023,0.73,0.73,0.71,0.71,280400
CSHB2304,12/14/2023,0.67,0.7,0.67,0.7,100200
CSHB2304,12/15/2023,0.7,0.7,0.7,0.7,0
CSHB2304,12/18/2023,0.67,0.67,0.66,0.66,100100
CSHB2304,12/19/2023,0.6,0.62,0.6,0.62,152200
CSHB2304,12/20/2023,0.6,0.6,0.6,0.6,100
CSHB2304,12/21/2023,0.54,0.62,0.54,0.62,153000
CSHB2304,12/22/2023,0.56,0.57,0.54,0.54,162900
CSHB2304,12/25/2023,0.54,0.58,0.54,0.58,4100
CSHB2304,12/26/2023,0.57,0.57,0.51,0.54,300300
CSHB2304,12/27/2023,0.5,0.55,0.5,0.55,12500
CSHB2304,12/28/2023,0.54,0.54,0.52,0.54,225300
CSHB2304,12/29/2023,0.55,0.55,0.5,0.54,47900
CSHB2304,1/2/2024,0.5,0.53,0.5,0.5,229100
CSHB2304,1/3/2024,0.5,0.53,0.49,0.49,131900
CSHB2304,1/4/2024,0.55,0.59,0.51,0.57,211600
CSHB2304,1/5/2024,0.52,0.57,0.52,0.57,108000
CSHB2304,1/8/2024,0.52,0.59,0.52,0.55,123800
CSHB2304,1/9/2024,0.59,0.59,0.54,0.54,55000
CSHB2304,1/10/2024,0.61,0.65,0.6,0.64,175100
CSHB2304,1/11/2024,0.65,0.65,0.58,0.63,166300
CSHB2304,1/12/2024,0.59,0.65,0.59,0.65,88800
CSHB2304,1/15/2024,0.65,0.66,0.6,0.6,163700
CSHB2304,1/16/2024,0.57,0.61,0.57,0.61,176000
CSHB2304,1/17/2024,0.62,0.62,0.57,0.61,160200
CSHB2304,1/18/2024,0.61,0.61,0.55,0.61,228600
CSHB2304,1/19/2024,0.61,0.62,0.57,0.62,56200
CSHB2304,1/22/2024,0.63,0.63,0.58,0.62,334000
CSHB2304,1/23/2024,0.59,0.62,0.55,0.62,98900
CSHB2304,1/24/2024,0.56,0.63,0.56,0.63,554900
CSHB2304,1/25/2024,0.57,0.63,0.57,0.62,274400
CSHB2304,1/26/2024,0.57,0.62,0.56,0.62,790800
CSHB2304,1/29/2024,0.58,0.62,0.58,0.61,254600
CSHB2304,1/30/2024,0.56,0.6,0.55,0.58,1118200
CSHB2304,1/31/2024,0.56,0.56,0.5,0.51,384100
CSHB2304,2/1/2024,0.49,0.52,0.48,0.5,65200
