Ticker,Date,Open,High,Low,Close,Volume
CSTB2311,7/12/2023,1.8,1.8,1.8,1.8,0
CSTB2311,7/13/2023,2.32,2.32,2.3,2.32,27000
CSTB2311,7/14/2023,2.41,2.41,1.98,1.98,97700
CSTB2311,7/17/2023,1.92,1.92,1.86,1.86,33500
CSTB2311,7/18/2023,1.79,1.79,1.78,1.79,97200
CSTB2311,7/19/2023,1.86,1.87,1.82,1.83,94300
CSTB2311,7/20/2023,1.71,1.71,1.68,1.7,31000
CSTB2311,7/21/2023,1.73,1.86,1.73,1.84,190700
CSTB2311,7/24/2023,1.93,1.95,1.82,1.85,112200
CSTB2311,7/25/2023,1.86,1.88,1.81,1.83,239300
CSTB2311,7/26/2023,1.81,1.81,1.71,1.71,109700
CSTB2311,7/27/2023,1.72,1.72,1.64,1.65,215600
CSTB2311,7/28/2023,1.67,1.78,1.66,1.78,238200
CSTB2311,7/31/2023,1.84,1.84,1.77,1.8,338800
CSTB2311,8/1/2023,1.9,2.09,1.88,1.94,475100
CSTB2311,8/2/2023,1.89,1.95,1.87,1.95,549500
CSTB2311,8/3/2023,1.96,2.06,1.87,1.87,1221500
CSTB2311,8/4/2023,1.84,1.95,1.84,1.94,422800
CSTB2311,8/7/2023,1.98,2.25,1.98,2.25,262700
CSTB2311,8/8/2023,2.21,2.36,2.21,2.27,471600
CSTB2311,8/9/2023,2.27,2.7,2.24,2.7,220900
CSTB2311,8/10/2023,2.7,2.84,2.63,2.63,151200
CSTB2311,8/11/2023,2.65,3.25,2.62,3.08,238100
CSTB2311,8/14/2023,3.12,3.15,2.9,3.01,124500
CSTB2311,8/15/2023,3.03,3.03,2.87,2.87,162100
CSTB2311,8/16/2023,2.82,3.2,2.82,3.2,92500
CSTB2311,8/17/2023,3.24,3.24,3,3,74100
CSTB2311,8/18/2023,2.92,2.97,2.5,2.52,194200
CSTB2311,8/21/2023,2.68,3.03,2.6,2.86,340100
CSTB2311,8/22/2023,2.9,2.95,2.45,2.86,456800
CSTB2311,8/23/2023,2.88,2.88,2.46,2.46,403700
CSTB2311,8/24/2023,2.82,2.82,2.34,2.58,223000
CSTB2311,8/25/2023,2.49,2.49,2.4,2.45,281000
CSTB2311,8/28/2023,2.45,2.72,2.45,2.72,92800
CSTB2311,8/29/2023,2.79,2.79,2.59,2.69,73400
CSTB2311,8/30/2023,2.75,2.91,2.66,2.91,137200
CSTB2311,8/31/2023,2.99,2.99,2.87,2.91,45100
CSTB2311,9/5/2023,2.91,3.05,2.85,2.91,317600
CSTB2311,9/6/2023,3.01,3.01,2.83,2.99,173600
CSTB2311,9/7/2023,3.1,3.12,2.99,2.99,164800
CSTB2311,9/8/2023,3.11,3.11,2.93,2.93,166200
CSTB2311,9/11/2023,2.9,2.9,2.5,2.5,126500
CSTB2311,9/12/2023,2.51,2.76,2.48,2.76,314700
CSTB2311,9/13/2023,3.04,3.04,2.66,2.66,378700
CSTB2311,9/14/2023,2.68,2.78,2.66,2.66,199300
CSTB2311,9/15/2023,2.72,3.1,2.71,2.9,220300
CSTB2311,9/18/2023,2.82,2.98,2.82,2.86,89000
CSTB2311,9/19/2023,3,3.18,2.97,3.18,130000
CSTB2311,9/20/2023,3.17,3.2,3.11,3.16,35900
CSTB2311,9/21/2023,3.16,3.2,2.8,2.81,179900
CSTB2311,9/22/2023,2.54,2.9,2.54,2.9,108900
CSTB2311,9/25/2023,2.89,2.93,2.38,2.38,73700
CSTB2311,9/26/2023,2.5,2.5,2.34,2.34,102200
CSTB2311,9/27/2023,2.36,2.4,2.21,2.38,58300
CSTB2311,9/28/2023,2.39,2.39,2,2.05,92700
CSTB2311,9/29/2023,2.13,2.13,2,2,55300
CSTB2311,10/2/2023,2.01,2.09,1.99,1.99,66200
CSTB2311,10/3/2023,1.91,1.94,1.77,1.77,89300
CSTB2311,10/4/2023,1.48,1.85,1.46,1.73,15600
CSTB2311,10/5/2023,1.61,1.62,1.57,1.62,8600
CSTB2311,10/6/2023,1.55,1.89,0.6,1.89,62000
CSTB2311,10/9/2023,2.4,2.4,1.83,2.2,8400
CSTB2311,10/10/2023,2.43,2.43,1.95,2.16,25600
CSTB2311,10/11/2023,2.16,2.19,2.04,2.19,17900
CSTB2311,10/12/2023,2.19,2.34,2.06,2.18,48500
CSTB2311,10/13/2023,2.07,2.09,2.05,2.05,3300
CSTB2311,10/16/2023,2.24,2.24,1.76,2.15,59900
CSTB2311,10/17/2023,2.28,2.28,2.07,2.16,1600
CSTB2311,10/18/2023,1.96,1.96,1.51,1.51,7900
CSTB2311,10/19/2023,2,2,1.45,1.65,6000
CSTB2311,10/20/2023,2.09,2.09,1.74,1.99,5200
