Ticker,Date,Open,High,Low,Close,Volume
CTCB2208,8/18/2022,3.73,3.76,3.6,3.66,165900
CTCB2208,8/19/2022,3.61,3.65,3.58,3.61,50300
CTCB2208,8/22/2022,3.6,3.6,3.2,3.21,278000
CTCB2208,8/23/2022,3.16,3.16,2.93,2.96,173000
CTCB2208,8/24/2022,2.97,3.16,2.96,3.04,225900
CTCB2208,8/25/2022,3.1,3.19,3.1,3.16,94300
CTCB2208,8/26/2022,3.19,3.26,3.19,3.23,129300
CTCB2208,8/29/2022,3.03,3.03,2.82,2.83,436100
CTCB2208,8/30/2022,2.92,2.92,2.69,2.71,39700
CTCB2208,8/31/2022,2.66,2.81,2.65,2.77,213700
CTCB2208,9/5/2022,2.73,2.73,2.63,2.68,43300
CTCB2208,9/6/2022,2.69,2.73,2.64,2.69,14900
CTCB2208,9/7/2022,2.63,2.63,2.26,2.26,44000
CTCB2208,9/8/2022,2.24,2.24,2.14,2.15,19100
CTCB2208,9/9/2022,2.17,2.17,2.04,2.13,5400
CTCB2208,9/12/2022,2.18,2.18,2.12,2.12,7600
CTCB2208,9/13/2022,2.08,2.14,2.08,2.1,4500
CTCB2208,9/14/2022,1.93,2,1.92,2,1900
CTCB2208,9/15/2022,1.97,2.01,1.96,1.96,7700
CTCB2208,9/16/2022,1.93,1.94,1.86,1.87,153600
CTCB2208,9/19/2022,1.7,1.7,1.48,1.48,9900
CTCB2208,9/20/2022,1.52,1.52,1.47,1.51,600
CTCB2208,9/21/2022,1.48,1.48,1.39,1.44,1000
CTCB2208,9/22/2022,1.32,1.38,1.31,1.36,3700
CTCB2208,9/23/2022,1.36,1.36,1.29,1.29,3500
CTCB2208,9/26/2022,1.16,1.16,1.04,1.06,2400
CTCB2208,9/27/2022,1.14,1.17,1.11,1.13,5700
CTCB2208,9/28/2022,1.09,1.12,1.06,1.06,10700
CTCB2208,9/29/2022,1.11,1.11,1.02,1.02,32000
CTCB2208,9/30/2022,0.99,1.02,0.93,0.95,20000
CTCB2208,10/3/2022,0.86,0.86,0.62,0.62,7100
CTCB2208,10/4/2022,0.65,0.69,0.56,0.62,115700
CTCB2208,10/5/2022,0.69,0.71,0.65,0.68,85200
CTCB2208,10/6/2022,0.65,0.65,0.53,0.54,128100
CTCB2208,10/7/2022,0.43,0.43,0.32,0.32,1592500
CTCB2208,10/10/2022,0.23,0.27,0.18,0.22,17800
CTCB2208,10/11/2022,0.15,0.17,0.12,0.12,206000
CTCB2208,10/12/2022,0.11,0.17,0.11,0.15,152800
CTCB2208,10/13/2022,0.12,0.16,0.12,0.15,40700
