Ticker,Date,Open,High,Low,Close,Volume
CTPB2305,11/3/2023,1.1,1.1,1.1,1.1,0
CTPB2305,11/6/2023,0.9,0.9,0.9,0.9,100
CTPB2305,11/7/2023,0.9,0.9,0.9,0.9,0
CTPB2305,11/8/2023,0.91,0.91,0.91,0.91,100
CTPB2305,11/9/2023,0.95,0.95,0.95,0.95,1000
CTPB2305,11/10/2023,0.97,0.97,0.97,0.97,100
CTPB2305,11/13/2023,0.96,0.96,0.96,0.96,100
CTPB2305,11/14/2023,1.04,1.05,1,1,600
CTPB2305,11/15/2023,1.01,1.03,1.01,1.03,300
CTPB2305,11/16/2023,0.95,0.97,0.95,0.97,400
CTPB2305,11/17/2023,0.98,0.98,0.95,0.95,600
CTPB2305,11/20/2023,0.91,0.91,0.91,0.91,100
CTPB2305,11/21/2023,0.92,0.92,0.92,0.92,100
CTPB2305,11/22/2023,0.92,0.92,0.92,0.92,0
CTPB2305,11/23/2023,0.9,0.9,0.9,0.9,100
CTPB2305,11/24/2023,0.84,0.86,0.84,0.86,200
CTPB2305,11/27/2023,0.85,0.85,0.85,0.85,100
CTPB2305,11/28/2023,0.83,0.85,0.83,0.85,200
CTPB2305,11/29/2023,0.83,0.85,0.82,0.83,600
CTPB2305,11/30/2023,0.8,0.85,0.79,0.85,400
CTPB2305,12/1/2023,0.8,0.86,0.8,0.86,800
CTPB2305,12/4/2023,0.81,0.88,0.81,0.88,1600
CTPB2305,12/5/2023,0.82,0.88,0.82,0.86,1200
CTPB2305,12/6/2023,0.8,0.89,0.8,0.89,1800
CTPB2305,12/7/2023,0.81,0.89,0.8,0.89,7200
CTPB2305,12/8/2023,0.9,0.9,0.9,0.9,500
CTPB2305,12/11/2023,0.89,0.89,0.89,0.89,6500
CTPB2305,12/12/2023,0.83,0.88,0.83,0.88,80200
CTPB2305,12/13/2023,0.88,0.88,0.88,0.88,0
CTPB2305,12/14/2023,0.78,0.86,0.77,0.81,130600
CTPB2305,12/15/2023,0.75,0.81,0.75,0.81,1100
CTPB2305,12/18/2023,0.73,0.79,0.73,0.79,80900
CTPB2305,12/19/2023,0.73,0.77,0.73,0.77,1100
CTPB2305,12/20/2023,0.78,0.78,0.74,0.77,2000
CTPB2305,12/21/2023,0.72,0.78,0.72,0.78,94600
CTPB2305,12/22/2023,0.76,0.77,0.7,0.77,268200
CTPB2305,12/25/2023,0.71,0.79,0.7,0.75,144700
CTPB2305,12/26/2023,0.7,0.77,0.7,0.76,326400
CTPB2305,12/27/2023,0.71,0.79,0.71,0.79,114600
CTPB2305,12/28/2023,0.72,0.79,0.72,0.79,177000
CTPB2305,12/29/2023,0.77,0.78,0.76,0.78,64500
CTPB2305,1/2/2024,0.75,0.78,0.74,0.77,148200
CTPB2305,1/3/2024,0.74,0.79,0.71,0.79,215100
CTPB2305,1/4/2024,0.73,0.89,0.73,0.89,207700
CTPB2305,1/5/2024,0.85,0.88,0.8,0.88,195100
CTPB2305,1/8/2024,0.82,0.88,0.82,0.87,248400
CTPB2305,1/9/2024,0.81,0.83,0.79,0.83,200200
CTPB2305,1/10/2024,0.78,0.92,0.78,0.92,138500
CTPB2305,1/11/2024,0.9,0.94,0.86,0.92,200200
CTPB2305,1/12/2024,0.83,0.94,0.83,0.94,50200
CTPB2305,1/15/2024,0.88,0.92,0.86,0.9,100100
CTPB2305,1/16/2024,0.84,0.92,0.83,0.92,344200
CTPB2305,1/17/2024,0.85,0.93,0.85,0.9,107600
CTPB2305,1/18/2024,0.84,0.89,0.84,0.87,470800
CTPB2305,1/19/2024,0.84,0.89,0.84,0.89,72600
CTPB2305,1/22/2024,0.85,0.89,0.84,0.89,315500
CTPB2305,1/23/2024,0.85,0.9,0.85,0.89,99100
CTPB2305,1/24/2024,0.84,0.87,0.81,0.85,268000
CTPB2305,1/25/2024,0.79,0.84,0.78,0.83,52600
CTPB2305,1/26/2024,0.8,0.85,0.79,0.85,428000
CTPB2305,1/29/2024,0.8,0.83,0.79,0.83,101700
CTPB2305,1/30/2024,0.78,0.84,0.78,0.84,343500
CTPB2305,1/31/2024,0.8,0.8,0.76,0.78,253900
CTPB2305,2/1/2024,0.76,0.76,0.76,0.76,30100
