Ticker,Date,Open,High,Low,Close,Volume
CVHM2201,1/11/2022,1.22,1.22,1.19,1.19,2100
CVHM2201,1/12/2022,1.15,1.15,1.1,1.1,20000
CVHM2201,1/13/2022,1.13,1.16,1.13,1.16,5800
CVHM2201,1/14/2022,1.1,1.1,1.1,1.1,2500
CVHM2201,1/17/2022,1.05,1.1,1,1,18500
CVHM2201,1/18/2022,1.01,1.01,0.9,0.9,102000
CVHM2201,1/19/2022,0.94,0.94,0.93,0.93,14300
CVHM2201,1/20/2022,0.9,0.99,0.9,0.99,27100
CVHM2201,1/21/2022,0.97,0.98,0.97,0.98,55900
CVHM2201,1/24/2022,0.95,0.95,0.84,0.88,48400
CVHM2201,1/25/2022,0.86,1,0.86,1,22000
CVHM2201,1/26/2022,1.02,1.02,1,1.02,74100
CVHM2201,1/27/2022,1.03,1.05,0.99,0.99,33500
CVHM2201,1/28/2022,0.98,1.02,0.94,1.02,108600
CVHM2201,2/7/2022,1.05,1.09,1,1,344200
CVHM2201,2/8/2022,1,1.1,0.95,0.95,94600
CVHM2201,2/9/2022,1.06,1.06,0.95,1.04,203800
CVHM2201,2/10/2022,0.97,1.02,0.94,0.98,247000
CVHM2201,2/11/2022,0.96,0.98,0.9,0.95,246300
CVHM2201,2/14/2022,0.91,0.93,0.85,0.9,594600
CVHM2201,2/15/2022,0.86,0.98,0.86,0.97,277500
CVHM2201,2/16/2022,0.97,0.97,0.91,0.96,194300
CVHM2201,2/17/2022,0.94,0.96,0.91,0.96,256500
CVHM2201,2/18/2022,0.97,0.97,0.9,0.93,258100
CVHM2201,2/21/2022,0.9,0.95,0.89,0.93,218300
CVHM2201,2/22/2022,0.92,0.92,0.83,0.89,265900
CVHM2201,2/23/2022,0.9,0.91,0.87,0.9,514300
CVHM2201,2/24/2022,0.93,0.93,0.8,0.84,434600
CVHM2201,2/25/2022,0.87,0.88,0.82,0.85,64100
CVHM2201,2/28/2022,0.86,0.86,0.81,0.85,233400
CVHM2201,3/1/2022,0.85,0.85,0.8,0.81,197500
CVHM2201,3/2/2022,0.81,0.83,0.78,0.81,1083700
CVHM2201,3/3/2022,0.81,0.83,0.78,0.82,626500
CVHM2201,3/4/2022,0.79,0.83,0.76,0.8,415100
CVHM2201,3/7/2022,0.76,0.78,0.72,0.75,700000
CVHM2201,3/8/2022,0.73,0.74,0.67,0.69,1000300
CVHM2201,3/9/2022,0.69,0.69,0.63,0.67,189100
CVHM2201,3/10/2022,0.7,0.75,0.64,0.7,212700
CVHM2201,3/11/2022,0.68,0.68,0.62,0.65,919000
CVHM2201,3/14/2022,0.65,0.65,0.61,0.64,547600
CVHM2201,3/15/2022,0.64,0.65,0.6,0.63,426800
CVHM2201,3/16/2022,0.64,0.64,0.57,0.64,860000
CVHM2201,3/17/2022,0.63,0.68,0.61,0.64,214300
CVHM2201,3/18/2022,0.65,0.7,0.62,0.67,638500
CVHM2201,3/21/2022,0.66,0.71,0.63,0.71,347100
CVHM2201,3/22/2022,0.71,0.76,0.68,0.74,631100
CVHM2201,3/23/2022,0.74,0.74,0.68,0.71,594700
CVHM2201,3/24/2022,0.7,0.7,0.64,0.67,403200
CVHM2201,3/25/2022,0.67,0.68,0.64,0.66,295600
CVHM2201,3/28/2022,0.64,0.65,0.61,0.62,349300
CVHM2201,3/29/2022,0.63,0.7,0.63,0.67,253100
