Ticker,Date,Open,High,Low,Close,Volume
CVIC2303,7/13/2023,0.85,0.85,0.82,0.82,200
CVIC2303,7/14/2023,0.84,0.84,0.82,0.82,200
CVIC2303,7/17/2023,0.83,0.91,0.83,0.84,101000
CVIC2303,7/18/2023,0.81,0.87,0.8,0.83,230500
CVIC2303,7/19/2023,0.82,0.82,0.78,0.79,194300
CVIC2303,7/20/2023,0.75,0.79,0.75,0.79,251300
CVIC2303,7/21/2023,0.78,0.78,0.75,0.75,58800
CVIC2303,7/24/2023,0.77,0.77,0.73,0.73,66700
CVIC2303,7/25/2023,0.71,0.74,0.7,0.72,84600
CVIC2303,7/26/2023,0.7,0.7,0.7,0.7,29200
CVIC2303,7/27/2023,0.69,0.69,0.67,0.68,86100
CVIC2303,7/28/2023,0.66,0.69,0.66,0.69,200
CVIC2303,7/31/2023,1.14,1.14,0.95,1.12,71100
CVIC2303,8/1/2023,1.58,1.58,1.27,1.35,372700
CVIC2303,8/2/2023,1.3,1.31,1.2,1.24,759300
CVIC2303,8/3/2023,1.22,1.29,1.21,1.21,112200
CVIC2303,8/4/2023,1.38,1.51,1.35,1.51,516400
CVIC2303,8/7/2023,1.65,1.65,1.52,1.59,556300
CVIC2303,8/8/2023,1.63,1.96,1.63,1.88,1014800
CVIC2303,8/9/2023,2.2,2.37,1.81,2.37,1260100
CVIC2303,8/10/2023,2.39,2.57,1.88,2.04,284700
CVIC2303,8/11/2023,2.55,2.62,2.4,2.62,394100
CVIC2303,8/14/2023,3,3.22,2.61,3.06,323800
CVIC2303,8/15/2023,3.16,3.16,2.5,2.7,170900
CVIC2303,8/16/2023,3.31,3.31,3.3,3.31,97700
CVIC2303,8/17/2023,3.75,3.75,3.1,3.19,154800
CVIC2303,8/18/2023,2.83,3,2.57,2.57,249000
CVIC2303,8/21/2023,2,2.38,2,2.33,193100
CVIC2303,8/22/2023,2.63,2.63,1.8,2,88800
CVIC2303,8/23/2023,2.5,2.54,2.1,2.1,204300
CVIC2303,8/24/2023,2.11,2.28,1.9,2.08,381700
CVIC2303,8/25/2023,2.2,2.2,1.85,2.05,131200
CVIC2303,8/28/2023,2.3,2.3,1.98,2.08,134800
CVIC2303,8/29/2023,2.2,2.2,1.88,1.96,106900
CVIC2303,8/30/2023,1.9,1.96,1.63,1.66,229900
